GeneA GeneB
55272 504189
8772 54964
388630 79192
5956 84287
10178 2281
30009 9739
392390 138802
122876 79413
7871 3895
83658 399473
55607 10430
25800 283849
10424 10644
100507050 345462
9689 6169
246329 54765
9782 333
254887 23617
29882 3196
341152 678
151056 283807
83988 10465
29911 100529063
30850 9092
6872 64766
27332 283849
27230 26254
7978 2804
1044 8913
54876 58525
23586 83666
26036 124989
126129 5140
9228 114795
9762 51477
139189 3950
51333 65078
6861 54961
7791 51274
131377 27239
4010 643803
26121 503542
646486 80139
392390 10043
50805 79869
57497 10201
114803 6332
51315 10858
1311 342132
84687 283298
6632 58
64764 4692
2846 256394
147646 118460
30832 4123
10385 160
6476 837
54926 5881
348262 164633
8721 83988
25894 23177
56929 80004
25844 124093
60412 51157
81606 8387
579 128434
83443 5986
2641 30846
100144748 79736
29071 9354
55661 6123
57325 50835
390142 9652
254065 25980
379 5914
25789 84445
79027 23498
57587 341799
9542 6833
5956 1311
11141 116535
6853 79009
149478 51127
9994 221336
286046 85458
7978 8085
64225 196403
55684 727957
57693 9057
348235 140706
55777 51477
8471 28952
390261 2720
7267 83937
6853 399473
8344 10399
23474 7546
23413 149345
645369 2595
7076 9684
8831 399474
23284 3490
29882 85025
10592 400935
57613 23401
7737 23598
2131 10260
554235 23172
7589 57465
4804 7574
55180 641654
25851 29886
56987 59343
613227 55195
81689 3013
147040 58158
90324 81559
1436 23013
375612 9462
8633 374879
348262 643803
338376 8749
4007 57106
79581 8460
6839 51310
23201 23401
402415 115509
51725 9049
162282 11151
23620 81282
389541 27243
255239 57035
25976 10168
64478 1137
145645 4692
9459 80217
84687 6774
345462 408263
51666 8484
81606 7556
554235 54538
148022 8804
80760 50614
8822 10804
84861 146212
4940 54906
57462 3726
8330 2036
23309 55608
80776 10437
26267 285636
55272 23558
90355 10936
79886 80778
143684 81569
100144748 51759
7589 84437
687 92922
81606 118460
257397 11282
10076 80818
55802 54765
57677 55285
402682 11041
285753 7733
64240 374879
4605 80262
339976 83638
5476 64856
51750 89941
114803 122769
284353 7349
403239 339965
7076 30832
10169 79665
7791 132112
114770 148022
5802 388228
89801 1954
56548 10330
81697 1140
7978 29945
9684 7572
54510 91151
390093 79009
27152 8479
84076 7408
128853 6861
23326 8139
8517 64708
26150 51282
53822 146547
9684 58473
401565 27439
6203 7090
157869 23558
8629 22909
23479 388662
2323 100170841
112574 7083
4846 5557
729665 57639
57677 54344
6288 51582
79817 8357
71 26519
252884 80816
65998 22795
122060 4209
100130705 25790
4005 7077
338 56267
30846 11021
154790 1339
341799 7170
100499483 168975
29945 10168
375791 5218
3895 10825
10858 26128
401541 10279
402415 59343
7917 81559
27067 9755
100127983 10858
80345 7571
2916 9260
51477 26585
1293 90019
55818 9411
83990 253725
26511 51157
9994 9833
10721 10225
55773 2204
79072 146050
23026 84698
284656 143425
154807 2306
219432 57217
2870 219453
11152 79002
22827 283871
10023 58504
55272 9762
100170841 1845
147906 10527
341880 51368
390067 64090
79091 4798
6491 10076
9310 128272
84629 482
100127983 9755
3788 23401
3788 1856
23020 147381
11047 51398
116092 11151
26235 121340
7633 80036
283638 125058
157869 22889
149420 10052
79109 29802
2928 29760
6916 9992
116931 6203
1627 375323
10251 7224
25876 7106
11254 1393
6872 23020
5148 71
57558 8938
63974 151354
79924 84072
8648 338761
374879 6910
219959 6788
221091 10630
55323 9412
2189 9668
579 7349
90187 4692
7841 2735
222229 11130
728224 126917
131583 7538
23764 55188
441669 126129
81501 11173
3920 84818
56951 9546
64759 1938
29780 56160
80896 115196
80028 9907
221687 81539
203523 408
100507050 27112
64094 222698
554235 389072
126006 8445
285659 51538
30846 783
10524 406
10926 2803
9747 79830
254783 56944
27332 147011
9351 9462
29114 258010
2149 100128927
26219 337971
347148 6694
283461 91056
84874 81563
2719 55285
10168 129080
8330 9114
80233 10648
84073 219793
9651 375790
22915 283461
7545 27165
343172 3476
25794 51412
136227 127396
91975 3913
11083 60437
3228 10289
284273 122060
399473 80344
81618 8425
149420 4761
55262 57106
23358 30846
132141 64232
5203 10123
54777 5071
23353 155185
341152 84078
1174 28512
26696 390431
2582 51157
8330 348793
56832 124989
51157 124540
387893 64766
157285 6874
85413 54798
344805 27159
64324 25789
388 54805
11151 4209
51428 6045
2619 1984
388662 147807
7584 79677
90060 5818
26984 399473
11152 11176
1019 55891
153090 10168
25794 7007
339287 283849
6932 10858
51299 59286
29801 84894
55255 199834
1774 29085
100127983 10014
81551 25798
10385 341640
4956 83983
6511 8175
5956 121340
85379 368
341799 26128
9656 7153
389432 3837
344838 22907
134492 389058
1739 148268
55958 54329
200407 53635
27067 29801
353274 79958
203286 153572
84924 375704
1062 10657
55049 51127
3265 116225
80820 57333
92002 4071
8705 23139
149986 2286
11152 23533
151636 83666
6916 5134
390010 23080
23533 21
53344 399473
491 10856
284382 9148
7633 79685
27067 163175
7136 115294
7348 4209
79966 400950
10473 6273
85417 2788
22907 161742
4007 10430
84687 3352
6872 53917
2619 51691
8341 5193
23683 59286
2921 2919
1609 170506
5450 80194
22954 342945
8629 9651
65083 6615
256126 10036
23054 51127
168400 10808
55922 9684
9306 51321
51160 5557
51720 1608
55082 79927
90060 375704
1062 84128
222962 23024
22907 9351
390010 9038
3202 200312
53822 65264
54913 51127
28952 6879
220213 55635
3646 1762
57655 7589
8708 439
6366 55665
23358 5956
220963 1362
7592 60685
11338 80135
79192 23140
6711 9349
139189 57715
6457 55640
391107 6426
64219 10188
7745 26585
221833 5594
393 400935
654364 58
53822 23334
139599 2792
554235 5476
29942 84687
57091 728116
25794 84687
23583 112464
8721 10253
146198 27030
124857 338761
1756 9618
8216 63941
203111 283129
23439 8471
390259 64848
26267 79665
1649 26517
84057 83854
9371 58473
9351 7170
79134 23152
57706 389084
390067 6861
5435 55671
8331 7627
3228 83930
1211 121340
1436 6615
25794 84219
10452 83931
2909 139411
165721 124535
390616 5781
80108 3690
91748 5662
9172 4326
7023 262
1649 51160
341799 58158
6155 439915
64965 388698
55132 10945
26576 84445
9762 56949
343578 8419
285349 11100
115207 10857
79442 56269
117531 9672
79027 7920
55272 53917
8326 116729
57451 6165
2676 282679
337969 15
64847 84871
126432 83638
1856 28956
9170 91300
55272 8463
54039 57666
6529 9142
56996 51412
8425 7572
64167 2957
4889 57731
79269 66005
3949 84467
11180 5818
4515 56949
26529 55854
2334 10168
91663 92126
341799 64072
399909 55182
220988 5093
1479 7580
40 9672
200312 140701
9247 126364
386672 170692
90060 6861
56996 5292
1756 2956
91151 23387
126299 128272
128367 64946
9755 40
89848 30009
79324 79009
6635 3749
340543 3760
402415 81559
54885 148268
84667 283554
285966 6434
29085 22879
54850 65264
23732 93377
154790 23277
1002 84790
23230 6491
26173 9112
1339 5450
80317 63827
155184 5408
60437 2108
390067 164633
678 7349
1396 6494
9038 2101
83449 23334
2334 64167
139728 2565
134265 10489
90355 54876
7169 5986
4668 3294
347148 153328
345462 26005
389432 80218
151056 79369
10395 3703
375611 152
390259 91151
6351 5926
84861 126006
256309 400935
11188 79009
7866 55958
390259 55929
22885 9149
117153 22897
402682 6502
81628 3198
