GeneA GeneB
56647 6596
8607 11065
5927 8407
6233 5909
25793 2954
51290 3838
55179 80347
51172 8914
10868 5743
10318 56926
2195 3930
79724 6119
5523 171586
29763 7994
513 64598
4947 25839
8833 56889
3205 9270
84328 56623
2309 25966
7082 9143
59352 310
51071 9710
1497 63895
89910 7018
56923 3930
9868 54505
291 51081
9374 11197
4190 10265
83694 3682
2834 58478
5708 79960
25989 64328
54472 1967
7874 6915
8575 9801
5636 3735
1385 84975
5295 4118
79885 5529
5290 1786
10730 10007
6184 22820
1387 6119
6778 5427
2222 54442
55703 56654
55703 283638
10432 54681
10559 23131
54623 3454
3551 5547
178 1211
94233 57406
147183 23076
2919 1677
55191 22926
4893 5480
51015 3029
6723 5096
23291 54504
1384 4043
51441 84975
47 7167
1718 1152
4668 5373
51203 25966
5699 4931
11057 5373
1677 6908
339327 3827
8655 57515
51181 9275
83551 10273
2023 5265
7376 9797
3622 10273
3308 9690
7484 158471
5058 3815
9833 3240
3726 6277
3669 54442
51295 23406
23523 22926
27035 2720
10257 1396
4299 10908
8050 5331
5430 10123
5300 8545
55226 3454
3221 991
10888 10112
400 9917
355 4833
3776 23326
9308 56954
9133 84617
6427 29928
10379 5438
64326 3157
9774 4118
6004 79947
847 7494
27254 55847
136051 9267
3615 7846
2919 56888
79947 26271
944 10237
4302 55450
4214 23647
3248 118987
64080 5927
1949 873
22937 8565
5310 56898
5534 392
2909 7015
5900 3033
2 79643
375449 8324
3556 58533
4092 3956
7052 54205
5471 6182
390148 22827
23435 823
694 8877
5371 2937
54815 1429
10247 10285
1163 7018
3832 7374
23196 1153
10113 8636
5424 23338
10868 6192
18 51364
4830 3240
10641 26276
51170 8520
1979 55008
3566 9044
63929 7167
1027 11200
23223 6390
23244 994
1504 9851
8609 2222
6583 5373
5900 1759
10533 55671
4486 56889
375449 10221
10991 51375
6259 8365
6194 8412
10038 10206
7849 3280
8850 10417
3087 11041
7625 57761
596 4312
23314 5096
55278 7153
10755 8821
23149 11098
1381 22794
6576 7106
7518 4200
4793 5901
4893 5825
63933 51031
9869 7994
57449 1738
79947 991
11000 7088
23499 57192
7520 23639
84878 10559
55129 56945
7167 3161
3309 1846
6850 1396
7554 3945
9337 23463
79947 29916
10460 5223
10632 84975
9589 8724
5434 8050
3628 9761
5709 64061
1958 79903
114026 948
90678 10318
775 8140
54496 80746
79600 6275
9475 7431
10276 54475
11243 27335
9053 4282
3265 2628
6307 80349
9690 1066
6774 6192
571 23321
9134 3312
8313 2109
2266 2817
1429 1808
7855 22856
3115 670
5329 9552
114609 3300
2353 5438
66008 9133
5245 54438
3560 2752
3559 6192
22887 7726
3567 6626
6097 6192
9688 6192
3172 7538
329 375346
170591 57192
51741 51292
5663 178
8667 6616
25839 4043
29937 7485
22859 55825
9815 182
226 1950
10113 51282
3456 1063
10237 55741
10472 5743
93 1950
5108 7371
10201 8349
10352 4072
4869 23139
64786 23406
4791 200081
308 10285
2066 55129
5033 55238
5033 7031
11183 323
6932 26872
3688 4023
56940 8091
10437 60528
79727 90861
10146 6184
7158 5829
51096 230
8527 4830
3832 9847
2444 10644
80347 23576
2956 10712
91464 5092
3586 8050
10723 9275
6204 1917
54505 4478
10901 8607
5361 9552
65975 8867
8313 154
2645 23536
8795 5321
1525 4200
115560 29896
8503 25839
51599 4817
55176 7153
5211 2261
117154 5223
883 10557
8148 8869
5223 11142
5930 6499
8772 100287932
1869 501
6491 5050
23212 7018
23029 3930
4233 51001
8576 5467
140901 9270
7226 2261
10111 7846
112885 5588
23476 10362
63892 5714
1021 6461
6788 23076
11284 355
6646 2745
55718 4885
8202 2079
4602 8821
10651 3312
6207 6835
7750 3162
7840 8985
18 55143
1017 57761
5290 7103
51335 4200
7132 3875
4694 4860
2932 2184
4233 10273
125919 11197
2737 23635
84647 11197
257397 23338
10670 10417
9451 84617
9988 896
481 3006
27095 3300
6129 831
10559 211
64786 2729
57154 2274
6256 3775
7764 23649
1026 993
1958 79023
2295 23321
8575 2690
4851 23224
4976 8531
64786 8644
1616 80212
384 1052
1747 10007
2810 6990
4654 10007
5430 29889
3480 79643
4728 5236
8517 5110
5468 1917
6182 10493
23476 1163
2222 3122
4297 9277
2878 835
2309 60488
79711 983
604 11098
11343 3339
5708 11004
5913 4864
2849 9943
10810 7846
873 54877
64223 55893
5347 51614
6772 10494
4998 1000
5590 5986
8803 6390
2624 1465
9156 10265
55556 55094
112858 23705
3895 3066
10352 23406
64282 23089
4016 23647
8495 6284
5689 8520
6829 6303
10972 60343
24138 79174
5832 891
9831 1465
7541 3017
670 5985
25793 1944
2954 51299
80230 11157
11113 10057
4151 2697
84961 6856
1605 7048
4609 5476
6598 2954
152687 6839
4711 79643
3385 4925
873 50814
7504 58478
55422 9093
8850 3300
4316 7103
64422 5898
222546 29978
4779 2920
659 8653
5997 54539
10049 9801
2647 51635
958 64135
23659 30001
84858 1052
8720 8508
1031 1509
8202 9429
1389 3029
7165 11098
8833 9897
51284 5588
25976 54778
6016 64167
7466 776
1287 5529
7753 10644
9276 23647
6207 4199
7264 4850
5450 4118
9406 29082
1738 57613
6566 5111
140609 22993
3612 83461
5723 10206
3932 285282
5873 2582
221895 7298
22938 5950
22809 158471
5562 64151
23011 22827
51026 10320
1062 7265
1070 10059
6256 3611
8611 51388
10127 3383
2956 7082
10654 23
1329 7358
51170 5467
6201 308
890 4331
9682 2266
30849 8872
7276 23406
3608 4830
122011 7103
1212 2961
200734 133
3155 26001
728642 5982
8732 22934
64215 80349
51635 5467
9275 8398
847 7538
64764 7167
3215 51719
93185 1465
3373 55793
6256 2770
55278 2824
204851 706
56889 1355
85442 10320
1316 672
9643 7298
57406 390
3572 7298
3958 701
5198 11004
4720 6301
10954 9023
2288 11098
2078 3930
58495 142
1455 23335
11143 5836
51599 22827
25989 56654
55120 64167
83933 230
79722 1066
10202 1808
1642 1831
5562 8884
1906 9070
10172 1738
5424 5743
10782 8985
51593 545
400 975
3909 9961
23013 23647
7538 4312
3685 4738
9653 51611
55662 9582
23492 388650
3621 9842
54555 51422
6505 5110
2203 6990
23475 1950
9375 2582
1643 79672
10616 5827
2100 55825
200879 2778
8444 2023
652 4925
5092 5525
10559 310
383 51569
2079 8607
4780 11130
9697 23786
55294 5529
324 64943
4638 57192
10465 5721
10013 5290
2266 1663
374291 6402
7128 26057
6196 23338
4200 7538
6207 23204
4072 896
9093 3945
4864 23670
6778 10923
840 23585
644 9973
6818 9787
64863 5092
537 2261
26298 79080
5699 958
161725 22827
7543 54800
1105 5255
9123 23406
1606 5331
11044 5720
22809 8895
128 10559
23097 10063
22828 55008
58495 6304
593 1475
4089 9518
5690 1465
4723 310
5590 3482
6427 642
27 9801
79947 6402
2064 7103
9817 200081
10237 23531
23139 29777
847 11157
5708 23304
3556 133
7357 23368
356 4282
9184 5901
822 3240
11105 1870
712 2673
2188 2171
51728 1066
670 23463
10559 10038
1287 7076
1009 23636
8711 891
1891 26872
9625 85236
2180 1104
5530 10493
230 1001
10525 2731
255725 958
1398 10059
3925 6909
8826 5467
7376 9143
387 375346
56675 22934
9183 6382
6772 6720
3636 3489
6419 23387
57551 10493
3665 26020
10269 80212
117196 501
3313 8243
310 5971
58495 23383
7444 3875
