"symbol"	"ensembl_gene_id"	"entrez_id"
"A1CF"	"ENSG00000148584"	29974
"A2M"	"ENSG00000175899"	2
"A2ML1"	"ENSG00000166535"	144568
"A3GALT2"	"ENSG00000184389"	127550
"AAAS"	"ENSG00000094914"	8086
"AADACL3"	"ENSG00000188984"	126767
"AADACL4"	"ENSG00000204518"	343066
"AAMDC"	"ENSG00000087884"	28971
"AASDHPPT"	"ENSG00000149313"	60496
"ABCA4"	"ENSG00000198691"	24
"ABCB10"	"ENSG00000135776"	23456
"ABCC2"	"ENSG00000023839"	1244
"ABCC8"	"ENSG00000006071"	6833
"ABCC9"	"ENSG00000069431"	10060
"ABCD2"	"ENSG00000173208"	225
"ABCD3"	"ENSG00000117528"	5825
"ABCG4"	"ENSG00000172350"	64137
"ABI1"	"ENSG00000136754"	10006
"ABL2"	"ENSG00000143322"	27
"ABLIM1"	"ENSG00000099204"	3983
"ABRAXAS2"	"ENSG00000165660"	23172
"ABTB2"	"ENSG00000166016"	25841
"ACAD8"	"ENSG00000151498"	27034
"ACADM"	"ENSG00000117054"	34
"ACADSB"	"ENSG00000196177"	36
"ACAP3"	"ENSG00000131584"	116983
"ACAT1"	"ENSG00000075239"	38
"ACBD3"	"ENSG00000182827"	64746
"ACBD5"	"ENSG00000107897"	91452
"ACBD6"	"ENSG00000230124"	84320
"ACBD6"	"ENSG00000230124"	100527964
"ACBD7"	"ENSG00000176244"	414149
"ACCS"	"ENSG00000110455"	84680
"ACCSL"	"ENSG00000205126"	390110
"ACER3"	"ENSG00000078124"	55331
"ACKR1"	"ENSG00000213088"	2532
"ACOT11"	"ENSG00000162390"	26027
"ACOT7"	"ENSG00000097021"	11332
"ACP2"	"ENSG00000134575"	53
"ACP6"	"ENSG00000162836"	51205
"ACRBP"	"ENSG00000111644"	84519
"ACRV1"	"ENSG00000134940"	56
"ACSL5"	"ENSG00000197142"	51703
"ACSM4"	"ENSG00000215009"	341392
"ACSM6"	"ENSG00000173124"	142827
"ACTA1"	"ENSG00000143632"	58
"ACTA2"	"ENSG00000107796"	59
"ACTL8"	"ENSG00000117148"	81569
"ACTN2"	"ENSG00000077522"	88
