	HGNC
0	COL2A1
1	XYLT2
2	NOTCH3
3	ATXN10
4	PANK2
5	SLC38A8
6	LMNB1
7	SERPINA6
8	DOCK6
9	MYLK2
10	TBX1
11	ZEB2
12	DNMT1
13	PDGFB
14	MASP1
15	MTHFR
16	TTR
17	HEXA
18	TRNT1
19	MMACHC
20	IFNG
21	ACKR1
22	SLC4A1
23	ACAD9
24	MUC1
25	CISD2
26	RET
27	PDGFRB
28	CHRNG
29	B2M
30	CBS
31	SGCE
32	SYNJ1
33	TP63
34	ELP4
35	PRSS56
36	PHOX2B
37	CSF1R
38	MSTO1
39	CTSF
40	FGFR1
41	AIP
42	PLA2G6
43	TGM3
44	TNNC1
45	ENAM
46	CACNA1G
47	MAGEL2
48	ARMC5
49	C19orf12
50	TWNK
51	ARCN1
52	CPOX
53	DNAJC5
54	ENPP1
55	MCCC2
56	RRM2B
57	KCNT1
58	TTC19
59	RTEL1
60	BSCL2
61	CLN6
62	KMT2D
63	ADAMTS18
64	TBP
65	ATP1A2
66	CASR
67	ATXN3
68	HMBS
69	KCTD17
70	WNT10A
71	PPP2R2B
72	CACNA1A
73	VPS13A
74	CLN3
75	APOA1
76	SLITRK1
77	COLEC11
78	PAX6
79	MYO7A
80	KCNJ2
81	GRID2
82	PIK3R1
83	GNAS
84	PSEN1
85	NOTCH2
86	USH2A
87	PPT1
88	HTT
89	EED
90	PER2
91	CYP2D6
92	DCTN1
93	TBL1XR1
94	PDCD1
95	LRRK2
96	ELP1
97	PRKAR1A
98	COL11A1
99	CHCHD2
100	PRKCG
101	CLRN1
102	PINK1
103	COASY
104	PRNP
105	GRM1
106	GFAP
107	GCH1
108	AMACR
109	SNCB
110	WFS1
111	JPH3
112	SHANK3
113	TBC1D7
114	PSEN2
115	KCND3
116	OPLAH
117	EXT1
118	ATM
119	FGF14
120	COLEC10
121	CACNA1C
122	PAH
123	COL4A1
124	PDE11A
125	HLA-DQB1
126	CSNK1D
127	AARS2
128	FXN
129	APOE
130	RP1L1
131	PRKACA
132	COX15
133	PER3
134	TH
135	NF1
136	AAGAB
137	TOR1A
138	IFT140
139	FMO3
140	FAM20C
141	HCRT
142	CAV3
143	KIF21A
144	ATP1A3
145	POLG
146	HTR2A
147	TCF4
148	SCN1A
149	SNCA
150	GJA5
151	TSC2
152	MYH7
153	SPAST
154	STXBP1
155	XPR1
156	RAI1
157	EDNRA
158	SLC20A2
159	TSC1
160	PDZD7
161	AP2S1
162	OVOL2
163	C9orf72
164	HRAS
165	MAPT
