	HGNC
0	ADCY5
1	COX10
2	SLC40A1
3	ATPAF2
4	CD36
5	MCM6
6	CPT2
7	CBL
8	DHCR7
9	HESX1
10	ESCO2
11	FKBP14
12	HPS1
13	MYOZ2
14	TTPA
15	TAPT1
16	MTTP
17	PDGFRB
18	B2M
19	BMP2
20	PPA2
21	ANK1
22	SUCLG1
23	HNF1B
24	SELENON
25	F5
26	ATP6V1A
27	COA5
28	AIP
29	PDGFRA
30	TNNC1
31	SLC22A18
32	ACAT1
33	DPM3
34	TWNK
35	ENPP1
36	F12
37	ANKS6
38	BSCL2
39	ELN
40	DMPK
41	SPEG
42	FGA
43	GFPT1
44	PYGL
45	JUP
46	AGK
47	SGCA
48	ANGPTL3
49	RYR1
50	SGCB
51	PCSK9
52	LIAS
53	COL6A3
54	CALM1
55	TTN
56	FTO
57	ALMS1
58	GALNT3
59	KRAS
60	F2
61	SLC19A2
62	LDLRAP1
63	FLAD1
64	EYA4
65	DTNA
66	CSRP3
67	GATAD1
68	PPP1R3A
69	PMM2
70	FBXL4
71	PIK3CA
72	DHFR
73	PRF1
74	DCAF17
75	SURF1
76	WT1
77	DSC2
78	ITPA
79	PNPLA8
80	LDLR
81	ABCG2
82	GHR
83	KCNH1
84	CACNA1C
85	FOXC2
86	THPO
87	AARS2
88	RSPO1
89	APOA5
90	PHKG2
91	APOE
92	SH2B3
93	ISCU
94	ABCG8
95	TNFRSF1A
96	SMARCAL1
97	ALB
98	POLG
99	ETFDH
100	HNF4A
101	AKT1
102	RAB3GAP2
103	NRAS
104	COX6B1
105	TNNI3
106	DES
107	THRA
108	CRYAB
109	AP1S1
110	PRDM16
111	MBL2
112	SARDH
113	SUCLA2
114	MRPL44
115	TANGO2
116	CENPE
117	DCAF8
118	COL6A2
119	MTHFR
120	MYO6
121	TTR
122	IFNG
123	CDKN1C
124	NDUFS2
125	WRN
126	MYPN
127	KLF1
128	FLNC
129	RAD54L
130	NBAS
131	PNPLA2
132	MYBPC3
133	FBLN5
134	STX11
135	YARS2
136	FGFR1
137	NKX2-5
138	GCDH
139	ACTN2
140	D2HGDH
141	CEP19
142	MGME1
143	BVES
144	RAF1
145	PLA2G7
146	MYL2
147	SCO2
148	MKKS
149	VPS33A
150	COL6A1
151	PCCB
152	TJP2
153	MPZ
154	PPM1D
155	TMEM126A
156	XPNPEP3
157	CALR
158	GNAS
159	IRS1
160	FECH
161	ABCC8
162	ECHS1
163	PRKAG2
164	IRS2
165	MYH9
166	MEF2A
167	CNBP
168	TMEM199
169	PAX4
170	FKRP
171	DNAJB6
172	CIDEC
173	HAMP
174	CTSD
175	CDH1
176	FKTN
177	MAPK8IP1
178	LEMD2
179	SLC30A10
180	ANGPTL4
181	MGP
182	PRKN
