	HGNC
0	OCLN
1	CCL5
2	CD40
3	CX3CR1
4	EDAR
5	KCNA1
6	NRXN1
7	TCF4
8	PROM1
9	IL6
10	IL1RN
11	IKZF1
12	MOG
13	UBTF
14	DOCK8
15	CFB
16	GFI1
17	SUMO4
18	NHEJ1
19	CXCR4
20	ISG15
21	LMNB1
22	LAMA3
23	CTPS1
24	IL10
25	POLE
26	TBCK
27	DCLRE1C
28	LAMB2
29	PSMC3IP
30	SOX2
31	CCL2
32	SNRPB
33	ZAP70
34	TNFRSF1A
35	PSEN1
36	SERPINA1
37	IGLL1
38	CR1
39	NFKB2
40	CD8A
41	CR2
42	CARD11
43	ITGB6
44	RAG2
45	TREX1
46	FCGR2B
47	EPO
48	IFNGR2
49	LRP2
50	CD55
51	MYO5B
52	SAG
53	NPM1
54	DSG1
55	TIRAP
56	BIN1
57	ERCC3
58	IRF5
59	RFX5
60	EGR2
61	RFXANK
62	CHRNG
63	CHUK
64	CASP10
65	FCGR3A
66	SLC5A5
67	MSH2
68	BSG
69	CDCA7
70	CD247
71	MYD88
72	LMF1
73	SEMA7A
74	ITGB3
75	GRM1
76	LAT
77	COL4A3
78	ADRB1
79	CAST
80	DYSF
81	LARP7
82	STAT1
83	BMP2
84	VPS45
85	NKX2-5
86	AIRE
87	RNASEH1
88	NOD2
89	LAMA4
90	PMS2
91	TNPO3
92	HAX1
93	CXCL12
94	AGTR1
95	LYST
96	ACP5
97	SPINK5
98	FOXN1
99	PDCD1
100	IL1B
101	EED
102	CXCR1
103	STAT3
104	GPI
105	GAD1
106	STK4
107	CD19
108	CD81
109	GLRA1
110	HCRT
111	KMT2D
112	SNRPE
113	NR5A1
114	CAV1
115	NBN
116	BLNK
117	CASP8
118	OTULIN
119	DLAT
120	TLR5
121	IFIH1
122	PCNA
123	SLC29A3
124	FLT3
125	SLC35C1
126	TSHR
127	FCN3
128	PROS1
129	LAMTOR2
130	MYC
131	TAP1
132	HNF1A
133	PIK3CD
134	RFXAP
135	PACS1
136	SP110
137	STAT2
138	PGM3
139	GPHN
140	AICDA
141	IRGM
142	CREBBP
143	IFNGR1
144	TNFSF11
145	CD3D
146	TNFAIP3
147	BCL11B
148	LRBA
149	AP3B1
150	FAS
151	PIK3R2
152	TNFRSF13C
153	UNC119
154	ZBTB24
155	RNASEH2A
156	PRKAR1A
157	BLK
158	TBX21
159	TRAF3IP2
160	LMNA
161	TGM6
162	HOMER2
163	LIG1
164	PRF1
165	MMP9
166	TBK1
167	DSG4
168	SRP72
169	CFHR3
170	IL7R
171	CTSC
172	PTEN
173	LCK
174	CYP2B6
175	RORC
176	RAC2
177	CTLA4
178	CDSN
179	IRF8
180	CD27
181	PLCG2
182	RAD50
183	KCNMB1
184	ERCC2
185	RELB
186	ADIPOQ
187	CD3G
188	LBR
189	CEL
190	TOE1
191	ELANE
192	COL7A1
193	AK2
194	EPG5
195	TGFB1
196	LIG4
197	BCL10
198	CORO1A
199	CD207
200	NFKBIA
201	SAMHD1
202	RPSA
203	CAPN5
204	FTCD
205	C1S
206	UNG
207	CCL11
208	CSF2RB
209	FADD
210	NT5E
211	IL21
212	DSP
213	ORAI1
214	CALR
215	SMARCB1
216	GUSB
217	PTPRC
218	CD44
219	MYO5A
220	KCNJ11
221	KMT2A
222	PNP
223	ESR1
224	CCR5
225	TERT
226	VDR
227	CDH1
228	ALG12
229	XRCC4
230	LEP
231	RNF168
232	ACKR1
233	CTSK
234	KLHL7
235	IL12RB1
236	FOXE1
237	CD209
238	SLC19A2
239	IL12B
240	NOS2
241	TRIP11
242	BLOC1S6
243	POU1F1
244	NLRP1
245	C5
246	MBL2
247	CLEC7A
248	SMARCAL1
249	PMP22
250	ETV6
251	ATM
252	POLR3A
253	WFS1
254	VEGFA
255	MAD1L1
256	CYP17A1
257	MCM4
258	MALT1
259	MTOR
260	RUNX1
261	PPARG
262	POP1
263	DST
264	TG
265	CD36
266	NFKB1
267	MERTK
268	IL17F
269	GRIN1
270	LEMD3
271	BANF1
272	BAX
273	TRNT1
274	A4GALT
275	LAMB3
276	RAG1
277	ADA2
278	TARDBP
279	TYROBP
280	ELN
281	ADA
282	PSMB8
283	AVP
284	RBCK1
285	TLR3
286	C1QA
287	DOCK2
288	IFNAR2
289	DNMT3B
290	IL4R
291	STX1B
292	IL23R
293	ECM1
294	CNTN2
295	CRYAB
296	ITCH
297	NTRK1
298	CYP7B1
299	COL2A1
300	FASLG
301	JAK3
302	PDGFRB
303	TNFRSF4
304	PIK3R1
305	COL17A1
306	B2M
307	STXBP1
308	TFRC
309	AP3D1
310	SEPSECS
311	HELLS
312	MS4A1
313	CFD
314	CYP26B1
315	HIVEP2
316	CD4
317	PAX8
318	CD3E
319	HFE
320	VPS53
321	CD79B
322	STAT5B
323	FBN1
324	ICOS
325	COPA
326	PRKCD
327	LRP4
328	RBPJ
329	TNFRSF13B
330	GFPT1
331	RTEL1
332	ADAM17
333	PSEN2
334	TP53
335	TYK2
336	IL17RA
337	STIM1
338	WIPF1
339	SEMA4A
340	APOE
341	TGFB2
342	IRAK4
343	TTC7A
344	NRAS
345	ZMPSTE24
346	CARD9
347	KRAS
348	IL21R
349	AKT1
350	PRKDC
351	ADAMTS13
352	ITK
353	IRF7
354	LDLR
355	GATA2
356	SLC26A4
357	TPO
358	CIITA
359	CACNA1A
360	LPL
361	IKBKB
362	CACNB2
363	TGM1
364	FGF10
365	ITGB2
366	COG6
367	CHRNA1
368	IL2RA
369	TSHB
370	SHH
371	IFNG
372	NCF1
373	NSMCE3
