	HGNC
0	AUTS2
1	FIG4
2	NOTCH3
3	IDUA
4	AASS
5	SPART
6	PANK2
7	TKT
8	SLC25A13
9	TBX1
10	APP
11	SOBP
12	PDE4D
13	DNMT1
14	PDGFB
15	PRDM8
16	ARG1
17	CSNK2A1
18	HIVEP2
19	GCSH
20	MTHFR
21	GABRB3
22	ATR
23	HEXA
24	NPC1
25	RAD21
26	MMACHC
27	IFNG
28	CDKN1C
29	ANKRD11
30	TRIO
31	CC2D1A
32	HNRNPK
33	DPP6
34	GLDC
35	GNS
36	PPOX
37	FTL
38	NOTCH1
39	IGF1
40	ACTB
41	SATB2
42	PDGFRB
43	MANBA
44	GATAD2B
45	HGSNAT
46	ATXN2
47	UBE3A
48	PKLR
49	SGCE
50	ERBB2
51	MYT1L
52	ZMYND11
53	CIC
54	ALDH5A1
55	NIPBL
56	TGFB1
57	CES1
58	PIEZO2
59	PLA2G6
60	THRB
61	SPR
62	D2HGDH
63	ADNP
64	EHMT1
65	NAGLU
66	OXCT1
67	C19orf12
68	EPCAM
69	TWNK
70	DEPDC5
71	GRIN2B
72	POGZ
73	KCNT1
74	TTC19
75	TTI2
76	BSCL2
77	CLN6
78	CTNNB1
79	GSS
80	TBP
81	NALCN
82	KMT2A
83	ATXN3
84	ATL1
85	SETBP1
86	HMBS
87	PUS1
88	ACTG2
89	HERC2
90	DNAJC6
91	CACNA1A
92	DRD5
93	VPS13A
94	CLN3
95	SLC6A3
96	PPM1D
97	SLITRK1
98	PAX6
99	MYO7A
100	NFIA
101	SLC6A19
102	DLD
103	SOST
104	SLC1A4
105	GNAS
106	EPM2A
107	PSEN1
108	SHOC2
109	HEXB
110	SPINK5
111	HTT
112	KIF11
113	ABCC8
114	CORO1A
115	SETD2
116	SLC7A7
117	TNIK
118	NHLRC1
119	WDR62
120	APC2
121	XRCC1
122	TSHR
123	DCAF17
124	PRKAR1A
125	DPYD
126	CD55
127	VAPB
128	PINK1
129	NBN
130	NAGS
131	GRIN2A
132	YME1L1
133	ZIC1
134	AGA
135	CLPB
136	ATP2A2
137	PRNP
138	CNTNAP2
139	SLC12A6
140	SPTAN1
141	SCN8A
142	FOXP1
143	TUBB4A
144	WFS1
145	PARK7
146	TAF6
147	DYRK1A
148	SHANK3
149	TBC1D7
150	TRAPPC9
151	ITM2B
152	ERCC4
153	ASPM
154	DHTKD1
155	SPRED1
156	PRODH
157	CRBN
158	ACY1
159	PAH
160	PDE11A
161	NTRK1
162	MEF2C
163	CHKB
164	FXN
165	YWHAG
166	ACADS
167	TYROBP
168	LGI1
169	RPS19
170	UQCC2
171	DENND5A
172	ANK3
173	PNKP
174	APOE
175	AUH
176	ATP13A2
177	TH
178	NF1
179	CCBE1
180	WAC
181	PIGY
182	TOR1A
183	GNB1
184	NPC2
185	SGSH
186	HCRT
187	CSTB
188	GNB5
189	POLG
190	HTR2A
191	ZFYVE26
192	XPC
193	GPR88
194	SIN3A
195	SCN1A
196	ADSL
197	TSC2
198	DRD4
199	CFH
200	ASS1
201	GLRB
202	INPP5E
203	XPR1
204	SRCAP
205	CHD2
206	RAI1
207	SLC20A2
208	TSC1
209	C9orf72
210	IMPA1
211	MAPT
