	HGNC
0	TREX1
1	CR1
2	RTEL1
3	JAK3
4	RELB
5	PSEN1
6	CNTN2
7	MYO5A
8	CDCA7
9	BANF1
10	RAD50
11	AK2
12	ADRB1
13	KCNMB1
14	IL23R
15	CSF2RB
16	FERMT3
17	CYP26B1
18	CCL11
19	NBN
20	LDLR
21	ITGB3
22	BLOC1S6
23	CTLA4
24	EED
25	CYP17A1
26	COL7A1
27	LAMA4
28	SHH
29	CD4
30	TSHR
31	C1S
32	PMS2
33	ADAMTS13
34	RORC
35	PSEN2
36	NTRK1
37	CXCL12
38	BSG
39	PRKAR1A
40	STAT5B
41	CD40
42	IFNG
43	CCL2
44	IRF7
45	SLC29A3
46	ORAI1
47	UNG
48	CIITA
49	C1QC
50	LCK
51	IFIH1
52	HCRT
53	FCGR2B
54	SLC26A4
55	SMARCB1
56	LMNB1
57	HFE
58	CHRNA1
59	CTSK
60	HIVEP2
61	FOXN1
62	RNASEH1
63	CORO1A
64	MALT1
65	CACNB2
66	NSMCE3
67	KMT2A
68	ACKR1
69	CD27
70	WFS1
71	IL17F
72	CD207
73	LBR
74	CARD14
75	CX3CR1
76	TGM1
77	TARDBP
78	AGTR1
79	CD19
80	HELLS
81	POLE
82	SLC19A2
83	TERT
84	MAN2B1
85	SNRPB
86	KLHL7
87	SPINK5
88	MSMO1
89	C1QA
90	GFPT1
91	TPO
92	MYO5B
93	CD44
94	DLAT
95	IFNAR2
96	LMNA
97	TGM6
98	PRF1
99	ESR1
100	CEL
101	PGM3
102	GLRA1
103	RNF168
104	IL10
105	TAP1
106	ADIPOQ
107	TYROBP
108	A4GALT
109	NHEJ1
110	BCL10
111	TFRC
112	NR5A1
113	LPL
114	FTCD
115	CHRNG
116	PROM1
117	STXBP1
118	BLNK
119	IL12B
120	VPS45
121	CHUK
122	CD3E
123	CALR
124	ITCH
125	AIRE
126	NRAS
127	ITGB6
128	TLR3
129	STAT1
130	MERTK
131	ISG15
132	EGR2
133	RAG1
134	MYC
135	STK4
136	FOXE1
137	COL17A1
138	FCN3
139	AICDA
140	DNMT3B
141	CFI
142	FBN1
143	RNASEH2A
144	POU1F1
145	ADA2
146	NFKBIA
147	SNRPE
148	CD3G
149	PLCG2
150	SAMHD1
151	HOMER2
152	CTPS1
153	MSH2
154	GRM1
155	IKZF1
156	ALG12
157	GAD1
158	OCLN
159	RAG2
160	LRP2
161	PMP22
162	CD81
163	LAT
164	CAST
165	CYP2B6
166	SERPINA1
167	NT5E
168	CARD11
169	LEMD3
170	IFNGR1
171	CCL5
172	TNFAIP3
173	ZBTB24
174	PSMB8
175	FASLG
176	SEPSECS
177	C3
178	TNFSF11
179	BLK
180	PDCD1
181	SAG
182	DYSF
183	IFNGR2
184	POP1
185	COL2A1
186	DSG1
187	CD3D
188	B2M
189	DOCK8
190	CARD9
191	FAS
192	TTC7A
193	IL21
194	ADAM17
195	IL1RN
196	CFTR
197	KRAS
198	VDR
199	GFI1
200	CD36
201	DCLRE1C
202	MS4A1
203	SOX2
204	PIK3R2
205	ADA
206	CRYAB
207	WIPF1
208	LIG1
209	KCNA1
210	FADD
211	CFD
212	ITGB2
213	CD55
214	STIM1
215	LIG4
216	OTULIN
217	IL6
218	PTPRC
219	IL12RB1
220	TBK1
221	TGFB1
222	TP53
223	STAT3
224	TRNT1
225	FLT3
