GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 74035 -2.3724 0.99116
105378580 1 803398 805130 4 2 74035 -1.3144 0.90564
148398 1 925741 944581 51 16 74035 -3.9895 0.99997
26155 1 944203 959299 41 9 74035 -2.4584 0.99302
339451 1 959952 965720 15 3 74035 -2.1607 0.98464
84069 1 966497 975108 24 10 74035 -2.669 0.9962
84808 1 975199 982117 20 5 74035 -1.2349 0.89157
57801 1 998962 1001285 11 3 74035 -0.92631 0.82286
9636 1 1013467 1014540 2 1 74035 0.45607 0.32417
375790 1 1020101 1056119 104 15 74035 -2.2535 0.98789
105369174 1 1061207 1066390 10 5 74035 -2.4298 0.99245
105378948 1 1065635 1069326 8 3 74035 -1.3696 0.91459
401934 1 1071746 1074307 5 2 74035 -1.0276 0.84792
54991 1 1081818 1116356 110 14 74035 -0.52176 0.69908
254173 1 1173898 1197935 137 20 74035 -2.5346 0.99437
8784 1 1203508 1206709 10 2 74035 -0.46222 0.67804
7293 1 1211326 1214638 8 3 74035 -1.056 0.85452
51150 1 1216908 1232067 86 5 74035 -1.3441 0.91054
126792 1 1232249 1235041 6 2 74035 0.52253 0.30065
388581 1 1242446 1247218 13 3 74035 -0.4263 0.66505
118424 1 1253912 1273854 40 7 74035 -1.7328 0.95843
6339 1 1280415 1292029 40 14 74035 -2.2377 0.98738
116983 1 1292384 1307925 41 10 74035 -1.1936 0.88368
126789 1 1308571 1311677 4 2 74035 0.037749 0.48494
54973 1 1311585 1324687 17 6 74035 -0.40491 0.65723
80772 1 1324756 1328896 10 2 74035 0.0093383 0.49627
83756 1 1328999 1335320 21 7 74035 -1.1804 0.88108
1855 1 1335278 1349158 29 8 74035 -1.1388 0.8726
54587 1 1352689 1363541 30 5 74035 -0.49908 0.69114
54998 1 1373730 1375438 8 4 74035 -0.86344 0.80605
81669 1 1385711 1399338 21 7 74035 -0.80124 0.7885
55052 1 1401896 1407834 15 6 74035 -0.95956 0.83136
441869 1 1418420 1421820 10 4 74035 -1.5224 0.93604
643965 1 1426128 1427787 8 3 74035 -1.3272 0.90777
64856 1 1435523 1442882 14 4 74035 -1.4274 0.92327
219293 1 1441301 1470158 85 14 74035 -1.9029 0.97147
83858 1 1471732 1509479 89 21 74035 -1.7572 0.96056
55210 1 1512143 1534687 78 13 74035 -1.4433 0.92553
339453 1 1534778 1540360 12 7 74035 -1.9685 0.9755
29101 1 1541673 1574882 91 11 74035 -1.568 0.94156
643988 1 1598008 1600096 2 1 74035 -2.2416 0.98751
142678 1 1614975 1630610 36 8 74035 -3.24 0.9994
984 1 1635226 1659839 33 6 74035 -2.1455 0.98404
728661 1 1660025 1692804 73 17 74035 -3.4323 0.9997
728642 1 1702730 1724352 67 5 74035 -1.1848 0.88195
9906 1 1724838 1745999 62 11 74035 -1.4686 0.92903
65220 1 1751232 1780514 63 9 74035 -0.16281 0.56466
2782 1 1785285 1891117 154 23 74035 -0.29087 0.61442
105378949 1 1885960 1893010 14 7 74035 -0.37889 0.64762
163688 1 1913752 1917294 13 3 74035 -0.93974 0.82632
339456 1 1917589 1919301 5 2 74035 -1.1587 0.87671
