GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 35668 -2.5992 0.99533
105378580 1 803398 805130 4 2 35668 -0.59806 0.7251
148398 1 925741 944581 51 16 35668 -2.5432 0.99451
26155 1 944203 959299 41 9 35668 -1.5056 0.93391
339451 1 959952 965720 15 3 35668 -1.372 0.91496
84069 1 966497 975108 24 10 35668 -2.07 0.98077
84808 1 975199 982117 20 5 35668 -2.6535 0.99602
57801 1 998962 1001285 11 3 35668 -2.4384 0.99262
9636 1 1013467 1014540 2 1 35668 -1.2314 0.89091
375790 1 1020101 1056119 105 15 35668 -3.0223 0.99875
105369174 1 1061207 1066390 10 5 35668 -1.2738 0.89863
105378948 1 1065635 1069326 8 3 35668 -0.52785 0.7012
401934 1 1071746 1074307 5 2 35668 -0.58715 0.72145
54991 1 1081818 1116356 110 14 35668 -1.3841 0.91684
254173 1 1173898 1197935 137 20 35668 -0.63867 0.73848
8784 1 1203508 1206709 10 2 35668 -1.316 0.90591
7293 1 1211326 1214638 8 3 35668 0.15329 0.43909
51150 1 1216908 1232067 86 5 35668 0.044407 0.48229
126792 1 1232249 1235041 6 2 35668 -0.22117 0.58752
388581 1 1242446 1247218 13 3 35668 -0.80109 0.78846
118424 1 1253912 1273854 40 7 35668 -1.4298 0.92361
6339 1 1280415 1292029 40 14 35668 -1.9266 0.97299
116983 1 1292384 1307925 42 10 35668 -0.11489 0.54573
126789 1 1308571 1311677 4 2 35668 -0.13909 0.55531
54973 1 1311585 1324687 17 6 35668 -0.071654 0.52856
80772 1 1324756 1328896 10 2 35668 -0.71484 0.76265
83756 1 1328999 1335320 21 7 35668 0.21214 0.416
1855 1 1335278 1349158 29 8 35668 0.33429 0.36908
54587 1 1352689 1363541 30 5 35668 -0.43791 0.66927
54998 1 1373730 1375438 8 4 35668 0.31602 0.376
81669 1 1385711 1399338 21 7 35668 -0.1603 0.56368
55052 1 1401896 1407834 15 6 35668 -0.21976 0.58697
441869 1 1418420 1421820 10 4 35668 -0.45011 0.67368
643965 1 1426128 1427787 8 3 35668 0.19487 0.42275
64856 1 1435523 1442882 14 4 35668 1.6313 0.051419
219293 1 1441301 1470158 85 14 35668 1.94 0.026192
83858 1 1471732 1509479 89 21 35668 0.01931 0.4923
55210 1 1512143 1534687 78 13 35668 0.84009 0.20043
339453 1 1534778 1540360 12 7 35668 0.84979 0.19772
29101 1 1541673 1574882 91 11 35668 1.6638 0.048078
643988 1 1598008 1600096 2 1 35668 -1.366 0.91403
142678 1 1614975 1630610 36 8 35668 -2.4329 0.99251
984 1 1635226 1659839 33 6 35668 -2.0591 0.98026
728661 1 1660025 1692804 73 17 35668 0.00029591 0.49988
728642 1 1702730 1724352 67 5 35668 0.026239 0.48953
9906 1 1724838 1745999 62 11 35668 1.7201 0.042711
65220 1 1751232 1780514 63 9 35668 2.7792 0.0027247
2782 1 1785285 1891117 154 23 35668 2.9603 0.0015365
105378949 1 1885960 1893010 14 7 35668 2.9395 0.0016435
163688 1 1913752 1917294 13 3 35668 3.0186 0.0012699
339456 1 1917589 1919301 5 2 35668 0.71535 0.2372
85452 1 1921951 2003837 312 26 35668 3.0746 0.0010538
2563 1 2019329 2030753 27 6 35668 0.2266 0.41037
5590 1 2050470 2185395 379 30 35668 -2.1837 0.98551
100506504 1 2181811 2184360 4 2 35668 -1.6957 0.95502
199990 1 2184460 2212720 46 10 35668 -1.4847 0.93119
105378592 1 2208942 2215211 17 8 35668 -2.4357 0.99257
6497 1 2228695 2310213 231 45 35668 -1.0949 0.86321
105378594 1 2280383 2284676 13 5 35668 -0.74696 0.77246
79906 1 2321253 2391751 282 34 35668 0.66484 0.25308
11079 1 2391314 2405444 34 11 35668 -0.73205 0.76793
5192 1 2404802 2413780 22 8 35668 -0.401 0.65579
9651 1 2415782 2505530 306 48 35668 0.081742 0.46743
55229 1 2508531 2526628 39 6 35668 1.526 0.063503
388585 1 2528745 2530245 3 2 35668 0.11258 0.45518
8764 1 2556365 2565622 19 6 35668 -0.8137 0.79209
127281 1 2586460 2591469 9 3 35668 -0.39041 0.65189
79258 1 2590639 2633042 146 10 35668 0.21121 0.41636
100287898 1 2636988 2789665 85 13 35668 -1.0512 0.85342
140625 1 3021482 3022903 4 2 35668 -0.19844 0.57865
63976 1 3068227 3438621 1321 167 35668 -1.604 0.94564
27237 1 3454583 3481115 87 12 35668 -1.4848 0.93121
1953 1 3487942 3624757 543 86 35668 -1.2155 0.88791
127262 1 3624992 3630131 12 4 35668 -0.77614 0.78117
49856 1 3630767 3650107 31 10 35668 -1.6747 0.953
7161 1 3652565 3736201 279 53 35668 -1.3065 0.9043
148870 1 3752398 3771645 60 14 35668 -0.90863 0.81823
388588 1 3772761 3775982 11 5 35668 0.22278 0.41185
57470 1 3780220 3796504 80 16 35668 0.1426 0.4433
9731 1 3812081 3857387 276 16 35668 -0.6198 0.7323
1677 1 3857143 3885429 157 22 35668 0.17414 0.43088
339448 1 3889133 3900293 41 8 35668 -0.23721 0.59375
55966 1 4655045 4792534 648 84 35668 0.5998 0.27432
261734 1 5862808 5992505 377 21 35668 -1.5154 0.93517
8514 1 5992298 6101193 294 46 35668 -1.3472 0.91104
26038 1 6101787 6180134 265 32 35668 -0.58315 0.7201
6146 1 6185020 6199619 35 7 35668 -0.88378 0.81159
388591 1 6205775 6221299 32 5 35668 -0.39221 0.65255
23463 1 6221193 6235984 27 6 35668 -0.46744 0.67991
390992 1 6244158 6245578 2 1 35668 0.56484 0.28609
