GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.064514 0.52572
105378580 1 803398 805130 4 2 337119 -0.025563 0.5102
148398 1 925741 944581 54 17 337119 -0.3186 0.62498
26155 1 944203 959299 49 8 337119 -0.018857 0.50752
339451 1 959952 965720 17 4 337119 -0.42055 0.66296
84069 1 966497 975108 29 13 337119 -0.084962 0.53385
84808 1 975199 982117 22 6 337119 -1.057 0.85475
57801 1 998962 1001285 12 4 337119 -1.7042 0.95583
9636 1 1013467 1014540 5 2 337119 -0.015321 0.50611
375790 1 1020101 1056119 115 16 337119 -0.60553 0.72759
105369174 1 1061207 1066390 10 5 337119 -0.60304 0.72676
105378948 1 1065635 1069326 10 3 337119 1.0302 0.15145
401934 1 1071746 1074307 6 2 337119 0.91339 0.18052
54991 1 1081818 1116356 114 14 337119 0.16936 0.43276
254173 1 1173898 1197935 143 20 337119 0.60717 0.27187
8784 1 1203508 1206709 10 2 337119 -0.66019 0.74543
7293 1 1211326 1214638 8 3 337119 0.17975 0.42867
51150 1 1216908 1232067 93 6 337119 0.15757 0.4374
126792 1 1232249 1235041 7 2 337119 0.024452 0.49025
388581 1 1242446 1247218 13 3 337119 0.66083 0.25436
118424 1 1253912 1273854 42 7 337119 0.93861 0.17397
6339 1 1280415 1292029 43 15 337119 0.60532 0.27248
116983 1 1292384 1307925 43 10 337119 2.4028 0.0081361
126789 1 1308571 1311677 5 3 337119 2.8228 0.0023804
54973 1 1311585 1324687 19 6 337119 2.5921 0.0047701
80772 1 1324756 1328896 10 2 337119 2.0068 0.022384
83756 1 1328999 1335320 26 8 337119 2.0089 0.022274
1855 1 1335278 1349158 34 9 337119 2.4569 0.0070064
54587 1 1352689 1363541 36 6 337119 2.3224 0.010107
54998 1 1373730 1375438 8 4 337119 2.8211 0.002393
81669 1 1385711 1399338 21 7 337119 2.8848 0.0019585
55052 1 1401896 1407834 15 6 337119 2.8213 0.0023913
441869 1 1418420 1421820 10 4 337119 2.5318 0.0056733
643965 1 1426128 1427787 8 3 337119 3.5742 0.00017564
64856 1 1435523 1442882 15 4 337119 2.9455 0.0016119
219293 1 1441301 1470158 88 15 337119 2.4793 0.0065829
83858 1 1471732 1509479 90 21 337119 2.7849 0.0026775
55210 1 1512143 1534687 80 13 337119 1.7665 0.038656
339453 1 1534778 1540360 12 7 337119 1.4059 0.07987
29101 1 1541673 1574882 93 11 337119 1.9276 0.02695
643988 1 1598008 1600096 2 1 337119 0.086477 0.46554
142678 1 1614975 1630610 39 9 337119 -0.08929 0.53557
984 1 1635226 1659839 33 6 337119 -0.87973 0.8105
728661 1 1660025 1692804 75 16 337119 -1.6313 0.94859
728642 1 1702730 1724352 68 5 337119 -0.7852 0.78383
9906 1 1724838 1745999 64 11 337119 -0.27371 0.60785
65220 1 1751232 1780514 68 10 337119 0.48954 0.31223
2782 1 1785285 1891117 160 23 337119 -0.0045719 0.50182
105378949 1 1885960 1893010 14 7 337119 -0.11538 0.54593
163688 1 1913752 1917294 13 3 337119 0.48451 0.31401
339456 1 1917589 1919301 6 3 337119 0.29314 0.38471
85452 1 1921951 2003837 329 27 337119 0.71274 0.238
2563 1 2019329 2030753 29 7 337119 0.48559 0.31363
5590 1 2050470 2185395 400 32 337119 2.4212 0.0077339
100506504 1 2181811 2184360 4 2 337119 0.56813 0.28497
199990 1 2184460 2212720 52 12 337119 3.4546 0.00027554
105378592 1 2208942 2215211 19 9 337119 2.7857 0.0026708
6497 1 2228695 2310213 240 46 337119 2.4018 0.0081568
105378594 1 2280383 2284676 14 5 337119 -0.7924 0.78594
79906 1 2321253 2391751 302 38 337119 2.3855 0.0085271
11079 1 2391314 2405444 37 11 337119 2.3315 0.0098642
5192 1 2404802 2413780 26 9 337119 1.1644 0.12212
9651 1 2415782 2505530 321 46 337119 1.1666 0.12169
55229 1 2508531 2526628 40 6 337119 1.3644 0.086228
388585 1 2528745 2530245 3 2 337119 -0.6148 0.73066
8764 1 2556365 2565622 23 5 337119 1.4887 0.068277
127281 1 2586460 2591469 11 4 337119 1.7813 0.037432
79258 1 2590639 2633042 149 10 337119 1.7194 0.042768
100287898 1 2636988 2789665 89 13 337119 3.6311 0.00014109
140625 1 3021482 3022903 4 2 337119 -0.83651 0.79857
63976 1 3068227 3438621 1383 172 337119 2.2331 0.01277
27237 1 3454583 3481115 91 13 337119 -0.078884 0.53144
1953 1 3487942 3624757 572 88 337119 -0.79678 0.78721
127262 1 3624992 3630131 13 5 337119 -1.1235 0.86938
49856 1 3630767 3650107 32 10 337119 -1.402 0.91954
7161 1 3652565 3736201 295 54 337119 -1.7984 0.96395
148870 1 3752398 3771645 67 15 337119 1.3096 0.095174
388588 1 3772761 3775982 12 5 337119 -0.47907 0.68406
57470 1 3780220 3796504 80 16 337119 0.90581 0.18252
9731 1 3812081 3857387 284 18 337119 1.3844 0.083115
1677 1 3857143 3885429 163 23 337119 0.4478 0.32715
339448 1 3889133 3900293 41 8 337119 -0.29337 0.61538
55966 1 4655045 4792534 669 86 337119 -0.67593 0.75046
261734 1 5862808 5992505 393 22 337119 -0.15713 0.56243
8514 1 5992298 6101193 304 48 337119 1.937 0.026371
26038 1 6101787 6180134 273 33 337119 1.9135 0.027839
6146 1 6185020 6199619 35 7 337119 -0.079633 0.53174
388591 1 6205775 6221299 34 5 337119 -1.7668 0.96137
23463 1 6221193 6235984 28 6 337119 -0.71809 0.76365
390992 1 6244158 6245578 2 1 337119 -0.45567 0.67568
387509 1 6247346 6260990 36 3 337119 -1.1873 0.88245
11332 1 6264272 6393766 409 26 337119 0.22454 0.41117
54626 1 6415232 6424664 30 6 337119 -0.052946 0.52111
83715 1 6424776 6460944 104 12 337119 0.17787 0.42941
8718 1 6461151 6466195 13 5 337119 -0.05881 0.52345
57449 1 6466092 6520061 139 25 337119 -0.16742 0.56648
79707 1 6521347 6554598 101 3 337119 -0.4326 0.66735
80835 1 6555278 6579757 42 8 337119 -0.34495 0.63493
3104 1 6579991 6589280 9 4 337119 1.4312 0.076187
9903 1 6590724 6602898 30 9 337119 1.714 0.043268
148479 1 6613696 6624033 18 4 337119 1.5222 0.063975
90326 1 6624865 6635586 33 7 337119 0.81437 0.20772
55735 1 6634168 6701906 144 18 337119 1.2218 0.11089
23261 1 6785324 7769706 2727 225 337119 -0.080205 0.53196
9341 1 7771269 7781432 33 9 337119 1.0833 0.13933
8863 1 7784380 7845181 215 27 337119 0.087051 0.46532
10911 1 7847612 7913610 303 28 337119 0.15103 0.43998
3604 1 7915871 7943165 54 8 337119 0.22697 0.41022
11315 1 7961654 7985283 50 10 337119 0.29385 0.38443
54206 1 8011719 8026333 23 5 337119 0.42387 0.33583
50651 1 8318085 8344167 82 14 337119 -0.32338 0.6268
473 1 8352404 8817691 684 29 337119 0.54816 0.29179
2023 1 8861000 8879092 25 5 337119 0.82484 0.20473
765 1 8945785 8975092 117 26 337119 -0.20178 0.57996
155184 1 8960853 9026384 218 55 337119 -0.066351 0.52645
6518 1 9036943 9071704 96 14 337119 -1.2596 0.89609
80045 1 9103391 9129170 60 10 337119 -1.0881 0.86172
9563 1 9234776 9271337 98 19 337119 -0.10862 0.54325
80176 1 9292882 9369532 329 48 337119 -0.2053 0.58133
84275 1 9539469 9582773 60 9 337119 -0.15496 0.56157
199953 1 9588853 9614877 37 8 337119 0.17959 0.42874
5293 1 9629889 9729114 200 36 337119 0.32407 0.37294
22883 1 9729021 9824526 130 17 337119 -0.19047 0.57553
56998 1 9848276 9910258 74 13 337119 -0.031009 0.51237
84328 1 9922110 9943402 44 10 337119 -1.5142 0.93501
64802 1 9942923 9985501 88 14 337119 -0.87804 0.81004
105376719 1 9996423 9998089 10 3 337119 -1.2429 0.89306
116362 1 9997197 10016020 36 5 337119 -0.65663 0.74429
10277 1 10032983 10181239 307 18 337119 -0.61983 0.73232
23095 1 10210706 10381603 522 17 337119 -0.20635 0.58174
5226 1 10398992 10420511 50 8 337119 -0.27487 0.60829
378708 1 10430102 10442815 37 5 337119 -0.28369 0.61168
100526739 1 10430102 10452003 56 8 337119 -0.59861 0.72528
1325 1 10449719 10452003 5 2 337119 -0.46714 0.6798
1676 1 10460531 10472556 18 5 337119 -0.6161 0.73109
5195 1 10474946 10630758 368 29 337119 0.53884 0.295
54897 1 10636604 10796676 432 89 337119 2.3034 0.010627
148345 1 10946473 10982037 125 18 337119 -1.2917 0.90177
23435 1 11012622 11025492 22 4 337119 0.39394 0.34681
10747 1 11026523 11047239 56 7 337119 -0.24237 0.59575
6723 1 11054592 11060034 7 2 337119 -0.70351 0.75913
5394 1 11066613 11099910 95 6 337119 -0.95882 0.83118
2475 1 11106531 11262557 339 11 337119 -1.3501 0.91151
10218 1 11189289 11195981 15 3 337119 -1.0608 0.8556
29914 1 11273198 11296595 35 6 337119 -0.80033 0.78824
57540 1 11479238 11537583 150 16 337119 -1.7321 0.95837
26232 1 11648361 11654831 22 12 337119 -0.512 0.69567
93611 1 11654375 11663327 24 8 337119 -0.14906 0.55925
26270 1 11664093 11674354 34 10 337119 0.065687 0.47381
10459 1 11674480 11691788 65 14 337119 1.0912 0.13759
374946 1 11686647 11720612 104 22 337119 0.37217 0.35488
57085 1 11735474 11750771 38 9 337119 -0.27031 0.60654
284498 1 11762183 11789585 149 11 337119 1.0028 0.15798
4524 1 11785730 11806103 78 11 337119 1.8691 0.030805
1185 1 11806096 11843144 194 15 337119 2.2127 0.013458
4878 1 11845709 11847783 15 4 337119 0.40598 0.34238
90231 1 11919588 11926428 21 7 337119 0.54132 0.29414
