GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 34652 -0.82715 0.79592
105378580 1 803398 805130 4 2 34652 -0.41284 0.66014
148398 1 925741 944581 57 18 34652 0.87597 0.19052
26155 1 944203 959299 50 8 34652 0.072883 0.47095
339451 1 959952 965720 17 4 34652 -0.70055 0.75821
84069 1 966497 975108 28 12 34652 0.58421 0.27954
84808 1 975199 982117 22 6 34652 0.35865 0.35993
57801 1 998962 1001285 12 4 34652 0.23242 0.40811
9636 1 1013467 1014540 6 2 34652 -0.2224 0.588
375790 1 1020101 1056119 114 15 34652 -1.1214 0.86895
105369174 1 1061207 1066390 10 5 34652 0.34744 0.36413
105378948 1 1065635 1069326 10 3 34652 0.45713 0.32379
401934 1 1071746 1074307 6 2 34652 0.30886 0.37871
54991 1 1081818 1116356 115 15 34652 -0.15122 0.5601
254173 1 1173898 1197935 143 20 34652 3.0065 0.0013213
8784 1 1203508 1206709 10 2 34652 3.5723 0.00017691
7293 1 1211326 1214638 9 4 34652 3.3778 0.00036531
51150 1 1216908 1232067 93 6 34652 2.0209 0.021647
126792 1 1232249 1235041 7 2 34652 3.1793 0.00073806
388581 1 1242446 1247218 13 3 34652 3.4003 0.00033657
118424 1 1253912 1273854 42 7 34652 3.7193 9.99e-05
6339 1 1280415 1292029 44 16 34652 5.3059 5.6064e-08
116983 1 1292384 1307925 44 10 34652 3.4049 0.00033097
126789 1 1308571 1311677 5 3 34652 4.2843 9.1654e-06
54973 1 1311585 1324687 19 6 34652 3.7069 0.00010492
80772 1 1324756 1328896 10 2 34652 2.726 0.003205
83756 1 1328999 1335320 26 8 34652 2.5318 0.0056732
1855 1 1335278 1349158 34 9 34652 3.3248 0.00044238
54587 1 1352689 1363541 36 6 34652 2.9603 0.0015366
54998 1 1373730 1375438 8 4 34652 3.9839 3.3892e-05
81669 1 1385711 1399338 22 7 34652 4.8851 5.1695e-07
55052 1 1401896 1407834 15 6 34652 4.4253 4.8164e-06
441869 1 1418420 1421820 10 4 34652 4.0896 2.1602e-05
643965 1 1426128 1427787 8 3 34652 2.7344 0.0031252
64856 1 1435523 1442882 15 4 34652 2.4506 0.0071318
219293 1 1441301 1470158 88 15 34652 3.6118 0.00015202
83858 1 1471732 1509479 96 21 34652 2.6714 0.0037767
55210 1 1512143 1534687 83 14 34652 2.7985 0.0025673
339453 1 1534778 1540360 12 7 34652 1.3346 0.091008
29101 1 1541673 1574882 95 12 34652 2.2235 0.01309
