GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 173480 0.30011 0.38205
105378580 1 803398 805130 4 2 173480 -0.56844 0.71513
148398 1 925741 944581 55 18 173480 0.46142 0.32225
26155 1 944203 959299 45 9 173480 -0.44179 0.67068
339451 1 959952 965720 16 4 173480 -0.46146 0.67777
84069 1 966497 975108 26 11 173480 -0.072643 0.52895
84808 1 975199 982117 21 6 173480 -0.21989 0.58702
57801 1 998962 1001285 12 4 173480 1.3258 0.092454
9636 1 1013467 1014540 3 1 173480 -0.26567 0.60475
375790 1 1020101 1056119 107 15 173480 0.081028 0.46771
105369174 1 1061207 1066390 10 5 173480 -1.3304 0.90831
105378948 1 1065635 1069326 10 3 173480 -1.0727 0.8583
401934 1 1071746 1074307 5 2 173480 -0.34301 0.6342
54991 1 1081818 1116356 114 14 173480 -0.35502 0.63871
254173 1 1173898 1197935 139 20 173480 -0.74775 0.7727
8784 1 1203508 1206709 10 2 173480 -0.62131 0.7328
7293 1 1211326 1214638 9 4 173480 0.52531 0.29968
51150 1 1216908 1232067 89 6 173480 0.85041 0.19755
126792 1 1232249 1235041 7 2 173480 -0.71186 0.76172
388581 1 1242446 1247218 13 3 173480 0.62135 0.26718
118424 1 1253912 1273854 41 7 173480 -1.0987 0.86405
6339 1 1280415 1292029 42 15 173480 -1.8964 0.97105
116983 1 1292384 1307925 43 10 173480 -0.64298 0.73988
126789 1 1308571 1311677 3 2 173480 0.14865 0.44092
54973 1 1311585 1324687 18 6 173480 -1.0494 0.85301
80772 1 1324756 1328896 10 2 173480 -0.96622 0.83303
83756 1 1328999 1335320 22 7 173480 -1.5773 0.94264
1855 1 1335278 1349158 30 8 173480 -1.2017 0.88526
54587 1 1352689 1363541 35 6 173480 -0.83372 0.79778
54998 1 1373730 1375438 8 4 173480 -0.29154 0.61468
81669 1 1385711 1399338 21 7 173480 -0.57862 0.71858
55052 1 1401896 1407834 15 6 173480 -0.45128 0.67411
441869 1 1418420 1421820 10 4 173480 -0.52951 0.70177
643965 1 1426128 1427787 8 3 173480 -0.0037286 0.50149
64856 1 1435523 1442882 14 4 173480 -1.6891 0.9544
219293 1 1441301 1470158 87 14 173480 -1.4447 0.92573
83858 1 1471732 1509479 92 21 173480 -0.14178 0.55637
55210 1 1512143 1534687 82 13 173480 -0.96249 0.8321
339453 1 1534778 1540360 12 7 173480 -0.48789 0.68719
29101 1 1541673 1574882 94 11 173480 0.28395 0.38822
643988 1 1598008 1600096 2 1 173480 0.40218 0.34377
142678 1 1614975 1630610 37 8 173480 -0.70379 0.75922
984 1 1635226 1659839 33 6 173480 0.8813 0.18908
728661 1 1660025 1692804 76 17 173480 0.29091 0.38556
728642 1 1702730 1724352 68 5 173480 1.8546 0.031827
9906 1 1724838 1745999 64 11 173480 0.69026 0.24501
65220 1 1751232 1780514 67 10 173480 -0.86196 0.80564
2782 1 1785285 1891117 157 23 173480 -0.30744 0.62075
105378949 1 1885960 1893010 13 7 173480 -0.32919 0.629
163688 1 1913752 1917294 13 3 173480 -0.3175 0.62457
339456 1 1917589 1919301 5 2 173480 -1.0833 0.86066
85452 1 1921951 2003837 326 28 173480 -0.22165 0.58771
2563 1 2019329 2030753 29 7 173480 -0.44871 0.67318
5590 1 2050470 2185395 397 31 173480 -0.71979 0.76417
100506504 1 2181811 2184360 4 2 173480 -0.07459 0.52973
199990 1 2184460 2212720 51 12 173480 0.16297 0.43527
105378592 1 2208942 2215211 19 9 173480 0.36859 0.35622
6497 1 2228695 2310213 237 46 173480 -0.24811 0.59798
105378594 1 2280383 2284676 14 5 173480 1.0691 0.14252
79906 1 2321253 2391751 294 36 173480 4.1095 1.9826e-05
11079 1 2391314 2405444 36 11 173480 2.9445 0.0016175
5192 1 2404802 2413780 22 8 173480 3.8554 5.7759e-05
9651 1 2415782 2505530 316 45 173480 1.3362 0.090734
