GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 116863 0.33795 0.3677
105378580 1 803398 805130 4 2 116863 -1.4553 0.9272
148398 1 925741 944581 57 18 116863 -0.78341 0.78331
26155 1 944203 959299 50 8 116863 0.23257 0.40805
339451 1 959952 965720 17 4 116863 0.40253 0.34365
84069 1 966497 975108 26 11 116863 -0.35287 0.63791
84808 1 975199 982117 22 6 116863 -0.52101 0.69882
57801 1 998962 1001285 12 4 116863 0.073921 0.47054
9636 1 1013467 1014540 5 2 116863 0.53513 0.29628
375790 1 1020101 1056119 114 15 116863 -0.33886 0.63264
105369174 1 1061207 1066390 10 5 116863 -0.4962 0.69012
105378948 1 1065635 1069326 10 3 116863 -1.065 0.85656
401934 1 1071746 1074307 6 2 116863 -0.75505 0.77489
54991 1 1081818 1116356 113 14 116863 -0.26266 0.6036
254173 1 1173898 1197935 143 20 116863 -0.67364 0.74973
8784 1 1203508 1206709 10 2 116863 -0.70786 0.76048
7293 1 1211326 1214638 8 3 116863 -0.77967 0.78221
51150 1 1216908 1232067 93 6 116863 0.21137 0.4163
126792 1 1232249 1235041 7 2 116863 0.26061 0.3972
388581 1 1242446 1247218 13 3 116863 -0.54334 0.70655
118424 1 1253912 1273854 42 7 116863 0.1458 0.44204
6339 1 1280415 1292029 44 16 116863 0.80516 0.21037
116983 1 1292384 1307925 44 10 116863 -0.37807 0.64731
126789 1 1308571 1311677 5 3 116863 0.087819 0.46501
54973 1 1311585 1324687 19 6 116863 0.4836 0.31433
80772 1 1324756 1328896 10 2 116863 -0.018399 0.50734
83756 1 1328999 1335320 26 8 116863 -0.85704 0.80429
1855 1 1335278 1349158 34 9 116863 0.00054748 0.49978
54587 1 1352689 1363541 36 6 116863 0.54649 0.29236
54998 1 1373730 1375438 8 4 116863 0.6203 0.26753
81669 1 1385711 1399338 22 7 116863 0.31091 0.37793
55052 1 1401896 1407834 15 6 116863 0.0076089 0.49696
441869 1 1418420 1421820 10 4 116863 -0.77579 0.78106
643965 1 1426128 1427787 8 3 116863 0.36144 0.35888
64856 1 1435523 1442882 15 4 116863 -1.333 0.90873
219293 1 1441301 1470158 88 15 116863 -0.92554 0.82266
83858 1 1471732 1509479 95 21 116863 1.4232 0.077339
55210 1 1512143 1534687 83 14 116863 -0.28292 0.61138
339453 1 1534778 1540360 12 7 116863 -0.36822 0.64365
29101 1 1541673 1574882 95 12 116863 0.73218 0.23203
643988 1 1598008 1600096 2 1 116863 -0.34692 0.63568
142678 1 1614975 1630610 39 9 116863 -0.49012 0.68798
984 1 1635226 1659839 34 6 116863 0.31431 0.37664
728661 1 1660025 1692804 77 17 116863 -1.2313 0.89089
728642 1 1702730 1724352 67 5 116863 0.22099 0.41255
9906 1 1724838 1745999 66 11 116863 -0.065816 0.52624
65220 1 1751232 1780514 70 10 116863 -0.88497 0.81191
2782 1 1785285 1891117 161 23 116863 -1.3802 0.91624
105378949 1 1885960 1893010 14 7 116863 -0.89112 0.81357
163688 1 1913752 1917294 13 3 116863 -1.3024 0.90361
339456 1 1917589 1919301 6 3 116863 -0.88302 0.81139
85452 1 1921951 2003837 334 28 116863 0.053679 0.4786
2563 1 2019329 2030753 30 7 116863 0.91086 0.18118
5590 1 2050470 2185395 401 31 116863 -0.85707 0.8043
100506504 1 2181811 2184360 4 2 116863 0.16625 0.43398
199990 1 2184460 2212720 51 12 116863 -0.11028 0.54391
105378592 1 2208942 2215211 19 9 116863 -0.81368 0.79209
6497 1 2228695 2310213 241 46 116863 -1.4964 0.93272
105378594 1 2280383 2284676 14 5 116863 0.55985 0.28779
79906 1 2321253 2391751 301 36 116863 0.3312 0.37024
11079 1 2391314 2405444 37 11 116863 -0.91828 0.82076
5192 1 2404802 2413780 26 9 116863 -0.73382 0.76847
9651 1 2415782 2505530 323 48 116863 0.28937 0.38615
55229 1 2508531 2526628 40 6 116863 0.12314 0.451
388585 1 2528745 2530245 3 2 116863 0.21678 0.41419
8764 1 2556365 2565622 23 5 116863 0.57182 0.28372
127281 1 2586460 2591469 11 4 116863 0.056834 0.47734
79258 1 2590639 2633042 152 10 116863 0.66697 0.2524
100287898 1 2636988 2789665 90 13 116863 0.62577 0.26573
140625 1 3021482 3022903 4 2 116863 0.84543 0.19893
63976 1 3068227 3438621 1384 172 116863 0.7676 0.22136
27237 1 3454583 3481115 92 13 116863 -0.62804 0.73501
1953 1 3487942 3624757 576 88 116863 0.59913 0.27454
127262 1 3624992 3630131 13 5 116863 -0.14136 0.55621
49856 1 3630767 3650107 33 10 116863 0.43921 0.33026
7161 1 3652565 3736201 295 54 116863 0.74604 0.22782
148870 1 3752398 3771645 67 15 116863 -0.97949 0.83633
388588 1 3772761 3775982 12 5 116863 -0.57746 0.71819
57470 1 3780220 3796504 80 16 116863 -0.88512 0.81195
9731 1 3812081 3857387 284 18 116863 -0.48367 0.68569
1677 1 3857143 3885429 163 23 116863 -1.0068 0.84299
339448 1 3889133 3900293 41 8 116863 -0.83158 0.79718
55966 1 4655045 4792534 670 87 116863 2.2661 0.011722
261734 1 5862808 5992505 392 22 116863 -0.09053 0.53607
8514 1 5992298 6101193 305 50 116863 0.46089 0.32244
26038 1 6101787 6180134 273 33 116863 1.5817 0.056861
6146 1 6185020 6199619 35 7 116863 -0.34016 0.63313
388591 1 6205775 6221299 34 5 116863 0.2156 0.41465
23463 1 6221193 6235984 28 6 116863 0.65428 0.25646
390992 1 6244158 6245578 2 1 116863 -1.4385 0.92486
387509 1 6247346 6260990 36 3 116863 -1.1498 0.87488
11332 1 6264272 6393766 411 27 116863 1.6579 0.048668
54626 1 6415232 6424664 31 7 116863 0.16696 0.4337
83715 1 6424776 6460944 105 12 116863 0.57452 0.28281
8718 1 6461151 6466195 13 5 116863 -0.031492 0.51256
57449 1 6466092 6520061 138 25 116863 -1.519 0.93561
79707 1 6521347 6554598 101 3 116863 -0.98758 0.83832
80835 1 6555278 6579757 42 8 116863 -1.2307 0.89078
3104 1 6579991 6589280 9 4 116863 1.1701 0.12098
9903 1 6590724 6602898 30 9 116863 -0.027276 0.51088
148479 1 6613696 6624033 18 4 116863 0.031535 0.48742
90326 1 6624865 6635586 32 7 116863 -0.46767 0.67999
55735 1 6634168 6701906 144 17 116863 -0.23568 0.59316
23261 1 6785324 7769706 2730 222 116863 1.3192 0.093549
9341 1 7771269 7781432 33 9 116863 -0.075515 0.5301
8863 1 7784380 7845181 215 27 116863 -1.2863 0.90082
10911 1 7847612 7913610 303 28 116863 -0.27646 0.6089
3604 1 7915871 7943165 54 8 116863 -0.58062 0.71925
