GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.99004 0.83892
105378580 1 803398 805130 4 2 337119 0.97217 0.16548
148398 1 925741 944581 54 17 337119 0.74649 0.22768
26155 1 944203 959299 49 8 337119 1.5345 0.062458
339451 1 959952 965720 17 4 337119 1.7245 0.042311
84069 1 966497 975108 29 13 337119 1.2624 0.10339
84808 1 975199 982117 22 6 337119 2.6347 0.0042104
57801 1 998962 1001285 12 4 337119 0.6168 0.26868
9636 1 1013467 1014540 5 2 337119 1.7215 0.042581
375790 1 1020101 1056119 115 16 337119 -0.80887 0.7907
105369174 1 1061207 1066390 10 5 337119 0.54747 0.29203
105378948 1 1065635 1069326 10 3 337119 0.98255 0.16292
401934 1 1071746 1074307 6 2 337119 1.4339 0.075801
54991 1 1081818 1116356 114 14 337119 0.19968 0.42087
254173 1 1173898 1197935 143 20 337119 -0.4943 0.68945
8784 1 1203508 1206709 10 2 337119 0.32618 0.37214
7293 1 1211326 1214638 8 3 337119 -1.2649 0.89704
51150 1 1216908 1232067 93 6 337119 -0.45994 0.67722
126792 1 1232249 1235041 7 2 337119 -0.65855 0.74491
388581 1 1242446 1247218 13 3 337119 -0.040539 0.51617
118424 1 1253912 1273854 42 7 337119 0.34479 0.36512
6339 1 1280415 1292029 43 15 337119 -0.17081 0.56781
116983 1 1292384 1307925 43 10 337119 -0.57769 0.71826
126789 1 1308571 1311677 5 3 337119 -0.47324 0.68198
54973 1 1311585 1324687 19 6 337119 -0.47667 0.6832
80772 1 1324756 1328896 10 2 337119 -0.36168 0.64121
83756 1 1328999 1335320 26 8 337119 -0.67499 0.75016
1855 1 1335278 1349158 34 9 337119 -0.10352 0.54123
54587 1 1352689 1363541 36 6 337119 -0.9359 0.82534
54998 1 1373730 1375438 8 4 337119 -0.54821 0.70823
81669 1 1385711 1399338 21 7 337119 -0.15849 0.56296
55052 1 1401896 1407834 15 6 337119 -0.54157 0.70594
441869 1 1418420 1421820 10 4 337119 -0.59985 0.7257
643965 1 1426128 1427787 8 3 337119 0.18632 0.4261
64856 1 1435523 1442882 15 4 337119 1.2631 0.10327
219293 1 1441301 1470158 88 15 337119 0.40307 0.34345
83858 1 1471732 1509479 90 21 337119 -0.51461 0.69659
55210 1 1512143 1534687 80 13 337119 -0.5282 0.70132
339453 1 1534778 1540360 12 7 337119 2.5625 0.0051963
29101 1 1541673 1574882 93 11 337119 2.0354 0.020907
643988 1 1598008 1600096 2 1 337119 0.050689 0.47979
142678 1 1614975 1630610 39 9 337119 0.46223 0.32196
984 1 1635226 1659839 33 6 337119 -0.49478 0.68962
728661 1 1660025 1692804 75 16 337119 -0.24724 0.59764
728642 1 1702730 1724352 68 5 337119 0.57492 0.28267
9906 1 1724838 1745999 64 11 337119 2.0008 0.022709
65220 1 1751232 1780514 68 10 337119 2.5129 0.005987
2782 1 1785285 1891117 160 23 337119 2.0231 0.021532
105378949 1 1885960 1893010 14 7 337119 1.2461 0.10637
163688 1 1913752 1917294 13 3 337119 2.2641 0.011783
339456 1 1917589 1919301 6 3 337119 1.9298 0.026817
85452 1 1921951 2003837 329 27 337119 1.5676 0.058485
2563 1 2019329 2030753 29 7 337119 0.67528 0.24975
5590 1 2050470 2185395 400 32 337119 0.33684 0.36812
100506504 1 2181811 2184360 4 2 337119 0.55601 0.2891
199990 1 2184460 2212720 52 12 337119 -0.9872 0.83823
