GENE CHR START STOP NSNPS NPARAM N ZSTAT P
148398 1 859993 879961 7 4 180000 0.058207 0.47679
26155 1 879583 894679 6 4 180000 -0.27903 0.60989
339451 1 895967 901099 5 3 180000 0.55978 0.28781
84069 1 901872 910488 7 5 180000 -0.51245 0.69583
84808 1 910579 917473 1 1 180000 -0.38376 0.64942
57801 1 934342 936608 3 1 180000 1.6037 0.054385
9636 1 948847 949920 2 1 180000 0.18398 0.42701
375790 1 955503 991499 65 12 180000 2.0301 0.021175
401934 1 1007126 1009687 6 2 180000 1.1407 0.127
54991 1 1017198 1051736 96 9 180000 1.1207 0.1312
254173 1 1109286 1133315 129 17 180000 -0.7856 0.78395
8784 1 1138888 1142163 12 3 180000 -1.0695 0.85758
7293 1 1146706 1149703 9 4 180000 -2.0207 0.97834
51150 1 1152288 1167447 90 4 180000 -0.8286 0.79633
126792 1 1167629 1170421 8 2 180000 -0.88196 0.8111
388581 1 1177826 1182102 10 2 180000 -0.087772 0.53497
118424 1 1189292 1209234 48 7 180000 -0.24631 0.59728
6339 1 1215816 1227409 46 16 180000 -0.48486 0.68611
116983 1 1227764 1243304 37 6 180000 -0.19991 0.57922
126789 1 1243962 1247057 4 2 180000 0.10345 0.4588
54973 1 1246965 1260067 15 4 180000 0.14537 0.44221
80772 1 1260136 1264276 13 3 180000 -0.16138 0.5641
83756 1 1266726 1269844 12 7 180000 -0.003282 0.50131
1855 1 1270658 1284509 30 5 180000 -0.45424 0.67517
54587 1 1288071 1297183 24 4 180000 -0.35018 0.6369
54998 1 1309110 1310818 6 3 180000 1.878 0.03019
81669 1 1321091 1334718 18 5 180000 1.2975 0.09723
55052 1 1337276 1342693 10 4 180000 1.1824 0.11852
441869 1 1353800 1356824 7 2 180000 0.98345 0.16269
643965 1 1361508 1363167 7 2 180000 0.63405 0.26302
64856 1 1370903 1378262 14 3 180000 1.1206 0.13122
219293 1 1378152 1405538 40 10 180000 0.46605 0.32059
83858 1 1407139 1444852 43 11 180000 -0.25437 0.60039
55210 1 1447523 1470067 55 8 180000 -0.14828 0.55894
339453 1 1470158 1475740 9 4 180000 0.16705 0.43366
29101 1 1477053 1510262 82 8 180000 0.96629 0.16695
142678 1 1550795 1565990 8 5 180000 -0.23544 0.59306
728661 1 1591486 1624243 8 2 180000 -0.80244 0.78885
728642 1 1633822 1655999 24 3 180000 -0.65155 0.74266
9906 1 1656277 1677438 9 4 180000 0.34761 0.36407
65220 1 1682671 1711508 64 9 180000 1.4511 0.073373
2782 1 1716725 1822552 126 12 180000 1.4648 0.071493
163688 1 1846266 1848733 10 3 180000 1.8989 0.028791
339456 1 1849029 1850740 5 2 180000 1.4649 0.071479
85452 1 1853390 1935276 267 17 180000 1.5163 0.064717
2563 1 1950768 1962192 1 1 180000 0.14788 0.44122
5590 1 1981909 2116834 372 24 180000 1.5206 0.064186
100506504 1 2113250 2115812 3 2 180000 1.6067 0.054059
199990 1 2115899 2144159 53 11 180000 1.7659 0.038704
6497 1 2160134 2241652 230 41 180000 4.8004 7.9186e-07
79906 1 2251719 2323190 325 39 180000 1.0255 0.15257
11079 1 2323214 2336883 38 12 180000 -1.7779 0.96229
5192 1 2336241 2344010 24 9 180000 -1.4311 0.9238
9651 1 2407754 2436964 59 10 180000 1.4929 0.067735
55229 1 2439975 2458061 38 5 180000 0.048621 0.48061
388585 1 2460184 2461684 3 2 180000 0.8298 0.20333
8764 1 2487291 2495268 20 5 180000 -0.80902 0.79075
127281 1 2517899 2522908 11 4 180000 -1.1079 0.86606
79258 1 2522078 2564499 163 9 180000 -1.2927 0.90194
100287898 1 2572807 2706230 66 9 180000 -0.97812 0.83599
140625 1 2938046 2939467 4 2 180000 1.3739 0.08474
63976 1 2985565 3355185 1409 159 180000 2.6095 0.0045338
27237 1 3371147 3397677 87 10 180000 0.78684 0.21569
1953 1 3404506 3528059 455 71 180000 0.28338 0.38844
127262 1 3541556 3546695 11 4 180000 -0.97018 0.83402
49856 1 3547331 3566671 38 9 180000 -0.14498 0.55764
7161 1 3569129 3652765 272 44 180000 -0.36426 0.64217
148870 1 3668965 3688209 70 15 180000 -0.73685 0.76939
388588 1 3689352 3692546 12 5 180000 0.94608 0.17205
57470 1 3696784 3713068 74 13 180000 0.73923 0.22988
9731 1 3728645 3773797 301 17 180000 0.18066 0.42832
1677 1 3773845 3801993 160 20 180000 1.6493 0.049547
339448 1 3805697 3816857 44 8 180000 0.99795 0.15915
55966 1 4715105 4843851 662 87 180000 -2.6054 0.99541
261734 1 5922870 6052618 409 22 180000 -1.5892 0.94399
8514 1 6052358 6161253 292 43 180000 -0.8548 0.80367
26038 1 6161847 6240194 277 31 180000 -1.2932 0.90203
6146 1 6245080 6259679 33 6 180000 -0.31623 0.62409
388591 1 6266189 6281359 40 6 180000 -0.72306 0.76518
23463 1 6281253 6296044 28 5 180000 0.12829 0.44896
390992 1 6304252 6305638 5 2 180000 2.3289 0.0099328
387509 1 6307406 6321035 40 4 180000 2.0385 0.020749
11332 1 6324332 6453826 434 24 180000 -0.19165 0.57599
54626 1 6475292 6484724 28 6 180000 0.17903 0.42896
83715 1 6484836 6521004 103 11 180000 -0.71202 0.76178
8718 1 6520787 6527432 21 6 180000 -0.26905 0.60605
57449 1 6526152 6580121 147 26 180000 0.9219 0.17829
79707 1 6581407 6614658 125 5 180000 0.90007 0.18404
80835 1 6614987 6639817 67 13 180000 0.89986 0.1841
3104 1 6640051 6649340 11 5 180000 0.48152 0.31507
9903 1 6650784 6662958 36 12 180000 1.3809 0.083648
148479 1 6673756 6684093 21 5 180000 1.0988 0.13592
90326 1 6684925 6695646 35 8 180000 0.075238 0.47001
55735 1 6694228 6761966 151 19 180000 -0.14393 0.55722
23261 1 6845384 7829766 2893 224 180000 -0.97881 0.83616
9341 1 7831329 7841492 36 10 180000 1.399 0.080913
8863 1 7844413 7905241 255 25 180000 1.0641 0.14364
10911 1 7907672 7913551 24 10 180000 0.78736 0.21553
3604 1 7975931 8003225 62 9 180000 -1.0535 0.85395
11315 1 8021714 8045342 52 9 180000 -1.2807 0.89985
54206 1 8071779 8086393 22 5 180000 -0.96888 0.8337
50651 1 8378171 8404227 88 16 180000 2.2849 0.011158
473 1 8412464 8877699 737 30 180000 1.3012 0.096595
2023 1 8921059 8939151 25 5 180000 -0.53467 0.70356
765 1 9005893 9035151 144 32 180000 -0.11994 0.54774
155184 1 9063359 9086404 80 21 180000 -1.2306 0.89075
6518 1 9097005 9131763 124 19 180000 0.67015 0.25138
80045 1 9163472 9189229 67 11 180000 2.6189 0.0044103
9563 1 9294822 9331396 110 23 180000 -0.12604 0.55015
80176 1 9335202 9429591 456 70 180000 -1.6426 0.94977
84275 1 9599528 9642831 60 8 180000 -0.30341 0.61921
199953 1 9648932 9674935 37 7 180000 1.072 0.14187
5293 1 9711789 9789172 139 29 180000 -1.3019 0.90352
22883 1 9789079 9884550 120 13 180000 0.16504 0.43446
56998 1 9908334 9970316 72 12 180000 -0.75618 0.77523
84328 1 9982168 10003460 43 7 180000 -0.04038 0.5161
64802 1 10003486 10045556 82 12 180000 0.18993 0.42468
116362 1 10057255 10076078 45 7 180000 0.65876 0.25502
10277 1 10093041 10241297 316 18 180000 0.67941 0.24844
23095 1 10270606 10441664 547 17 180000 0.73641 0.23074
5226 1 10458884 10480565 50 7 180000 0.35283 0.36211
378708 1 10489944 10510239 54 8 180000 0.67694 0.24922
100526739 1 10490159 10512060 56 8 180000 0.58957 0.27774
1325 1 10509776 10512060 5 2 180000 -0.41686 0.66161
1676 1 10520588 10532613 25 7 180000 0.65735 0.25548
5195 1 10535003 10690815 395 30 180000 0.12241 0.45129
54897 1 10696661 10856733 401 76 180000 1.5502 0.06055
148345 1 11006530 11042094 125 17 180000 -0.82365 0.79493
23435 1 11072462 11085549 21 3 180000 -0.74708 0.77249
10747 1 11086580 11107296 55 7 180000 -1.2822 0.90011
6723 1 11114649 11120091 8 3 180000 -0.94912 0.82872
5394 1 11126675 11159961 94 5 180000 -0.80126 0.78851
2475 1 11166588 11322614 318 9 180000 -0.89284 0.81403
10218 1 11249346 11256038 16 3 180000 -1.0957 0.86339
29914 1 11333255 11348491 22 3 180000 -1.2173 0.88825
57540 1 11539295 11597640 152 16 180000 0.058378 0.47672
26232 1 11707924 11714888 19 10 180000 -0.10641 0.54237
93611 1 11714432 11723384 27 9 180000 -1.2557 0.89539
26270 1 11724150 11734411 34 8 180000 -1.2842 0.90046
10459 1 11734537 11751678 65 13 180000 -1.1488 0.87469
374946 1 11751781 11780336 91 17 180000 -1.5993 0.94513
57085 1 11796142 11810828 33 6 180000 -0.091089 0.53629
284498 1 11823827 11849642 145 10 180000 1.4014 0.080544
4524 1 11845787 11866160 84 13 180000 2.6114 0.0045086
1185 1 11866153 11903201 200 15 180000 2.3963 0.0082804
4878 1 11905766 11907840 17 4 180000 1.1192 0.13152
4879 1 11917521 11918992 5 3 180000 -1.2864 0.90084
90231 1 11979645 11986485 22 7 180000 0.85507 0.19626
5351 1 11994724 12035599 123 15 180000 -0.15879 0.56308
9927 1 12040238 12073572 91 10 180000 -0.83793 0.79897
60672 1 12079299 12092106 24 6 180000 -0.40308 0.65656
943 1 12123434 12204264 198 38 180000 -0.028946 0.51155
7133 1 12227044 12269279 135 18 180000 1.3327 0.09131
55187 1 12290101 12572099 522 20 180000 -1.5962 0.94478
9249 1 12627939 12677820 173 34 180000 1.4827 0.069078
343066 1 12704566 12727097 53 5 180000 0.10812 0.45695
126767 1 12776118 12788726 44 7 180000 -0.82657 0.79576
93190 1 12806163 12821102 39 8 180000 -0.18087 0.57176
390999 1 12834984 12838049 8 3 180000 -0.056664 0.52259
65121 1 12851546 12856777 10 3 180000 1.799 0.036008
440560 1 12884468 12891264 15 4 180000 0.43296 0.33252
65122 1 12916941 12921764 14 3 180000 0.18354 0.42719
126755 1 13801445 13840242 163 34 180000 1.1498 0.1251
10630 1 13910252 13944452 106 27 180000 -0.34768 0.63596
7799 1 14026714 14151574 388 30 180000 0.035984 0.48565
23254 1 14219646 15444544 4749 350 180000 -0.95755 0.83086
55092 1 15479028 15546974 357 28 180000 -1.7935 0.96355
727684 1 15490692 15498120 30 8 180000 -1.7734 0.96192
114827 1 15573730 15724767 488 58 180000 0.68251 0.24746
79180 1 15736391 15756839 65 20 180000 -1.5168 0.93534
11330 1 15764938 15773153 24 9 180000 -0.73376 0.76845
63036 1 15783223 15798586 67 12 180000 0.12677 0.44956
51032 1 15802596 15817895 44 8 180000 0.82577 0.20447
842 1 15817896 15851407 127 9 180000 0.86893 0.19244
23341 1 15853343 15898228 117 12 180000 0.62207 0.26695
79814 1 15898194 15911605 58 6 180000 1.4259 0.076953
84301 1 15943953 15995539 120 7 180000 0.24631 0.40272
6248 1 15986364 15988217 5 3 180000 -0.15013 0.55967
23207 1 16010632 16061264 153 14 180000 1.1854 0.11793
284723 1 16062721 16067884 8 4 180000 -1.3552 0.91233
388595 1 16068987 16074292 24 6 180000 -0.0088704 0.50354
54751 1 16083107 16113089 71 13 180000 -0.13113 0.55216
440567 1 16133657 16134194 5 2 180000 1.1606 0.12291
23013 1 16174359 16266951 195 26 180000 -0.23656 0.5935
7709 1 16268364 16302627 61 15 180000 0.093213 0.46287
101928566 1 16302626 16323701 83 13 180000 0.3419 0.36621
149563 1 16330731 16333184 12 4 180000 0.71344 0.23779
27129 1 16340523 16346084 44 5 180000 0.26442 0.39573
1187 1 16348486 16360548 69 11 180000 0.12945 0.4485
1188 1 16370231 16383821 122 14 180000 -0.11889 0.54732
348487 1 16384264 16400127 86 13 180000 0.99834 0.15906
1969 1 16450832 16482582 62 15 180000 2.4147 0.0078737
128272 1 16524599 16539104 58 7 180000 2.7091 0.0033731
101927546 1 16551343 16553528 7 1 180000 1.9261 0.027043
79363 1 16558182 16563659 16 7 180000 2.2269 0.012979
54455 1 16573339 16678965 212 12 180000 1.6946 0.045075
26099 1 16693525 16724643 57 7 180000 2.4127 0.0079172
374955 1 16722101 16763919 120 21 180000 1.8765 0.030293
55707 1 16767167 16786585 47 12 180000 -0.82377 0.79496
55672 1 16888922 16940100 3 1 180000 0.61961 0.26776
11223 1 17081129 17090975 1 1 180000 0.093871 0.46261
9696 1 17248445 17299474 89 18 180000 0.39215 0.34747
4237 1 17300997 17308081 19 5 180000 2.3615 0.0091006
23400 1 17312453 17338467 58 12 180000 1.8603 0.03142
6390 1 17345217 17380665 117 12 180000 0.41373 0.33953
