GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 15954 -1.0271 0.84782
105378580 1 803398 805130 4 2 15954 -0.34998 0.63682
148398 1 925741 944581 53 17 15954 2.7493 0.0029863
26155 1 944203 959299 48 8 15954 0.91347 0.1805
339451 1 959952 965720 16 3 15954 1.2404 0.1074
84069 1 966497 975108 24 10 15954 0.48771 0.31288
84808 1 975199 982117 21 5 15954 0.51268 0.30409
57801 1 998962 1001285 12 4 15954 -1.6051 0.94577
9636 1 1013467 1014540 4 2 15954 -0.93435 0.82494
375790 1 1020101 1056119 110 15 15954 -1.1537 0.87569
105369174 1 1061207 1066390 10 5 15954 -0.12369 0.54922
105378948 1 1065635 1069326 9 3 15954 -0.44275 0.67103
401934 1 1071746 1074307 6 2 15954 0.7012 0.24159
54991 1 1081818 1116356 113 14 15954 -0.038353 0.5153
254173 1 1173898 1197935 140 20 15954 -0.70262 0.75885
8784 1 1203508 1206709 10 2 15954 -0.38682 0.65055
7293 1 1211326 1214638 8 3 15954 -0.38316 0.6492
51150 1 1216908 1232067 89 5 15954 -0.35993 0.64055
126792 1 1232249 1235041 6 2 15954 -0.48958 0.68778
388581 1 1242446 1247218 13 3 15954 -0.061796 0.52464
118424 1 1253912 1273854 37 8 15954 -0.21728 0.58601
6339 1 1280415 1292029 40 15 15954 -1.3655 0.91396
116983 1 1292384 1307925 43 10 15954 -1.6786 0.95338
126789 1 1308571 1311677 3 2 15954 -0.086889 0.53462
54973 1 1311585 1324687 18 6 15954 -0.80767 0.79036
80772 1 1324756 1328896 10 2 15954 0.36461 0.3577
83756 1 1328999 1335320 21 7 15954 -0.24486 0.59672
1855 1 1335278 1349158 30 8 15954 -0.32145 0.62607
54587 1 1352689 1363541 33 5 15954 0.24436 0.40348
54998 1 1373730 1375438 8 4 15954 -0.88522 0.81198
81669 1 1385711 1399338 21 7 15954 -0.68169 0.75228
55052 1 1401896 1407834 15 6 15954 0.38479 0.3502
441869 1 1418420 1421820 10 4 15954 0.19974 0.42084
643965 1 1426128 1427787 8 3 15954 0.81017 0.20892
64856 1 1435523 1442882 14 4 15954 0.49229 0.31126
219293 1 1441301 1470158 84 14 15954 0.51686 0.30263
83858 1 1471732 1509479 91 20 15954 1.5146 0.06494
55210 1 1512143 1534687 78 13 15954 1.5049 0.066173
339453 1 1534778 1540360 12 7 15954 -1.5326 0.93731
29101 1 1541673 1574882 92 11 15954 -0.24923 0.59841
643988 1 1598008 1600096 2 1 15954 1.406 0.079867
142678 1 1614975 1630610 37 8 15954 0.81869 0.20648
984 1 1635226 1659839 33 6 15954 -0.45412 0.67513
728661 1 1660025 1692804 75 16 15954 -0.62853 0.73517
728642 1 1702730 1724352 68 5 15954 -0.46992 0.6808
9906 1 1724838 1745999 65 10 15954 -0.38452 0.6497
65220 1 1751232 1780514 67 9 15954 -0.55907 0.71194
2782 1 1785285 1891117 157 23 15954 0.21639 0.41434
105378949 1 1885960 1893010 14 7 15954 0.13169 0.44761
163688 1 1913752 1917294 13 3 15954 0.61881 0.26802
339456 1 1917589 1919301 6 3 15954 0.75555 0.22496
85452 1 1921951 2003837 325 27 15954 -0.29722 0.61685
2563 1 2019329 2030753 29 7 15954 -0.031618 0.51261
5590 1 2050470 2185395 395 31 15954 0.061777 0.47537
100506504 1 2181811 2184360 4 2 15954 0.61713 0.26858
199990 1 2184460 2212720 47 10 15954 -1.6443 0.94994
105378592 1 2208942 2215211 18 8 15954 -1.3959 0.91863
6497 1 2228695 2310213 238 45 15954 -0.030624 0.51222
105378594 1 2280383 2284676 14 5 15954 -0.48091 0.68471
79906 1 2321253 2391751 293 35 15954 1.1712 0.12076
11079 1 2391314 2405444 37 11 15954 -0.33599 0.63156
5192 1 2404802 2413780 25 8 15954 -0.43406 0.66788
9651 1 2415782 2505530 317 43 15954 1.7321 0.041627
55229 1 2508531 2526628 40 6 15954 2.118 0.017088
388585 1 2528745 2530245 3 2 15954 1.6569 0.048766
8764 1 2556365 2565622 22 5 15954 -1.3354 0.90912
127281 1 2586460 2591469 11 4 15954 0.45718 0.32377
79258 1 2590639 2633042 149 10 15954 0.40688 0.34205
100287898 1 2636988 2789665 86 13 15954 -0.39744 0.65448
140625 1 3021482 3022903 4 2 15954 0.52404 0.30012
63976 1 3068227 3438621 1358 171 15954 0.4291 0.33392
27237 1 3454583 3481115 88 12 15954 -1.1826 0.88152
1953 1 3487942 3624757 563 83 15954 -0.68941 0.75472
127262 1 3624992 3630131 13 5 15954 -1.5875 0.9438
49856 1 3630767 3650107 33 10 15954 -0.078206 0.53117
7161 1 3652565 3736201 288 54 15954 0.27354 0.39222
148870 1 3752398 3771645 63 14 15954 -0.27966 0.61013
388588 1 3772761 3775982 12 5 15954 -0.83847 0.79912
57470 1 3780220 3796504 80 16 15954 -0.66136 0.74581
9731 1 3812081 3857387 283 16 15954 -1.2749 0.89882
1677 1 3857143 3885429 162 23 15954 -0.97331 0.8348
339448 1 3889133 3900293 41 8 15954 0.97432 0.16495
55966 1 4655045 4792534 663 85 15954 -0.0018178 0.50073
261734 1 5862808 5992505 385 21 15954 -0.4983 0.69086
8514 1 5992298 6101193 298 47 15954 -0.21237 0.58409
26038 1 6101787 6180134 273 33 15954 -0.44321 0.67119
6146 1 6185020 6199619 35 7 15954 -0.38618 0.65032
388591 1 6205775 6221299 32 5 15954 -0.31409 0.62327
23463 1 6221193 6235984 27 6 15954 -0.3264 0.62794
390992 1 6244158 6245578 2 1 15954 -1.2325 0.89112
387509 1 6247346 6260990 36 3 15954 -1.2265 0.88999
11332 1 6264272 6393766 401 26 15954 -1.4031 0.91971
54626 1 6415232 6424664 30 6 15954 0.28826 0.38658
83715 1 6424776 6460944 104 12 15954 -0.0027042 0.50108
8718 1 6461151 6466195 13 5 15954 -0.70325 0.75905
57449 1 6466092 6520061 136 24 15954 -1.001 0.8416
79707 1 6521347 6554598 101 3 15954 -0.92742 0.82315
80835 1 6555278 6579757 41 8 15954 -0.55439 0.71034
3104 1 6579991 6589280 8 4 15954 0.9245 0.17761
9903 1 6590724 6602898 27 8 15954 -0.50821 0.69435
148479 1 6613696 6624033 17 4 15954 -1.164 0.87779
90326 1 6624865 6635586 31 6 15954 -1.31 0.90491
55735 1 6634168 6701906 142 17 15954 -0.62619 0.7344
23261 1 6785324 7769706 2695 224 15954 -0.13945 0.55545
9341 1 7771269 7781432 33 9 15954 -0.49724 0.69049
8863 1 7784380 7845181 213 27 15954 -0.86226 0.80573
10911 1 7847612 7913610 301 29 15954 0.47059 0.31897
3604 1 7915871 7943165 53 8 15954 -0.58761 0.7216
11315 1 7961654 7985283 49 10 15954 0.17765 0.4295
54206 1 8011719 8026333 23 5 15954 0.66594 0.25272
50651 1 8318085 8344167 82 14 15954 1.0349 0.15035
473 1 8352404 8817691 677 28 15954 0.08607 0.46571
2023 1 8861000 8879092 25 5 15954 -0.83797 0.79898
765 1 8945785 8975092 117 26 15954 0.12429 0.45054
155184 1 8960853 9026384 216 54 15954 -0.13579 0.55401
6518 1 9036943 9071704 94 14 15954 0.7908 0.21453
80045 1 9103391 9129170 60 10 15954 -0.25151 0.59929
9563 1 9234776 9271337 97 18 15954 -0.097952 0.53901
80176 1 9292882 9369532 324 51 15954 0.66766 0.25217
84275 1 9539469 9582773 59 9 15954 -0.26098 0.60295
199953 1 9588853 9614877 36 7 15954 0.038289 0.48473
5293 1 9629889 9729114 200 36 15954 0.64794 0.25851
22883 1 9729021 9824526 129 16 15954 -0.28201 0.61103
56998 1 9848276 9910258 72 13 15954 1.5663 0.058644
84328 1 9922110 9943402 44 10 15954 -0.95071 0.82912
64802 1 9942923 9985501 82 12 15954 -0.020373 0.50813
105376719 1 9996423 9998089 10 3 15954 0.088675 0.46467
116362 1 9997197 10016020 35 5 15954 -0.011949 0.50477
10277 1 10032983 10181239 292 18 15954 -0.39454 0.65341
23095 1 10210706 10381603 513 16 15954 -0.29704 0.61678
5226 1 10398992 10420511 48 7 15954 -0.17272 0.56857
378708 1 10430102 10442815 37 5 15954 0.074892 0.47015
100526739 1 10430102 10452003 56 8 15954 0.046434 0.48148
1325 1 10449719 10452003 5 2 15954 0.25631 0.39886
1676 1 10460531 10472556 18 5 15954 -0.47118 0.68124
5195 1 10474946 10630758 364 27 15954 -1.2265 0.88999
54897 1 10636604 10796676 426 86 15954 -1.467 0.92881
148345 1 10946473 10982037 124 18 15954 1.6616 0.048295
23435 1 11012622 11025492 22 4 15954 0.42284 0.33621
10747 1 11026523 11047239 55 7 15954 0.92952 0.17631
6723 1 11054592 11060034 7 2 15954 0.27327 0.39232
5394 1 11066613 11099910 96 6 15954 0.46674 0.32034
2475 1 11106531 11262557 326 12 15954 0.17887 0.42902
10218 1 11189289 11195981 13 2 15954 -0.65892 0.74502
29914 1 11273198 11296595 34 5 15954 -0.12948 0.55151
57540 1 11479238 11537583 148 16 15954 -0.33268 0.63031
26232 1 11648361 11654831 20 11 15954 0.39793 0.34534
93611 1 11654375 11663327 21 7 15954 0.92115 0.17849
26270 1 11664093 11674354 34 10 15954 -0.18735 0.57431
10459 1 11674480 11691788 65 14 15954 -0.87382 0.80889
374946 1 11686647 11720612 103 22 15954 1.5405 0.061719
57085 1 11735474 11750771 38 9 15954 0.32646 0.37204
284498 1 11762183 11789585 149 11 15954 -0.17096 0.56787
4524 1 11785730 11806103 78 11 15954 -0.5985 0.72525
1185 1 11806096 11843144 192 15 15954 0.29325 0.38467
4878 1 11845709 11847783 15 4 15954 0.88938 0.1869
90231 1 11919588 11926428 21 7 15954 0.1018 0.45946
5351 1 11934667 11975542 106 11 15954 0.094868 0.46221
9927 1 11980181 12013515 89 10 15954 1.046 0.14779
60672 1 12019242 12032049 21 5 15954 -0.33339 0.63058
943 1 12063330 12144207 205 43 15954 0.14503 0.44235
7133 1 12166949 12209222 119 16 15954 -0.39893 0.65503
55187 1 12230039 12512047 340 31 15954 -1.4745 0.92983
9249 1 12567910 12618361 167 34 15954 -0.55853 0.71176
343066 1 12644547 12667086 47 6 15954 -0.80211 0.78876
126767 1 12716115 12728759 43 7 15954 -0.089199 0.53554
93190 1 12746186 12761169 43 10 15954 -0.3455 0.63514
390999 1 12763223 12777906 44 9 15954 0.48251 0.31472
65121 1 12791397 12796628 14 4 15954 2.3538 0.0092915
440560 1 12824380 12831410 28 7 15954 2.0763 0.018935
343069 1 12847377 12848756 7 3 15954 0.27203 0.3928
65122 1 12857086 12861909 34 7 15954 0.77681 0.21864
400735 1 12879212 12886201 36 7 15954 1.2914 0.098284
343071 1 12892896 12898270 5 2 15954 0.52211 0.3008
441871 1 12916647 12920480 1 1 15954 -1.0645 0.85644
440563 1 13115488 13116854 10 5 15954 -2.3261 0.98999
645382 1 13303516 13309027 3 1 15954 -0.60056 0.72593
391004 1 13389632 13392629 6 3 15954 -2.6542 0.99602
645425 1 13410450 13421354 3 1 15954 -0.69968 0.75794
126755 1 13474977 13513781 166 37 15954 -1.3079 0.90455
10630 1 13583757 13617957 100 26 15954 -0.46265 0.67819
7799 1 13700240 13825079 359 28 15954 0.41405 0.33942
23254 1 13893515 15118048 4439 349 15954 0.54679 0.29226
55092 1 15152532 15220478 345 28 15954 0.10315 0.45892
727684 1 15164196 15171624 28 7 15954 1.0313 0.1512
114827 1 15236602 15400283 509 52 15954 -0.77714 0.78146
79180 1 15409895 15430343 57 19 15954 0.46903 0.31952
11330 1 15438442 15449247 17 6 15954 -1.0837 0.86074
63036 1 15456728 15472091 62 10 15954 1.1076 0.13403
51032 1 15476101 15491400 43 7 15954 -0.47943 0.68418
842 1 15491401 15526529 122 8 15954 -0.57566 0.71758
23341 1 15526813 15571733 102 10 15954 -0.83644 0.79855
79814 1 15571699 15585110 58 6 15954 -1.6055 0.94581
84301 1 15617458 15661057 90 6 15954 -1.6319 0.94865
6248 1 15659869 15661722 3 2 15954 -0.91662 0.82033
23207 1 15684267 15734769 149 13 15954 -0.80284 0.78897
284723 1 15735088 15741392 12 3 15954 -0.70856 0.7607
388595 1 15742492 15747797 11 3 15954 -1.0267 0.84773
54751 1 15756171 15786589 65 11 15954 -1.5619 0.94084
440567 1 15807162 15807699 5 2 15954 -0.60022 0.72582
23013 1 15847864 15940455 167 21 15954 -1.8214 0.96573
7709 1 15941869 15976132 61 15 15954 -1.566 0.94132
101928566 1 15976131 15997206 81 13 15954 -1.5586 0.94045
149563 1 16004236 16006695 13 4 15954 -1.2918 0.90178
27129 1 16014028 16018796 38 4 15954 -0.087231 0.53476
1187 1 16021991 16034050 61 10 15954 -0.46916 0.68052
1188 1 16043736 16057326 116 13 15954 0.075884 0.46976
348487 1 16057769 16073632 71 11 15954 1.0096 0.15635
1969 1 16124337 16156087 55 12 15954 1.7996 0.035959
128272 1 16197856 16212671 44 5 15954 -0.28901 0.61371
101927546 1 16215907 16227036 24 4 15954 -0.23648 0.59347
79363 1 16231687 16237452 13 5 15954 0.24517 0.40316
54455 1 16246840 16352491 212 14 15954 -0.27376 0.60786
26099 1 16367030 16398148 53 6 15954 -0.4082 0.65843
