GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 203056 -1.2002 0.88496
105378580 1 803398 805130 4 2 203056 0.44547 0.32799
148398 1 925741 944581 51 16 203056 -1.7142 0.95675
26155 1 944203 959299 41 9 203056 -0.025095 0.51001
339451 1 959952 965720 15 3 203056 0.37267 0.3547
84069 1 966497 975108 24 10 203056 -1.3944 0.9184
84808 1 975199 982117 20 5 203056 -1.1602 0.87701
57801 1 998962 1001285 11 3 203056 -0.5851 0.72076
9636 1 1013467 1014540 2 1 203056 -1.3964 0.91871
375790 1 1020101 1056119 105 15 203056 -0.74718 0.77252
105369174 1 1061207 1066390 10 5 203056 -1.1228 0.86924
105378948 1 1065635 1069326 8 3 203056 -0.68024 0.75182
401934 1 1071746 1074307 5 2 203056 -0.21826 0.58639
54991 1 1081818 1116356 110 14 203056 -0.50077 0.69173
254173 1 1173898 1197935 137 20 203056 -1.1173 0.86808
8784 1 1203508 1206709 10 2 203056 -1.59 0.94409
7293 1 1211326 1214638 8 3 203056 -2.1015 0.9822
51150 1 1216908 1232067 86 5 203056 -0.77735 0.78152
126792 1 1232249 1235041 6 2 203056 -1.6793 0.95345
388581 1 1242446 1247218 13 3 203056 -0.78027 0.78238
118424 1 1253912 1273854 40 7 203056 -1.3382 0.90959
6339 1 1280415 1292029 40 14 203056 -1.4454 0.92583
116983 1 1292384 1307925 42 10 203056 -0.68942 0.75472
126789 1 1308571 1311677 4 2 203056 0.27564 0.39141
54973 1 1311585 1324687 17 6 203056 0.060431 0.47591
80772 1 1324756 1328896 10 2 203056 -0.075616 0.53014
83756 1 1328999 1335320 21 7 203056 -0.79957 0.78802
1855 1 1335278 1349158 29 8 203056 -1.0686 0.85737
54587 1 1352689 1363541 30 5 203056 -0.60322 0.72682
54998 1 1373730 1375438 8 4 203056 -0.42366 0.66409
81669 1 1385711 1399338 21 7 203056 -0.89417 0.81438
55052 1 1401896 1407834 15 6 203056 -0.73976 0.77028
441869 1 1418420 1421820 10 4 203056 -0.55413 0.71026
643965 1 1426128 1427787 8 3 203056 -0.24683 0.59748
64856 1 1435523 1442882 14 4 203056 0.29165 0.38528
219293 1 1441301 1470158 85 14 203056 -0.0854 0.53403
83858 1 1471732 1509479 89 21 203056 -1.5932 0.94445
55210 1 1512143 1534687 78 13 203056 -1.2647 0.89701
339453 1 1534778 1540360 12 7 203056 -1.4282 0.92338
29101 1 1541673 1574882 91 11 203056 -1.0181 0.84569
643988 1 1598008 1600096 2 1 203056 0.009696 0.49613
142678 1 1614975 1630610 36 8 203056 -1.5382 0.938
984 1 1635226 1659839 33 6 203056 -0.87497 0.8092
728661 1 1660025 1692804 73 17 203056 -1.788 0.96311
728642 1 1702730 1724352 67 5 203056 -0.5651 0.714
9906 1 1724838 1745999 62 11 203056 0.27936 0.38998
65220 1 1751232 1780514 63 9 203056 1.3081 0.095418
2782 1 1785285 1891117 154 23 203056 2.0351 0.020921
105378949 1 1885960 1893010 14 7 203056 2.7542 0.002942
163688 1 1913752 1917294 13 3 203056 0.95051 0.17093
339456 1 1917589 1919301 5 2 203056 -0.20328 0.58054
85452 1 1921951 2003837 312 26 203056 0.18378 0.42709
2563 1 2019329 2030753 27 6 203056 -0.009722 0.50388
5590 1 2050470 2185395 379 30 203056 -1.8873 0.97044
100506504 1 2181811 2184360 4 2 203056 -1.1346 0.87172
199990 1 2184460 2212720 46 10 203056 -0.61303 0.73007
105378592 1 2208942 2215211 17 8 203056 0.060438 0.4759
6497 1 2228695 2310213 231 45 203056 -1.0614 0.85575
105378594 1 2280383 2284676 13 5 203056 -1.9436 0.97403
79906 1 2321253 2391751 281 34 203056 -1.1548 0.87591
11079 1 2391314 2405444 34 11 203056 -1.2665 0.89732
5192 1 2404802 2413780 22 8 203056 -0.70449 0.75944
9651 1 2415782 2505530 306 48 203056 -1.2074 0.88636
55229 1 2508531 2526628 38 6 203056 -0.98835 0.83851
388585 1 2528745 2530245 3 2 203056 -1.2796 0.89966
8764 1 2556365 2565622 21 5 203056 -0.70081 0.75829
127281 1 2586460 2591469 9 3 203056 -1.2647 0.89701
79258 1 2590639 2633042 146 10 203056 -1.5489 0.9393
100287898 1 2636988 2789665 85 13 203056 -0.1586 0.56301
140625 1 3021482 3022903 4 2 203056 -0.14618 0.55811
63976 1 3068227 3438621 1321 167 203056 -2.4626 0.9931
27237 1 3454583 3481115 87 12 203056 -0.66776 0.74786
1953 1 3487942 3624757 543 86 203056 -2.2533 0.98788
127262 1 3624992 3630131 12 4 203056 -1.8419 0.96726
49856 1 3630767 3650107 31 10 203056 -1.9751 0.97587
7161 1 3652565 3736201 279 53 203056 -1.6429 0.9498
148870 1 3752398 3771645 60 14 203056 -0.75215 0.77402
388588 1 3772761 3775982 11 5 203056 -0.974 0.83497
57470 1 3780220 3796504 80 16 203056 -0.71782 0.76357
9731 1 3812081 3857387 276 16 203056 -0.10622 0.5423
1677 1 3857143 3885429 157 22 203056 -0.24234 0.59574
339448 1 3889133 3900293 41 8 203056 0.1933 0.42336
55966 1 4655045 4792534 648 84 203056 -0.37577 0.64646
261734 1 5862808 5992505 377 21 203056 -1.6909 0.95457
8514 1 5992298 6101193 294 46 203056 -1.8088 0.96476
26038 1 6101787 6180134 264 32 203056 -2.1734 0.98513
6146 1 6185020 6199619 35 7 203056 -0.473 0.68189
388591 1 6205775 6221299 32 5 203056 -0.78694 0.78434
23463 1 6221193 6235984 27 6 203056 -0.64125 0.73932
390992 1 6244158 6245578 2 1 203056 -2.0301 0.97883
387509 1 6247346 6260990 35 3 203056 -0.83314 0.79762
11332 1 6264272 6393766 393 26 203056 -2.3142 0.98967
54626 1 6415232 6424664 28 6 203056 -1.4595 0.92778
83715 1 6424776 6460944 100 12 203056 -0.74965 0.77327
8718 1 6461151 6466195 13 5 203056 -0.0080096 0.5032
57449 1 6466092 6520061 131 24 203056 -0.9776 0.83586
79707 1 6521347 6554598 97 3 203056 -0.12575 0.55004
80835 1 6555278 6579757 38 8 203056 -0.085785 0.53418
3104 1 6579991 6589280 8 4 203056 -0.3535 0.63814
9903 1 6590724 6602898 26 8 203056 -1.686 0.9541
148479 1 6613696 6624033 16 4 203056 -0.51651 0.69725
90326 1 6624865 6635586 31 6 203056 -0.55677 0.71116
55735 1 6634168 6701906 139 17 203056 -0.87901 0.8103
23261 1 6785324 7769706 2655 222 203056 -4.4244 1
9341 1 7771269 7781432 31 9 203056 -2.2486 0.98773
8863 1 7784380 7845181 203 27 203056 -1.7859 0.96294
10911 1 7847612 7913610 290 28 203056 -2.6926 0.99646
3604 1 7915871 7943165 52 8 203056 -1.5254 0.93643
11315 1 7961654 7985283 48 10 203056 -1.5221 0.936
54206 1 8011719 8026333 23 5 203056 -1.1289 0.87054
50651 1 8318085 8344167 81 14 203056 -1.451 0.92661
473 1 8352404 8817691 668 29 203056 -1.8757 0.96966
2023 1 8861000 8879092 25 5 203056 -1.7251 0.95774
765 1 8945785 8975092 115 25 203056 -2.7828 0.99731
155184 1 8960853 9026384 214 54 203056 -2.5251 0.99422
6518 1 9036943 9071704 90 14 203056 -1.8159 0.96531
80045 1 9103391 9129170 60 10 203056 -2.3868 0.9915
9563 1 9234776 9271337 93 18 203056 -2.3082 0.9895
80176 1 9292882 9369532 319 50 203056 -0.43529 0.66832
84275 1 9539469 9582773 58 9 203056 -0.14378 0.55716
199953 1 9588853 9614877 33 7 203056 -0.95225 0.82951
5293 1 9629889 9729114 196 36 203056 -0.045157 0.51801
22883 1 9729021 9824526 125 17 203056 -0.56061 0.71247
56998 1 9848276 9910258 71 13 203056 -0.34192 0.63379
84328 1 9922110 9943402 41 11 203056 -0.48716 0.68693
64802 1 9942923 9985501 82 12 203056 -1.1987 0.88468
105376719 1 9996423 9998089 10 3 203056 -1.2927 0.90194
116362 1 9997197 10016020 35 5 203056 -0.97063 0.83413
10277 1 10032983 10181239 286 18 203056 -1.0964 0.86354
23095 1 10210706 10381603 511 16 203056 -0.26161 0.60319
5226 1 10398992 10420511 47 7 203056 -0.21512 0.58516
378708 1 10430102 10442815 37 5 203056 -0.84839 0.80189
100526739 1 10430102 10452003 56 8 203056 -1.1865 0.8823
1325 1 10449719 10452003 5 2 203056 -1.4946 0.93249
1676 1 10460531 10472556 18 5 203056 -0.96399 0.83247
5195 1 10474946 10630758 360 27 203056 -0.29734 0.6169
54897 1 10636604 10796676 417 86 203056 3.1007 0.00096545
148345 1 10946473 10982037 121 17 203056 -1.2338 0.89137
23435 1 11012622 11025492 22 4 203056 0.0014915 0.4994
10747 1 11026523 11047239 54 7 203056 -1.515 0.93511
6723 1 11054592 11060034 7 2 203056 -1.7801 0.96247
5394 1 11066613 11099910 95 6 203056 -1.3684 0.91441
2475 1 11106531 11262557 327 12 203056 -1.5205 0.9358
10218 1 11189289 11195981 14 2 203056 -0.48432 0.68592
29914 1 11273198 11296595 34 5 203056 -1.2537 0.89502
57540 1 11479238 11537583 140 15 203056 0.23248 0.40808
26232 1 11648361 11654831 18 11 203056 -2.5372 0.99441
93611 1 11654375 11663327 20 7 203056 -0.4105 0.65928
26270 1 11664093 11674354 34 10 203056 -1.4422 0.92538
10459 1 11674480 11691788 63 14 203056 0.024367 0.49028
374946 1 11686647 11720612 99 21 203056 0.10337 0.45884
57085 1 11735474 11750771 36 8 203056 0.56203 0.28705
284498 1 11762183 11789585 144 11 203056 0.0017802 0.49929
4524 1 11785730 11806103 76 11 203056 3.714 0.000102
1185 1 11806096 11843144 184 15 203056 3.247 0.00058314
4878 1 11845709 11847783 14 4 203056 2.4017 0.0081595
90231 1 11919588 11926428 20 6 203056 -0.49805 0.69077
5351 1 11934667 11975542 105 11 203056 -1.0517 0.85353
9927 1 11980181 12013515 85 10 203056 -1.0526 0.85375
60672 1 12019242 12032049 20 5 203056 -1.0777 0.85942
943 1 12063330 12144207 201 42 203056 -0.31778 0.62467
7133 1 12166949 12209222 117 16 203056 -0.995 0.84013
55187 1 12230039 12512047 341 32 203056 -1.789 0.96319
9249 1 12567910 12618361 160 33 203056 -0.40161 0.65602
343066 1 12644547 12667086 47 6 203056 -0.41906 0.66241
126767 1 12716115 12728759 43 7 203056 0.0077827 0.4969
93190 1 12746186 12761169 42 10 203056 -1.2655 0.89715
390999 1 12763223 12777906 43 9 203056 -1.9604 0.97503
65121 1 12791397 12796628 14 4 203056 -1.6107 0.94638
440560 1 12824380 12831410 28 7 203056 -0.47413 0.6823
343069 1 12847377 12848756 7 3 203056 -1.2137 0.88757
65122 1 12857086 12861909 33 7 203056 -0.0246 0.50981
400735 1 12879212 12886201 36 7 203056 0.07318 0.47083
343071 1 12892896 12898270 5 2 203056 -0.49219 0.68871
441871 1 12916647 12920480 1 1 203056 1.0064 0.15711
440563 1 13115488 13116854 10 5 203056 1.1724 0.12052
645382 1 13303516 13309027 3 1 203056 -0.078869 0.53143
391004 1 13389632 13392629 6 3 203056 -1.0886 0.86185
645425 1 13410450 13421354 3 1 203056 -0.907 0.8178
126755 1 13474977 13513781 160 36 203056 -1.1054 0.86551
10630 1 13583757 13617957 97 26 203056 -1.726 0.95783
7799 1 13700240 13825079 357 28 203056 -1.5507 0.93952
23254 1 13893515 15118048 4360 349 203056 -3.6443 0.99987
55092 1 15152532 15220478 342 27 203056 -1.1849 0.88197
727684 1 15164196 15171624 28 7 203056 -0.84904 0.80207
114827 1 15236602 15400283 494 67 203056 -1.7876 0.96308
79180 1 15409895 15430343 56 19 203056 -1.1828 0.88157
11330 1 15438442 15449247 16 6 203056 1.2285 0.10963
63036 1 15456728 15472091 59 10 203056 1.3984 0.081002
51032 1 15476101 15491400 41 7 203056 -1.0387 0.85053
842 1 15491401 15526529 121 8 203056 -0.7926 0.786
23341 1 15526813 15571733 97 10 203056 -1.0042 0.84236
79814 1 15571699 15585110 57 6 203056 -1.7594 0.96074
84301 1 15617458 15661057 85 6 203056 -0.27506 0.60836
6248 1 15659869 15661722 3 2 203056 -0.71846 0.76376
23207 1 15684267 15734769 146 13 203056 -0.85156 0.80277
284723 1 15735088 15741392 12 3 203056 -1.202 0.88531
388595 1 15742492 15747797 11 3 203056 -0.68347 0.75284
54751 1 15756171 15786589 63 11 203056 -1.1875 0.88248
440567 1 15807162 15807699 5 2 203056 -0.12871 0.55121
23013 1 15847864 15940455 163 21 203056 0.13724 0.44542
7709 1 15941869 15976132 57 15 203056 -0.34551 0.63514
101928566 1 15976131 15997206 76 12 203056 -0.25717 0.60147
149563 1 16004236 16006695 12 4 203056 0.44609 0.32777
27129 1 16014028 16018796 36 4 203056 -0.78974 0.78516
1187 1 16021991 16034050 58 10 203056 -1.1409 0.87305
1188 1 16043736 16057326 112 13 203056 -2.1887 0.98569
348487 1 16057769 16073632 68 10 203056 -1.6045 0.9457
1969 1 16124337 16156087 54 12 203056 0.88901 0.187
128272 1 16197856 16212671 43 5 203056 -0.30996 0.6217
101927546 1 16215907 16227036 23 4 203056 -0.78516 0.78382
79363 1 16231687 16237452 13 5 203056 -1.2951 0.90235
54455 1 16246840 16352491 209 14 203056 -1.114 0.86736
26099 1 16367030 16398148 50 7 203056 -0.80553 0.78974
374955 1 16387117 16437842 119 20 203056 -0.0735 0.5293
55707 1 16440672 16460090 36 9 203056 1.2171 0.11179
102724970 1 16535773 16536956 3 2 203056 0.89697 0.18487
100133301 1 16538724 16540035 1 1 203056 0.066957 0.47331
55672 1 16562427 16613605 11 6 203056 -0.2976 0.617
11223 1 16754634 16764480 1 1 203056 0.75287 0.22576
9696 1 16895707 16972979 217 28 203056 -1.8297 0.96636
4237 1 16974500 16981643 18 4 203056 -0.8203 0.79398
23400 1 16985958 17011972 49 11 203056 -0.95842 0.83107
6390 1 17018722 17054170 114 12 203056 0.095523 0.46195
11240 1 17066761 17119453 266 18 203056 -1.5591 0.94051
29943 1 17205123 17246006 153 46 203056 -0.52801 0.70126
51702 1 17249082 17284233 159 24 203056 -1.6468 0.9502
23569 1 17308195 17364004 270 22 203056 -2.0693 0.98074
353238 1 17372196 17401699 159 17 203056 -1.2558 0.89541
55920 1 17406755 17439754 69 12 203056 -1.4585 0.92765
55160 1 17520197 17697875 418 54 203056 -0.31645 0.62417
81569 1 17712000 17827063 294 31 203056 -1.6101 0.94631
84966 1 18107746 18378484 950 134 203056 -2.1759 0.98522
127707 1 18480930 18485999 21 5 203056 -2.5374 0.99442
5081 1 18631006 18748866 340 59 203056 -3.1833 0.99927
80834 1 18839599 18859661 93 18 203056 -1.8161 0.96532
8659 1 18871430 18902799 128 20 203056 -0.91393 0.81962
126917 1 18904280 18956667 152 29 203056 -2.2938 0.9891
23352 1 19074506 19210319 241 22 203056 -1.2434 0.89315
23065 1 19215664 19251559 96 13 203056 -1.1058 0.86559
51154 1 19251581 19260128 48 8 203056 0.54817 0.29179
22977 1 19274325 19289346 74 6 203056 0.034458 0.48626
8574 1 19302708 19312146 25 10 203056 -0.5676 0.71485
