GENE CHR START STOP NSNPS NPARAM N ZSTAT P
148398 1 859993 879961 50 12 500000 0.66704 0.25237
26155 1 879583 894679 52 8 500000 -1.2331 0.89124
339451 1 895967 901099 16 3 500000 -1.1253 0.86977
84069 1 901872 910488 27 13 500000 0.37674 0.35318
84808 1 910579 917473 22 5 500000 0.29815 0.3828
57801 1 934342 936608 13 4 500000 0.015167 0.49395
9636 1 948847 949920 5 2 500000 0.42394 0.33581
375790 1 955503 991499 93 12 500000 -0.57529 0.71745
401934 1 1007126 1009687 7 3 500000 -0.86081 0.80533
54991 1 1017198 1051736 110 14 500000 1.5295 0.06307
254173 1 1109286 1133315 142 20 500000 0.21315 0.41561
8784 1 1138888 1142163 10 2 500000 1.1591 0.12321
7293 1 1146706 1149703 8 3 500000 -0.30096 0.61828
51150 1 1152288 1167447 93 6 500000 -0.90282 0.81669
126792 1 1167629 1170421 7 2 500000 0.20711 0.41796
388581 1 1177826 1182102 13 3 500000 -0.33375 0.63072
118424 1 1189292 1209234 55 9 500000 1.1132 0.13281
6339 1 1215816 1227409 41 15 500000 0.31978 0.37457
116983 1 1227764 1243304 45 10 500000 0.40093 0.34424
126789 1 1243962 1247057 4 2 500000 0.27297 0.39244
54973 1 1246965 1260067 20 6 500000 0.80136 0.21146
80772 1 1260136 1264276 12 3 500000 1.474 0.070246
83756 1 1266726 1269844 8 4 500000 0.35219 0.36235
1855 1 1270658 1284509 40 10 500000 0.69279 0.24422
54587 1 1288071 1297183 28 6 500000 1.1345 0.12828
54998 1 1309110 1310818 7 3 500000 0.36237 0.35854
81669 1 1321091 1334718 19 8 500000 0.43192 0.3329
55052 1 1337276 1342693 12 5 500000 0.59647 0.27543
441869 1 1353800 1356824 6 2 500000 0.13906 0.4447
643965 1 1361508 1363167 7 3 500000 -1.5669 0.94144
64856 1 1370903 1378262 16 4 500000 -1.0867 0.86141
219293 1 1378152 1405538 55 11 500000 0.082249 0.46722
83858 1 1407139 1444852 46 15 500000 -0.89004 0.81328
55210 1 1447523 1470067 63 12 500000 -0.45244 0.67452
339453 1 1470158 1475740 9 4 500000 -0.54603 0.70748
29101 1 1477053 1510262 97 12 500000 0.43358 0.3323
643988 1 1533388 1535476 2 1 500000 -0.056456 0.52251
142678 1 1550795 1565990 38 8 500000 0.24594 0.40286
8510 1 1567060 1570030 2 1 500000 -0.7581 0.7758
984 1 1571100 1590473 18 4 500000 -0.57642 0.71784
728661 1 1591486 1624243 57 13 500000 -0.4478 0.67285
728642 1 1633822 1655999 40 3 500000 -0.41441 0.66071
9906 1 1656277 1677438 31 7 500000 0.14332 0.44302
65220 1 1682671 1711508 68 10 500000 0.85586 0.19604
2782 1 1716725 1822552 148 21 500000 0.10137 0.45963
163688 1 1846266 1848733 10 3 500000 0.15316 0.43914
339456 1 1849029 1850740 6 3 500000 -0.20897 0.58277
85452 1 1853390 1935276 308 25 500000 -0.65284 0.74307
2563 1 1950768 1962192 30 7 500000 0.74191 0.22907
5590 1 1981909 2116834 390 30 500000 -0.83638 0.79853
100506504 1 2113250 2115812 4 2 500000 0.51569 0.30304
199990 1 2115899 2144159 50 11 500000 -1.1722 0.87944
6497 1 2160134 2241652 232 44 500000 -0.68497 0.75332
79906 1 2251719 2323190 299 36 500000 1.2191 0.1114
11079 1 2323214 2336883 34 10 500000 -0.15728 0.56249
5192 1 2336241 2344010 23 8 500000 0.5162 0.30286
9651 1 2407754 2436964 66 15 500000 2.1516 0.015714
55229 1 2439975 2458061 40 6 500000 0.93723 0.17432
388585 1 2460184 2461684 3 2 500000 1.303 0.096285
8764 1 2487291 2495268 20 5 500000 1.6927 0.045253
127281 1 2517899 2522908 10 4 500000 0.56294 0.28674
79258 1 2522078 2564499 146 9 500000 0.60941 0.27113
100287898 1 2572807 2706230 70 10 500000 0.34137 0.36641
140625 1 2938046 2939467 2 1 500000 1.5733 0.057828
63976 1 2985565 3355185 1360 168 500000 -0.14017 0.55574
27237 1 3371147 3397677 93 12 500000 1.6374 0.050773
1953 1 3404506 3528059 503 77 500000 1.5739 0.057759
127262 1 3541556 3546695 12 4 500000 1.0293 0.15166
49856 1 3547331 3566671 34 9 500000 1.1978 0.1155
7161 1 3569129 3652765 297 51 500000 0.43432 0.33203
148870 1 3668965 3688209 67 15 500000 0.00116 0.49954
388588 1 3689352 3692546 12 5 500000 0.32078 0.37419
57470 1 3696784 3713068 80 15 500000 0.40355 0.34327
9731 1 3728645 3773797 286 17 500000 -1.0981 0.86391
1677 1 3773845 3801993 165 23 500000 0.44327 0.32878
339448 1 3805697 3816857 45 8 500000 0.69133 0.24468
55966 1 4715105 4843851 632 85 500000 0.92664 0.17706
261734 1 5922870 6052618 396 21 500000 0.13741 0.44535
8514 1 6052358 6161253 297 47 500000 -0.54725 0.7079
26038 1 6161847 6240194 263 30 500000 -1.2732 0.89852
6146 1 6245080 6259679 34 7 500000 0.35992 0.35945
388591 1 6266189 6281359 36 5 500000 0.33476 0.3689
23463 1 6281253 6296044 31 6 500000 0.3062 0.37973
390992 1 6304252 6305638 5 2 500000 0.47027 0.31908
387509 1 6307406 6321035 37 3 500000 0.16005 0.43642
11332 1 6324332 6453826 417 27 500000 -1.165 0.87799
54626 1 6475292 6484724 29 6 500000 -0.61268 0.72996
83715 1 6484836 6521004 103 12 500000 -0.59034 0.72252
8718 1 6520787 6527432 20 6 500000 -0.53508 0.7037
57449 1 6526152 6580121 138 25 500000 -0.14292 0.55682
79707 1 6581407 6614658 99 3 500000 0.3462 0.36459
80835 1 6614987 6639817 41 7 500000 0.031102 0.48759
3104 1 6640051 6649340 9 4 500000 -2.1795 0.98535
9903 1 6650784 6662958 29 8 500000 -1.8883 0.9705
148479 1 6673756 6684093 18 4 500000 -1.7458 0.95958
90326 1 6684925 6695646 31 6 500000 -1.2064 0.88616
