GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 46186 -1.5881 0.94387
105378580 1 803398 805130 4 2 46186 -3.5945 0.99984
148398 1 925741 944581 51 16 46186 -3.7928 0.99993
26155 1 944203 959299 41 9 46186 -2.3644 0.99097
339451 1 959952 965720 15 3 46186 -1.8504 0.96787
84069 1 966497 975108 24 10 46186 -2.6768 0.99628
84808 1 975199 982117 20 5 46186 -1.3847 0.91693
57801 1 998962 1001285 11 3 46186 -1.3493 0.91139
9636 1 1013467 1014540 2 1 46186 -0.38538 0.65002
375790 1 1020101 1056119 105 15 46186 -0.68885 0.75454
105369174 1 1061207 1066390 10 5 46186 -0.28574 0.61246
105378948 1 1065635 1069326 8 3 46186 0.16173 0.43576
401934 1 1071746 1074307 5 2 46186 0.33466 0.36894
54991 1 1081818 1116356 110 14 46186 -0.41823 0.66211
254173 1 1173898 1197935 137 20 46186 -0.33447 0.63099
8784 1 1203508 1206709 10 2 46186 1.9818 0.023749
7293 1 1211326 1214638 8 3 46186 1.2851 0.099376
51150 1 1216908 1232067 86 5 46186 0.47375 0.31784
126792 1 1232249 1235041 6 2 46186 2.1542 0.015612
388581 1 1242446 1247218 13 3 46186 0.38353 0.35066
118424 1 1253912 1273854 40 7 46186 1.5995 0.054851
6339 1 1280415 1292029 39 14 46186 -0.1587 0.56305
116983 1 1292384 1307925 42 10 46186 0.50476 0.30686
126789 1 1308571 1311677 4 2 46186 -0.45483 0.67538
54973 1 1311585 1324687 17 6 46186 0.85036 0.19756
80772 1 1324756 1328896 10 2 46186 0.57112 0.28396
83756 1 1328999 1335320 21 7 46186 0.38099 0.35161
1855 1 1335278 1349158 29 8 46186 0.48789 0.31281
54587 1 1352689 1363541 30 5 46186 0.39497 0.34643
54998 1 1373730 1375438 8 4 46186 1.4062 0.079838
81669 1 1385711 1399338 21 7 46186 0.017103 0.49318
55052 1 1401896 1407834 15 6 46186 0.6853 0.24658
441869 1 1418420 1421820 10 4 46186 0.50315 0.30743
643965 1 1426128 1427787 8 3 46186 -0.5846 0.72059
64856 1 1435523 1442882 14 4 46186 -1.4845 0.93116
219293 1 1441301 1470158 85 14 46186 -2.1926 0.98583
83858 1 1471732 1509479 89 21 46186 -1.0896 0.86206
55210 1 1512143 1534687 78 13 46186 -0.78905 0.78496
339453 1 1534778 1540360 12 7 46186 -0.13059 0.55195
29101 1 1541673 1574882 91 11 46186 0.682 0.24762
643988 1 1598008 1600096 2 1 46186 -0.3872 0.6507
142678 1 1614975 1630610 36 8 46186 -1.6009 0.9453
984 1 1635226 1659839 33 6 46186 -1.3871 0.91729
728661 1 1660025 1692804 73 17 46186 -2.7274 0.99681
728642 1 1702730 1724352 67 5 46186 -0.43194 0.66711
9906 1 1724838 1745999 62 11 46186 -0.84561 0.80111
65220 1 1751232 1780514 63 9 46186 -0.19307 0.57655
2782 1 1785285 1891117 154 23 46186 0.16836 0.43315
105378949 1 1885960 1893010 14 7 46186 -0.032256 0.51287
163688 1 1913752 1917294 13 3 46186 -0.41574 0.6612
339456 1 1917589 1919301 5 2 46186 -0.72153 0.76471
85452 1 1921951 2003837 312 26 46186 -0.48788 0.68718
2563 1 2019329 2030753 27 6 46186 -0.081633 0.53253
5590 1 2050470 2185395 379 30 46186 1.4535 0.073045
100506504 1 2181811 2184360 4 2 46186 0.5474 0.29205
199990 1 2184460 2212720 46 10 46186 0.84073 0.20025
105378592 1 2208942 2215211 17 8 46186 0.86135 0.19452
6497 1 2228695 2310213 231 45 46186 -0.22207 0.58787
105378594 1 2280383 2284676 13 5 46186 0.33333 0.36944
79906 1 2321253 2391751 282 34 46186 -2.3211 0.98986
11079 1 2391314 2405444 34 11 46186 -1.2024 0.8854
5192 1 2404802 2413780 22 8 46186 -1.5234 0.93617
9651 1 2415782 2505530 306 48 46186 -2.5675 0.99488
55229 1 2508531 2526628 39 6 46186 -0.54271 0.70633
388585 1 2528745 2530245 3 2 46186 -0.33567 0.63144
8764 1 2556365 2565622 19 6 46186 -0.3171 0.62442
127281 1 2586460 2591469 9 3 46186 0.076811 0.46939
79258 1 2590639 2633042 146 10 46186 0.052255 0.47916
100287898 1 2636988 2789665 85 13 46186 -0.12654 0.55035
140625 1 3021482 3022903 4 2 46186 -0.15727 0.56249
63976 1 3068227 3438621 1321 167 46186 -1.0944 0.8631
27237 1 3454583 3481115 87 12 46186 -1.2428 0.89303
1953 1 3487942 3624757 543 86 46186 -2.4602 0.99306
127262 1 3624992 3630131 12 4 46186 -0.10469 0.54169
49856 1 3630767 3650107 31 10 46186 -1.1741 0.87983
7161 1 3652565 3736201 279 53 46186 -3.3128 0.99954
148870 1 3752398 3771645 60 14 46186 -0.88346 0.8115
388588 1 3772761 3775982 11 5 46186 0.32107 0.37408
57470 1 3780220 3796504 80 16 46186 -0.078221 0.53117
9731 1 3812081 3857387 276 16 46186 0.31325 0.37705
1677 1 3857143 3885429 157 22 46186 -0.56392 0.71359
339448 1 3889133 3900293 41 8 46186 -1.6157 0.94692
55966 1 4655045 4792534 648 84 46186 0.18111 0.42814
261734 1 5862808 5992505 377 21 46186 -2.1035 0.98229
8514 1 5992298 6101193 294 46 46186 -1.5778 0.94269
26038 1 6101787 6180134 265 32 46186 1.087 0.13852
6146 1 6185020 6199619 35 7 46186 -1.5152 0.93513
388591 1 6205775 6221299 32 5 46186 -0.86107 0.8054
23463 1 6221193 6235984 27 6 46186 -1.3254 0.90747
390992 1 6244158 6245578 2 1 46186 -0.89666 0.81505
387509 1 6247346 6260990 35 3 46186 -0.78191 0.78287
11332 1 6264272 6393766 393 26 46186 -1.5547 0.93999
54626 1 6415232 6424664 28 6 46186 -0.018462 0.50736
83715 1 6424776 6460944 100 12 46186 0.21781 0.41379
8718 1 6461151 6466195 13 5 46186 0.47318 0.31804
57449 1 6466092 6520061 131 24 46186 -0.48328 0.68555
79707 1 6521347 6554598 97 3 46186 -1.4753 0.92994
80835 1 6555278 6579757 38 8 46186 -1.5539 0.93989
3104 1 6579991 6589280 8 4 46186 -1.4973 0.93284
9903 1 6590724 6602898 26 8 46186 -2.3531 0.99069
148479 1 6613696 6624033 16 4 46186 -1.3673 0.91423
90326 1 6624865 6635586 31 6 46186 -2.3367 0.99027
55735 1 6634168 6701906 139 17 46186 -2.3425 0.99042
23261 1 6785324 7769706 2654 222 46186 -1.0962 0.86351
9341 1 7771269 7781432 31 9 46186 0.40771 0.34174
8863 1 7784380 7845181 204 27 46186 -1.1349 0.87179
10911 1 7847612 7913610 290 28 46186 -0.044656 0.51781
3604 1 7915871 7943165 52 8 46186 -0.071047 0.52832
11315 1 7961654 7985283 48 10 46186 -0.084221 0.53356
54206 1 8011719 8026333 23 5 46186 0.54096 0.29427
50651 1 8318085 8344167 82 14 46186 -0.59732 0.72485
473 1 8352404 8817691 668 29 46186 0.26415 0.39583
2023 1 8861000 8879092 25 5 46186 0.1492 0.4407
765 1 8945785 8975092 115 25 46186 -1.1542 0.87579
155184 1 8960853 9026384 214 54 46186 -1.4619 0.92811
6518 1 9036943 9071704 91 14 46186 2.3076 0.010511
80045 1 9103391 9129170 60 10 46186 -0.71141 0.76158
9563 1 9234776 9271337 94 18 46186 -0.60544 0.72756
80176 1 9292882 9369532 319 50 46186 -0.77636 0.78123
84275 1 9539469 9582773 58 9 46186 -1.3865 0.9172
199953 1 9588853 9614877 33 7 46186 -1.0216 0.84652
5293 1 9629889 9729114 196 36 46186 -1.6388 0.94938
22883 1 9729021 9824526 125 17 46186 -1.489 0.93175
56998 1 9848276 9910258 71 13 46186 -0.24168 0.59548
84328 1 9922110 9943402 41 11 46186 0.7255 0.23407
64802 1 9942923 9985501 82 12 46186 2.3508 0.0093673
105376719 1 9996423 9998089 10 3 46186 1.8547 0.031823
116362 1 9997197 10016020 35 5 46186 1.5532 0.060183
10277 1 10032983 10181239 286 18 46186 0.27721 0.39081
23095 1 10210706 10381603 511 16 46186 -0.046634 0.5186
5226 1 10398992 10420511 47 7 46186 -0.93362 0.82475
378708 1 10430102 10442815 37 5 46186 0.37278 0.35466
100526739 1 10430102 10452003 56 8 46186 0.10941 0.45644
1325 1 10449719 10452003 5 2 46186 -1.0296 0.8484
1676 1 10460531 10472556 18 5 46186 -0.83858 0.79915
5195 1 10474946 10630758 360 27 46186 0.49732 0.30948
54897 1 10636604 10796676 417 86 46186 -0.45834 0.67665
148345 1 10946473 10982037 121 17 46186 -0.18039 0.57158
23435 1 11012622 11025492 22 4 46186 0.17701 0.42975
10747 1 11026523 11047239 54 7 46186 0.40764 0.34177
6723 1 11054592 11060034 7 2 46186 -0.22144 0.58762
5394 1 11066613 11099910 95 6 46186 -0.489 0.68758
2475 1 11106531 11262557 326 12 46186 -1.1165 0.86789
10218 1 11189289 11195981 13 2 46186 -1.2833 0.90031
29914 1 11273198 11296595 34 5 46186 -1.333 0.90873
57540 1 11479238 11537583 140 15 46186 -2.1127 0.98269
26232 1 11648361 11654831 18 11 46186 -2.1391 0.98379
93611 1 11654375 11663327 20 7 46186 -0.3182 0.62483
26270 1 11664093 11674354 34 10 46186 -0.90647 0.81766
10459 1 11674480 11691788 63 14 46186 -0.45464 0.67532
374946 1 11686647 11720612 99 21 46186 -1.6534 0.95087
57085 1 11735474 11750771 36 8 46186 -0.92934 0.82364
284498 1 11762183 11789585 144 11 46186 0.093693 0.46268
4524 1 11785730 11806103 77 11 46186 0.21159 0.41621
1185 1 11806096 11843144 184 15 46186 0.58041 0.28082
4878 1 11845709 11847783 14 4 46186 1.6353 0.050992
90231 1 11919588 11926428 20 6 46186 -1.05 0.85313
5351 1 11934667 11975542 105 11 46186 -1.4986 0.93301
9927 1 11980181 12013515 85 10 46186 -0.22013 0.58712
60672 1 12019242 12032049 20 5 46186 -1.1642 0.87784
943 1 12063330 12144207 201 42 46186 0.61801 0.26829
7133 1 12166949 12209222 117 16 46186 -1.0211 0.84641
55187 1 12230039 12512047 341 32 46186 -2.3442 0.99046
9249 1 12567910 12618361 159 33 46186 -0.055558 0.52215
343066 1 12644547 12667086 47 6 46186 0.6342 0.26298
126767 1 12716115 12728759 43 7 46186 -0.41916 0.66245
93190 1 12746186 12761169 42 10 46186 -1.6459 0.95011
390999 1 12763223 12777906 43 9 46186 -2.0883 0.98161
65121 1 12791397 12796628 14 4 46186 -0.13568 0.55396
440560 1 12824380 12831410 28 7 46186 -1.6312 0.94857
343069 1 12847377 12848756 7 3 46186 -1.592 0.94431
65122 1 12857086 12861909 33 7 46186 -1.8698 0.96924
400735 1 12879212 12886201 36 7 46186 -1.8916 0.97073
343071 1 12892896 12898270 5 2 46186 -1.1793 0.88087
441871 1 12916647 12920480 1 1 46186 -1.2204 0.88885
440563 1 13115488 13116854 10 5 46186 -1.0991 0.86413
645382 1 13303516 13309027 3 1 46186 -0.53705 0.70438
391004 1 13389632 13392629 6 3 46186 -0.72675 0.76631
645425 1 13410450 13421354 3 1 46186 0.48581 0.31355
126755 1 13474977 13513781 160 36 46186 0.040376 0.4839
10630 1 13583757 13617957 97 26 46186 -0.47409 0.68228
7799 1 13700240 13825079 357 28 46186 0.071731 0.47141
23254 1 13893515 15118048 4361 350 46186 -0.50568 0.69346
55092 1 15152532 15220478 342 27 46186 -1.6597 0.95151
727684 1 15164196 15171624 28 7 46186 -1.1249 0.86968
114827 1 15236602 15400283 495 66 46186 -0.83973 0.79947
79180 1 15409895 15430343 56 19 46186 -0.71096 0.76145
11330 1 15438442 15449247 16 6 46186 0.051727 0.47937
63036 1 15456728 15472091 59 10 46186 1.8832 0.029838
51032 1 15476101 15491400 41 7 46186 -1.0359 0.84987
842 1 15491401 15526529 122 8 46186 0.88282 0.18867
23341 1 15526813 15571733 97 10 46186 0.060466 0.47589
79814 1 15571699 15585110 57 6 46186 0.48095 0.31527
84301 1 15617458 15661057 85 6 46186 -1.6007 0.94527
6248 1 15659869 15661722 3 2 46186 0.14494 0.44238
23207 1 15684267 15734769 146 13 46186 -0.45514 0.6755
284723 1 15735088 15741392 12 3 46186 -0.10171 0.54051
388595 1 15742492 15747797 11 3 46186 0.68558 0.24649
54751 1 15756171 15786589 63 11 46186 -0.22441 0.58878
440567 1 15807162 15807699 5 2 46186 -1.1962 0.8842
23013 1 15847864 15940455 164 21 46186 0.098694 0.46069
7709 1 15941869 15976132 57 15 46186 0.35393 0.36169
101928566 1 15976131 15997206 76 12 46186 0.46477 0.32105
149563 1 16004236 16006695 12 4 46186 0.10416 0.45852
27129 1 16014028 16018796 36 4 46186 0.65773 0.25536
1187 1 16021991 16034050 58 10 46186 -0.33442 0.63097
1188 1 16043736 16057326 112 13 46186 -0.70926 0.76092
348487 1 16057769 16073632 68 10 46186 -0.80326 0.78909
1969 1 16124337 16156087 54 12 46186 0.50215 0.30778
128272 1 16197856 16212671 43 5 46186 -1.0163 0.84525
101927546 1 16215907 16227036 23 4 46186 -0.77035 0.77945
79363 1 16231687 16237452 13 5 46186 -0.077841 0.53102
54455 1 16246840 16352491 209 14 46186 -0.99264 0.83956
26099 1 16367030 16398148 50 7 46186 0.001248 0.4995
374955 1 16387117 16437842 119 20 46186 -1.3483 0.91122
55707 1 16440672 16460090 36 9 46186 -0.85553 0.80387
102724970 1 16535773 16536956 3 2 46186 -0.41124 0.65955
100133301 1 16538724 16540035 1 1 46186 -2.1524 0.98432
55672 1 16562427 16613605 11 6 46186 -1.0181 0.84568
11223 1 16754634 16764480 1 1 46186 -0.70824 0.7606
9696 1 16895707 16972979 217 28 46186 0.16831 0.43317
4237 1 16974500 16981643 18 4 46186 1.9426 0.026032
23400 1 16985958 17011972 49 11 46186 1.1909 0.11684
6390 1 17018722 17054170 114 12 46186 1.8791 0.030119
11240 1 17066761 17119453 268 18 46186 0.59502 0.27591
29943 1 17205123 17246006 151 46 46186 -0.11481 0.5457
51702 1 17249082 17284233 159 24 46186 -0.87932 0.81039
23569 1 17308195 17364004 271 23 46186 -0.49551 0.68988
353238 1 17372196 17401699 160 17 46186 -1.544 0.93871
55920 1 17406755 17439754 69 12 46186 -1.179 0.88081
55160 1 17520197 17697875 419 54 46186 -1.3779 0.91588
81569 1 17712000 17827063 294 31 46186 -0.52529 0.70031
84966 1 18107746 18378484 950 134 46186 -0.62863 0.73521
127707 1 18480930 18485999 21 5 46186 -1.001 0.84159
5081 1 18631006 18748866 340 59 46186 -1.197 0.88434
80834 1 18839599 18859661 93 18 46186 -0.44142 0.67054
8659 1 18871430 18902799 128 20 46186 -1.5921 0.94432
126917 1 18904280 18956667 152 29 46186 -1.5439 0.93869
23352 1 19074506 19210319 241 22 46186 -0.62651 0.73451
23065 1 19215664 19251559 96 13 46186 -0.29859 0.61737
51154 1 19251581 19260128 48 8 46186 0.012345 0.49508
22977 1 19274325 19289346 74 6 46186 -0.75339 0.77439
8574 1 19302708 19312146 24 9 46186 -1.5923 0.94434
54896 1 19312246 19332431 92 13 46186 -1.0414 0.85116
832 1 19338773 19485641 499 28 46186 0.80679 0.20989
440574 1 19596977 19629821 72 14 46186 1.4607 0.072052
100532736 1 19596977 19658456 159 28 46186 1.0608 0.14439
4681 1 19643229 19658456 45 12 46186 0.64218 0.26038
3362 1 19665287 19680966 39 8 46186 -0.30944 0.62151
255104 1 19682213 19800353 363 49 46186 -1.1167 0.86794
54546 1 19814029 19815278 5 3 46186 -1.6069 0.94596
23252 1 19881702 19912945 70 14 46186 1.2199 0.11126
30814 1 19920307 19923617 15 5 46186 0.74877 0.227
5320 1 19975431 19980439 14 6 46186 0.14299 0.44315
5322 1 20028339 20091901 201 25 46186 0.13208 0.44746
26279 1 20112650 20119566 20 8 46186 -0.12803 0.55094
64600 1 20139326 20150386 24 11 46186 -0.049614 0.51979
391013 1 20163991 20175194 36 9 46186 0.45555 0.32436
127733 1 20183302 20196048 15 4 46186 -0.60499 0.72741
127731 1 20290907 20360221 246 33 46186 0.61136 0.27048
55450 1 20482391 20486235 4 2 46186 -1.1476 0.87443
79594 1 20499448 20508181 24 8 46186 -0.42965 0.66628
163933 1 20552439 20555020 3 1 46186 -1.3651 0.9139
978 1 20588951 20618908 111 19 46186 -0.6009 0.72605
65018 1 20633455 20651511 67 11 46186 -0.4215 0.6633
1650 1 20651767 20661544 26 6 46186 -0.074203 0.52958
