GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 0.14441 0.44259
105378580 1 803398 805130 4 2 337119 -0.22599 0.58939
148398 1 925741 944581 54 17 337119 -1.8363 0.96684
26155 1 944203 959299 49 8 337119 -0.72272 0.76507
339451 1 959952 965720 17 4 337119 -0.36842 0.64372
84069 1 966497 975108 29 13 337119 -0.97955 0.83634
84808 1 975199 982117 22 6 337119 -1.159 0.87678
57801 1 998962 1001285 12 4 337119 -0.14706 0.55846
9636 1 1013467 1014540 5 2 337119 -1.2582 0.89584
375790 1 1020101 1056119 115 16 337119 -0.55038 0.70897
105369174 1 1061207 1066390 10 5 337119 -0.9839 0.83742
105378948 1 1065635 1069326 10 3 337119 -1.9964 0.97706
401934 1 1071746 1074307 6 2 337119 -0.39021 0.65181
54991 1 1081818 1116356 114 14 337119 -1.0526 0.85373
254173 1 1173898 1197935 143 20 337119 0.50601 0.30643
8784 1 1203508 1206709 10 2 337119 1.1098 0.13353
7293 1 1211326 1214638 8 3 337119 0.55874 0.28817
51150 1 1216908 1232067 93 6 337119 -0.36699 0.64319
126792 1 1232249 1235041 7 2 337119 0.80251 0.21113
388581 1 1242446 1247218 13 3 337119 -0.19604 0.57771
118424 1 1253912 1273854 42 7 337119 0.7382 0.2302
6339 1 1280415 1292029 43 15 337119 -0.52271 0.69941
116983 1 1292384 1307925 43 10 337119 -1.202 0.88532
126789 1 1308571 1311677 5 3 337119 0.058059 0.47685
54973 1 1311585 1324687 19 6 337119 -0.82051 0.79404
80772 1 1324756 1328896 10 2 337119 -0.58236 0.71984
83756 1 1328999 1335320 26 8 337119 -0.93811 0.82591
1855 1 1335278 1349158 34 9 337119 -0.48331 0.68556
54587 1 1352689 1363541 36 6 337119 -0.77508 0.78085
54998 1 1373730 1375438 8 4 337119 -0.16732 0.56644
81669 1 1385711 1399338 21 7 337119 -1.4621 0.92814
55052 1 1401896 1407834 15 6 337119 -2.0329 0.97897
441869 1 1418420 1421820 10 4 337119 -0.841 0.79983
643965 1 1426128 1427787 8 3 337119 -0.23291 0.59208
64856 1 1435523 1442882 15 4 337119 -1.033 0.84919
219293 1 1441301 1470158 88 15 337119 -1.2515 0.89463
83858 1 1471732 1509479 90 21 337119 -0.59471 0.72398
55210 1 1512143 1534687 80 13 337119 -0.76486 0.77782
339453 1 1534778 1540360 12 7 337119 -1.1838 0.88176
29101 1 1541673 1574882 93 11 337119 -0.17856 0.57086
643988 1 1598008 1600096 2 1 337119 0.15379 0.43889
142678 1 1614975 1630610 39 9 337119 0.38866 0.34877
984 1 1635226 1659839 33 6 337119 1.7094 0.043689
728661 1 1660025 1692804 75 16 337119 2.7268 0.0031976
728642 1 1702730 1724352 68 5 337119 0.73334 0.23168
9906 1 1724838 1745999 64 11 337119 0.18819 0.42537
65220 1 1751232 1780514 68 10 337119 -0.29352 0.61544
2782 1 1785285 1891117 160 23 337119 -0.054176 0.5216
105378949 1 1885960 1893010 14 7 337119 -0.6683 0.74803
163688 1 1913752 1917294 13 3 337119 -0.75658 0.77535
339456 1 1917589 1919301 6 3 337119 0.67011 0.25139
85452 1 1921951 2003837 329 27 337119 -1.4949 0.93252
2563 1 2019329 2030753 29 7 337119 -0.065537 0.52613
5590 1 2050470 2185395 400 32 337119 0.35214 0.36237
100506504 1 2181811 2184360 4 2 337119 0.74758 0.22736
199990 1 2184460 2212720 52 12 337119 0.6588 0.25501
105378592 1 2208942 2215211 19 9 337119 0.52233 0.30072
6497 1 2228695 2310213 240 46 337119 -0.20702 0.582
105378594 1 2280383 2284676 14 5 337119 -0.23251 0.59193
79906 1 2321253 2391751 302 38 337119 0.53375 0.29676
11079 1 2391314 2405444 37 11 337119 0.73125 0.23231
5192 1 2404802 2413780 26 9 337119 0.2118 0.41613
9651 1 2415782 2505530 321 46 337119 0.31577 0.37609
55229 1 2508531 2526628 40 6 337119 -0.80101 0.78844
388585 1 2528745 2530245 3 2 337119 0.90347 0.18314
8764 1 2556365 2565622 23 5 337119 -0.68953 0.75475
127281 1 2586460 2591469 11 4 337119 0.063057 0.47486
79258 1 2590639 2633042 149 10 337119 0.31247 0.37734
100287898 1 2636988 2789665 89 13 337119 0.35059 0.36295
140625 1 3021482 3022903 4 2 337119 -0.93745 0.82574
63976 1 3068227 3438621 1383 172 337119 6.9536 1.7808e-12
27237 1 3454583 3481115 91 13 337119 2.4308 0.0075322
1953 1 3487942 3624757 572 88 337119 0.38797 0.34902
127262 1 3624992 3630131 13 5 337119 -0.15729 0.56249
49856 1 3630767 3650107 32 10 337119 -0.57756 0.71822
7161 1 3652565 3736201 295 54 337119 1.2213 0.11099
148870 1 3752398 3771645 67 15 337119 0.93344 0.1753
388588 1 3772761 3775982 12 5 337119 0.83819 0.20096
57470 1 3780220 3796504 80 16 337119 0.68578 0.24643
9731 1 3812081 3857387 284 18 337119 0.44925 0.32663
1677 1 3857143 3885429 163 23 337119 -0.67943 0.75157
339448 1 3889133 3900293 41 8 337119 -1.729 0.9581
55966 1 4655045 4792534 669 86 337119 -0.9846 0.83759
261734 1 5862808 5992505 393 22 337119 -0.26377 0.60402
8514 1 5992298 6101193 304 48 337119 -0.59097 0.72273
26038 1 6101787 6180134 273 33 337119 1.4738 0.070266
6146 1 6185020 6199619 35 7 337119 -0.44465 0.67171
388591 1 6205775 6221299 34 5 337119 1.6806 0.046419
23463 1 6221193 6235984 28 6 337119 0.77071 0.22044
390992 1 6244158 6245578 2 1 337119 -0.56611 0.71434
387509 1 6247346 6260990 36 3 337119 -1.4409 0.9252
11332 1 6264272 6393766 409 26 337119 -1.0506 0.85329
54626 1 6415232 6424664 30 6 337119 -1.5005 0.93326
83715 1 6424776 6460944 104 12 337119 -1.1536 0.87566
8718 1 6461151 6466195 13 5 337119 0.89829 0.18452
57449 1 6466092 6520061 139 25 337119 1.2097 0.11319
79707 1 6521347 6554598 101 3 337119 0.27847 0.39033
80835 1 6555278 6579757 42 8 337119 -0.32643 0.62795
3104 1 6579991 6589280 9 4 337119 0.95905 0.16877
9903 1 6590724 6602898 30 9 337119 -0.19837 0.57862
148479 1 6613696 6624033 18 4 337119 -0.19821 0.57856
90326 1 6624865 6635586 33 7 337119 1.5431 0.061402
55735 1 6634168 6701906 144 18 337119 0.9507 0.17088
23261 1 6785324 7769706 2727 225 337119 -1.8071 0.96463
9341 1 7771269 7781432 33 9 337119 1.0228 0.15321
8863 1 7784380 7845181 215 27 337119 1.235 0.10842
10911 1 7847612 7913610 303 28 337119 0.22557 0.41077
3604 1 7915871 7943165 54 8 337119 0.60782 0.27165
11315 1 7961654 7985283 50 10 337119 0.49184 0.31142
54206 1 8011719 8026333 23 5 337119 0.89304 0.18592
50651 1 8318085 8344167 82 14 337119 3.5569 0.00018761
473 1 8352404 8817691 684 29 337119 1.6356 0.050966
2023 1 8861000 8879092 25 5 337119 -0.083449 0.53325
765 1 8945785 8975092 117 26 337119 -0.72498 0.76577
155184 1 8960853 9026384 218 55 337119 -0.01953 0.50779
6518 1 9036943 9071704 96 14 337119 -0.93592 0.82534
80045 1 9103391 9129170 60 10 337119 0.47859 0.31612
9563 1 9234776 9271337 98 19 337119 1.5915 0.055751
80176 1 9292882 9369532 329 48 337119 -0.64016 0.73896
84275 1 9539469 9582773 60 9 337119 -0.54236 0.70622
199953 1 9588853 9614877 37 8 337119 0.83373 0.20222
5293 1 9629889 9729114 200 36 337119 1.2672 0.10253
22883 1 9729021 9824526 130 17 337119 0.79328 0.21381
56998 1 9848276 9910258 74 13 337119 -0.6001 0.72578
84328 1 9922110 9943402 44 10 337119 -0.142 0.55646
64802 1 9942923 9985501 88 14 337119 -0.17761 0.57049
105376719 1 9996423 9998089 10 3 337119 0.17525 0.43044
116362 1 9997197 10016020 36 5 337119 0.38803 0.349
10277 1 10032983 10181239 307 18 337119 -0.77742 0.78155
23095 1 10210706 10381603 522 17 337119 1.5238 0.063773
5226 1 10398992 10420511 50 8 337119 2.1871 0.014369
378708 1 10430102 10442815 37 5 337119 -0.94049 0.82652
100526739 1 10430102 10452003 56 8 337119 -1.2155 0.8879
1325 1 10449719 10452003 5 2 337119 -0.98113 0.83674
1676 1 10460531 10472556 18 5 337119 0.094887 0.4622
5195 1 10474946 10630758 368 29 337119 -1.3204 0.90665
54897 1 10636604 10796676 432 89 337119 0.65517 0.25618
148345 1 10946473 10982037 125 18 337119 -0.39571 0.65384
23435 1 11012622 11025492 22 4 337119 -0.33679 0.63186
10747 1 11026523 11047239 56 7 337119 0.3426 0.36595
6723 1 11054592 11060034 7 2 337119 0.96707 0.16675
5394 1 11066613 11099910 95 6 337119 0.91147 0.18102
2475 1 11106531 11262557 339 11 337119 0.17604 0.43013
10218 1 11189289 11195981 15 3 337119 0.20272 0.41968
29914 1 11273198 11296595 35 6 337119 0.51074 0.30477
57540 1 11479238 11537583 150 16 337119 1.0855 0.13885
26232 1 11648361 11654831 22 12 337119 -1.6982 0.95527
93611 1 11654375 11663327 24 8 337119 -0.34907 0.63648
26270 1 11664093 11674354 34 10 337119 -2.1179 0.98291
10459 1 11674480 11691788 65 14 337119 -0.36195 0.64131
374946 1 11686647 11720612 104 22 337119 0.39545 0.34625
57085 1 11735474 11750771 38 9 337119 -0.43361 0.66771
284498 1 11762183 11789585 149 11 337119 -0.74181 0.7709
4524 1 11785730 11806103 78 11 337119 -0.36497 0.64243
1185 1 11806096 11843144 194 15 337119 0.13804 0.4451
4878 1 11845709 11847783 15 4 337119 -0.45445 0.67525
90231 1 11919588 11926428 21 7 337119 0.92315 0.17796
5351 1 11934667 11975542 106 11 337119 0.13745 0.44534
9927 1 11980181 12013515 89 10 337119 1.8236 0.034107
60672 1 12019242 12032049 22 5 337119 -0.66917 0.74831
943 1 12063330 12144207 206 43 337119 -0.98511 0.83771
7133 1 12166949 12209222 121 17 337119 0.06068 0.47581
55187 1 12230039 12512047 360 33 337119 2.4081 0.008018
9249 1 12567910 12618361 169 35 337119 1.1755 0.1199
343066 1 12644547 12667086 51 6 337119 -0.40384 0.65684
126767 1 12716115 12728759 43 7 337119 2.1936 0.014133
93190 1 12746186 12761169 44 10 337119 1.3435 0.08955
390999 1 12763223 12777906 44 9 337119 0.76496 0.22215
65121 1 12791397 12796628 14 4 337119 2.1447 0.015989
440560 1 12824380 12831410 28 7 337119 1.8912 0.029298
343069 1 12847377 12848756 7 3 337119 0.28371 0.38832
65122 1 12857086 12861909 34 7 337119 -0.25663 0.60127
400735 1 12879212 12886201 36 7 337119 -0.15527 0.5617
343071 1 12892896 12898270 5 2 337119 -0.33039 0.62945
441871 1 12916647 12920480 1 1 337119 0.34558 0.36483
440563 1 13115488 13116854 10 5 337119 -0.32108 0.62592
645382 1 13303516 13309027 3 1 337119 1.4104 0.079209
391004 1 13389632 13392629 6 3 337119 -1.7189 0.95718
645425 1 13410450 13421354 3 1 337119 -1.5436 0.93866
126755 1 13474977 13513781 168 38 337119 -0.27879 0.6098
10630 1 13583757 13617957 100 27 337119 -1.2635 0.89679
7799 1 13700240 13825079 365 29 337119 0.56509 0.28601
23254 1 13893515 15118048 4504 354 337119 -0.10592 0.54218
55092 1 15152532 15220478 349 27 337119 3.9904 3.298e-05
727684 1 15164196 15171624 29 7 337119 1.3281 0.092076
114827 1 15236602 15400283 526 57 337119 0.91117 0.1811
79180 1 15409895 15430343 56 19 337119 1.8637 0.031181
11330 1 15438442 15449247 18 7 337119 0.47704 0.31667
63036 1 15456728 15472091 63 10 337119 1.0547 0.14579
51032 1 15476101 15491400 44 8 337119 -1.2429 0.89305
842 1 15491401 15526529 126 8 337119 -0.88714 0.8125
23341 1 15526813 15571733 104 11 337119 -1.1575 0.87647
79814 1 15571699 15585110 58 6 337119 -0.84685 0.80146
84301 1 15617458 15661057 91 6 337119 -0.18241 0.57237
6248 1 15659869 15661722 3 2 337119 -0.053569 0.52136
23207 1 15684267 15734769 148 13 337119 -0.9984 0.84096
284723 1 15735088 15741392 12 3 337119 0.15542 0.43824
388595 1 15742492 15747797 11 3 337119 -1.2028 0.88548
