GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.43097 0.66676
105378580 1 803398 805130 4 2 337119 -1.7108 0.95645
148398 1 925741 944581 54 17 337119 0.43086 0.33328
26155 1 944203 959299 49 8 337119 -1.2934 0.90207
339451 1 959952 965720 17 4 337119 -1.3014 0.90344
84069 1 966497 975108 29 13 337119 -2.8529 0.99783
84808 1 975199 982117 22 6 337119 -1.742 0.95925
57801 1 998962 1001285 12 4 337119 0.58318 0.27989
9636 1 1013467 1014540 5 2 337119 0.12318 0.45098
375790 1 1020101 1056119 115 16 337119 1.1289 0.12946
105369174 1 1061207 1066390 10 5 337119 -0.57013 0.71571
105378948 1 1065635 1069326 10 3 337119 -0.25794 0.60177
401934 1 1071746 1074307 6 2 337119 0.92904 0.17643
54991 1 1081818 1116356 114 14 337119 -0.095658 0.5381
254173 1 1173898 1197935 143 20 337119 1.205 0.11409
8784 1 1203508 1206709 10 2 337119 0.82282 0.20531
7293 1 1211326 1214638 8 3 337119 -0.49656 0.69025
51150 1 1216908 1232067 93 6 337119 -0.35299 0.63795
126792 1 1232249 1235041 7 2 337119 -0.60203 0.72642
388581 1 1242446 1247218 13 3 337119 0.098605 0.46073
118424 1 1253912 1273854 42 7 337119 0.71163 0.23835
6339 1 1280415 1292029 43 15 337119 -0.72201 0.76486
116983 1 1292384 1307925 43 10 337119 -1.094 0.86302
126789 1 1308571 1311677 5 3 337119 -1.9274 0.97303
54973 1 1311585 1324687 19 6 337119 -1.4408 0.92518
80772 1 1324756 1328896 10 2 337119 -1.2114 0.88712
83756 1 1328999 1335320 26 8 337119 -0.89449 0.81447
1855 1 1335278 1349158 34 9 337119 -1.1335 0.87149
54587 1 1352689 1363541 36 6 337119 -1.0669 0.85699
54998 1 1373730 1375438 8 4 337119 -1.3248 0.90737
81669 1 1385711 1399338 21 7 337119 -0.47117 0.68124
55052 1 1401896 1407834 15 6 337119 -1.0885 0.86181
441869 1 1418420 1421820 10 4 337119 -1.0965 0.86356
643965 1 1426128 1427787 8 3 337119 -0.52454 0.70005
64856 1 1435523 1442882 15 4 337119 -0.35249 0.63777
219293 1 1441301 1470158 88 15 337119 -0.59229 0.72317
83858 1 1471732 1509479 90 21 337119 -1.1335 0.87149
55210 1 1512143 1534687 80 13 337119 -0.59263 0.72329
339453 1 1534778 1540360 12 7 337119 -0.4585 0.6767
29101 1 1541673 1574882 93 11 337119 -0.39723 0.6544
643988 1 1598008 1600096 2 1 337119 0.28043 0.38958
142678 1 1614975 1630610 39 9 337119 0.65848 0.25511
984 1 1635226 1659839 33 6 337119 -0.030375 0.51212
728661 1 1660025 1692804 75 16 337119 0.24666 0.40259
728642 1 1702730 1724352 68 5 337119 -0.39008 0.65176
9906 1 1724838 1745999 64 11 337119 -0.92779 0.82324
65220 1 1751232 1780514 68 10 337119 -0.91001 0.81859
2782 1 1785285 1891117 160 23 337119 -1.5897 0.94405
105378949 1 1885960 1893010 14 7 337119 -2.3092 0.98953
163688 1 1913752 1917294 13 3 337119 -0.50125 0.6919
339456 1 1917589 1919301 6 3 337119 -0.83777 0.79892
85452 1 1921951 2003837 329 27 337119 -0.97641 0.83557
2563 1 2019329 2030753 29 7 337119 0.75868 0.22402
5590 1 2050470 2185395 400 32 337119 2.2447 0.012393
100506504 1 2181811 2184360 4 2 337119 1.1661 0.12179
199990 1 2184460 2212720 52 12 337119 1.7021 0.044367
105378592 1 2208942 2215211 19 9 337119 0.65036 0.25773
6497 1 2228695 2310213 240 46 337119 0.79675 0.2128
105378594 1 2280383 2284676 14 5 337119 2.7491 0.0029877
79906 1 2321253 2391751 302 38 337119 1.169 0.1212
11079 1 2391314 2405444 37 11 337119 -2.0094 0.97775
5192 1 2404802 2413780 26 9 337119 -1.7679 0.96146
9651 1 2415782 2505530 321 46 337119 -0.53729 0.70447
55229 1 2508531 2526628 40 6 337119 0.67847 0.24874
388585 1 2528745 2530245 3 2 337119 -0.9613 0.8318
8764 1 2556365 2565622 23 5 337119 -0.71989 0.7642
127281 1 2586460 2591469 11 4 337119 -0.74359 0.77144
79258 1 2590639 2633042 149 10 337119 -1.0718 0.85809
100287898 1 2636988 2789665 89 13 337119 -1.0702 0.85774
140625 1 3021482 3022903 4 2 337119 -1.5009 0.93331
63976 1 3068227 3438621 1383 172 337119 0.084917 0.46616
27237 1 3454583 3481115 91 13 337119 -0.68965 0.75479
1953 1 3487942 3624757 572 88 337119 1.19 0.11703
127262 1 3624992 3630131 13 5 337119 0.463 0.32168
49856 1 3630767 3650107 32 10 337119 -0.011971 0.50478
7161 1 3652565 3736201 295 54 337119 -0.47202 0.68154
148870 1 3752398 3771645 67 15 337119 -0.43761 0.66917
388588 1 3772761 3775982 12 5 337119 -1.1042 0.86525
57470 1 3780220 3796504 80 16 337119 -1.2583 0.89586
9731 1 3812081 3857387 284 18 337119 -1.1292 0.8706
1677 1 3857143 3885429 163 23 337119 0.50708 0.30605
339448 1 3889133 3900293 41 8 337119 0.73099 0.23239
55966 1 4655045 4792534 669 86 337119 -0.26557 0.60471
261734 1 5862808 5992505 393 22 337119 0.26614 0.39507
8514 1 5992298 6101193 304 48 337119 0.53833 0.29517
26038 1 6101787 6180134 273 33 337119 -0.42922 0.66612
6146 1 6185020 6199619 35 7 337119 -0.78533 0.78387
388591 1 6205775 6221299 34 5 337119 0.53931 0.29484
23463 1 6221193 6235984 28 6 337119 0.51692 0.30261
390992 1 6244158 6245578 2 1 337119 1.5778 0.057308
387509 1 6247346 6260990 36 3 337119 0.40297 0.34349
11332 1 6264272 6393766 409 26 337119 1.1547 0.1241
54626 1 6415232 6424664 30 6 337119 0.15045 0.44021
83715 1 6424776 6460944 104 12 337119 -0.19149 0.57593
8718 1 6461151 6466195 13 5 337119 0.64468 0.25957
57449 1 6466092 6520061 139 25 337119 1.7932 0.036473
79707 1 6521347 6554598 101 3 337119 0.1078 0.45708
80835 1 6555278 6579757 42 8 337119 -0.89047 0.81339
3104 1 6579991 6589280 9 4 337119 -0.15906 0.56319
9903 1 6590724 6602898 30 9 337119 -0.83103 0.79702
148479 1 6613696 6624033 18 4 337119 -0.84799 0.80178
90326 1 6624865 6635586 33 7 337119 -0.096049 0.53826
55735 1 6634168 6701906 144 18 337119 -1.085 0.86103
23261 1 6785324 7769706 2727 225 337119 1.2883 0.098827
9341 1 7771269 7781432 33 9 337119 -2.1618 0.98468
8863 1 7784380 7845181 215 27 337119 -0.65688 0.74437
10911 1 7847612 7913610 303 28 337119 -1.0667 0.85694
3604 1 7915871 7943165 54 8 337119 -0.29629 0.6165
11315 1 7961654 7985283 50 10 337119 0.021481 0.49143
54206 1 8011719 8026333 23 5 337119 0.051454 0.47948
