GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.94496 0.82766
105378580 1 803398 805130 4 2 337119 -1.2561 0.89546
148398 1 925741 944581 54 17 337119 -0.089519 0.53567
26155 1 944203 959299 49 8 337119 -1.1998 0.88489
339451 1 959952 965720 17 4 337119 -0.91765 0.8206
84069 1 966497 975108 29 13 337119 -0.030842 0.5123
84808 1 975199 982117 22 6 337119 -0.23848 0.59425
57801 1 998962 1001285 12 4 337119 -1.113 0.86715
9636 1 1013467 1014540 5 2 337119 -0.45976 0.67716
375790 1 1020101 1056119 115 16 337119 -0.33964 0.63293
105369174 1 1061207 1066390 10 5 337119 0.45772 0.32358
105378948 1 1065635 1069326 10 3 337119 1.518 0.064502
401934 1 1071746 1074307 6 2 337119 0.70844 0.23934
54991 1 1081818 1116356 114 14 337119 -0.9818 0.8369
254173 1 1173898 1197935 143 20 337119 -1.6685 0.9524
8784 1 1203508 1206709 10 2 337119 -0.29136 0.61461
7293 1 1211326 1214638 8 3 337119 0.87504 0.19078
51150 1 1216908 1232067 93 6 337119 -0.038576 0.51539
126792 1 1232249 1235041 7 2 337119 1.7184 0.042862
388581 1 1242446 1247218 13 3 337119 -0.34938 0.6366
118424 1 1253912 1273854 42 7 337119 -0.14522 0.55773
6339 1 1280415 1292029 43 15 337119 0.13263 0.44724
116983 1 1292384 1307925 43 10 337119 0.22783 0.40989
126789 1 1308571 1311677 5 3 337119 0.66948 0.25159
54973 1 1311585 1324687 19 6 337119 1.7551 0.039625
80772 1 1324756 1328896 10 2 337119 0.93567 0.17472
83756 1 1328999 1335320 26 8 337119 1.5571 0.059724
1855 1 1335278 1349158 34 9 337119 1.7042 0.044169
54587 1 1352689 1363541 36 6 337119 1.3967 0.081255
54998 1 1373730 1375438 8 4 337119 1.9589 0.025062
81669 1 1385711 1399338 21 7 337119 1.226 0.1101
55052 1 1401896 1407834 15 6 337119 1.5063 0.065997
441869 1 1418420 1421820 10 4 337119 0.54565 0.29265
643965 1 1426128 1427787 8 3 337119 -1.5425 0.93853
64856 1 1435523 1442882 15 4 337119 1.2402 0.10744
219293 1 1441301 1470158 88 15 337119 2.1544 0.015604
83858 1 1471732 1509479 90 21 337119 2.5535 0.0053329
55210 1 1512143 1534687 80 13 337119 2.103 0.017734
339453 1 1534778 1540360 12 7 337119 0.67955 0.2484
29101 1 1541673 1574882 93 11 337119 0.17532 0.43041
643988 1 1598008 1600096 2 1 337119 0.1105 0.456
142678 1 1614975 1630610 39 9 337119 0.084755 0.46623
984 1 1635226 1659839 33 6 337119 0.20056 0.42052
728661 1 1660025 1692804 75 16 337119 -0.68529 0.75342
728642 1 1702730 1724352 68 5 337119 0.36289 0.35834
9906 1 1724838 1745999 64 11 337119 -0.93356 0.82473
65220 1 1751232 1780514 68 10 337119 -1.5693 0.94171
2782 1 1785285 1891117 160 23 337119 -2.0347 0.97906
105378949 1 1885960 1893010 14 7 337119 -2.4289 0.99243
163688 1 1913752 1917294 13 3 337119 -1.3217 0.90687
339456 1 1917589 1919301 6 3 337119 -1.7852 0.96288
85452 1 1921951 2003837 329 27 337119 -0.75695 0.77546
2563 1 2019329 2030753 29 7 337119 1.0457 0.14784
5590 1 2050470 2185395 400 32 337119 -0.8492 0.80212
100506504 1 2181811 2184360 4 2 337119 0.84587 0.19881
199990 1 2184460 2212720 52 12 337119 -0.21532 0.58524
105378592 1 2208942 2215211 19 9 337119 -0.57586 0.71764
6497 1 2228695 2310213 240 46 337119 -0.1016 0.54046
105378594 1 2280383 2284676 14 5 337119 -0.86989 0.80782
79906 1 2321253 2391751 302 38 337119 -0.77995 0.78229
11079 1 2391314 2405444 37 11 337119 -0.027342 0.51091
5192 1 2404802 2413780 26 9 337119 -0.33934 0.63282
9651 1 2415782 2505530 321 46 337119 2.6464 0.0040679
55229 1 2508531 2526628 40 6 337119 -1.0989 0.86409
388585 1 2528745 2530245 3 2 337119 0.21656 0.41428
8764 1 2556365 2565622 23 5 337119 -0.23406 0.59253
127281 1 2586460 2591469 11 4 337119 0.43069 0.33335
79258 1 2590639 2633042 149 10 337119 -0.056242 0.52243
100287898 1 2636988 2789665 89 13 337119 0.57483 0.2827
140625 1 3021482 3022903 4 2 337119 1.1044 0.1347
63976 1 3068227 3438621 1383 172 337119 -0.22285 0.58817
27237 1 3454583 3481115 91 13 337119 -0.11376 0.54528
1953 1 3487942 3624757 572 88 337119 -1.0049 0.84253
127262 1 3624992 3630131 13 5 337119 -0.60789 0.72837
49856 1 3630767 3650107 32 10 337119 -1.1096 0.8664
7161 1 3652565 3736201 295 54 337119 -0.43346 0.66766
148870 1 3752398 3771645 67 15 337119 -1.2366 0.89189
388588 1 3772761 3775982 12 5 337119 -0.41609 0.66133
57470 1 3780220 3796504 80 16 337119 -0.11443 0.54555
9731 1 3812081 3857387 284 18 337119 -0.087951 0.53504
1677 1 3857143 3885429 163 23 337119 -0.61074 0.72932
339448 1 3889133 3900293 41 8 337119 1.065 0.14343
55966 1 4655045 4792534 669 86 337119 0.68102 0.24793
261734 1 5862808 5992505 393 22 337119 -0.9635 0.83235
8514 1 5992298 6101193 304 48 337119 -0.39276 0.65275
26038 1 6101787 6180134 273 33 337119 -0.5621 0.71298
6146 1 6185020 6199619 35 7 337119 -0.54427 0.70687
388591 1 6205775 6221299 34 5 337119 -0.13442 0.55346
23463 1 6221193 6235984 28 6 337119 0.74708 0.22751
390992 1 6244158 6245578 2 1 337119 0.17136 0.43197
