GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.23851 0.59426
105378580 1 803398 805130 4 2 337119 0.11893 0.45267
148398 1 925741 944581 54 17 337119 0.18106 0.42816
26155 1 944203 959299 49 8 337119 0.27305 0.39241
339451 1 959952 965720 17 4 337119 -0.16803 0.56672
84069 1 966497 975108 29 13 337119 2.0415 0.020599
84808 1 975199 982117 22 6 337119 1.7249 0.042276
57801 1 998962 1001285 12 4 337119 2.0853 0.01852
9636 1 1013467 1014540 5 2 337119 1.2616 0.10356
375790 1 1020101 1056119 115 16 337119 0.51183 0.30438
105369174 1 1061207 1066390 10 5 337119 0.51918 0.30182
105378948 1 1065635 1069326 10 3 337119 -0.1504 0.55978
401934 1 1071746 1074307 6 2 337119 0.65278 0.25695
54991 1 1081818 1116356 114 14 337119 -0.50857 0.69447
254173 1 1173898 1197935 143 20 337119 -0.81257 0.79177
8784 1 1203508 1206709 10 2 337119 -0.094072 0.53747
7293 1 1211326 1214638 8 3 337119 -0.8858 0.81214
51150 1 1216908 1232067 93 6 337119 -0.63725 0.73802
126792 1 1232249 1235041 7 2 337119 -1.3329 0.90872
388581 1 1242446 1247218 13 3 337119 -1.2298 0.89061
118424 1 1253912 1273854 42 7 337119 -0.32211 0.62632
6339 1 1280415 1292029 43 15 337119 0.16646 0.4339
116983 1 1292384 1307925 43 10 337119 0.69446 0.2437
126789 1 1308571 1311677 5 3 337119 1.2393 0.10762
54973 1 1311585 1324687 19 6 337119 1.9607 0.024956
80772 1 1324756 1328896 10 2 337119 1.8638 0.031172
83756 1 1328999 1335320 26 8 337119 1.9749 0.024139
1855 1 1335278 1349158 34 9 337119 2.0261 0.021378
54587 1 1352689 1363541 36 6 337119 2.2132 0.013442
54998 1 1373730 1375438 8 4 337119 1.0148 0.1551
81669 1 1385711 1399338 21 7 337119 1.3839 0.083196
55052 1 1401896 1407834 15 6 337119 1.4324 0.076015
441869 1 1418420 1421820 10 4 337119 1.7685 0.038488
643965 1 1426128 1427787 8 3 337119 2.3057 0.010564
64856 1 1435523 1442882 15 4 337119 2.2519 0.012164
219293 1 1441301 1470158 88 15 337119 3.1159 0.00091687
83858 1 1471732 1509479 90 21 337119 1.4009 0.080618
55210 1 1512143 1534687 80 13 337119 0.67232 0.25069
339453 1 1534778 1540360 12 7 337119 0.70664 0.2399
29101 1 1541673 1574882 93 11 337119 1.1784 0.11932
643988 1 1598008 1600096 2 1 337119 -0.16037 0.56371
142678 1 1614975 1630610 39 9 337119 2.5969 0.0047034
984 1 1635226 1659839 33 6 337119 2.8627 0.0021001
728661 1 1660025 1692804 75 16 337119 2.4048 0.0080898
728642 1 1702730 1724352 68 5 337119 1.7454 0.040456
9906 1 1724838 1745999 64 11 337119 1.4926 0.067765
65220 1 1751232 1780514 68 10 337119 -0.027009 0.51077
2782 1 1785285 1891117 160 23 337119 -0.47431 0.68236
105378949 1 1885960 1893010 14 7 337119 -0.67225 0.74929
163688 1 1913752 1917294 13 3 337119 -0.9162 0.82022
339456 1 1917589 1919301 6 3 337119 -0.91955 0.8211
85452 1 1921951 2003837 329 27 337119 0.21619 0.41442
2563 1 2019329 2030753 29 7 337119 -0.81261 0.79178
5590 1 2050470 2185395 400 32 337119 -1.3911 0.9179
100506504 1 2181811 2184360 4 2 337119 -1.3123 0.90529
199990 1 2184460 2212720 52 12 337119 -0.3906 0.65195
105378592 1 2208942 2215211 19 9 337119 -1.5894 0.94401
6497 1 2228695 2310213 240 46 337119 -1.1703 0.87906
105378594 1 2280383 2284676 14 5 337119 -2.1222 0.98309
79906 1 2321253 2391751 302 38 337119 -0.95331 0.82978
11079 1 2391314 2405444 37 11 337119 -1.0813 0.86021
5192 1 2404802 2413780 26 9 337119 -0.35829 0.63994
9651 1 2415782 2505530 321 46 337119 0.96586 0.16706
55229 1 2508531 2526628 40 6 337119 0.10474 0.45829
388585 1 2528745 2530245 3 2 337119 -0.23573 0.59318
8764 1 2556365 2565622 23 5 337119 0.65196 0.25721
127281 1 2586460 2591469 11 4 337119 0.79922 0.21208
79258 1 2590639 2633042 149 10 337119 1.0397 0.14925
100287898 1 2636988 2789665 89 13 337119 0.90434 0.18291
140625 1 3021482 3022903 4 2 337119 -0.88701 0.81246
63976 1 3068227 3438621 1383 172 337119 1.1794 0.11913
27237 1 3454583 3481115 91 13 337119 -0.6464 0.74099
1953 1 3487942 3624757 572 88 337119 0.89941 0.18422
127262 1 3624992 3630131 13 5 337119 -0.4434 0.67126
49856 1 3630767 3650107 32 10 337119 -0.15504 0.56161
7161 1 3652565 3736201 295 54 337119 -0.018145 0.50724
148870 1 3752398 3771645 67 15 337119 -0.3519 0.63754
388588 1 3772761 3775982 12 5 337119 0.67273 0.25056
57470 1 3780220 3796504 80 16 337119 1.2064 0.11383
9731 1 3812081 3857387 284 18 337119 -0.021096 0.50842
1677 1 3857143 3885429 163 23 337119 1.4964 0.067268
339448 1 3889133 3900293 41 8 337119 3.3831 0.00035837
55966 1 4655045 4792534 669 86 337119 0.51287 0.30402
261734 1 5862808 5992505 393 22 337119 2.56 0.0052333
8514 1 5992298 6101193 304 48 337119 1.9255 0.027085
26038 1 6101787 6180134 273 33 337119 1.825 0.034001
6146 1 6185020 6199619 35 7 337119 2.5733 0.0050372
388591 1 6205775 6221299 34 5 337119 -0.9699 0.83395
23463 1 6221193 6235984 28 6 337119 -0.62325 0.73344
390992 1 6244158 6245578 2 1 337119 -0.79337 0.78622
387509 1 6247346 6260990 36 3 337119 -0.13113 0.55216
11332 1 6264272 6393766 409 26 337119 -0.036119 0.51441
54626 1 6415232 6424664 30 6 337119 -0.4998 0.69139
83715 1 6424776 6460944 104 12 337119 -0.66767 0.74783
8718 1 6461151 6466195 13 5 337119 0.93899 0.17387
57449 1 6466092 6520061 139 25 337119 0.39746 0.34551
79707 1 6521347 6554598 101 3 337119 -1.1038 0.86517
80835 1 6555278 6579757 42 8 337119 -0.54956 0.70869
3104 1 6579991 6589280 9 4 337119 0.7559 0.22485
9903 1 6590724 6602898 30 9 337119 0.98309 0.16278
148479 1 6613696 6624033 18 4 337119 0.5232 0.30042
90326 1 6624865 6635586 33 7 337119 0.6093 0.27116
55735 1 6634168 6701906 144 18 337119 -0.10263 0.54087
23261 1 6785324 7769706 2727 225 337119 0.82559 0.20452
9341 1 7771269 7781432 33 9 337119 1.946 0.025827
8863 1 7784380 7845181 215 27 337119 2.226 0.013007
10911 1 7847612 7913610 303 28 337119 0.4204 0.3371
3604 1 7915871 7943165 54 8 337119 1.3369 0.090633
11315 1 7961654 7985283 50 10 337119 1.8348 0.033271
54206 1 8011719 8026333 23 5 337119 2.0455 0.020405
50651 1 8318085 8344167 82 14 337119 -0.29298 0.61523
473 1 8352404 8817691 684 29 337119 0.55067 0.29093
2023 1 8861000 8879092 25 5 337119 0.28529 0.38771
765 1 8945785 8975092 117 26 337119 0.3179 0.37528
155184 1 8960853 9026384 218 55 337119 -0.70422 0.75935
6518 1 9036943 9071704 96 14 337119 -0.28788 0.61328
80045 1 9103391 9129170 60 10 337119 0.12674 0.44957
9563 1 9234776 9271337 98 19 337119 -1.2476 0.89391
80176 1 9292882 9369532 329 48 337119 0.33981 0.367
84275 1 9539469 9582773 60 9 337119 0.30116 0.38165
199953 1 9588853 9614877 37 8 337119 1.1158 0.13226
5293 1 9629889 9729114 200 36 337119 1.3875 0.082652
22883 1 9729021 9824526 130 17 337119 0.50091 0.30822
56998 1 9848276 9910258 74 13 337119 -1.1037 0.86514
84328 1 9922110 9943402 44 10 337119 -0.27104 0.60682
64802 1 9942923 9985501 88 14 337119 -0.050774 0.52025
105376719 1 9996423 9998089 10 3 337119 -0.48188 0.68505
116362 1 9997197 10016020 36 5 337119 -1.1474 0.87439
10277 1 10032983 10181239 307 18 337119 -1.0463 0.85228
23095 1 10210706 10381603 522 17 337119 -0.95934 0.83131
5226 1 10398992 10420511 50 8 337119 -0.5975 0.72491
378708 1 10430102 10442815 37 5 337119 -0.54898 0.70849
100526739 1 10430102 10452003 56 8 337119 -0.65787 0.74469
1325 1 10449719 10452003 5 2 337119 0.070523 0.47189
1676 1 10460531 10472556 18 5 337119 0.75958 0.22375
5195 1 10474946 10630758 368 29 337119 -0.43151 0.66695
54897 1 10636604 10796676 432 89 337119 0.8956 0.18523
148345 1 10946473 10982037 125 18 337119 2.3607 0.0091208
23435 1 11012622 11025492 22 4 337119 1.0133 0.15546
10747 1 11026523 11047239 56 7 337119 0.88936 0.1869
6723 1 11054592 11060034 7 2 337119 1.5879 0.056153
5394 1 11066613 11099910 95 6 337119 1.5171 0.064621
2475 1 11106531 11262557 339 11 337119 1.513 0.065145
10218 1 11189289 11195981 15 3 337119 0.76259 0.22285
29914 1 11273198 11296595 35 6 337119 -0.48067 0.68462
57540 1 11479238 11537583 150 16 337119 -0.22841 0.59034
26232 1 11648361 11654831 22 12 337119 0.32971 0.37081
93611 1 11654375 11663327 24 8 337119 -0.75121 0.77374
26270 1 11664093 11674354 34 10 337119 -0.73909 0.77007
10459 1 11674480 11691788 65 14 337119 0.44115 0.32955
374946 1 11686647 11720612 104 22 337119 1.3368 0.090648
57085 1 11735474 11750771 38 9 337119 -0.80752 0.79032
284498 1 11762183 11789585 149 11 337119 2.6025 0.0046275
4524 1 11785730 11806103 78 11 337119 3.1389 0.00084779
1185 1 11806096 11843144 194 15 337119 3.3523 0.00040068
4878 1 11845709 11847783 15 4 337119 3.0569 0.0011181
90231 1 11919588 11926428 21 7 337119 2.7177 0.0032869
5351 1 11934667 11975542 106 11 337119 2.6779 0.0037038
9927 1 11980181 12013515 89 10 337119 2.1203 0.016992
60672 1 12019242 12032049 22 5 337119 -0.61533 0.73083
943 1 12063330 12144207 206 43 337119 1.1669 0.12162
7133 1 12166949 12209222 121 17 337119 0.39891 0.34498
55187 1 12230039 12512047 360 33 337119 -0.7479 0.77274
9249 1 12567910 12618361 169 35 337119 -0.82422 0.79509
343066 1 12644547 12667086 51 6 337119 -0.84712 0.80154
126767 1 12716115 12728759 43 7 337119 -0.78472 0.78369
93190 1 12746186 12761169 44 10 337119 -1.0629 0.85608
390999 1 12763223 12777906 44 9 337119 -0.099625 0.53968
65121 1 12791397 12796628 14 4 337119 -0.52347 0.69968
440560 1 12824380 12831410 28 7 337119 -1.0305 0.8486
343069 1 12847377 12848756 7 3 337119 -0.38289 0.6491
65122 1 12857086 12861909 34 7 337119 1.0138 0.15533
400735 1 12879212 12886201 36 7 337119 1.5203 0.064213
343071 1 12892896 12898270 5 2 337119 0.077007 0.46931
441871 1 12916647 12920480 1 1 337119 0.1423 0.44342
440563 1 13115488 13116854 10 5 337119 0.46658 0.3204
645382 1 13303516 13309027 3 1 337119 0.37337 0.35444
391004 1 13389632 13392629 6 3 337119 -0.95925 0.83128
645425 1 13410450 13421354 3 1 337119 -0.21474 0.58502
126755 1 13474977 13513781 168 38 337119 -0.82415 0.79507
10630 1 13583757 13617957 100 27 337119 -0.50513 0.69327
7799 1 13700240 13825079 365 29 337119 -0.49798 0.69075
23254 1 13893515 15118048 4504 354 337119 1.3304 0.091695
55092 1 15152532 15220478 349 27 337119 1.7078 0.043838
727684 1 15164196 15171624 29 7 337119 0.19636 0.42216
114827 1 15236602 15400283 526 57 337119 0.90712 0.18217
79180 1 15409895 15430343 56 19 337119 0.4377 0.3308
11330 1 15438442 15449247 18 7 337119 -0.68938 0.75471
63036 1 15456728 15472091 63 10 337119 -0.25037 0.59885
51032 1 15476101 15491400 44 8 337119 -0.24922 0.5984
842 1 15491401 15526529 126 8 337119 -0.11588 0.54613
23341 1 15526813 15571733 104 11 337119 0.074702 0.47023
79814 1 15571699 15585110 58 6 337119 0.46433 0.32121
84301 1 15617458 15661057 91 6 337119 1.5053 0.066127
6248 1 15659869 15661722 3 2 337119 0.65685 0.25564
23207 1 15684267 15734769 148 13 337119 2.1965 0.014028
284723 1 15735088 15741392 12 3 337119 2.0609 0.019657
388595 1 15742492 15747797 11 3 337119 0.85169 0.19719
54751 1 15756171 15786589 67 12 337119 -0.69466 0.75637
440567 1 15807162 15807699 5 2 337119 -0.32574 0.62769
23013 1 15847864 15940455 168 21 337119 -0.11009 0.54383
7709 1 15941869 15976132 61 16 337119 -0.13124 0.55221
101928566 1 15976131 15997206 82 13 337119 0.49584 0.31
149563 1 16004236 16006695 13 4 337119 1.0215 0.1535
27129 1 16014028 16018796 38 4 337119 -0.52266 0.6994
1187 1 16021991 16034050 61 10 337119 0.74493 0.22816
1188 1 16043736 16057326 116 13 337119 -0.26043 0.60274
348487 1 16057769 16073632 71 10 337119 1.5037 0.066324
1969 1 16124337 16156087 58 13 337119 -0.68972 0.75481
128272 1 16197856 16212671 44 5 337119 -0.3822 0.64884
101927546 1 16215907 16227036 24 4 337119 -0.015952 0.50636
79363 1 16231687 16237452 14 6 337119 -0.35293 0.63793
54455 1 16246840 16352491 215 14 337119 -0.1331 0.55294
26099 1 16367030 16398148 55 7 337119 0.87368 0.19115
374955 1 16387117 16437842 126 21 337119 0.44322 0.3288
55707 1 16440672 16460090 40 9 337119 1.6455 0.049933
102724970 1 16535773 16536956 3 2 337119 1.4203 0.077762
100133301 1 16538724 16540035 1 1 337119 -0.95839 0.83107
55672 1 16562427 16613605 11 6 337119 -0.3714 0.64483
11223 1 16754634 16764480 1 1 337119 -0.78007 0.78232
9696 1 16895707 16972979 218 28 337119 0.28917 0.38622
4237 1 16974500 16981643 18 4 337119 -1.0967 0.86362
23400 1 16985958 17011972 54 11 337119 -1.0322 0.84901
6390 1 17018722 17054170 119 13 337119 -1.1576 0.87648
11240 1 17066761 17119453 273 18 337119 -0.15304 0.56082
29943 1 17205123 17246006 160 46 337119 -0.44842 0.67307
51702 1 17249082 17284233 165 25 337119 -0.39828 0.65479
23569 1 17308195 17364004 283 23 337119 1.1377 0.12763
353238 1 17372196 17401699 165 17 337119 0.4154 0.33893
55920 1 17406755 17439754 71 12 337119 -0.26764 0.60551
55160 1 17520197 17697875 437 56 337119 0.70258 0.24116
81569 1 17712000 17827063 299 32 337119 -0.63379 0.73689
84966 1 18107746 18378484 990 132 337119 -0.19602 0.5777
127707 1 18480930 18485999 24 6 337119 -0.73065 0.7675
5081 1 18631006 18748866 357 63 337119 1.9677 0.024554
80834 1 18839599 18859661 99 20 337119 -0.043787 0.51746
8659 1 18871430 18902799 137 21 337119 0.017982 0.49283
126917 1 18904280 18956667 157 30 337119 0.60482 0.27265
23352 1 19074506 19210319 255 17 337119 0.49757 0.30939
23065 1 19215664 19251559 101 13 337119 1.1746 0.12008
51154 1 19251581 19260128 50 8 337119 0.037914 0.48488
22977 1 19274325 19289346 75 6 337119 0.12608 0.44984
8574 1 19302708 19312146 27 10 337119 0.6365 0.26222
54896 1 19312246 19332431 96 13 337119 0.97514 0.16475
832 1 19338773 19485641 517 22 337119 -0.85277 0.80311
440574 1 19596977 19629821 75 14 337119 1.1444 0.12623
100532736 1 19596977 19658456 164 28 337119 0.78627 0.21585
4681 1 19643229 19658456 47 13 337119 0.16766 0.43343
3362 1 19665287 19680966 40 8 337119 -0.84707 0.80152
255104 1 19682213 19800353 377 50 337119 -0.6306 0.73585
54546 1 19814029 19815278 6 4 337119 0.39602 0.34605
