GENE CHR START STOP NSNPS NPARAM N ZSTAT P
148398 1 859993 879961 5 3 76157 1.482 0.069168
26155 1 879583 894679 9 5 74926 -0.73933 0.77015
339451 1 895967 901099 4 2 76354 -2.3366 0.99027
84069 1 901872 910488 7 5 68976 0.65206 0.25718
57801 1 934342 936608 2 1 59865 -0.93983 0.82635
9636 1 948847 949920 2 1 77898 -1.6294 0.94839
375790 1 955503 991499 24 17 70492 0.25017 0.40123
54991 1 1017198 1051736 2 1 76354 0.4658 0.32068
254173 1 1109286 1133315 12 9 77225 -0.061577 0.52455
8784 1 1138888 1142163 1 1 77898 -0.2092 0.58285
7293 1 1146706 1149703 1 1 74810 1.0935 0.13708
126792 1 1167629 1170421 1 1 72728 -0.2144 0.58488
388581 1 1177826 1182102 2 1 74810 -1.9167 0.97236
6339 1 1215816 1227409 12 7 66336 0.096572 0.46153
116983 1 1227764 1243304 4 2 74810 0.077007 0.46931
126789 1 1243962 1247057 1 1 62874 -1.6829 0.9538
54973 1 1246965 1260067 2 1 67640 -0.65 0.74215
80772 1 1260136 1264276 3 2 68805 0.094773 0.46225
83756 1 1266726 1269844 8 6 71493 2.6852 0.0036244
1855 1 1270658 1284509 1 1 72351 1.7215 0.04258
54587 1 1288071 1297183 1 1 74810 2.2257 0.013018
54998 1 1309110 1310818 2 1 65896 -0.47596 0.68295
81669 1 1321091 1334718 4 2 69832 -0.10654 0.54242
441869 1 1353800 1356824 1 1 66734 -0.64987 0.74211
643965 1 1361508 1363167 1 1 74810 -0.84328 0.80046
219293 1 1378152 1405538 5 3 72570 0.23664 0.40647
83858 1 1407139 1444852 4 2 75685 0.81229 0.20831
55210 1 1447523 1470067 1 1 77898 2.0085 0.022294
339453 1 1470158 1475740 2 1 72438 -0.0053138 0.50212
142678 1 1550795 1565990 8 5 74767 1.7114 0.0435
728661 1 1591486 1624243 2 1 76354 -1.4457 0.92586
9906 1 1656277 1677438 1 1 55622 1.2224 0.11078
65220 1 1682671 1711508 4 2 72642 1.1963 0.11579
163688 1 1846266 1848733 1 1 54547 2.4861 0.0064567
85452 1 1853390 1935276 8 5 75318 -1.1399 0.87284
2563 1 1950768 1962192 1 1 74810 0.050311 0.47994
5590 1 1981909 2116834 4 2 71851 1.818 0.034529
199990 1 2115899 2144159 2 1 76354 -1.0826 0.86051
6497 1 2160134 2241652 2 1 62715 0.57837 0.28151
79906 1 2251719 2323190 7 5 74031 2.2337 0.012753
11079 1 2323214 2336883 1 1 77898 1.1078 0.13397
5192 1 2336241 2344010 2 1 62006 1.3 0.096797
9651 1 2407754 2436964 3 2 66737 0.56208 0.28703
55229 1 2439975 2458061 2 1 61486 -1.7064 0.95604
8764 1 2487291 2495268 3 2 76869 0.029445 0.48826
127281 1 2517899 2522908 2 1 77898 0.90495 0.18275
79258 1 2522078 2564499 12 7 71415 -0.21363 0.58458
140625 1 2938046 2939467 3 2 75839 0.38732 0.34926
63976 1 2985565 3355185 9 6 73766 0.54865 0.29162
27237 1 3371147 3397677 4 2 75582 -0.83509 0.79817
1953 1 3404506 3528059 19 12 71988 -0.42077 0.66304
49856 1 3547331 3566671 5 3 75651 -1.2282 0.89031
7161 1 3569129 3652765 1 1 77898 -0.63443 0.7371
148870 1 3668965 3688209 12 8 76455 0.63289 0.2634
57470 1 3696784 3713068 3 2 67434 1.3784 0.084046
9731 1 3728645 3773797 8 5 73264 -0.58891 0.72204
1677 1 3773845 3801993 3 2 75206 0.77827 0.21821
339448 1 3805697 3816857 8 6 77196 1.6984 0.044717
55966 1 4715105 4843851 2 1 50704 -1.0535 0.85395
261734 1 5922870 6052618 18 14 73984 -0.73301 0.76822
8514 1 6052358 6161253 3 2 77898 0.83095 0.203
26038 1 6161847 6240194 8 6 76697 -0.52596 0.70054
388591 1 6266189 6281359 6 3 68392 1.9681 0.024527
23463 1 6281253 6296044 1 1 77898 -0.41278 0.66012
390992 1 6304252 6305638 1 1 77898 0.15921 0.43675
387509 1 6307406 6321035 1 1 72281 0.051304 0.47954
83715 1 6484836 6521004 1 1 77898 -0.82712 0.79592
8718 1 6520787 6527432 3 2 64656 0.8133 0.20802
57449 1 6526152 6580121 9 5 75835 0.47321 0.31803
79707 1 6581407 6614658 3 2 73919 2.0112 0.022151
80835 1 6614987 6639817 15 10 76964 0.57541 0.28251
3104 1 6640051 6649340 2 1 71930 1.1846 0.11808
9903 1 6650784 6662958 1 1 65962 -0.87409 0.80897
90326 1 6684925 6695646 3 2 72890 1.8041 0.035605
55735 1 6694228 6761966 3 2 75206 0.49706 0.30957
23261 1 6845384 7829766 15 11 75209 0.95362 0.17014
8863 1 7844413 7905241 12 8 70781 -0.1372 0.55456
10911 1 7907672 7913551 4 2 77898 1.1347 0.12824
3604 1 7975931 8003225 3 2 71179 -0.091582 0.53648
54206 1 8071779 8086393 2 1 77898 -0.011654 0.50465
50651 1 8378171 8404227 4 2 76494 -0.11983 0.54769
473 1 8412464 8877699 6 4 70421 0.38791 0.34904
2023 1 8921059 8939151 3 2 77898 0.29202 0.38514
765 1 9005893 9035151 3 2 71227 0.49327 0.31091
155184 1 9063359 9086404 6 4 77488 -0.29746 0.61694
6518 1 9097005 9131763 4 2 72106 -0.44737 0.6727
80045 1 9163472 9189229 1 1 77898 0.98763 0.16167
9563 1 9294822 9331396 8 5 73378 -0.2257 0.58928
80176 1 9335202 9429591 1 1 57617 1.3951 0.08149
199953 1 9648932 9674935 2 1 67578 0.94274 0.17291
5293 1 9711789 9789172 5 3 69461 1.0079 0.15675
22883 1 9789079 9884550 7 5 72883 0.070488 0.4719
56998 1 9908334 9970316 1 1 77898 -0.56725 0.71473
84328 1 9982168 10003460 1 1 72281 -0.61719 0.73145
64802 1 10003486 10045556 1 1 68289 -0.22825 0.59027
116362 1 10057255 10076078 2 1 71930 0.97707 0.16427
10277 1 10093041 10241297 3 2 76026 0.52792 0.29878
23095 1 10270606 10441664 10 6 75750 0.7468 0.22759
5226 1 10458884 10480565 1 1 77898 -0.52899 0.70159
378708 1 10489944 10510239 1 1 77898 -0.45071 0.6739
100526739 1 10490159 10512060 1 1 77898 -0.45071 0.6739
1676 1 10520588 10532613 4 2 74914 -0.38458 0.64973
5195 1 10535003 10690815 2 1 77898 0.58223 0.28021
54897 1 10696661 10856733 11 8 72565 1.8035 0.035655
148345 1 11006530 11042094 16 9 71384 -0.67922 0.7515
10747 1 11086580 11107296 7 4 77547 0.11117 0.45574
5394 1 11126675 11159961 4 2 71997 1.4582 0.072396
2475 1 11166588 11322614 10 7 77715 -0.45726 0.67626
10218 1 11249346 11256038 4 2 77440 -0.17359 0.5689
29914 1 11333255 11348491 1 1 77898 1.076 0.14097
57540 1 11539295 11597640 9 6 70488 -0.83898 0.79926
26232 1 11707924 11714888 1 1 52698 0.93507 0.17488
93611 1 11714432 11723384 2 1 77898 -0.60592 0.72772
26270 1 11724150 11734411 3 2 77288 -0.18379 0.57291
374946 1 11751781 11780336 3 2 72823 -1.4663 0.92871
4524 1 11845787 11866160 8 4 69429 1.9633 0.024807
1185 1 11866153 11903201 3 2 77898 -1.0485 0.85279
4878 1 11905766 11907840 3 2 77898 0.27545 0.39149
4879 1 11917521 11918992 4 2 77898 1.5675 0.058499
90231 1 11979645 11986485 2 1 75090 0.997 0.15938
5351 1 11994724 12035599 6 4 77488 -1.8742 0.96955
9927 1 12040238 12073572 4 2 72642 1.18 0.11901
60672 1 12079299 12092106 4 2 75053 1.0644 0.14358
943 1 12123434 12204264 5 3 73896 0.4559 0.32423
7133 1 12227044 12269279 4 2 71851 0.77568 0.21897
55187 1 12290101 12572099 21 16 75868 -0.25223 0.59957
9249 1 12627939 12677820 1 1 77898 -0.59807 0.7251
343066 1 12704566 12727097 3 2 76026 -0.20686 0.58194
126767 1 12776118 12788726 7 4 76744 -0.21913 0.58672
93190 1 12806163 12821102 2 1 71015 -0.57967 0.71893
390999 1 12834984 12838049 4 2 76494 -0.70087 0.75831
65122 1 12916941 12921764 1 1 77898 -1.2344 0.89148
440563 1 13182960 13184326 1 1 77898 -0.25896 0.60217
126755 1 13801445 13840242 3 2 77898 1.0173 0.1545
10630 1 13910252 13944452 2 1 75090 0.59139 0.27713
7799 1 14026714 14151574 13 7 73634 0.13179 0.44758
23254 1 14219646 15444544 10 7 75428 -0.32219 0.62635
55092 1 15479028 15546974 3 2 70862 1.6678 0.047681
114827 1 15573730 15724767 13 9 73486 -0.52438 0.69999
79180 1 15736391 15756839 1 1 77576 -0.58118 0.71944
11330 1 15764938 15773153 2 1 77898 -1.5137 0.93494
63036 1 15783223 15798586 5 3 76283 0.65397 0.25657
51032 1 15802596 15817895 5 3 71306 0.10964 0.45635
842 1 15817896 15851407 4 2 77898 -0.50286 0.69247
23341 1 15853343 15898228 1 1 77898 0.46026 0.32267
79814 1 15898194 15911605 4 2 75090 0.19774 0.42162
84301 1 15943953 15995539 4 2 76494 0.35101 0.36279
6248 1 15986364 15988217 4 2 76494 0.35101 0.36279
23207 1 16010632 16061264 4 2 64428 -1.559 0.9405
284723 1 16062721 16067884 1 1 77898 -0.96573 0.83291
388595 1 16068987 16074292 6 4 70934 0.80042 0.21173
54751 1 16083107 16113089 3 2 68812 -1.0338 0.84938
440567 1 16133657 16134194 1 1 77898 0.14355 0.44293
23013 1 16174359 16266951 20 15 75754 -1.0004 0.84143
7709 1 16268364 16302627 1 1 77898 1.9651 0.024699
149563 1 16330731 16333184 1 1 77898 1.2799 0.10029
27129 1 16340523 16346084 1 1 65962 1.1297 0.12929
1187 1 16348486 16360548 6 4 66218 -0.15675 0.56228
1188 1 16370231 16383821 3 2 71460 -0.48075 0.68465
348487 1 16384264 16400127 2 1 77898 1.341 0.089954
1969 1 16450832 16482582 10 7 65372 2.7487 0.0029918
128272 1 16524599 16539104 9 5 71862 2.3163 0.010272
79363 1 16558182 16563659 3 2 72890 1.7181 0.042889
54455 1 16573339 16678965 2 1 75090 -0.041014 0.51636
374955 1 16722101 16763919 5 3 71445 0.64775 0.25857
55707 1 16767167 16786585 4 2 75496 -0.66248 0.74617
9696 1 17248445 17299474 12 9 72544 -0.15792 0.56274
4237 1 17300997 17308081 2 1 77898 0.82474 0.20476
23400 1 17312453 17338467 6 4 69728 0.054525 0.47826
6390 1 17345217 17380665 1 1 77898 0.56298 0.28673
11240 1 17393256 17445948 6 4 77898 1.4731 0.070363
29943 1 17531621 17572501 6 3 73352 0.47417 0.31769
51702 1 17575593 17610728 12 8 69414 -1.0792 0.85975
23569 1 17634690 17690495 12 7 74452 0.67937 0.24845
353238 1 17698741 17728195 7 5 74353 0.14246 0.44336
55920 1 17733251 17766250 1 1 59325 -1.0001 0.84136
55160 1 17846693 18024370 13 9 75446 0.85328 0.19675
81569 1 18081808 18153558 5 3 76745 0.61011 0.27089
84966 1 18434240 18704977 4 2 76511 1.5735 0.057803
127707 1 18807424 18812540 10 4 69523 0.29551 0.3838
5081 1 18957500 19075360 1 1 77898 -0.26239 0.60349
80834 1 19166093 19186155 11 7 74965 1.3445 0.089401
8659 1 19197924 19229293 8 5 76476 0.58983 0.27765
126917 1 19230774 19282826 2 1 77898 -2.1748 0.98518
23352 1 19401000 19536812 12 8 76494 2.0185 0.02177
23065 1 19542158 19578053 4 2 77898 1.601 0.054685
51154 1 19578075 19586622 3 2 74153 -0.25427 0.60036
22977 1 19609057 19615280 1 1 77898 0.50746 0.30592
8574 1 19629202 19638640 2 1 77898 -0.87699 0.80975
54896 1 19638740 19658925 4 2 76494 0.088465 0.46475
832 1 19665267 19812066 4 2 77283 -1.9819 0.97625
3362 1 19991780 20006055 2 1 74174 1.0422 0.14866
255104 1 20008706 20126424 8 5 77898 -0.32613 0.62784
54546 1 20140522 20141771 4 2 75496 0.42937 0.33383
23252 1 20208356 20239438 4 2 77898 -0.088277 0.53517
30814 1 20246800 20250110 2 1 76983 -0.25317 0.59993
5320 1 20301924 20306932 2 1 77898 -0.97595 0.83546
