GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.22152 0.58766
105378580 1 803398 805130 4 2 337119 -2.1502 0.98423
148398 1 925741 944581 54 17 337119 -0.21615 0.58557
26155 1 944203 959299 49 8 337119 1.675 0.046968
339451 1 959952 965720 17 4 337119 1.7507 0.040003
84069 1 966497 975108 29 13 337119 0.010714 0.49573
84808 1 975199 982117 22 6 337119 -1.0879 0.86168
57801 1 998962 1001285 12 4 337119 -0.46241 0.67811
9636 1 1013467 1014540 5 2 337119 -0.94413 0.82745
375790 1 1020101 1056119 115 16 337119 0.12972 0.44839
105369174 1 1061207 1066390 10 5 337119 1.0768 0.14078
105378948 1 1065635 1069326 10 3 337119 -0.17559 0.56969
401934 1 1071746 1074307 6 2 337119 0.6746 0.24996
54991 1 1081818 1116356 114 14 337119 1.1597 0.12309
254173 1 1173898 1197935 143 20 337119 -0.69898 0.75772
8784 1 1203508 1206709 10 2 337119 -0.42753 0.6655
7293 1 1211326 1214638 8 3 337119 1.2283 0.10966
51150 1 1216908 1232067 93 6 337119 2.2348 0.012716
126792 1 1232249 1235041 7 2 337119 -0.27436 0.6081
388581 1 1242446 1247218 13 3 337119 -0.049343 0.51968
118424 1 1253912 1273854 42 7 337119 0.4553 0.32445
6339 1 1280415 1292029 43 15 337119 -0.87796 0.81002
116983 1 1292384 1307925 43 10 337119 0.49643 0.30979
126789 1 1308571 1311677 5 3 337119 0.13564 0.44605
54973 1 1311585 1324687 19 6 337119 -0.58266 0.71994
80772 1 1324756 1328896 10 2 337119 0.53959 0.29474
83756 1 1328999 1335320 26 8 337119 -0.57385 0.71697
1855 1 1335278 1349158 34 9 337119 -0.26546 0.60467
54587 1 1352689 1363541 36 6 337119 0.19443 0.42292
54998 1 1373730 1375438 8 4 337119 -0.41419 0.66063
81669 1 1385711 1399338 21 7 337119 -0.36307 0.64172
55052 1 1401896 1407834 15 6 337119 -0.063678 0.52539
441869 1 1418420 1421820 10 4 337119 -1.9721 0.9757
643965 1 1426128 1427787 8 3 337119 0.48395 0.31421
64856 1 1435523 1442882 15 4 337119 0.48043 0.31546
219293 1 1441301 1470158 88 15 337119 0.61571 0.26904
83858 1 1471732 1509479 90 21 337119 -0.092334 0.53678
55210 1 1512143 1534687 80 13 337119 0.066478 0.4735
339453 1 1534778 1540360 12 7 337119 1.8374 0.033074
29101 1 1541673 1574882 93 11 337119 1.4898 0.068133
643988 1 1598008 1600096 2 1 337119 -0.096908 0.5386
142678 1 1614975 1630610 39 9 337119 -0.87636 0.80958
984 1 1635226 1659839 33 6 337119 -0.92168 0.82165
728661 1 1660025 1692804 75 16 337119 -0.050432 0.52011
728642 1 1702730 1724352 68 5 337119 -1.2657 0.89719
9906 1 1724838 1745999 64 11 337119 0.042244 0.48315
65220 1 1751232 1780514 68 10 337119 0.99194 0.16061
2782 1 1785285 1891117 160 23 337119 0.43513 0.33173
105378949 1 1885960 1893010 14 7 337119 0.27354 0.39222
163688 1 1913752 1917294 13 3 337119 1.6202 0.05259
339456 1 1917589 1919301 6 3 337119 1.5463 0.061011
85452 1 1921951 2003837 329 27 337119 0.41058 0.34069
2563 1 2019329 2030753 29 7 337119 1.3286 0.091997
5590 1 2050470 2185395 400 32 337119 0.97477 0.16484
100506504 1 2181811 2184360 4 2 337119 0.55056 0.29097
199990 1 2184460 2212720 52 12 337119 0.70298 0.24103
105378592 1 2208942 2215211 19 9 337119 2.1127 0.017313
6497 1 2228695 2310213 240 46 337119 1.3421 0.089781
105378594 1 2280383 2284676 14 5 337119 1.3303 0.09171
79906 1 2321253 2391751 302 38 337119 -1.265 0.89707
11079 1 2391314 2405444 37 11 337119 -0.31245 0.62265
5192 1 2404802 2413780 26 9 337119 -0.45107 0.67403
9651 1 2415782 2505530 321 46 337119 -1.0099 0.84374
55229 1 2508531 2526628 40 6 337119 -0.29608 0.61642
388585 1 2528745 2530245 3 2 337119 0.6878 0.24579
8764 1 2556365 2565622 23 5 337119 -0.068823 0.52743
127281 1 2586460 2591469 11 4 337119 1.4288 0.076528
79258 1 2590639 2633042 149 10 337119 1.4227 0.077417
100287898 1 2636988 2789665 89 13 337119 0.60967 0.27104
140625 1 3021482 3022903 4 2 337119 -1.2666 0.89736
63976 1 3068227 3438621 1383 172 337119 -0.034709 0.51384
27237 1 3454583 3481115 91 13 337119 -0.54918 0.70856
1953 1 3487942 3624757 572 88 337119 -0.27999 0.61026
127262 1 3624992 3630131 13 5 337119 -1.4097 0.92068
49856 1 3630767 3650107 32 10 337119 -1.0864 0.86134
7161 1 3652565 3736201 295 54 337119 -0.39119 0.65217
148870 1 3752398 3771645 67 15 337119 0.67851 0.24872
388588 1 3772761 3775982 12 5 337119 -0.14924 0.55932
57470 1 3780220 3796504 80 16 337119 -0.82043 0.79402
9731 1 3812081 3857387 284 18 337119 0.29408 0.38435
1677 1 3857143 3885429 163 23 337119 -0.63234 0.73642
