GENE CHR START STOP NSNPS NPARAM N ZSTAT P
148398 1 859993 879961 8 3 44456 2.6659 0.0038389
375790 1 955503 991499 4 2 44456 2.9595 0.0015405
54991 1 1017198 1051736 2 1 44456 1.8658 0.031036
254173 1 1109286 1133315 14 4 44456 3.4971 0.00023516
8784 1 1138888 1142163 2 1 44456 2.9427 0.0016269
51150 1 1152288 1167447 2 1 44456 1.9205 0.027397
118424 1 1189292 1209234 4 2 44456 3.3269 0.00043903
6339 1 1215816 1227409 8 3 44456 3.3009 0.0004818
116983 1 1227764 1243304 8 3 44456 2.818 0.002416
126789 1 1243962 1247057 1 1 44456 2.0831 0.01862
54973 1 1246965 1260067 5 3 44456 3.6465 0.0001329
80772 1 1260136 1264276 5 3 44456 3.3533 0.00039933
83756 1 1266726 1269844 3 1 44456 2.1112 0.017378
1855 1 1270658 1284509 7 3 44456 3.3262 0.0004402
81669 1 1321091 1334718 1 1 44456 3.1569 0.0007973
55052 1 1337276 1342693 2 1 44456 2.5036 0.0061465
441869 1 1353800 1356824 1 1 44456 1.795 0.03633
219293 1 1378152 1405538 8 3 44456 3.2374 0.00060311
83858 1 1407139 1444852 7 2 44456 3.2332 0.00061204
55210 1 1447523 1470067 3 2 44456 2.4531 0.0070821
339453 1 1470158 1475740 3 2 44456 2.2537 0.012108
29101 1 1477053 1510262 3 2 44456 2.5687 0.0051037
984 1 1571100 1590473 12 2 44456 2.1103 0.017414
728661 1 1591486 1624243 2 1 44456 1.8519 0.032022
728642 1 1633822 1655999 3 1 44456 2.537 0.0055906
9906 1 1656277 1677438 2 1 44456 1.9011 0.028644
65220 1 1682671 1711508 15 2 44456 2.027 0.021329
2782 1 1716725 1822552 18 3 44456 2.6169 0.0044366
163688 1 1846266 1848733 5 1 44456 2.5082 0.0060681
339456 1 1849029 1850740 1 1 44456 2.1717 0.01494
85452 1 1853390 1935276 40 7 44456 3.1854 0.00072267
5590 1 1981909 2116834 64 8 44456 3.4702 0.00026008
100506504 1 2113250 2115812 2 1 44456 2.4644 0.0068631
199990 1 2115899 2144159 7 3 44456 3.0343 0.0012055
6497 1 2160134 2241652 51 4 44456 3.419 0.00031423
79906 1 2251719 2323190 8 4 44456 3.6225 0.0001459
11079 1 2323214 2336883 5 3 44456 2.9238 0.0017287
5192 1 2336241 2344010 7 3 44456 3.1294 0.00087589
9651 1 2407754 2436964 12 4 44456 3.438 0.00029302
55229 1 2439975 2458061 6 3 44456 2.9587 0.0015449
8764 1 2487291 2495268 1 1 44456 1.9752 0.02412
127281 1 2517899 2522908 4 1 44456 2.1712 0.014959
79258 1 2522078 2564499 67 2 44456 2.1271 0.016707
100287898 1 2572807 2706230 8 2 44456 2.5265 0.0057604
63976 1 2985565 3355185 141 21 44456 4.6404 1.7385e-06
1953 1 3404506 3528059 43 10 44456 3.9348 4.164e-05
49856 1 3547331 3566671 1 1 44456 2.0447 0.02044
7161 1 3569129 3652765 5 3 44456 3.5255 0.00021131
148870 1 3668965 3688209 4 2 44456 2.8546 0.0021543
388588 1 3689352 3692546 1 1 44456 1.6971 0.04484
