GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -2.2642 0.98822
105378580 1 803398 805130 4 2 337119 -1.8678 0.96911
148398 1 925741 944581 54 17 337119 1.7985 0.036045
26155 1 944203 959299 49 8 337119 0.41129 0.34043
339451 1 959952 965720 17 4 337119 -0.12747 0.55071
84069 1 966497 975108 29 13 337119 -1.3282 0.90795
84808 1 975199 982117 22 6 337119 -0.19751 0.57829
57801 1 998962 1001285 12 4 337119 1.0008 0.15847
9636 1 1013467 1014540 5 2 337119 0.22448 0.41119
375790 1 1020101 1056119 115 16 337119 0.48772 0.31287
105369174 1 1061207 1066390 10 5 337119 0.65472 0.25632
105378948 1 1065635 1069326 10 3 337119 0.68551 0.24651
401934 1 1071746 1074307 6 2 337119 0.73668 0.23066
54991 1 1081818 1116356 114 14 337119 -0.86022 0.80517
254173 1 1173898 1197935 143 20 337119 -0.6226 0.73323
8784 1 1203508 1206709 10 2 337119 1.1834 0.11832
7293 1 1211326 1214638 8 3 337119 -0.27328 0.60768
51150 1 1216908 1232067 93 6 337119 0.43416 0.33209
126792 1 1232249 1235041 7 2 337119 0.58969 0.2777
388581 1 1242446 1247218 13 3 337119 1.8883 0.029495
118424 1 1253912 1273854 42 7 337119 1.8106 0.035099
6339 1 1280415 1292029 43 15 337119 2.1446 0.015991
116983 1 1292384 1307925 43 10 337119 0.99742 0.15928
126789 1 1308571 1311677 5 3 337119 0.81436 0.20772
54973 1 1311585 1324687 19 6 337119 0.24042 0.405
80772 1 1324756 1328896 10 2 337119 0.47083 0.31888
83756 1 1328999 1335320 26 8 337119 0.086418 0.46557
1855 1 1335278 1349158 34 9 337119 0.22922 0.40935
54587 1 1352689 1363541 36 6 337119 0.1795 0.42877
54998 1 1373730 1375438 8 4 337119 0.67476 0.24992
81669 1 1385711 1399338 21 7 337119 0.90838 0.18184
55052 1 1401896 1407834 15 6 337119 0.51592 0.30296
441869 1 1418420 1421820 10 4 337119 -0.77488 0.78079
643965 1 1426128 1427787 8 3 337119 0.1909 0.4243
64856 1 1435523 1442882 15 4 337119 -0.39077 0.65202
219293 1 1441301 1470158 88 15 337119 0.012214 0.49513
83858 1 1471732 1509479 90 21 337119 0.33345 0.3694
55210 1 1512143 1534687 80 13 337119 0.93266 0.1755
339453 1 1534778 1540360 12 7 337119 1.0435 0.14836
29101 1 1541673 1574882 93 11 337119 0.40079 0.34429
643988 1 1598008 1600096 2 1 337119 -1.493 0.93228
142678 1 1614975 1630610 39 9 337119 -0.75377 0.77451
984 1 1635226 1659839 33 6 337119 0.95335 0.17021
728661 1 1660025 1692804 75 16 337119 -1.1317 0.87111
728642 1 1702730 1724352 68 5 337119 -1.0893 0.86198
9906 1 1724838 1745999 64 11 337119 -1.2504 0.89442
65220 1 1751232 1780514 68 10 337119 -0.98049 0.83658
2782 1 1785285 1891117 160 23 337119 -0.96382 0.83243
105378949 1 1885960 1893010 14 7 337119 -0.38579 0.65018
163688 1 1913752 1917294 13 3 337119 -0.73465 0.76872
339456 1 1917589 1919301 6 3 337119 -0.8163 0.79283
85452 1 1921951 2003837 329 27 337119 0.12315 0.451
2563 1 2019329 2030753 29 7 337119 0.5906 0.27739
5590 1 2050470 2185395 400 32 337119 -1.0735 0.85847
100506504 1 2181811 2184360 4 2 337119 -0.49291 0.68896
199990 1 2184460 2212720 52 12 337119 0.45537 0.32442
105378592 1 2208942 2215211 19 9 337119 0.31231 0.3774
6497 1 2228695 2310213 240 46 337119 0.26642 0.39496
105378594 1 2280383 2284676 14 5 337119 -0.33005 0.62932
