GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 293723 -0.68398 0.75301
105378580 1 803398 805130 4 2 293723 -0.88774 0.81266
148398 1 925741 944581 56 18 293723 1.3054 0.095886
26155 1 944203 959299 50 8 293723 1.1958 0.11589
339451 1 959952 965720 17 4 293723 1.8761 0.030321
84069 1 966497 975108 27 12 293723 3.4874 0.00024391
84808 1 975199 982117 22 6 293723 2.4511 0.0071204
57801 1 998962 1001285 12 4 293723 1.8038 0.035634
9636 1 1013467 1014540 5 2 293723 1.0115 0.15589
375790 1 1020101 1056119 112 15 293723 1.3876 0.08263
105369174 1 1061207 1066390 10 5 293723 1.9816 0.023761
105378948 1 1065635 1069326 10 3 293723 1.7709 0.038289
401934 1 1071746 1074307 6 2 293723 0.66555 0.25285
54991 1 1081818 1116356 115 15 293723 1.3126 0.094667
254173 1 1173898 1197935 143 20 293723 -0.68337 0.75281
8784 1 1203508 1206709 10 2 293723 0.16286 0.43531
7293 1 1211326 1214638 8 3 293723 -0.24122 0.59531
51150 1 1216908 1232067 93 6 293723 -0.43685 0.66889
126792 1 1232249 1235041 7 2 293723 0.28459 0.38798
388581 1 1242446 1247218 13 3 293723 -0.57687 0.71799
118424 1 1253912 1273854 42 7 293723 -0.037744 0.51505
6339 1 1280415 1292029 44 16 293723 0.45094 0.32602
116983 1 1292384 1307925 44 10 293723 -0.062758 0.52502
126789 1 1308571 1311677 5 3 293723 0.78412 0.21648
54973 1 1311585 1324687 19 6 293723 -0.6156 0.73092
80772 1 1324756 1328896 10 2 293723 -0.93047 0.82394
83756 1 1328999 1335320 26 8 293723 -0.58055 0.71923
1855 1 1335278 1349158 34 9 293723 -0.66085 0.74564
54587 1 1352689 1363541 36 6 293723 -0.4214 0.66327
54998 1 1373730 1375438 8 4 293723 0.14953 0.44057
81669 1 1385711 1399338 22 7 293723 -0.26036 0.60271
55052 1 1401896 1407834 15 6 293723 0.29917 0.38241
441869 1 1418420 1421820 10 4 293723 -0.27179 0.60711
643965 1 1426128 1427787 8 3 293723 -0.63814 0.73831
64856 1 1435523 1442882 15 4 293723 0.16877 0.43299
219293 1 1441301 1470158 88 15 293723 -0.44894 0.67326
83858 1 1471732 1509479 94 21 293723 -0.40574 0.65753
55210 1 1512143 1534687 80 13 293723 -0.62354 0.73354
339453 1 1534778 1540360 12 7 293723 -0.45759 0.67638
29101 1 1541673 1574882 94 11 293723 -0.1658 0.56584
643988 1 1598008 1600096 2 1 293723 0.31923 0.37478
142678 1 1614975 1630610 39 9 293723 0.29076 0.38562
984 1 1635226 1659839 34 6 293723 -1.1141 0.86738
728661 1 1660025 1692804 76 17 293723 -1.0145 0.84484
728642 1 1702730 1724352 68 5 293723 0.68948 0.24526
9906 1 1724838 1745999 66 11 293723 -0.305 0.61982
65220 1 1751232 1780514 70 10 293723 -0.0059563 0.50238
2782 1 1785285 1891117 161 23 293723 0.19248 0.42368
105378949 1 1885960 1893010 14 7 293723 0.059473 0.47629
163688 1 1913752 1917294 13 3 293723 0.67425 0.25008
339456 1 1917589 1919301 6 3 293723 0.25439 0.3996
85452 1 1921951 2003837 333 27 293723 0.1818 0.42787
2563 1 2019329 2030753 30 7 293723 1.5566 0.059784
5590 1 2050470 2185395 400 32 293723 -0.18241 0.57237
100506504 1 2181811 2184360 4 2 293723 1.2112 0.11291
199990 1 2184460 2212720 51 12 293723 -0.62427 0.73378
105378592 1 2208942 2215211 19 9 293723 -0.7484 0.77289
6497 1 2228695 2310213 240 46 293723 -0.64725 0.74127
105378594 1 2280383 2284676 14 5 293723 -0.58077 0.7193
79906 1 2321253 2391751 301 36 293723 0.70691 0.23981
11079 1 2391314 2405444 37 11 293723 0.51285 0.30403
5192 1 2404802 2413780 26 9 293723 1.2326 0.10886
9651 1 2415782 2505530 321 47 293723 -0.29287 0.61519
55229 1 2508531 2526628 40 6 293723 -0.081098 0.53232
388585 1 2528745 2530245 3 2 293723 0.66252 0.25382
8764 1 2556365 2565622 22 5 293723 0.39311 0.34712
127281 1 2586460 2591469 11 4 293723 -0.99016 0.83895
79258 1 2590639 2633042 152 10 293723 -0.85121 0.80267
100287898 1 2636988 2789665 90 13 293723 -0.19431 0.57703
140625 1 3021482 3022903 4 2 293723 0.44072 0.32971
63976 1 3068227 3438621 1381 171 293723 0.20009 0.42071
27237 1 3454583 3481115 91 12 293723 -0.8187 0.79352
1953 1 3487942 3624757 574 85 293723 -1.8816 0.97006
127262 1 3624992 3630131 13 5 293723 0.18032 0.42845
49856 1 3630767 3650107 33 10 293723 -0.84759 0.80167
7161 1 3652565 3736201 295 54 293723 0.92411 0.17771
148870 1 3752398 3771645 67 15 293723 0.031451 0.48745
388588 1 3772761 3775982 12 5 293723 1.1533 0.1244
57470 1 3780220 3796504 80 16 293723 0.82012 0.20607
9731 1 3812081 3857387 284 18 293723 1.1603 0.12296
1677 1 3857143 3885429 163 23 293723 1.1009 0.13547
339448 1 3889133 3900293 41 8 293723 2.0883 0.018384
55966 1 4655045 4792534 669 88 293723 -0.040429 0.51612
261734 1 5862808 5992505 391 21 293723 0.36985 0.35575
8514 1 5992298 6101193 303 47 293723 -0.47878 0.68395
26038 1 6101787 6180134 273 33 293723 1.9554 0.025269
6146 1 6185020 6199619 35 7 293723 1.6941 0.045125
388591 1 6205775 6221299 34 5 293723 2.0304 0.021157
23463 1 6221193 6235984 28 6 293723 2.1028 0.017744
390992 1 6244158 6245578 2 1 293723 -0.015484 0.50618
387509 1 6247346 6260990 36 3 293723 -0.70185 0.75861
11332 1 6264272 6393766 409 26 293723 2.5619 0.0052048
54626 1 6415232 6424664 30 6 293723 2.7372 0.0030981
83715 1 6424776 6460944 105 12 293723 3.5469 0.00019491
8718 1 6461151 6466195 13 5 293723 2.839 0.0022628
57449 1 6466092 6520061 138 25 293723 1.5788 0.057196
79707 1 6521347 6554598 101 3 293723 -0.0033385 0.50133
80835 1 6555278 6579757 42 8 293723 0.85659 0.19584
3104 1 6579991 6589280 9 4 293723 0.79843 0.21231
9903 1 6590724 6602898 30 9 293723 -1.0187 0.84583
148479 1 6613696 6624033 18 4 293723 0.11465 0.45436
90326 1 6624865 6635586 32 7 293723 -0.30117 0.61836
55735 1 6634168 6701906 144 17 293723 0.73558 0.23099
23261 1 6785324 7769706 2724 225 293723 4.5132 3.1928e-06
9341 1 7771269 7781432 33 9 293723 0.27916 0.39006
8863 1 7784380 7845181 215 27 293723 0.67532 0.24974
10911 1 7847612 7913610 302 30 293723 0.82573 0.20448
3604 1 7915871 7943165 54 8 293723 1.0714 0.142
11315 1 7961654 7985283 49 10 293723 -0.58018 0.7191
