GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 120000 0.29338 0.38462
105378580 1 803398 805130 4 2 120000 -1.0878 0.86165
148398 1 925741 944581 52 17 120000 -0.97856 0.8361
26155 1 944203 959299 42 9 120000 -1.5785 0.94277
339451 1 959952 965720 15 3 120000 -1.4001 0.91926
84069 1 966497 975108 25 11 120000 -1.1695 0.8789
84808 1 975199 982117 20 5 120000 -1.6234 0.94774
57801 1 998962 1001285 12 4 120000 -0.56495 0.71395
9636 1 1013467 1014540 3 1 120000 -1.1488 0.87469
375790 1 1020101 1056119 109 14 120000 -1.4041 0.91986
105369174 1 1061207 1066390 10 5 120000 -0.97318 0.83477
105378948 1 1065635 1069326 10 3 120000 -1.365 0.91388
401934 1 1071746 1074307 6 2 120000 -0.71216 0.76182
54991 1 1081818 1116356 113 14 120000 -1.1445 0.87378
254173 1 1173898 1197935 143 20 120000 -0.71407 0.76241
8784 1 1203508 1206709 10 2 120000 1.0651 0.14342
7293 1 1211326 1214638 8 3 120000 0.15739 0.43747
51150 1 1216908 1232067 93 6 120000 0.037529 0.48503
126792 1 1232249 1235041 7 2 120000 1.227 0.10992
388581 1 1242446 1247218 13 3 120000 1.1159 0.13223
118424 1 1253912 1273854 42 7 120000 1.4738 0.070274
6339 1 1280415 1292029 44 16 120000 2.6646 0.0038537
116983 1 1292384 1307925 44 10 120000 3.1358 0.00085685
126789 1 1308571 1311677 5 3 120000 2.1599 0.015392
54973 1 1311585 1324687 19 6 120000 3.222 0.00063653
80772 1 1324756 1328896 10 2 120000 3.0346 0.0012042
83756 1 1328999 1335320 25 7 120000 2.939 0.0016461
1855 1 1335278 1349158 34 9 120000 2.3172 0.010246
54587 1 1352689 1363541 36 6 120000 2.8941 0.0019012
54998 1 1373730 1375438 8 4 120000 1.221 0.11105
81669 1 1385711 1399338 21 7 120000 1.8337 0.033353
55052 1 1401896 1407834 15 6 120000 1.884 0.029784
441869 1 1418420 1421820 10 4 120000 1.3896 0.082322
643965 1 1426128 1427787 8 3 120000 0.59175 0.27701
64856 1 1435523 1442882 14 4 120000 1.7502 0.040044
219293 1 1441301 1470158 87 15 120000 0.72354 0.23467
83858 1 1471732 1509479 93 20 120000 -0.27869 0.60976
55210 1 1512143 1534687 81 13 120000 0.07407 0.47048
339453 1 1534778 1540360 12 7 120000 2.165 0.015193
29101 1 1541673 1574882 91 11 120000 1.9809 0.023801
643988 1 1598008 1600096 2 1 120000 0.069864 0.47215
142678 1 1614975 1630610 36 8 120000 -0.98629 0.838
984 1 1635226 1659839 34 6 120000 -0.53103 0.7023
728661 1 1660025 1692804 73 17 120000 -1.0168 0.84537
728642 1 1702730 1724352 68 5 120000 0.23463 0.40725
