GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 173480 0.38999 0.34827
105378580 1 803398 805130 4 2 173480 -0.58849 0.7219
148398 1 925741 944581 55 18 173480 -0.058383 0.52328
26155 1 944203 959299 45 9 173480 -0.60382 0.72702
339451 1 959952 965720 16 4 173480 -0.62413 0.73373
84069 1 966497 975108 26 11 173480 0.11981 0.45232
84808 1 975199 982117 21 6 173480 -0.094412 0.53761
57801 1 998962 1001285 12 4 173480 1.3545 0.087788
9636 1 1013467 1014540 3 1 173480 -0.065108 0.52596
375790 1 1020101 1056119 107 15 173480 -0.01673 0.50667
105369174 1 1061207 1066390 10 5 173480 -1.3579 0.91275
105378948 1 1065635 1069326 10 3 173480 -1.0173 0.8455
401934 1 1071746 1074307 5 2 173480 -0.22753 0.59
54991 1 1081818 1116356 114 14 173480 -0.24801 0.59794
254173 1 1173898 1197935 139 20 173480 -0.94607 0.82794
8784 1 1203508 1206709 10 2 173480 -0.32583 0.62773
7293 1 1211326 1214638 9 4 173480 0.46841 0.31974
51150 1 1216908 1232067 89 6 173480 0.57838 0.2815
126792 1 1232249 1235041 7 2 173480 -0.25425 0.60035
388581 1 1242446 1247218 13 3 173480 0.45422 0.32483
118424 1 1253912 1273854 41 7 173480 -1.0519 0.85357
6339 1 1280415 1292029 42 15 173480 -2.059 0.98025
116983 1 1292384 1307925 43 10 173480 -0.55103 0.70919
126789 1 1308571 1311677 3 2 173480 0.073749 0.47061
54973 1 1311585 1324687 18 6 173480 -0.80628 0.78996
80772 1 1324756 1328896 10 2 173480 -0.82556 0.79547
83756 1 1328999 1335320 22 7 173480 -1.2926 0.90193
1855 1 1335278 1349158 30 8 173480 -0.9958 0.84033
54587 1 1352689 1363541 35 6 173480 -0.70282 0.75892
54998 1 1373730 1375438 8 4 173480 -0.22064 0.58731
81669 1 1385711 1399338 21 7 173480 -0.70052 0.7582
55052 1 1401896 1407834 15 6 173480 -0.46363 0.67854
441869 1 1418420 1421820 10 4 173480 -0.59854 0.72526
643965 1 1426128 1427787 8 3 173480 0.046727 0.48137
64856 1 1435523 1442882 14 4 173480 -1.9747 0.97585
219293 1 1441301 1470158 87 14 173480 -1.2651 0.89708
83858 1 1471732 1509479 92 21 173480 -0.0579 0.52309
55210 1 1512143 1534687 82 13 173480 -0.74929 0.77316
339453 1 1534778 1540360 12 7 173480 -0.31844 0.62492
29101 1 1541673 1574882 94 11 173480 0.39423 0.3467
643988 1 1598008 1600096 2 1 173480 0.056649 0.47741
142678 1 1614975 1630610 37 8 173480 -1.0235 0.84696
984 1 1635226 1659839 33 6 173480 0.98954 0.1612
728661 1 1660025 1692804 76 17 173480 0.026591 0.48939
728642 1 1702730 1724352 68 5 173480 1.5214 0.064084
9906 1 1724838 1745999 64 11 173480 0.51529 0.30317
65220 1 1751232 1780514 67 10 173480 -1.0428 0.85148
2782 1 1785285 1891117 157 23 173480 -0.5687 0.71522
105378949 1 1885960 1893010 13 7 173480 -0.52979 0.70187
163688 1 1913752 1917294 13 3 173480 -0.52168 0.69905
339456 1 1917589 1919301 5 2 173480 -1.6051 0.94577
85452 1 1921951 2003837 326 28 173480 -0.1927 0.5764
2563 1 2019329 2030753 29 7 173480 -0.4417 0.67065
