GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -1.0106 0.8439
105378580 1 803398 805130 4 2 337119 -1.8784 0.96984
148398 1 925741 944581 54 17 337119 -1.5154 0.93516
26155 1 944203 959299 49 8 337119 -0.80074 0.78836
339451 1 959952 965720 17 4 337119 -1.0184 0.84576
84069 1 966497 975108 29 13 337119 -1.1539 0.87573
84808 1 975199 982117 22 6 337119 1.0747 0.14125
57801 1 998962 1001285 12 4 337119 1.3187 0.093639
9636 1 1013467 1014540 5 2 337119 0.80852 0.2094
375790 1 1020101 1056119 115 16 337119 0.67216 0.25074
105369174 1 1061207 1066390 10 5 337119 0.452 0.32563
105378948 1 1065635 1069326 10 3 337119 0.68233 0.24751
401934 1 1071746 1074307 6 2 337119 1.8232 0.034134
54991 1 1081818 1116356 114 14 337119 2.0557 0.019906
254173 1 1173898 1197935 143 20 337119 1.3173 0.09387
8784 1 1203508 1206709 10 2 337119 1.2916 0.098245
7293 1 1211326 1214638 8 3 337119 0.59863 0.27471
51150 1 1216908 1232067 93 6 337119 1.589 0.056032
126792 1 1232249 1235041 7 2 337119 1.4859 0.068659
388581 1 1242446 1247218 13 3 337119 2.5117 0.0060071
118424 1 1253912 1273854 42 7 337119 1.3278 0.092127
6339 1 1280415 1292029 43 15 337119 2.0352 0.020913
116983 1 1292384 1307925 43 10 337119 1.7074 0.043878
126789 1 1308571 1311677 5 3 337119 0.77117 0.2203
54973 1 1311585 1324687 19 6 337119 0.44562 0.32793
80772 1 1324756 1328896 10 2 337119 0.48211 0.31486
83756 1 1328999 1335320 26 8 337119 -0.42268 0.66374
1855 1 1335278 1349158 34 9 337119 -0.73762 0.76963
54587 1 1352689 1363541 36 6 337119 -0.1984 0.57863
54998 1 1373730 1375438 8 4 337119 0.6442 0.25972
81669 1 1385711 1399338 21 7 337119 0.67203 0.25078
55052 1 1401896 1407834 15 6 337119 0.69295 0.24417
441869 1 1418420 1421820 10 4 337119 0.63628 0.2623
643965 1 1426128 1427787 8 3 337119 -0.14492 0.55761
64856 1 1435523 1442882 15 4 337119 -0.50081 0.69175
219293 1 1441301 1470158 88 15 337119 -0.51576 0.69699
83858 1 1471732 1509479 90 21 337119 -0.48579 0.68644
55210 1 1512143 1534687 80 13 337119 -0.88883 0.81295
339453 1 1534778 1540360 12 7 337119 -0.88039 0.81067
29101 1 1541673 1574882 93 11 337119 -0.87318 0.80872
643988 1 1598008 1600096 2 1 337119 -0.30335 0.61919
142678 1 1614975 1630610 39 9 337119 -0.56236 0.71306
984 1 1635226 1659839 33 6 337119 -0.058036 0.52314
728661 1 1660025 1692804 75 16 337119 -0.47625 0.68305
728642 1 1702730 1724352 68 5 337119 0.71762 0.23649
9906 1 1724838 1745999 64 11 337119 1.5217 0.06404
65220 1 1751232 1780514 68 10 337119 1.0101 0.15623
2782 1 1785285 1891117 160 23 337119 -0.24861 0.59817
105378949 1 1885960 1893010 14 7 337119 -0.093789 0.53736
163688 1 1913752 1917294 13 3 337119 1.2726 0.10158
339456 1 1917589 1919301 6 3 337119 1.2172 0.11176
85452 1 1921951 2003837 329 27 337119 0.85042 0.19755
2563 1 2019329 2030753 29 7 337119 -1.2087 0.88661
5590 1 2050470 2185395 400 32 337119 0.53011 0.29802
100506504 1 2181811 2184360 4 2 337119 -0.11733 0.5467
199990 1 2184460 2212720 52 12 337119 1.0435 0.14836
105378592 1 2208942 2215211 19 9 337119 0.013129 0.49476
6497 1 2228695 2310213 240 46 337119 2.1182 0.017079
105378594 1 2280383 2284676 14 5 337119 -0.048792 0.51946
79906 1 2321253 2391751 302 38 337119 -0.46236 0.67809
11079 1 2391314 2405444 37 11 337119 0.15077 0.44008
5192 1 2404802 2413780 26 9 337119 0.20715 0.41795
9651 1 2415782 2505530 321 46 337119 -0.88326 0.81145
55229 1 2508531 2526628 40 6 337119 0.50428 0.30703
388585 1 2528745 2530245 3 2 337119 1.0416 0.1488
8764 1 2556365 2565622 23 5 337119 1.6604 0.048416
127281 1 2586460 2591469 11 4 337119 1.6289 0.051665
79258 1 2590639 2633042 149 10 337119 1.9807 0.023812
100287898 1 2636988 2789665 89 13 337119 0.46306 0.32166
140625 1 3021482 3022903 4 2 337119 -0.30784 0.6209
63976 1 3068227 3438621 1383 172 337119 -0.17389 0.56902
27237 1 3454583 3481115 91 13 337119 -1.4936 0.93236
1953 1 3487942 3624757 572 88 337119 -0.35212 0.63763
127262 1 3624992 3630131 13 5 337119 0.60765 0.27171
49856 1 3630767 3650107 32 10 337119 0.48497 0.31385
7161 1 3652565 3736201 295 54 337119 0.94449 0.17246
148870 1 3752398 3771645 67 15 337119 1.373 0.08488
388588 1 3772761 3775982 12 5 337119 0.42911 0.33392
57470 1 3780220 3796504 80 16 337119 -0.30536 0.61995
9731 1 3812081 3857387 284 18 337119 1.0794 0.1402
1677 1 3857143 3885429 163 23 337119 -0.41702 0.66167
339448 1 3889133 3900293 41 8 337119 -0.16889 0.56706
55966 1 4655045 4792534 669 86 337119 0.89069 0.18655
261734 1 5862808 5992505 393 22 337119 -0.23294 0.5921
8514 1 5992298 6101193 304 48 337119 -0.0087263 0.50348
26038 1 6101787 6180134 273 33 337119 1.0699 0.14233
6146 1 6185020 6199619 35 7 337119 0.93192 0.17569
388591 1 6205775 6221299 34 5 337119 2.081 0.018716
23463 1 6221193 6235984 28 6 337119 1.8127 0.034938
390992 1 6244158 6245578 2 1 337119 0.46994 0.3192
387509 1 6247346 6260990 36 3 337119 -0.24886 0.59826
11332 1 6264272 6393766 409 26 337119 -0.97847 0.83608
54626 1 6415232 6424664 30 6 337119 -1.1736 0.87973
83715 1 6424776 6460944 104 12 337119 -0.53267 0.70287
8718 1 6461151 6466195 13 5 337119 1.4704 0.070722
57449 1 6466092 6520061 139 25 337119 0.91848 0.17918
79707 1 6521347 6554598 101 3 337119 0.54044 0.29445
80835 1 6555278 6579757 42 8 337119 0.41846 0.33781
3104 1 6579991 6589280 9 4 337119 0.52206 0.30081
9903 1 6590724 6602898 30 9 337119 0.6172 0.26855
148479 1 6613696 6624033 18 4 337119 0.30728 0.37931
90326 1 6624865 6635586 33 7 337119 -1.4362 0.92453
55735 1 6634168 6701906 144 18 337119 -1.0601 0.85545
23261 1 6785324 7769706 2727 225 337119 -0.89021 0.81332
9341 1 7771269 7781432 33 9 337119 -1.2288 0.89043
8863 1 7784380 7845181 215 27 337119 -0.96861 0.83363
10911 1 7847612 7913610 303 28 337119 0.1898 0.42473
3604 1 7915871 7943165 54 8 337119 0.29824 0.38276
11315 1 7961654 7985283 50 10 337119 -1.7471 0.95969
54206 1 8011719 8026333 23 5 337119 -1.1887 0.88272
50651 1 8318085 8344167 82 14 337119 2.7307 0.0031597
473 1 8352404 8817691 684 29 337119 3.6323 0.00014044
2023 1 8861000 8879092 25 5 337119 0.21769 0.41384
765 1 8945785 8975092 117 26 337119 -0.83207 0.79731
155184 1 8960853 9026384 218 55 337119 0.71777 0.23645
6518 1 9036943 9071704 96 14 337119 2.0405 0.020653
80045 1 9103391 9129170 60 10 337119 -0.31929 0.62525
9563 1 9234776 9271337 98 19 337119 -0.62629 0.73444
80176 1 9292882 9369532 329 48 337119 1.4752 0.07008
84275 1 9539469 9582773 60 9 337119 -1.535 0.93761
199953 1 9588853 9614877 37 8 337119 -0.60039 0.72588
5293 1 9629889 9729114 200 36 337119 1.1511 0.12484
22883 1 9729021 9824526 130 17 337119 1.3125 0.094672
56998 1 9848276 9910258 74 13 337119 1.712 0.043445
84328 1 9922110 9943402 44 10 337119 0.15818 0.43716
64802 1 9942923 9985501 88 14 337119 -1.8327 0.96657
105376719 1 9996423 9998089 10 3 337119 -1.3486 0.91127
116362 1 9997197 10016020 36 5 337119 -1.3932 0.91821
10277 1 10032983 10181239 307 18 337119 -0.81687 0.793
23095 1 10210706 10381603 522 17 337119 -1.9277 0.97305
5226 1 10398992 10420511 50 8 337119 -1.2206 0.88889
378708 1 10430102 10442815 37 5 337119 -0.2349 0.59286
100526739 1 10430102 10452003 56 8 337119 -0.34425 0.63467
1325 1 10449719 10452003 5 2 337119 -0.96528 0.8328
1676 1 10460531 10472556 18 5 337119 -0.18652 0.57398
5195 1 10474946 10630758 368 29 337119 -0.52743 0.70105
54897 1 10636604 10796676 432 89 337119 -0.042243 0.51685
148345 1 10946473 10982037 125 18 337119 -0.16674 0.56621
23435 1 11012622 11025492 22 4 337119 -1.0696 0.8576
10747 1 11026523 11047239 56 7 337119 -1.0441 0.85177
6723 1 11054592 11060034 7 2 337119 -0.42884 0.66598
5394 1 11066613 11099910 95 6 337119 -0.53684 0.70431
2475 1 11106531 11262557 339 11 337119 -0.76991 0.77932
10218 1 11189289 11195981 15 3 337119 -0.23999 0.59483
29914 1 11273198 11296595 35 6 337119 2.7717 0.0027884
57540 1 11479238 11537583 150 16 337119 1.5803 0.057023
26232 1 11648361 11654831 22 12 337119 -0.16995 0.56747
93611 1 11654375 11663327 24 8 337119 -0.50812 0.69431
26270 1 11664093 11674354 34 10 337119 1.086 0.13873
10459 1 11674480 11691788 65 14 337119 0.61788 0.26833
374946 1 11686647 11720612 104 22 337119 0.36862 0.3562
57085 1 11735474 11750771 38 9 337119 -0.34616 0.63539
284498 1 11762183 11789585 149 11 337119 -0.86176 0.80559
4524 1 11785730 11806103 78 11 337119 -0.42799 0.66567
1185 1 11806096 11843144 194 15 337119 -0.12261 0.54879
4878 1 11845709 11847783 15 4 337119 0.75573 0.2249
90231 1 11919588 11926428 21 7 337119 1.4782 0.069672
5351 1 11934667 11975542 106 11 337119 -1.098 0.86391
9927 1 11980181 12013515 89 10 337119 -0.56465 0.71385
60672 1 12019242 12032049 22 5 337119 -0.7713 0.77973
943 1 12063330 12144207 206 43 337119 -1.0447 0.85192
7133 1 12166949 12209222 121 17 337119 0.49368 0.31077
55187 1 12230039 12512047 360 33 337119 -0.24836 0.59807
9249 1 12567910 12618361 169 35 337119 1.211 0.11295
343066 1 12644547 12667086 51 6 337119 2.1513 0.015726
126767 1 12716115 12728759 43 7 337119 -0.94922 0.82874
93190 1 12746186 12761169 44 10 337119 -1.0953 0.8633
390999 1 12763223 12777906 44 9 337119 -0.63548 0.73744
65121 1 12791397 12796628 14 4 337119 -0.97898 0.8362
440560 1 12824380 12831410 28 7 337119 0.49998 0.30855
343069 1 12847377 12848756 7 3 337119 -0.52366 0.69974
65122 1 12857086 12861909 34 7 337119 -0.24469 0.59665
400735 1 12879212 12886201 36 7 337119 -0.64898 0.74182
343071 1 12892896 12898270 5 2 337119 0.55702 0.28876
441871 1 12916647 12920480 1 1 337119 -1.5194 0.93566
440563 1 13115488 13116854 10 5 337119 1.2349 0.10844
645382 1 13303516 13309027 3 1 337119 -0.70338 0.75909
391004 1 13389632 13392629 6 3 337119 -1.468 0.92895
645425 1 13410450 13421354 3 1 337119 -0.38388 0.64947
126755 1 13474977 13513781 168 38 337119 0.35788 0.36022
10630 1 13583757 13617957 100 27 337119 -0.65048 0.74231
7799 1 13700240 13825079 365 29 337119 0.1923 0.42375
23254 1 13893515 15118048 4504 354 337119 0.86246 0.19422
55092 1 15152532 15220478 349 27 337119 1.5839 0.056609
727684 1 15164196 15171624 29 7 337119 0.069244 0.4724
114827 1 15236602 15400283 526 57 337119 -1.571 0.94191
79180 1 15409895 15430343 56 19 337119 -0.67809 0.75114
11330 1 15438442 15449247 18 7 337119 -0.8441 0.80069
63036 1 15456728 15472091 63 10 337119 -0.0061084 0.50244
51032 1 15476101 15491400 44 8 337119 2.3103 0.010435
842 1 15491401 15526529 126 8 337119 1.5368 0.062166
23341 1 15526813 15571733 104 11 337119 1.869 0.030813
79814 1 15571699 15585110 58 6 337119 0.95196 0.17056
84301 1 15617458 15661057 91 6 337119 0.24813 0.40202
6248 1 15659869 15661722 3 2 337119 0.04785 0.48092
23207 1 15684267 15734769 148 13 337119 -0.95365 0.82987
284723 1 15735088 15741392 12 3 337119 0.18643 0.42605
388595 1 15742492 15747797 11 3 337119 0.98325 0.16274
54751 1 15756171 15786589 67 12 337119 -0.94057 0.82654
440567 1 15807162 15807699 5 2 337119 0.40396 0.34312
23013 1 15847864 15940455 168 21 337119 -0.28746 0.61312
7709 1 15941869 15976132 61 16 337119 0.41131 0.34042
101928566 1 15976131 15997206 82 13 337119 -0.19652 0.5779
149563 1 16004236 16006695 13 4 337119 1.4281 0.076638
27129 1 16014028 16018796 38 4 337119 -0.34643 0.63549
1187 1 16021991 16034050 61 10 337119 -0.80572 0.7898
1188 1 16043736 16057326 116 13 337119 1.5417 0.061579
348487 1 16057769 16073632 71 10 337119 -0.42548 0.66476
1969 1 16124337 16156087 58 13 337119 0.055967 0.47768
128272 1 16197856 16212671 44 5 337119 -0.33714 0.63199
101927546 1 16215907 16227036 24 4 337119 0.26511 0.39546
79363 1 16231687 16237452 14 6 337119 -0.4248 0.66451
54455 1 16246840 16352491 215 14 337119 -0.38043 0.64819
26099 1 16367030 16398148 55 7 337119 -0.2273 0.5899
374955 1 16387117 16437842 126 21 337119 -0.79634 0.78708
55707 1 16440672 16460090 40 9 337119 0.56809 0.28499
102724970 1 16535773 16536956 3 2 337119 -2.2192 0.98676
100133301 1 16538724 16540035 1 1 337119 1.0482 0.14728
55672 1 16562427 16613605 11 6 337119 0.10209 0.45934
11223 1 16754634 16764480 1 1 337119 -1.1502 0.87498
9696 1 16895707 16972979 218 28 337119 0.1237 0.45078
4237 1 16974500 16981643 18 4 337119 0.69788 0.24263
23400 1 16985958 17011972 54 11 337119 0.99341 0.16025
6390 1 17018722 17054170 119 13 337119 1.0513 0.14656
11240 1 17066761 17119453 273 18 337119 0.075209 0.47002
29943 1 17205123 17246006 160 46 337119 -0.77062 0.77953
51702 1 17249082 17284233 165 25 337119 -1.3658 0.914
23569 1 17308195 17364004 283 23 337119 -0.16066 0.56382
353238 1 17372196 17401699 165 17 337119 -0.71148 0.76161
55920 1 17406755 17439754 71 12 337119 -0.1755 0.56966
55160 1 17520197 17697875 437 56 337119 1.0575 0.14513
81569 1 17712000 17827063 299 32 337119 3.9655 3.662e-05
84966 1 18107746 18378484 990 132 337119 1.0726 0.14173
127707 1 18480930 18485999 24 6 337119 -0.20456 0.58104
5081 1 18631006 18748866 357 63 337119 1.2718 0.10172
80834 1 18839599 18859661 99 20 337119 0.26778 0.39444
8659 1 18871430 18902799 137 21 337119 -0.044608 0.51779
126917 1 18904280 18956667 157 30 337119 0.82592 0.20443
23352 1 19074506 19210319 255 17 337119 -0.3108 0.62203
23065 1 19215664 19251559 101 13 337119 0.66716 0.25234
51154 1 19251581 19260128 50 8 337119 0.48684 0.31319
22977 1 19274325 19289346 75 6 337119 -0.95434 0.83004
8574 1 19302708 19312146 27 10 337119 -0.79278 0.78605
54896 1 19312246 19332431 96 13 337119 0.42124 0.33679
832 1 19338773 19485641 517 22 337119 2.9959 0.0013683
440574 1 19596977 19629821 75 14 337119 0.80049 0.21171
100532736 1 19596977 19658456 164 28 337119 0.54661 0.29232
4681 1 19643229 19658456 47 13 337119 0.014357 0.49427
3362 1 19665287 19680966 40 8 337119 -0.0011101 0.50044
255104 1 19682213 19800353 377 50 337119 -1.7474 0.95972
54546 1 19814029 19815278 6 4 337119 -0.85439 0.80356
23252 1 19881702 19912945 76 14 337119 -0.04528 0.51806
30814 1 19920307 19923617 15 5 337119 0.22891 0.40947
5320 1 19975431 19980439 14 6 337119 1.1092 0.13368
5322 1 20028339 20091901 208 26 337119 0.72807 0.23328
26279 1 20112650 20119566 21 8 337119 1.1545 0.12415
64600 1 20139326 20150386 24 11 337119 0.16145 0.43587
391013 1 20163991 20175194 37 9 337119 1.76 0.039204
127733 1 20183302 20196048 15 4 337119 -0.63356 0.73682
127731 1 20290907 20360221 252 25 337119 1.1898 0.11706
55450 1 20482391 20486235 4 2 337119 -0.41307 0.66022
