GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 120000 -0.46464 0.67891
105378580 1 803398 805130 4 2 120000 -2.345 0.99049
148398 1 925741 944581 52 17 120000 -1.7043 0.95584
26155 1 944203 959299 42 9 120000 -1.4612 0.92802
339451 1 959952 965720 15 3 120000 -1.6735 0.95289
84069 1 966497 975108 25 11 120000 -1.7908 0.96333
84808 1 975199 982117 20 5 120000 -1.2248 0.88968
57801 1 998962 1001285 12 4 120000 -0.49178 0.68856
9636 1 1013467 1014540 3 1 120000 -1.7182 0.95712
375790 1 1020101 1056119 109 14 120000 -1.6469 0.95021
105369174 1 1061207 1066390 10 5 120000 -0.69574 0.75671
105378948 1 1065635 1069326 10 3 120000 -2.2026 0.98619
401934 1 1071746 1074307 6 2 120000 -1.0479 0.85266
54991 1 1081818 1116356 113 14 120000 -1.4295 0.92358
254173 1 1173898 1197935 143 20 120000 0.62409 0.26628
8784 1 1203508 1206709 10 2 120000 1.7098 0.043649
7293 1 1211326 1214638 8 3 120000 -0.068778 0.52742
51150 1 1216908 1232067 93 6 120000 0.044147 0.48239
126792 1 1232249 1235041 7 2 120000 1.3965 0.08128
388581 1 1242446 1247218 13 3 120000 -0.18402 0.573
118424 1 1253912 1273854 42 7 120000 1.2968 0.097349
6339 1 1280415 1292029 44 16 120000 1.281 0.10009
116983 1 1292384 1307925 44 10 120000 2.3685 0.0089306
126789 1 1308571 1311677 5 3 120000 1.0119 0.1558
54973 1 1311585 1324687 19 6 120000 1.6921 0.045315
80772 1 1324756 1328896 10 2 120000 2.2158 0.013353
83756 1 1328999 1335320 25 7 120000 1.4848 0.068798
1855 1 1335278 1349158 34 9 120000 1.1574 0.12355
54587 1 1352689 1363541 36 6 120000 1.7068 0.043925
54998 1 1373730 1375438 8 4 120000 1.9468 0.025778
81669 1 1385711 1399338 21 7 120000 0.59203 0.27692
55052 1 1401896 1407834 15 6 120000 1.6165 0.052993
441869 1 1418420 1421820 10 4 120000 1.2422 0.10708
643965 1 1426128 1427787 8 3 120000 -0.85447 0.80358
64856 1 1435523 1442882 14 4 120000 -0.64782 0.74145
219293 1 1441301 1470158 87 15 120000 -1.2466 0.89372
83858 1 1471732 1509479 93 20 120000 -0.81262 0.79178
55210 1 1512143 1534687 80 13 120000 -1.0314 0.84882
339453 1 1534778 1540360 12 7 120000 0.47203 0.31845
29101 1 1541673 1574882 91 11 120000 0.79081 0.21453
643988 1 1598008 1600096 2 1 120000 0.20798 0.41762
142678 1 1614975 1630610 36 8 120000 -1.5113 0.93465
984 1 1635226 1659839 34 6 120000 -1.5106 0.93455
728661 1 1660025 1692804 73 17 120000 -1.6607 0.95161
728642 1 1702730 1724352 68 5 120000 0.53002 0.29805
9906 1 1724838 1745999 65 10 120000 -1.9129 0.97212
65220 1 1751232 1780514 68 10 120000 -0.62993 0.73563
2782 1 1785285 1891117 161 24 120000 -0.22988 0.59091
105378949 1 1885960 1893010 14 7 120000 0.14701 0.44156
163688 1 1913752 1917294 13 3 120000 -0.55312 0.70991
339456 1 1917589 1919301 6 3 120000 -0.13354 0.55311
85452 1 1921951 2003837 333 29 120000 0.03694 0.48527
2563 1 2019329 2030753 30 7 120000 0.54074 0.29434
5590 1 2050470 2185395 401 31 120000 0.26907 0.39394
100506504 1 2181811 2184360 4 2 120000 0.12394 0.45068
199990 1 2184460 2212720 51 12 120000 2.7648 0.0028478
105378592 1 2208942 2215211 19 9 120000 2.6083 0.0045495
6497 1 2228695 2310213 240 46 120000 0.18626 0.42612
