GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 19270 0.17464 0.43068
105378580 1 803398 805130 4 2 19270 -1.9956 0.97701
148398 1 925741 944581 55 17 19270 -0.75165 0.77387
26155 1 944203 959299 49 8 19270 -0.091943 0.53663
339451 1 959952 965720 16 3 19270 -0.498 0.69076
84069 1 966497 975108 27 12 19270 0.89454 0.18552
84808 1 975199 982117 22 6 19270 0.93645 0.17452
57801 1 998962 1001285 12 4 19270 2.0775 0.01888
9636 1 1013467 1014540 6 2 19270 0.28955 0.38608
375790 1 1020101 1056119 111 15 19270 0.37653 0.35326
105369174 1 1061207 1066390 10 5 19270 1.3597 0.086958
105378948 1 1065635 1069326 10 3 19270 0.10205 0.45936
401934 1 1071746 1074307 6 2 19270 1.9932 0.023121
54991 1 1081818 1116356 113 14 19270 1.4272 0.076762
254173 1 1173898 1197935 142 20 19270 0.84704 0.19849
8784 1 1203508 1206709 10 2 19270 1.562 0.059149
7293 1 1211326 1214638 8 3 19270 -0.22752 0.58999
51150 1 1216908 1232067 93 6 19270 -0.35762 0.63969
126792 1 1232249 1235041 7 2 19270 1.2855 0.099311
388581 1 1242446 1247218 13 3 19270 0.50664 0.3062
118424 1 1253912 1273854 42 7 19270 1.4988 0.066964
6339 1 1280415 1292029 44 16 19270 0.55713 0.28872
116983 1 1292384 1307925 44 10 19270 0.16776 0.43338
126789 1 1308571 1311677 5 3 19270 0.75267 0.22582
54973 1 1311585 1324687 19 6 19270 -0.49107 0.68831
80772 1 1324756 1328896 10 2 19270 -0.43871 0.66956
83756 1 1328999 1335320 26 8 19270 0.55376 0.28987
1855 1 1335278 1349158 34 9 19270 0.62192 0.267
54587 1 1352689 1363541 36 6 19270 0.15186 0.43965
54998 1 1373730 1375438 8 4 19270 0.54096 0.29427
81669 1 1385711 1399338 22 7 19270 -0.10201 0.54063
55052 1 1401896 1407834 15 6 19270 -0.5108 0.69525
441869 1 1418420 1421820 10 4 19270 0.54789 0.29188
643965 1 1426128 1427787 8 3 19270 0.19489 0.42274
64856 1 1435523 1442882 15 4 19270 -0.98504 0.8377
219293 1 1441301 1470158 88 15 19270 -0.065461 0.5261
83858 1 1471732 1509479 95 21 19270 1.1386 0.12744
55210 1 1512143 1534687 82 13 19270 0.43917 0.33027
339453 1 1534778 1540360 12 7 19270 -0.16389 0.56509
29101 1 1541673 1574882 94 11 19270 0.61044 0.27078
643988 1 1598008 1600096 2 1 19270 0.60555 0.27241
142678 1 1614975 1630610 39 9 19270 0.4878 0.31284
984 1 1635226 1659839 34 6 19270 1.346 0.089143
728661 1 1660025 1692804 76 17 19270 0.87185 0.19164
728642 1 1702730 1724352 67 5 19270 -0.46552 0.67922
9906 1 1724838 1745999 66 11 19270 0.53929 0.29484
65220 1 1751232 1780514 70 10 19270 0.79631 0.21293
2782 1 1785285 1891117 161 23 19270 0.25821 0.39812
105378949 1 1885960 1893010 14 7 19270 -0.031449 0.51254
163688 1 1913752 1917294 13 3 19270 0.41886 0.33766
339456 1 1917589 1919301 6 3 19270 0.70331 0.24093
85452 1 1921951 2003837 333 27 19270 -0.14661 0.55828
2563 1 2019329 2030753 30 7 19270 -0.49994 0.69144
5590 1 2050470 2185395 401 31 19270 0.36303 0.35829
100506504 1 2181811 2184360 4 2 19270 -0.03649 0.51455
199990 1 2184460 2212720 52 12 19270 -0.38147 0.64857
105378592 1 2208942 2215211 19 9 19270 -0.5011 0.69185
6497 1 2228695 2310213 241 46 19270 -1.1618 0.87735
105378594 1 2280383 2284676 14 5 19270 0.32157 0.37389
79906 1 2321253 2391751 301 36 19270 0.20947 0.41704
11079 1 2391314 2405444 37 11 19270 2.2774 0.011382
5192 1 2404802 2413780 26 9 19270 1.4741 0.070234
9651 1 2415782 2505530 323 48 19270 -0.44632 0.67232
55229 1 2508531 2526628 40 6 19270 -0.85702 0.80428
388585 1 2528745 2530245 3 2 19270 -1.2466 0.89372
8764 1 2556365 2565622 23 5 19270 0.13874 0.44483
127281 1 2586460 2591469 11 4 19270 -1.1159 0.86777
79258 1 2590639 2633042 152 10 19270 -0.53748 0.70453
100287898 1 2636988 2789665 90 13 19270 -1.0722 0.85819
140625 1 3021482 3022903 4 2 19270 -0.047154 0.5188
63976 1 3068227 3438621 1384 172 19270 1.1299 0.12926
27237 1 3454583 3481115 92 13 19270 -0.31261 0.62271
1953 1 3487942 3624757 575 86 19270 -0.22282 0.58816
127262 1 3624992 3630131 13 5 19270 1.2794 0.10038
49856 1 3630767 3650107 33 10 19270 0.70274 0.24111
7161 1 3652565 3736201 295 54 19270 -0.33316 0.63049
