GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -2.7879 0.99735
105378580 1 803398 805130 4 2 337119 -0.58207 0.71974
148398 1 925741 944581 54 17 337119 2.7125 0.0033388
26155 1 944203 959299 49 8 337119 2.9251 0.0017219
339451 1 959952 965720 17 4 337119 2.6798 0.0036832
84069 1 966497 975108 29 13 337119 2.8753 0.0020183
84808 1 975199 982117 22 6 337119 3.7439 9.0596e-05
57801 1 998962 1001285 12 4 337119 3.5401 0.00020001
9636 1 1013467 1014540 5 2 337119 2.3202 0.010165
375790 1 1020101 1056119 115 16 337119 1.9557 0.025249
105369174 1 1061207 1066390 10 5 337119 1.0642 0.14362
105378948 1 1065635 1069326 10 3 337119 0.4406 0.32975
401934 1 1071746 1074307 6 2 337119 1.2239 0.11049
54991 1 1081818 1116356 114 14 337119 0.19784 0.42158
254173 1 1173898 1197935 143 20 337119 0.76445 0.2223
8784 1 1203508 1206709 10 2 337119 1.6768 0.046795
7293 1 1211326 1214638 8 3 337119 2.1789 0.014669
51150 1 1216908 1232067 93 6 337119 1.6845 0.046039
126792 1 1232249 1235041 7 2 337119 1.4998 0.066836
388581 1 1242446 1247218 13 3 337119 0.18886 0.4251
118424 1 1253912 1273854 42 7 337119 1.0219 0.1534
6339 1 1280415 1292029 43 15 337119 1.1972 0.11561
116983 1 1292384 1307925 43 10 337119 0.153 0.4392
126789 1 1308571 1311677 5 3 337119 -0.51202 0.69568
54973 1 1311585 1324687 19 6 337119 0.26408 0.39586
80772 1 1324756 1328896 10 2 337119 0.16559 0.43424
83756 1 1328999 1335320 26 8 337119 0.36951 0.35587
1855 1 1335278 1349158 34 9 337119 0.95379 0.1701
54587 1 1352689 1363541 36 6 337119 0.64579 0.25921
54998 1 1373730 1375438 8 4 337119 0.73525 0.23109
81669 1 1385711 1399338 21 7 337119 -0.026553 0.51059
55052 1 1401896 1407834 15 6 337119 1.0629 0.14392
441869 1 1418420 1421820 10 4 337119 0.90272 0.18334
643965 1 1426128 1427787 8 3 337119 -0.46258 0.67817
64856 1 1435523 1442882 15 4 337119 0.31491 0.37642
219293 1 1441301 1470158 88 15 337119 -0.37949 0.64784
83858 1 1471732 1509479 90 21 337119 -1.4776 0.93025
55210 1 1512143 1534687 80 13 337119 -1.5468 0.93904
339453 1 1534778 1540360 12 7 337119 -0.31432 0.62336
29101 1 1541673 1574882 93 11 337119 -0.73697 0.76943
643988 1 1598008 1600096 2 1 337119 -0.78851 0.7848
142678 1 1614975 1630610 39 9 337119 0.69605 0.2432
984 1 1635226 1659839 33 6 337119 1.7588 0.03931
728661 1 1660025 1692804 75 16 337119 1.7134 0.043319
728642 1 1702730 1724352 68 5 337119 -1.3637 0.91367
9906 1 1724838 1745999 64 11 337119 1.8819 0.029922
65220 1 1751232 1780514 68 10 337119 3.7322 9.492e-05
2782 1 1785285 1891117 160 23 337119 3.0348 0.0012036
105378949 1 1885960 1893010 14 7 337119 3.7686 8.2094e-05
163688 1 1913752 1917294 13 3 337119 2.701 0.0034561
339456 1 1917589 1919301 6 3 337119 2.1312 0.016536
85452 1 1921951 2003837 329 27 337119 2.3892 0.0084415
2563 1 2019329 2030753 29 7 337119 -1.9531 0.9746
5590 1 2050470 2185395 400 32 337119 2.7787 0.0027287
100506504 1 2181811 2184360 4 2 337119 1.4559 0.072716
199990 1 2184460 2212720 52 12 337119 3.1623 0.00078266
105378592 1 2208942 2215211 19 9 337119 2.8577 0.0021337
6497 1 2228695 2310213 240 46 337119 1.0295 0.15161
105378594 1 2280383 2284676 14 5 337119 1.3277 0.092132
79906 1 2321253 2391751 302 38 337119 1.0016 0.15826
11079 1 2391314 2405444 37 11 337119 -0.43628 0.66868
5192 1 2404802 2413780 26 9 337119 0.94742 0.17171
9651 1 2415782 2505530 321 46 337119 1.0689 0.14255
