GENE CHR START STOP NSNPS NPARAM N ZSTAT P
148398 1 859993 879961 42 9 980000 -0.51722 0.6975
26155 1 879583 894679 42 5 980000 -1.8253 0.96602
339451 1 895967 901099 17 3 980000 -1.7613 0.9609
84069 1 901872 910488 18 8 980000 -1.0323 0.84905
84808 1 910579 917473 20 4 980000 -0.23427 0.59261
57801 1 934342 936608 11 3 980000 0.39252 0.34734
9636 1 948847 949920 5 2 980000 1.2957 0.097532
375790 1 955503 991499 87 8 980000 1.216 0.11199
401934 1 1007126 1009687 6 2 980000 0.36736 0.35667
54991 1 1017198 1051736 101 10 980000 0.79322 0.21382
254173 1 1109286 1133315 136 16 980000 -0.65661 0.74429
8784 1 1138888 1142163 9 2 980000 -1.1244 0.86957
7293 1 1146706 1149703 8 3 980000 0.35003 0.36316
51150 1 1152288 1167447 92 5 980000 0.51947 0.30172
126792 1 1167629 1170421 8 2 980000 -0.47418 0.68232
388581 1 1177826 1182102 10 2 980000 -0.86309 0.80595
118424 1 1189292 1209234 41 6 980000 -0.73641 0.76926
6339 1 1215816 1227409 34 11 980000 -1.1415 0.87316
116983 1 1227764 1243304 33 5 980000 -0.67933 0.75154
126789 1 1243962 1247057 3 2 980000 0.077452 0.46913
54973 1 1246965 1260067 15 4 980000 0.68449 0.24683
80772 1 1260136 1264276 11 2 980000 0.19755 0.4217
83756 1 1266726 1269844 7 3 980000 -0.026292 0.51049
1855 1 1270658 1284509 37 7 980000 -0.27838 0.60964
54587 1 1288071 1297183 23 4 980000 0.24117 0.40471
54998 1 1309110 1310818 6 3 980000 -0.95334 0.82979
81669 1 1321091 1334718 17 5 980000 -0.063256 0.52522
55052 1 1337276 1342693 12 4 980000 -0.25721 0.60149
441869 1 1353800 1356824 7 2 980000 0.075631 0.46986
643965 1 1361508 1363167 5 2 980000 0.36138 0.35891
64856 1 1370903 1378262 17 4 980000 -0.58399 0.72039
219293 1 1378152 1405538 53 6 980000 -0.020629 0.50823
83858 1 1407139 1444852 47 7 980000 1.4195 0.07787
55210 1 1447523 1470067 60 8 980000 0.44548 0.32799
339453 1 1470158 1475740 8 3 980000 -0.11792 0.54694
29101 1 1477053 1510262 87 9 980000 0.65507 0.25621
643988 1 1533388 1535476 1 1 980000 -0.20573 0.5815
142678 1 1550795 1565990 10 2 980000 1.3404 0.090051
8510 1 1567060 1570030 2 1 980000 0.27647 0.39109
728661 1 1591486 1624243 28 4 980000 -0.001496 0.5006
728642 1 1633822 1655999 30 2 980000 -0.97529 0.83529
9906 1 1656277 1677438 34 4 980000 0.1316 0.44765
65220 1 1682671 1711508 57 7 980000 0.89896 0.18434
2782 1 1716725 1822552 126 13 980000 0.42753 0.3345
163688 1 1846266 1848733 10 3 980000 1.5645 0.058851
339456 1 1849029 1850740 5 2 980000 1.3751 0.084553
85452 1 1853390 1935276 305 21 980000 1.6864 0.045863
2563 1 1950768 1962192 24 4 980000 0.74608 0.22781
5590 1 1981909 2116834 378 25 980000 0.3124 0.37737
100506504 1 2113250 2115812 3 2 980000 0.4236 0.33593
199990 1 2115899 2144159 51 10 980000 0.12848 0.44888
6497 1 2160134 2241652 231 41 980000 0.15452 0.4386
79906 1 2251719 2323190 311 39 980000 0.28597 0.38745
11079 1 2323214 2336883 36 11 980000 -0.025124 0.51002
5192 1 2336241 2344010 23 8 980000 0.28707 0.38703
9651 1 2407754 2436964 67 13 980000 2.6707 0.0037848
55229 1 2439975 2458061 40 6 980000 0.58223 0.2802
388585 1 2460184 2461684 3 2 980000 1.264 0.10311
8764 1 2487291 2495268 19 4 980000 0.70905 0.23915
127281 1 2517899 2522908 9 3 980000 0.20336 0.41943
79258 1 2522078 2564499 151 8 980000 -0.12213 0.5486
100287898 1 2572807 2706230 62 8 980000 0.22928 0.40933
140625 1 2938046 2939467 2 1 980000 1.1188 0.13161
63976 1 2985565 3355185 1316 151 980000 1.3186 0.09365
27237 1 3371147 3397677 90 11 980000 1.2509 0.10548
1953 1 3404506 3528059 463 71 980000 1.3102 0.095061
127262 1 3541556 3546695 11 4 980000 1.2406 0.10738
49856 1 3547331 3566671 35 8 980000 1.8059 0.035465
7161 1 3569129 3652765 289 47 980000 0.41338 0.33966
148870 1 3668965 3688209 62 12 980000 0.24603 0.40283
388588 1 3689352 3692546 12 5 980000 -1.1458 0.87406
57470 1 3696784 3713068 74 13 980000 -0.52671 0.7008
9731 1 3728645 3773797 296 16 980000 -0.056732 0.52262
1677 1 3773845 3801993 156 19 980000 1.4459 0.07411
339448 1 3805697 3816857 38 6 980000 0.83953 0.20059
55966 1 4715105 4843851 643 81 980000 -0.42305 0.66387
261734 1 5922870 6052618 393 20 980000 -0.97726 0.83578
8514 1 6052358 6161253 278 39 980000 0.81107 0.20866
26038 1 6161847 6240194 276 30 980000 0.023747 0.49053
6146 1 6245080 6259679 34 6 980000 0.68437 0.24687
388591 1 6266189 6281359 35 4 980000 1.356 0.087554
23463 1 6281253 6296044 27 4 980000 1.9262 0.027038
390992 1 6304252 6305638 3 1 980000 2.0525 0.020062
387509 1 6307406 6321035 34 2 980000 1.9391 0.026243
11332 1 6324332 6453826 394 24 980000 -1.3966 0.91873
54626 1 6475292 6484724 27 6 980000 -0.22754 0.59
83715 1 6484836 6521004 102 11 980000 0.64141 0.26063
8718 1 6520787 6527432 20 6 980000 -0.075836 0.53023
57449 1 6526152 6580121 137 23 980000 -1.3943 0.91839
79707 1 6581407 6614658 108 3 980000 -0.29928 0.61764
80835 1 6614987 6639817 46 8 980000 0.10778 0.45708
3104 1 6640051 6649340 10 5 980000 -1.0059 0.84276
9903 1 6650784 6662958 31 9 980000 -1.1794 0.88089
148479 1 6673756 6684093 21 5 980000 -0.4777 0.68357
90326 1 6684925 6695646 31 6 980000 -1.1066 0.86577
55735 1 6694228 6761966 144 17 980000 -1.1551 0.87599
23261 1 6845384 7829766 2693 213 980000 -1.1855 0.88208
9341 1 7831329 7841492 34 9 980000 -0.32292 0.62662
8863 1 7844413 7905241 226 27 980000 1.0304 0.15141
10911 1 7907672 7913551 22 8 980000 0.090891 0.46379
3604 1 7975931 8003225 57 7 980000 0.38304 0.35084
11315 1 8021714 8045342 50 8 980000 0.041693 0.48337
54206 1 8071779 8086393 21 4 980000 0.4902 0.312
50651 1 8378171 8404227 82 14 980000 2.6064 0.0045744
473 1 8412464 8877699 688 28 980000 1.9206 0.027392
2023 1 8921059 8939151 24 4 980000 -0.15344 0.56097
765 1 9005893 9035151 119 25 980000 1.1938 0.11628
155184 1 9063359 9086404 72 18 980000 0.77537 0.21906
6518 1 9097005 9131763 103 14 980000 -0.47149 0.68136
80045 1 9163472 9189229 56 8 980000 1.8108 0.035085
9563 1 9294822 9331396 100 19 980000 -0.090525 0.53607
80176 1 9335202 9429591 413 64 980000 -0.57651 0.71787
84275 1 9599528 9642831 59 8 980000 -0.55866 0.7118
199953 1 9648932 9674935 34 6 980000 -1.8508 0.9679
5293 1 9711789 9789172 131 26 980000 -0.16533 0.56566
22883 1 9789079 9884550 114 12 980000 -0.48883 0.68752
56998 1 9908334 9970316 62 9 980000 0.070351 0.47196
84328 1 9982168 10003460 43 7 980000 -0.19105 0.57576
64802 1 10003486 10045556 76 10 980000 0.28011 0.3897
116362 1 10057255 10076078 38 5 980000 0.69261 0.24428
10277 1 10093041 10241297 280 15 980000 0.7734 0.21964
23095 1 10270606 10441664 521 15 980000 1.1672 0.12157
5226 1 10458884 10480565 48 7 980000 1.4929 0.067735
378708 1 10489944 10510239 48 6 980000 0.46328 0.32158
100526739 1 10490159 10512060 50 6 980000 0.45058 0.32615
1325 1 10509776 10512060 5 2 980000 0.59282 0.27665
1676 1 10520588 10532613 12 3 980000 0.039392 0.48429
5195 1 10535003 10690815 353 25 980000 0.43952 0.33014
54897 1 10696661 10856733 404 73 980000 1.1244 0.13043
148345 1 11006530 11042094 114 14 980000 -0.19361 0.57676
23435 1 11072462 11085549 21 3 980000 0.70447 0.24057
10747 1 11086580 11107296 54 7 980000 1.029 0.15175
6723 1 11114649 11120091 8 3 980000 0.49058 0.31186
5394 1 11126675 11159961 92 5 980000 0.72186 0.23519
2475 1 11166588 11322614 313 8 980000 1.338 0.09044
10218 1 11249346 11256038 13 2 980000 0.39263 0.34729
29914 1 11333255 11348491 23 4 980000 0.57916 0.28124
57540 1 11539295 11597640 146 14 980000 0.6722 0.25073
26232 1 11707924 11714888 19 10 980000 0.69028 0.24501
93611 1 11714432 11723384 26 8 980000 1.1685 0.1213
26270 1 11724150 11734411 33 8 980000 0.703 0.24103
10459 1 11734537 11751678 66 14 980000 1.5674 0.058513
374946 1 11751781 11780336 86 15 980000 0.045952 0.48167
57085 1 11796142 11810828 35 7 980000 0.014883 0.49406
284498 1 11823827 11849642 148 11 980000 -0.99962 0.84125
4524 1 11845787 11866160 80 11 980000 0.083238 0.46683
1185 1 11866153 11903201 198 15 980000 0.58651 0.27877
4878 1 11905766 11907840 16 4 980000 0.78805 0.21533
90231 1 11979645 11986485 22 7 980000 -1.1397 0.8728
5351 1 11994724 12035599 108 11 980000 -0.69441 0.75629
9927 1 12040238 12073572 82 8 980000 -0.24029 0.59495
60672 1 12079299 12092106 22 5 980000 -0.66683 0.74756
943 1 12123434 12204264 202 39 980000 0.26752 0.39453
7133 1 12227044 12269279 131 17 980000 0.63586 0.26243
55187 1 12290101 12572099 368 27 980000 -0.96743 0.83334
9249 1 12627939 12677820 168 32 980000 1.3716 0.085088
343066 1 12704566 12727097 47 4 980000 -0.18136 0.57196
126767 1 12776118 12788726 41 6 980000 0.66043 0.25449
93190 1 12806163 12821102 37 7 980000 1.2848 0.099438
390999 1 12834984 12838049 7 2 980000 -0.3279 0.62851
65121 1 12851546 12856777 9 3 980000 -0.7154 0.76282
440560 1 12884468 12891264 9 3 980000 0.17287 0.43138
343069 1 12907261 12908578 2 1 980000 0.86128 0.19454
65122 1 12916941 12921764 19 3 980000 0.96653 0.16689
440563 1 13182960 13184326 3 1 980000 -1.695 0.95496
126755 1 13801445 13840242 163 34 980000 1.5515 0.060388
10630 1 13910252 13944452 98 24 980000 0.050539 0.47985
7799 1 14026714 14151574 354 27 980000 -0.96365 0.83239
23254 1 14219646 15444544 4477 336 980000 -0.42461 0.66444
55092 1 15479028 15546974 354 26 980000 1.5002 0.066783
727684 1 15490692 15498120 29 7 980000 1.4203 0.077765
114827 1 15573730 15724767 441 53 980000 0.062788 0.47497
79180 1 15736391 15756839 61 17 980000 0.035338 0.4859
11330 1 15764938 15773153 19 7 980000 -1.3197 0.90654
63036 1 15783223 15798586 61 10 980000 0.25584 0.39904
51032 1 15802596 15817895 43 8 980000 -0.6013 0.72618
842 1 15817896 15851407 121 8 980000 0.2788 0.3902
23341 1 15853343 15898228 109 10 980000 0.21042 0.41667
79814 1 15898194 15911605 55 5 980000 -0.021102 0.50842
84301 1 15943953 15995539 114 6 980000 0.30329 0.38083
6248 1 15986364 15988217 3 2 980000 -0.45978 0.67716
23207 1 16010632 16061264 149 13 980000 -0.050788 0.52025
284723 1 16062721 16067884 6 3 980000 -0.50466 0.6931
388595 1 16068987 16074292 11 3 980000 0.6431 0.26008
54751 1 16083107 16113089 66 11 980000 0.86625 0.19318
440567 1 16133657 16134194 4 1 980000 0.75932 0.22383
23013 1 16174359 16266951 143 17 980000 2.1451 0.015971
7709 1 16268364 16302627 50 11 980000 2.8224 0.0023829
101928566 1 16302626 16323701 77 11 980000 2.2608 0.011886
149563 1 16330731 16333184 11 3 980000 1.4482 0.073786
27129 1 16340523 16346084 44 5 980000 4.0712 2.3384e-05
1187 1 16348486 16360548 67 10 980000 3.5435 0.00019744
1188 1 16370231 16383821 116 13 980000 -1.0445 0.85187
348487 1 16384264 16400127 70 9 980000 0.85088 0.19742
1969 1 16450832 16482582 54 12 980000 -0.95532 0.83029
128272 1 16524599 16539104 52 5 980000 -0.18315 0.57266
101927546 1 16551343 16553528 7 1 980000 0.60996 0.27094
79363 1 16558182 16563659 14 6 980000 0.72489 0.23426
54455 1 16573339 16678965 216 12 980000 1.6638 0.048075
26099 1 16693525 16724643 56 7 980000 0.1999 0.42078
374955 1 16722101 16763919 112 19 980000 0.12914 0.44862
55707 1 16767167 16786585 39 9 980000 0.56738 0.28523
9696 1 17248445 17299474 96 14 980000 1.1449 0.12613
4237 1 17300997 17308081 17 4 980000 1.0272 0.15217
23400 1 17312453 17338467 53 10 980000 1.5377 0.062061
6390 1 17345217 17380665 115 11 980000 1.5169 0.06465
11240 1 17393256 17445948 251 16 980000 1.5857 0.056403
29943 1 17531621 17572501 164 44 980000 -0.17145 0.56807
51702 1 17575593 17610728 167 25 980000 -0.022487 0.50897
23569 1 17634690 17690495 304 25 980000 0.27075 0.39329
353238 1 17698741 17728195 164 16 980000 0.31216 0.37746
55920 1 17733251 17766250 70 10 980000 -0.28106 0.61067
55160 1 17846693 18024370 419 49 980000 1.8964 0.028951
81569 1 18081808 18153558 204 23 980000 -0.30145 0.61846
84966 1 18434240 18704977 976 124 980000 -0.95862 0.83112
127707 1 18807424 18812540 26 6 980000 -0.37933 0.64778
5081 1 18957500 19075360 345 57 980000 -1.4988 0.93304
80834 1 19166093 19186155 97 18 980000 0.27703 0.39088
8659 1 19197924 19229293 136 20 980000 -0.87848 0.81016
126917 1 19230774 19282826 150 28 980000 -0.55436 0.71033
23352 1 19401000 19536812 257 18 980000 0.42509 0.33538
23065 1 19542158 19578053 105 13 980000 0.57161 0.28379
51154 1 19578075 19586622 52 8 980000 0.35165 0.36255
22977 1 19609057 19615280 25 4 980000 -0.19466 0.57717
8574 1 19629202 19638640 28 11 980000 1.6791 0.046566
54896 1 19638740 19658925 96 14 980000 1.731 0.04173
832 1 19665267 19812066 517 22 980000 -0.94776 0.82837
440574 1 19923471 19956315 72 12 980000 1.1198 0.1314
100532736 1 19923471 19984949 172 28 980000 1.0521 0.14638
4681 1 19969723 19984949 54 15 980000 -0.067967 0.52709
3362 1 19991780 20006055 33 6 980000 1.0896 0.13794
255104 1 20008706 20126424 372 49 980000 0.16065 0.43618
54546 1 20140522 20141771 6 4 980000 -1.5152 0.93513
23252 1 20208356 20239438 80 15 980000 1.1219 0.13095
30814 1 20246800 20250110 16 5 980000 1.8847 0.029736
5320 1 20301924 20306932 13 5 980000 0.24284 0.40406
5322 1 20386157 20418394 115 19 980000 0.88341 0.18851
26279 1 20439143 20446059 22 9 980000 0.59648 0.27543
64600 1 20465823 20476879 23 11 980000 0.73287 0.23182
391013 1 20490484 20501687 39 9 980000 1.1288 0.1295
127733 1 20512578 20522540 9 3 980000 -0.66062 0.74557
127731 1 20617412 20681662 241 31 980000 -0.53664 0.70424
55450 1 20808884 20812728 4 2 980000 1.8054 0.035509
79594 1 20825941 20834674 25 9 980000 2.1517 0.015709
163933 1 20878932 20881513 3 1 980000 -0.49154 0.68848
978 1 20915444 20945401 119 19 980000 1.1275 0.12976
65018 1 20959948 20978004 71 10 980000 0.80641 0.21
1650 1 20978260 20988037 27 6 980000 -0.72922 0.76707
57576 1 20990475 21044317 203 44 980000 -0.5914 0.72287
400745 1 21046225 21059133 35 9 980000 0.25021 0.40121
50809 1 21069170 21113808 89 13 980000 -0.95054 0.82908
8672 1 21132785 21503381 670 22 980000 -1.322 0.90691
1889 1 21543740 21672034 335 35 980000 -0.26083 0.60289
84224 1 21766583 21811393 142 13 980000 1.1673 0.12155
249 1 21835475 21904905 301 28 980000 2.5622 0.0052002
5909 1 21922708 21996010 261 39 980000 1.0049 0.15747
84196 1 22004791 22109688 347 30 980000 -0.70741 0.76034
401944 1 22138758 22151714 42 17 980000 0.34853 0.36372
3339 1 22148737 22263750 349 34 980000 0.36949 0.35588
23436 1 22303418 22315847 140 15 980000 -0.063694 0.52539
10136 1 22328149 22339035 52 8 980000 0.63055 0.26417
998 1 22379120 22419439 98 14 980000 -0.14021 0.55575
54361 1 22443798 22470474 91 17 980000 0.34333 0.36568
9923 1 22778344 22857650 134 16 980000 0.98379 0.16261
2046 1 22890004 22930087 146 23 980000 -0.3382 0.63239
712 1 22963118 22966175 5 2 980000 0.65572 0.256
714 1 22969969 22974603 21 4 980000 0.23307 0.40785
713 1 22979682 22988130 24 6 980000 0.4862 0.31341
2048 1 23037263 23241823 431 54 980000 0.7106 0.23867
646262 1 23279536 23299524 49 12 980000 -1.3036 0.90381
729059 1 23337327 23342343 9 3 980000 -1.5105 0.93455
23028 1 23345937 23410184 69 8 980000 -1.5446 0.93878
7798 1 23410516 23504301 167 20 980000 -1.8427 0.96732
3352 1 23518388 23521222 5 2 980000 -1.2756 0.89895
10236 1 23635953 23671143 34 6 980000 -0.017263 0.50689
80818 1 23685941 23696357 28 6 980000 0.15643 0.43785
6920 1 23707555 23751269 119 18 980000 -0.07132 0.52843
55616 1 23755056 23810750 111 14 980000 0.93263 0.17551
1870 1 23832920 23857712 44 6 980000 1.3196 0.093476
3399 1 23884421 23886285 8 3 980000 -0.41767 0.66191
6135 1 24018269 24022915 4 2 980000 -0.92429 0.82233
6924 1 24069856 24088549 14 6 980000 -0.84761 0.80167
57095 1 24104876 24114722 6 2 980000 -1.0058 0.84275
11313 1 24117275 24122029 3 1 980000 -1.0984 0.86399
2582 1 24122089 24127294 1 1 980000 -0.48849 0.6874
3155 1 24128367 24165110 42 3 980000 -1.0426 0.85143
2517 1 24171567 24194859 40 5 980000 -1.115 0.86758
1269 1 24197005 24285549 213 14 980000 -0.68034 0.75186
55629 1 24286301 24289952 3 1 980000 0.27749 0.3907
10772 1 24292935 24306953 2 1 980000 -0.17195 0.56826
127294 1 24382531 24438665 177 20 980000 0.60106 0.2739
58985 1 24446261 24469783 64 13 980000 -1.0023 0.84191
163702 1 24480647 24513765 128 19 980000 -0.38274 0.64904
57822 1 24645812 24690972 92 20 980000 0.19335 0.42334
90529 1 24683489 24741587 155 17 980000 0.65303 0.25687
57185 1 24742245 24799473 162 16 980000 0.91035 0.18132
11123 1 24828841 24863510 100 13 980000 0.30623 0.37972
400746 1 24882567 24935819 226 30 980000 2.7905 0.002631
10250 1 24969594 24999772 25 5 980000 -0.52473 0.70012
25932 1 25071760 25170815 92 9 980000 1.7035 0.04424
864 1 25226002 25291648 128 25 980000 0.47042 0.31903
25949 1 25548767 25559013 3 2 980000 -1.1409 0.87304
