GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.64132 0.73934
105378580 1 803398 805130 4 2 337119 0.9139 0.18038
148398 1 925741 944581 54 17 337119 -0.19408 0.57694
26155 1 944203 959299 49 8 337119 -0.83908 0.79929
339451 1 959952 965720 17 4 337119 -0.29383 0.61556
84069 1 966497 975108 29 13 337119 1.3614 0.086689
84808 1 975199 982117 22 6 337119 0.57987 0.281
57801 1 998962 1001285 12 4 337119 1.2585 0.10411
9636 1 1013467 1014540 5 2 337119 0.50394 0.30715
375790 1 1020101 1056119 115 16 337119 -0.67612 0.75052
105369174 1 1061207 1066390 10 5 337119 -0.21616 0.58557
105378948 1 1065635 1069326 10 3 337119 1.003 0.15794
401934 1 1071746 1074307 6 2 337119 0.66936 0.25163
54991 1 1081818 1116356 114 14 337119 0.22683 0.41028
254173 1 1173898 1197935 143 20 337119 4.1906 1.3912e-05
8784 1 1203508 1206709 10 2 337119 5.255 7.4019e-08
7293 1 1211326 1214638 8 3 337119 2.0414 0.020608
51150 1 1216908 1232067 93 6 337119 2.3044 0.010601
126792 1 1232249 1235041 7 2 337119 2.5979 0.0046905
388581 1 1242446 1247218 13 3 337119 3.9166 4.491e-05
118424 1 1253912 1273854 42 7 337119 3.8539 5.8126e-05
6339 1 1280415 1292029 43 15 337119 4.9171 4.3918e-07
116983 1 1292384 1307925 43 10 337119 3.3236 0.00044431
126789 1 1308571 1311677 5 3 337119 3.9545 3.8346e-05
54973 1 1311585 1324687 19 6 337119 4.1361 1.7661e-05
80772 1 1324756 1328896 10 2 337119 3.735 9.3853e-05
83756 1 1328999 1335320 26 8 337119 3.5944 0.00016256
1855 1 1335278 1349158 34 9 337119 3.2353 0.00060766
54587 1 1352689 1363541 36 6 337119 3.6602 0.00012599
54998 1 1373730 1375438 8 4 337119 3.0277 0.001232
81669 1 1385711 1399338 21 7 337119 5.0472 2.2417e-07
55052 1 1401896 1407834 15 6 337119 4.1972 1.3514e-05
441869 1 1418420 1421820 10 4 337119 3.484 0.00024698
643965 1 1426128 1427787 8 3 337119 1.9487 0.025666
64856 1 1435523 1442882 15 4 337119 1.772 0.038196
219293 1 1441301 1470158 88 15 337119 1.4378 0.075247
83858 1 1471732 1509479 90 21 337119 1.6462 0.049857
55210 1 1512143 1534687 80 13 337119 0.8561 0.19597
339453 1 1534778 1540360 12 7 337119 0.48631 0.31338
29101 1 1541673 1574882 93 11 337119 0.12082 0.45192
643988 1 1598008 1600096 2 1 337119 0.78189 0.21714
142678 1 1614975 1630610 39 9 337119 -0.16743 0.56649
984 1 1635226 1659839 33 6 337119 -0.14622 0.55813
728661 1 1660025 1692804 75 16 337119 -0.065239 0.52601
728642 1 1702730 1724352 68 5 337119 0.43308 0.33248
9906 1 1724838 1745999 64 11 337119 -1.0474 0.85253
65220 1 1751232 1780514 68 10 337119 -0.41193 0.6598
2782 1 1785285 1891117 160 23 337119 -1.1287 0.87049
105378949 1 1885960 1893010 14 7 337119 -0.95763 0.83088
163688 1 1913752 1917294 13 3 337119 -0.53118 0.70235
339456 1 1917589 1919301 6 3 337119 -0.79665 0.78717
85452 1 1921951 2003837 329 27 337119 -0.88289 0.81135
2563 1 2019329 2030753 29 7 337119 -0.96063 0.83163
5590 1 2050470 2185395 400 32 337119 0.53946 0.29479
100506504 1 2181811 2184360 4 2 337119 -0.35313 0.638
199990 1 2184460 2212720 52 12 337119 -1.2979 0.90285
105378592 1 2208942 2215211 19 9 337119 0.14832 0.44105
6497 1 2228695 2310213 240 46 337119 1.8718 0.030618
105378594 1 2280383 2284676 14 5 337119 1.3901 0.082244
79906 1 2321253 2391751 302 38 337119 -0.23092 0.59131
11079 1 2391314 2405444 37 11 337119 -0.061712 0.5246
5192 1 2404802 2413780 26 9 337119 -0.11434 0.54552
9651 1 2415782 2505530 321 46 337119 1.8286 0.033728
55229 1 2508531 2526628 40 6 337119 2.0116 0.022129
388585 1 2528745 2530245 3 2 337119 2.7689 0.0028124
8764 1 2556365 2565622 23 5 337119 2.7332 0.0031361
127281 1 2586460 2591469 11 4 337119 5.2224 8.8294e-08
79258 1 2590639 2633042 149 10 337119 5.335 4.7777e-08
100287898 1 2636988 2789665 89 13 337119 3.0076 0.0013166
140625 1 3021482 3022903 4 2 337119 0.84789 0.19825
63976 1 3068227 3438621 1383 172 337119 0.039344 0.48431
27237 1 3454583 3481115 91 13 337119 1.1435 0.12642
1953 1 3487942 3624757 572 88 337119 -0.72552 0.76593
127262 1 3624992 3630131 13 5 337119 -0.70283 0.75892
49856 1 3630767 3650107 32 10 337119 -0.58968 0.7223
7161 1 3652565 3736201 295 54 337119 0.20662 0.41815
148870 1 3752398 3771645 67 15 337119 -0.43504 0.66823
388588 1 3772761 3775982 12 5 337119 -0.77826 0.78179
57470 1 3780220 3796504 80 16 337119 -0.76049 0.77652
9731 1 3812081 3857387 284 18 337119 -1.0203 0.84621
1677 1 3857143 3885429 163 23 337119 -1.2095 0.88677
339448 1 3889133 3900293 41 8 337119 -0.6538 0.74338
55966 1 4655045 4792534 669 86 337119 -0.61256 0.72992
261734 1 5862808 5992505 393 22 337119 -0.043183 0.51722
8514 1 5992298 6101193 304 48 337119 2.0155 0.021924
26038 1 6101787 6180134 273 33 337119 -0.036718 0.51465
6146 1 6185020 6199619 35 7 337119 0.93274 0.17548
388591 1 6205775 6221299 34 5 337119 0.0021171 0.49916
23463 1 6221193 6235984 28 6 337119 0.028444 0.48865
390992 1 6244158 6245578 2 1 337119 0.48874 0.31251
387509 1 6247346 6260990 36 3 337119 -0.95182 0.8294
11332 1 6264272 6393766 409 26 337119 -0.35844 0.63999
54626 1 6415232 6424664 30 6 337119 -0.77106 0.77966
83715 1 6424776 6460944 104 12 337119 -0.15944 0.56334
8718 1 6461151 6466195 13 5 337119 -0.68089 0.75203
57449 1 6466092 6520061 139 25 337119 -0.64796 0.74149
79707 1 6521347 6554598 101 3 337119 -0.00070708 0.50028
80835 1 6555278 6579757 42 8 337119 -0.45208 0.67439
3104 1 6579991 6589280 9 4 337119 0.76128 0.22324
9903 1 6590724 6602898 30 9 337119 0.4989 0.30892
148479 1 6613696 6624033 18 4 337119 0.12856 0.44885
90326 1 6624865 6635586 33 7 337119 0.18655 0.42601
55735 1 6634168 6701906 144 18 337119 0.63478 0.26279
23261 1 6785324 7769706 2727 225 337119 0.59985 0.2743
9341 1 7771269 7781432 33 9 337119 -0.047847 0.51908
8863 1 7784380 7845181 215 27 337119 -0.73124 0.76769
10911 1 7847612 7913610 303 28 337119 0.30667 0.37955
3604 1 7915871 7943165 54 8 337119 -0.43252 0.66732
11315 1 7961654 7985283 50 10 337119 0.25516 0.3993
54206 1 8011719 8026333 23 5 337119 -0.52354 0.6997
50651 1 8318085 8344167 82 14 337119 2.7041 0.0034241
473 1 8352404 8817691 684 29 337119 5.1594 1.2388e-07
2023 1 8861000 8879092 25 5 337119 1.1231 0.1307
765 1 8945785 8975092 117 26 337119 0.31778 0.37533
155184 1 8960853 9026384 218 55 337119 0.19104 0.42425
6518 1 9036943 9071704 96 14 337119 0.90605 0.18245
80045 1 9103391 9129170 60 10 337119 0.67759 0.24902
9563 1 9234776 9271337 98 19 337119 -0.29811 0.61719
80176 1 9292882 9369532 329 48 337119 0.16045 0.43626
84275 1 9539469 9582773 60 9 337119 -0.24712 0.59759
199953 1 9588853 9614877 37 8 337119 0.81212 0.20836
5293 1 9629889 9729114 200 36 337119 2.7074 0.0033905
22883 1 9729021 9824526 130 17 337119 0.2619 0.3967
56998 1 9848276 9910258 74 13 337119 0.88961 0.18684
84328 1 9922110 9943402 44 10 337119 -0.1468 0.55836
64802 1 9942923 9985501 88 14 337119 -0.53417 0.70339
105376719 1 9996423 9998089 10 3 337119 -0.95729 0.83079
116362 1 9997197 10016020 36 5 337119 -0.67504 0.75017
10277 1 10032983 10181239 307 18 337119 -0.23523 0.59299
23095 1 10210706 10381603 522 17 337119 0.97879 0.16384
5226 1 10398992 10420511 50 8 337119 1.4335 0.075859
378708 1 10430102 10442815 37 5 337119 1.4572 0.072536
100526739 1 10430102 10452003 56 8 337119 1.6601 0.048449
1325 1 10449719 10452003 5 2 337119 1.4128 0.078856
1676 1 10460531 10472556 18 5 337119 1.5945 0.055406
5195 1 10474946 10630758 368 29 337119 2.4834 0.0065068
54897 1 10636604 10796676 432 89 337119 2.3342 0.009792
148345 1 10946473 10982037 125 18 337119 0.7838 0.21658
23435 1 11012622 11025492 22 4 337119 1.0679 0.14278
10747 1 11026523 11047239 56 7 337119 0.88764 0.18737
6723 1 11054592 11060034 7 2 337119 0.66215 0.25394
5394 1 11066613 11099910 95 6 337119 0.21398 0.41528
2475 1 11106531 11262557 339 11 337119 -0.51159 0.69553
10218 1 11189289 11195981 15 3 337119 -0.18634 0.57391
29914 1 11273198 11296595 35 6 337119 0.36201 0.35867
57540 1 11479238 11537583 150 16 337119 3.1798 0.00073679
26232 1 11648361 11654831 22 12 337119 -0.54571 0.70737
93611 1 11654375 11663327 24 8 337119 -1.6655 0.95209
26270 1 11664093 11674354 34 10 337119 -1.0075 0.84314
10459 1 11674480 11691788 65 14 337119 -1.5696 0.94174
374946 1 11686647 11720612 104 22 337119 -1.0158 0.84514
57085 1 11735474 11750771 38 9 337119 -1.5087 0.93431
284498 1 11762183 11789585 149 11 337119 -1.362 0.91341
4524 1 11785730 11806103 78 11 337119 0.020336 0.49189
1185 1 11806096 11843144 194 15 337119 0.4988 0.30896
4878 1 11845709 11847783 15 4 337119 -0.26917 0.6061
90231 1 11919588 11926428 21 7 337119 0.55866 0.2882
5351 1 11934667 11975542 106 11 337119 2.3538 0.0092923
9927 1 11980181 12013515 89 10 337119 2.7453 0.0030225
60672 1 12019242 12032049 22 5 337119 2.0669 0.019371
943 1 12063330 12144207 206 43 337119 0.49202 0.31135
7133 1 12166949 12209222 121 17 337119 3.7978 7.3001e-05
55187 1 12230039 12512047 360 33 337119 -0.53521 0.70375
9249 1 12567910 12618361 169 35 337119 0.6566 0.25572
343066 1 12644547 12667086 51 6 337119 -0.85598 0.80399
126767 1 12716115 12728759 43 7 337119 0.56012 0.2877
93190 1 12746186 12761169 44 10 337119 0.89041 0.18662
390999 1 12763223 12777906 44 9 337119 1.5633 0.058994
65121 1 12791397 12796628 14 4 337119 -0.59799 0.72508
440560 1 12824380 12831410 28 7 337119 -0.81925 0.79368
343069 1 12847377 12848756 7 3 337119 -0.16766 0.56657
65122 1 12857086 12861909 34 7 337119 -0.94009 0.82642
400735 1 12879212 12886201 36 7 337119 -0.63825 0.73834
343071 1 12892896 12898270 5 2 337119 -0.80687 0.79013
441871 1 12916647 12920480 1 1 337119 -0.74773 0.77269
440563 1 13115488 13116854 10 5 337119 0.20221 0.41988
645382 1 13303516 13309027 3 1 337119 0.12061 0.452
391004 1 13389632 13392629 6 3 337119 0.35161 0.36256
645425 1 13410450 13421354 3 1 337119 0.36244 0.35851
126755 1 13474977 13513781 168 38 337119 0.31482 0.37645
10630 1 13583757 13617957 100 27 337119 0.94077 0.17341
7799 1 13700240 13825079 365 29 337119 -0.56918 0.71538
23254 1 13893515 15118048 4504 354 337119 0.40799 0.34164
55092 1 15152532 15220478 349 27 337119 2.1454 0.015962
727684 1 15164196 15171624 29 7 337119 1.3483 0.088783
114827 1 15236602 15400283 526 57 337119 -0.023123 0.50922
79180 1 15409895 15430343 56 19 337119 -1.155 0.87596
11330 1 15438442 15449247 18 7 337119 0.56929 0.28458
63036 1 15456728 15472091 63 10 337119 -0.92223 0.82179
51032 1 15476101 15491400 44 8 337119 -0.22044 0.58723
842 1 15491401 15526529 126 8 337119 -0.39824 0.65477
23341 1 15526813 15571733 104 11 337119 0.0061777 0.49754
