GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 17375 -3.1814 0.99927
105378580 1 803398 805130 4 2 17375 -1.1041 0.86523
148398 1 925741 944581 51 16 17375 -3.1317 0.99913
26155 1 944203 959299 41 9 17375 -2.534 0.99436
339451 1 959952 965720 15 3 17375 -1.6874 0.95424
84069 1 966497 975108 24 10 17375 -2.9329 0.99832
84808 1 975199 982117 20 5 17375 -1.9317 0.9733
57801 1 998962 1001285 11 3 17375 -1.7317 0.95834
9636 1 1013467 1014540 2 1 17375 -0.5775 0.7182
375790 1 1020101 1056119 105 15 17375 -2.6617 0.99611
105369174 1 1061207 1066390 10 5 17375 -2.7614 0.99712
105378948 1 1065635 1069326 8 3 17375 -1.7267 0.95789
401934 1 1071746 1074307 5 2 17375 -1.9787 0.97607
54991 1 1081818 1116356 110 14 17375 0.71194 0.23825
254173 1 1173898 1197935 136 19 17375 0.12478 0.45035
8784 1 1203508 1206709 10 2 17375 1.877 0.030258
7293 1 1211326 1214638 8 3 17375 0.79285 0.21393
51150 1 1216908 1232067 86 5 17375 0.50959 0.30517
126792 1 1232249 1235041 6 2 17375 1.7184 0.042866
388581 1 1242446 1247218 13 3 17375 0.35498 0.3613
118424 1 1253912 1273854 40 7 17375 0.11215 0.45535
6339 1 1280415 1292029 39 14 17375 -0.77783 0.78167
116983 1 1292384 1307925 42 10 17375 0.090525 0.46393
126789 1 1308571 1311677 3 2 17375 -0.31149 0.62228
54973 1 1311585 1324687 17 6 17375 -1.0169 0.84539
80772 1 1324756 1328896 10 2 17375 -0.72783 0.76664
83756 1 1328999 1335320 21 7 17375 0.34292 0.36583
1855 1 1335278 1349158 29 8 17375 0.4304 0.33345
54587 1 1352689 1363541 30 5 17375 -0.12339 0.5491
54998 1 1373730 1375438 8 4 17375 0.14981 0.44046
81669 1 1385711 1399338 21 7 17375 -0.41832 0.66214
55052 1 1401896 1407834 15 6 17375 -0.43479 0.66814
441869 1 1418420 1421820 10 4 17375 -0.35271 0.63785
643965 1 1426128 1427787 8 3 17375 0.56295 0.28673
64856 1 1435523 1442882 14 4 17375 1.2993 0.096916
219293 1 1441301 1470158 85 14 17375 0.045712 0.48177
83858 1 1471732 1509479 89 21 17375 -2.2397 0.98745
55210 1 1512143 1534687 78 13 17375 -1.2573 0.89568
339453 1 1534778 1540360 12 7 17375 0.42535 0.33529
29101 1 1541673 1574882 91 11 17375 1.0815 0.13974
643988 1 1598008 1600096 2 1 17375 -1.6592 0.95146
142678 1 1614975 1630610 36 8 17375 -2.98 0.99856
984 1 1635226 1659839 33 6 17375 -1.8709 0.96932
728661 1 1660025 1692804 73 17 17375 -3.5845 0.99983
728642 1 1702730 1724352 67 5 17375 -1.8043 0.96441
9906 1 1724838 1745999 62 11 17375 -2.8847 0.99804
65220 1 1751232 1780514 63 9 17375 -2.0963 0.98197
2782 1 1785285 1891117 153 23 17375 -2.0723 0.98088
