GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 173480 0.8968 0.18491
105378580 1 803398 805130 4 2 173480 0.072787 0.47099
148398 1 925741 944581 55 18 173480 -0.21202 0.58395
26155 1 944203 959299 45 9 173480 0.34597 0.36468
339451 1 959952 965720 16 4 173480 0.79559 0.21314
84069 1 966497 975108 26 11 173480 2.6788 0.0036949
84808 1 975199 982117 21 6 173480 1.2645 0.10303
57801 1 998962 1001285 12 4 173480 0.87847 0.18984
9636 1 1013467 1014540 3 1 173480 -0.45064 0.67388
375790 1 1020101 1056119 107 15 173480 -1.234 0.89141
105369174 1 1061207 1066390 10 5 173480 0.10277 0.45907
105378948 1 1065635 1069326 10 3 173480 0.8247 0.20477
401934 1 1071746 1074307 5 2 173480 1.1424 0.12664
54991 1 1081818 1116356 114 14 173480 -0.11699 0.54657
254173 1 1173898 1197935 139 20 173480 -0.11832 0.54709
8784 1 1203508 1206709 10 2 173480 1.5469 0.060943
7293 1 1211326 1214638 9 4 173480 -0.17939 0.57119
51150 1 1216908 1232067 89 6 173480 0.28915 0.38623
126792 1 1232249 1235041 7 2 173480 1.7717 0.038225
388581 1 1242446 1247218 13 3 173480 0.29989 0.38213
118424 1 1253912 1273854 41 7 173480 2.5188 0.005888
6339 1 1280415 1292029 42 15 173480 2.8074 0.0024971
116983 1 1292384 1307925 43 10 173480 0.26047 0.39725
126789 1 1308571 1311677 3 2 173480 0.80609 0.21009
54973 1 1311585 1324687 18 6 173480 0.13604 0.44589
80772 1 1324756 1328896 10 2 173480 0.2205 0.41274
83756 1 1328999 1335320 22 7 173480 0.40071 0.34432
1855 1 1335278 1349158 30 8 173480 0.38522 0.35004
54587 1 1352689 1363541 35 6 173480 0.32568 0.37233
54998 1 1373730 1375438 8 4 173480 1.2863 0.099177
81669 1 1385711 1399338 21 7 173480 -0.3439 0.63454
55052 1 1401896 1407834 15 6 173480 0.61056 0.27075
441869 1 1418420 1421820 10 4 173480 0.38166 0.35136
643965 1 1426128 1427787 8 3 173480 0.69392 0.24387
64856 1 1435523 1442882 14 4 173480 -0.10968 0.54367
219293 1 1441301 1470158 87 14 173480 0.76506 0.22212
83858 1 1471732 1509479 92 21 173480 0.25733 0.39846
55210 1 1512143 1534687 82 13 173480 0.20622 0.41831
339453 1 1534778 1540360 12 7 173480 0.68136 0.24782
29101 1 1541673 1574882 94 11 173480 0.67438 0.25004
643988 1 1598008 1600096 2 1 173480 -0.20819 0.58246
142678 1 1614975 1630610 37 8 173480 1.8514 0.032053
984 1 1635226 1659839 33 6 173480 2.5626 0.0051942
728661 1 1660025 1692804 76 17 173480 3.7627 8.4046e-05
728642 1 1702730 1724352 68 5 173480 0.53641 0.29584
9906 1 1724838 1745999 64 11 173480 1.3384 0.090377
65220 1 1751232 1780514 67 10 173480 -0.74052 0.77051
2782 1 1785285 1891117 157 23 173480 -1.0483 0.85275
105378949 1 1885960 1893010 13 7 173480 -0.89895 0.81566
163688 1 1913752 1917294 13 3 173480 -1.3067 0.90434
339456 1 1917589 1919301 5 2 173480 0.024306 0.4903
85452 1 1921951 2003837 326 28 173480 -0.96121 0.83178
2563 1 2019329 2030753 29 7 173480 1.934 0.026554
5590 1 2050470 2185395 397 31 173480 0.65798 0.25528
100506504 1 2181811 2184360 4 2 173480 1.511 0.065388
199990 1 2184460 2212720 51 12 173480 0.48689 0.31317
105378592 1 2208942 2215211 19 9 173480 -0.28201 0.61103
6497 1 2228695 2310213 237 46 173480 0.15985 0.4365
105378594 1 2280383 2284676 14 5 173480 1.0594 0.14471
79906 1 2321253 2391751 294 36 173480 0.49609 0.30992
11079 1 2391314 2405444 36 11 173480 0.26635 0.39499
5192 1 2404802 2413780 22 8 173480 -0.3044 0.61959
9651 1 2415782 2505530 316 45 173480 0.18239 0.42764
55229 1 2508531 2526628 38 6 173480 -0.73841 0.76987
388585 1 2528745 2530245 3 2 173480 -1.1159 0.86777
8764 1 2556365 2565622 19 6 173480 1.3817 0.083533
127281 1 2586460 2591469 10 3 173480 0.063267 0.47478
79258 1 2590639 2633042 148 10 173480 0.013514 0.49461
100287898 1 2636988 2789665 90 13 173480 -0.26936 0.60617
140625 1 3021482 3022903 4 2 173480 0.32457 0.37275
63976 1 3068227 3438621 1366 170 173480 0.96736 0.16668
27237 1 3454583 3481115 91 13 173480 0.92829 0.17663
1953 1 3487942 3624757 563 84 173480 -1.435 0.92436
127262 1 3624992 3630131 12 4 173480 -1.1592 0.87682
49856 1 3630767 3650107 32 10 173480 -1.5956 0.94471
7161 1 3652565 3736201 291 54 173480 -2.3713 0.99114
148870 1 3752398 3771645 63 15 173480 -0.42791 0.66564
388588 1 3772761 3775982 12 5 173480 1.6946 0.045076
57470 1 3780220 3796504 80 16 173480 1.2424 0.10704
9731 1 3812081 3857387 279 18 173480 -0.090373 0.536
1677 1 3857143 3885429 160 23 173480 1.2097 0.1132
339448 1 3889133 3900293 41 8 173480 1.5967 0.055162
55966 1 4655045 4792534 666 87 173480 0.61608 0.26892
261734 1 5862808 5992505 382 20 173480 -0.71543 0.76283
8514 1 5992298 6101193 300 48 173480 -1.3121 0.90526
26038 1 6101787 6180134 268 31 173480 -1.1484 0.87459
6146 1 6185020 6199619 35 7 173480 -0.50616 0.69363
388591 1 6205775 6221299 32 5 173480 -1.2573 0.89568
23463 1 6221193 6235984 27 6 173480 -0.20696 0.58198
390992 1 6244158 6245578 2 1 173480 0.47418 0.31768
387509 1 6247346 6260990 35 3 173480 0.8117 0.20848
11332 1 6264272 6393766 410 25 173480 0.43227 0.33277
54626 1 6415232 6424664 29 6 173480 1.2833 0.099686
83715 1 6424776 6460944 103 12 173480 1.4215 0.077592
8718 1 6461151 6466195 13 5 173480 0.80678 0.2099
57449 1 6466092 6520061 136 25 173480 -0.077401 0.53085
79707 1 6521347 6554598 98 3 173480 0.90485 0.18277
80835 1 6555278 6579757 39 8 173480 0.61678 0.26869
3104 1 6579991 6589280 9 4 173480 -1.7604 0.96083
9903 1 6590724 6602898 27 8 173480 -1.7524 0.96014
148479 1 6613696 6624033 17 4 173480 -1.8988 0.97121
90326 1 6624865 6635586 32 7 173480 -0.50068 0.6917
55735 1 6634168 6701906 143 18 173480 -0.6233 0.73346
23261 1 6785324 7769706 2711 230 173480 0.25426 0.39965
9341 1 7771269 7781432 32 9 173480 1.8916 0.029274
8863 1 7784380 7845181 210 27 173480 1.6102 0.05368
10911 1 7847612 7913610 295 28 173480 2.0754 0.018976
3604 1 7915871 7943165 53 8 173480 1.7812 0.037442
11315 1 7961654 7985283 49 10 173480 1.6992 0.044638
54206 1 8011719 8026333 23 5 173480 1.7528 0.039816
50651 1 8318085 8344167 81 14 173480 4.4857 3.6338e-06
473 1 8352404 8817691 675 28 173480 7.127 5.1279e-13
2023 1 8861000 8879092 25 5 173480 2.2948 0.010873
765 1 8945785 8975092 111 26 173480 0.15297 0.43921
155184 1 8960853 9026384 216 55 173480 -1.3127 0.90535
6518 1 9036943 9071704 94 14 173480 0.083135 0.46687
80045 1 9103391 9129170 61 10 173480 -0.25112 0.59914
9563 1 9234776 9271337 94 18 173480 -0.0092127 0.50368
80176 1 9292882 9369532 328 52 173480 0.10245 0.4592
84275 1 9539469 9582773 60 9 173480 -0.60508 0.72744
199953 1 9588853 9614877 34 8 173480 -0.31625 0.6241
5293 1 9629889 9729114 198 36 173480 1.5317 0.062802
22883 1 9729021 9824526 127 17 173480 0.1241 0.45062
56998 1 9848276 9910258 74 13 173480 -0.29847 0.61733
84328 1 9922110 9943402 42 11 173480 0.63642 0.26225
64802 1 9942923 9985501 83 12 173480 1.0502 0.14682
105376719 1 9996423 9998089 10 3 173480 1.025 0.15267
116362 1 9997197 10016020 35 5 173480 1.3943 0.081608
10277 1 10032983 10181239 304 17 173480 1.8815 0.02995
23095 1 10210706 10381603 519 17 173480 1.5725 0.057919
5226 1 10398992 10420511 47 8 173480 0.51066 0.3048
378708 1 10430102 10442815 37 5 173480 0.22878 0.40952
100526739 1 10430102 10452003 56 8 173480 0.46429 0.32122
1325 1 10449719 10452003 5 2 173480 1.0508 0.14669
1676 1 10460531 10472556 18 5 173480 1.6345 0.051077
5195 1 10474946 10630758 367 30 173480 0.38505 0.3501
54897 1 10636604 10796676 435 88 173480 3.7363 9.3391e-05
148345 1 10946473 10982037 122 17 173480 -0.35559 0.63893
23435 1 11012622 11025492 22 4 173480 -0.36707 0.64322
10747 1 11026523 11047239 55 7 173480 -0.36964 0.64418
6723 1 11054592 11060034 7 2 173480 -0.62804 0.73501
5394 1 11066613 11099910 95 6 173480 -0.33287 0.63039
