GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 143677 -0.8583 0.80464
105378580 1 803398 805130 4 2 143677 -1.629 0.94835
148398 1 925741 944581 57 18 143677 1.0988 0.13592
26155 1 944203 959299 50 8 143677 -0.8841 0.81168
339451 1 959952 965720 17 4 143677 -0.33794 0.6323
84069 1 966497 975108 29 13 143677 -0.48389 0.68577
84808 1 975199 982117 22 6 143677 -0.84313 0.80042
57801 1 998962 1001285 12 4 143677 0.1631 0.43522
9636 1 1013467 1014540 6 2 143677 1.25 0.10565
375790 1 1020101 1056119 117 16 143677 0.54569 0.29264
105369174 1 1061207 1066390 10 5 143677 0.0007614 0.4997
105378948 1 1065635 1069326 10 3 143677 1.1595 0.12313
401934 1 1071746 1074307 6 2 143677 0.32835 0.37132
54991 1 1081818 1116356 115 15 143677 0.14479 0.44244
254173 1 1173898 1197935 144 20 143677 1.7645 0.038827
8784 1 1203508 1206709 10 2 143677 2.1877 0.014348
7293 1 1211326 1214638 9 4 143677 2.0196 0.021712
51150 1 1216908 1232067 94 6 143677 1.8006 0.03588
126792 1 1232249 1235041 7 2 143677 1.9277 0.026948
388581 1 1242446 1247218 13 3 143677 1.7676 0.038564
118424 1 1253912 1273854 42 7 143677 2.2158 0.013351
6339 1 1280415 1292029 44 16 143677 1.2101 0.11312
116983 1 1292384 1307925 44 10 143677 0.93959 0.17372
126789 1 1308571 1311677 5 3 143677 0.4352 0.33171
54973 1 1311585 1324687 19 6 143677 1.0044 0.1576
80772 1 1324756 1328896 10 2 143677 -0.087967 0.53505
83756 1 1328999 1335320 26 8 143677 -0.5333 0.70309
1855 1 1335278 1349158 34 9 143677 0.14152 0.44373
54587 1 1352689 1363541 36 6 143677 -0.077788 0.531
54998 1 1373730 1375438 8 4 143677 0.32708 0.3718
81669 1 1385711 1399338 22 7 143677 0.045981 0.48166
55052 1 1401896 1407834 15 6 143677 -0.44077 0.67031
441869 1 1418420 1421820 10 4 143677 -0.38757 0.65083
643965 1 1426128 1427787 8 3 143677 0.37453 0.35401
64856 1 1435523 1442882 15 4 143677 1.0482 0.14728
219293 1 1441301 1470158 88 15 143677 -0.20737 0.58214
83858 1 1471732 1509479 96 21 143677 0.97544 0.16467
55210 1 1512143 1534687 84 14 143677 1.6464 0.04984
339453 1 1534778 1540360 12 7 143677 1.0617 0.14418
29101 1 1541673 1574882 95 12 143677 0.38671 0.34948
643988 1 1598008 1600096 2 1 143677 -0.6824 0.75251
142678 1 1614975 1630610 39 9 143677 -0.43298 0.66749
984 1 1635226 1659839 34 6 143677 -1.1687 0.87874
728661 1 1660025 1692804 77 17 143677 -1.1933 0.88362
728642 1 1702730 1724352 70 5 143677 0.81464 0.20764
9906 1 1724838 1745999 67 11 143677 2.2128 0.013457
65220 1 1751232 1780514 70 10 143677 2.889 0.0019322
2782 1 1785285 1891117 162 24 143677 2.4259 0.0076358
105378949 1 1885960 1893010 14 7 143677 2.1222 0.016909
163688 1 1913752 1917294 13 3 143677 1.8137 0.034859
339456 1 1917589 1919301 6 3 143677 0.68033 0.24815
85452 1 1921951 2003837 336 28 143677 0.49868 0.309
2563 1 2019329 2030753 30 7 143677 -0.015892 0.50634
5590 1 2050470 2185395 402 30 143677 -0.88862 0.8129
100506504 1 2181811 2184360 4 2 143677 0.71905 0.23605
199990 1 2184460 2212720 52 12 143677 0.12641 0.4497
105378592 1 2208942 2215211 19 9 143677 0.76834 0.22114
6497 1 2228695 2310213 241 46 143677 2.0613 0.019636
105378594 1 2280383 2284676 14 5 143677 0.74184 0.22909
79906 1 2321253 2391751 302 38 143677 -0.85228 0.80297
11079 1 2391314 2405444 37 11 143677 2.0769 0.018907
5192 1 2404802 2413780 26 9 143677 0.86406 0.19378
9651 1 2415782 2505530 324 46 143677 0.52163 0.30096
55229 1 2508531 2526628 40 6 143677 0.70325 0.24095
388585 1 2528745 2530245 3 2 143677 0.67904 0.24856
8764 1 2556365 2565622 23 5 143677 1.3304 0.091695
127281 1 2586460 2591469 11 4 143677 1.0209 0.15365
79258 1 2590639 2633042 152 10 143677 -0.63814 0.73831
100287898 1 2636988 2789665 91 13 143677 0.34683 0.36436
140625 1 3021482 3022903 4 2 143677 0.2089 0.41726
63976 1 3068227 3438621 1387 172 143677 0.11689 0.45347
27237 1 3454583 3481115 92 13 143677 0.19083 0.42433
1953 1 3487942 3624757 577 86 143677 -1.2644 0.89695
