GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 173480 0.68791 0.24575
105378580 1 803398 805130 4 2 173480 -0.69653 0.75695
148398 1 925741 944581 55 18 173480 -1.0806 0.86005
26155 1 944203 959299 45 9 173480 -0.6878 0.75421
339451 1 959952 965720 16 4 173480 -0.65569 0.74399
84069 1 966497 975108 26 11 173480 0.48381 0.31426
84808 1 975199 982117 21 6 173480 0.33594 0.36846
57801 1 998962 1001285 12 4 173480 -0.36172 0.64122
9636 1 1013467 1014540 3 1 173480 0.17211 0.43167
375790 1 1020101 1056119 107 15 173480 -1.0408 0.85102
105369174 1 1061207 1066390 10 5 173480 -1.162 0.87739
105378948 1 1065635 1069326 10 3 173480 -1.1049 0.8654
401934 1 1071746 1074307 5 2 173480 -0.18548 0.57357
54991 1 1081818 1116356 114 14 173480 -1.2063 0.88615
254173 1 1173898 1197935 139 20 173480 -0.86393 0.80619
8784 1 1203508 1206709 10 2 173480 -0.63487 0.73724
7293 1 1211326 1214638 9 4 173480 -0.61086 0.72936
51150 1 1216908 1232067 89 6 173480 -0.86886 0.80754
126792 1 1232249 1235041 7 2 173480 -0.082678 0.53295
388581 1 1242446 1247218 13 3 173480 0.80007 0.21183
118424 1 1253912 1273854 41 7 173480 -0.83228 0.79738
6339 1 1280415 1292029 42 15 173480 1.5137 0.065045
116983 1 1292384 1307925 43 10 173480 0.89548 0.18527
126789 1 1308571 1311677 3 2 173480 0.65786 0.25531
54973 1 1311585 1324687 18 6 173480 0.41831 0.33786
80772 1 1324756 1328896 10 2 173480 0.93957 0.17372
83756 1 1328999 1335320 22 7 173480 0.18925 0.42495
1855 1 1335278 1349158 30 8 173480 0.26708 0.3947
54587 1 1352689 1363541 35 6 173480 0.68923 0.24534
54998 1 1373730 1375438 8 4 173480 -0.32851 0.62874
81669 1 1385711 1399338 21 7 173480 0.72789 0.23334
55052 1 1401896 1407834 15 6 173480 0.34338 0.36566
441869 1 1418420 1421820 10 4 173480 0.2642 0.39581
643965 1 1426128 1427787 8 3 173480 -1.673 0.95284
64856 1 1435523 1442882 14 4 173480 -0.90826 0.81813
219293 1 1441301 1470158 87 14 173480 -0.55513 0.7106
83858 1 1471732 1509479 92 21 173480 -0.17291 0.56864
55210 1 1512143 1534687 82 13 173480 -0.21974 0.58696
339453 1 1534778 1540360 12 7 173480 0.30204 0.38131
29101 1 1541673 1574882 94 11 173480 -1.4413 0.92524
643988 1 1598008 1600096 2 1 173480 1.5983 0.054987
142678 1 1614975 1630610 37 8 173480 1.1024 0.13514
984 1 1635226 1659839 33 6 173480 -0.90376 0.81694
728661 1 1660025 1692804 76 17 173480 1.3732 0.084848
728642 1 1702730 1724352 68 5 173480 -0.089951 0.53584
9906 1 1724838 1745999 64 11 173480 1.4619 0.071878
65220 1 1751232 1780514 67 10 173480 1.2804 0.10021
2782 1 1785285 1891117 157 23 173480 0.44094 0.32963
105378949 1 1885960 1893010 13 7 173480 1.0147 0.15512
163688 1 1913752 1917294 13 3 173480 1.2003 0.11502
339456 1 1917589 1919301 5 2 173480 0.56204 0.28704
85452 1 1921951 2003837 326 28 173480 -0.00025172 0.5001
2563 1 2019329 2030753 29 7 173480 -0.83562 0.79832
5590 1 2050470 2185395 397 31 173480 1.9783 0.02395
100506504 1 2181811 2184360 4 2 173480 1.7095 0.04368
199990 1 2184460 2212720 51 12 173480 2.2795 0.011319
105378592 1 2208942 2215211 19 9 173480 1.3994 0.080851
6497 1 2228695 2310213 237 46 173480 1.93 0.026804
105378594 1 2280383 2284676 14 5 173480 2.7852 0.0026744
79906 1 2321253 2391751 294 36 173480 -1.3021 0.90356
11079 1 2391314 2405444 36 11 173480 -0.87613 0.80952
5192 1 2404802 2413780 22 8 173480 -1.2987 0.90298
9651 1 2415782 2505530 316 45 173480 0.87927 0.18963
55229 1 2508531 2526628 38 6 173480 2.3552 0.0092556
388585 1 2528745 2530245 3 2 173480 -0.80401 0.7893
