GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.82006 0.79391
105378580 1 803398 805130 4 2 337119 -1.506 0.93397
148398 1 925741 944581 54 17 337119 2.4034 0.0081221
26155 1 944203 959299 49 8 337119 1.076 0.14096
339451 1 959952 965720 17 4 337119 0.94613 0.17204
84069 1 966497 975108 29 13 337119 -0.9801 0.83648
84808 1 975199 982117 22 6 337119 -0.50989 0.69493
57801 1 998962 1001285 12 4 337119 0.78062 0.21751
9636 1 1013467 1014540 5 2 337119 0.5156 0.30307
375790 1 1020101 1056119 115 16 337119 0.98211 0.16302
105369174 1 1061207 1066390 10 5 337119 0.43992 0.33
105378948 1 1065635 1069326 10 3 337119 1.3822 0.083463
401934 1 1071746 1074307 6 2 337119 1.9207 0.027386
54991 1 1081818 1116356 114 14 337119 0.12217 0.45138
254173 1 1173898 1197935 143 20 337119 -0.33559 0.63141
8784 1 1203508 1206709 10 2 337119 0.99602 0.15962
7293 1 1211326 1214638 8 3 337119 -0.13165 0.55237
51150 1 1216908 1232067 93 6 337119 0.22029 0.41282
126792 1 1232249 1235041 7 2 337119 0.56012 0.2877
388581 1 1242446 1247218 13 3 337119 -0.25977 0.60248
118424 1 1253912 1273854 42 7 337119 0.49304 0.31099
6339 1 1280415 1292029 43 15 337119 -0.11646 0.54636
116983 1 1292384 1307925 43 10 337119 -0.75774 0.7757
126789 1 1308571 1311677 5 3 337119 -1.6385 0.94934
54973 1 1311585 1324687 19 6 337119 -1.4928 0.93225
80772 1 1324756 1328896 10 2 337119 -0.54687 0.70777
83756 1 1328999 1335320 26 8 337119 -0.54855 0.70834
1855 1 1335278 1349158 34 9 337119 -0.61743 0.73152
54587 1 1352689 1363541 36 6 337119 -0.45655 0.676
54998 1 1373730 1375438 8 4 337119 -1.1934 0.88365
81669 1 1385711 1399338 21 7 337119 -0.10569 0.54208
55052 1 1401896 1407834 15 6 337119 -0.81597 0.79274
441869 1 1418420 1421820 10 4 337119 -1.0976 0.86382
643965 1 1426128 1427787 8 3 337119 0.37938 0.3522
64856 1 1435523 1442882 15 4 337119 -0.10626 0.54231
219293 1 1441301 1470158 88 15 337119 -0.80389 0.78927
83858 1 1471732 1509479 90 21 337119 -1.8454 0.96751
55210 1 1512143 1534687 80 13 337119 -0.79192 0.7858
339453 1 1534778 1540360 12 7 337119 -1.0977 0.86383
29101 1 1541673 1574882 93 11 337119 -0.48047 0.68455
643988 1 1598008 1600096 2 1 337119 1.2501 0.10563
142678 1 1614975 1630610 39 9 337119 0.71449 0.23746
984 1 1635226 1659839 33 6 337119 0.55714 0.28872
728661 1 1660025 1692804 75 16 337119 -0.020519 0.50819
728642 1 1702730 1724352 68 5 337119 -0.47572 0.68286
9906 1 1724838 1745999 64 11 337119 -0.57703 0.71804
65220 1 1751232 1780514 68 10 337119 -0.92144 0.82159
2782 1 1785285 1891117 160 23 337119 -1.0917 0.86253
105378949 1 1885960 1893010 14 7 337119 -0.80524 0.78966
163688 1 1913752 1917294 13 3 337119 -0.20587 0.58155
339456 1 1917589 1919301 6 3 337119 -0.096022 0.53825
85452 1 1921951 2003837 329 27 337119 -0.78592 0.78404
2563 1 2019329 2030753 29 7 337119 -0.24673 0.59744
5590 1 2050470 2185395 400 32 337119 2.1089 0.017475
100506504 1 2181811 2184360 4 2 337119 0.71991 0.23579
199990 1 2184460 2212720 52 12 337119 1.5115 0.065326
105378592 1 2208942 2215211 19 9 337119 0.3969 0.34572
6497 1 2228695 2310213 240 46 337119 1.2591 0.104
105378594 1 2280383 2284676 14 5 337119 1.6572 0.048738
79906 1 2321253 2391751 302 38 337119 -1.518 0.93549
11079 1 2391314 2405444 37 11 337119 1.5095 0.06558
5192 1 2404802 2413780 26 9 337119 1.6507 0.049397
9651 1 2415782 2505530 321 46 337119 2.8745 0.0020236
55229 1 2508531 2526628 40 6 337119 1.3521 0.088178
388585 1 2528745 2530245 3 2 337119 -0.18042 0.57159
8764 1 2556365 2565622 23 5 337119 0.41749 0.33816
127281 1 2586460 2591469 11 4 337119 0.26023 0.39734
79258 1 2590639 2633042 149 10 337119 -0.2068 0.58192
100287898 1 2636988 2789665 89 13 337119 0.41311 0.33976
140625 1 3021482 3022903 4 2 337119 0.74171 0.22913
63976 1 3068227 3438621 1383 172 337119 -1.2763 0.89907
27237 1 3454583 3481115 91 13 337119 0.95735 0.16919
1953 1 3487942 3624757 572 88 337119 -0.2111 0.5836
