GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 29633 -2.768 0.99718
105378580 1 803398 805130 4 2 29633 0.28438 0.38806
148398 1 925741 944581 51 16 29633 -3.7292 0.9999
26155 1 944203 959299 41 9 29633 -1.8445 0.96744
339451 1 959952 965720 15 3 29633 -1.3774 0.91581
84069 1 966497 975108 24 10 29633 -3.0319 0.99878
84808 1 975199 982117 20 5 29633 -0.61572 0.73096
57801 1 998962 1001285 11 3 29633 -0.71809 0.76365
9636 1 1013467 1014540 2 1 29633 0.3979 0.34535
375790 1 1020101 1056119 105 15 29633 -0.65272 0.74303
105369174 1 1061207 1066390 10 5 29633 0.18681 0.42591
105378948 1 1065635 1069326 8 3 29633 1.1459 0.12592
401934 1 1071746 1074307 5 2 29633 1.2601 0.10382
54991 1 1081818 1116356 110 14 29633 0.34926 0.36345
254173 1 1173898 1197935 137 20 29633 -2.2821 0.98876
8784 1 1203508 1206709 10 2 29633 -0.66294 0.74631
7293 1 1211326 1214638 8 3 29633 -1.1234 0.86937
51150 1 1216908 1232067 86 5 29633 -1.3814 0.91643
126792 1 1232249 1235041 6 2 29633 -0.70908 0.76086
388581 1 1242446 1247218 13 3 29633 -1.2372 0.89199
118424 1 1253912 1273854 40 7 29633 -1.6055 0.9458
6339 1 1280415 1292029 40 14 29633 -1.6778 0.9533
116983 1 1292384 1307925 42 10 29633 -0.53488 0.70363
126789 1 1308571 1311677 4 2 29633 -0.97859 0.83611
54973 1 1311585 1324687 17 6 29633 -0.51044 0.69513
80772 1 1324756 1328896 10 2 29633 0.62423 0.26624
83756 1 1328999 1335320 21 7 29633 -0.3109 0.62206
1855 1 1335278 1349158 29 8 29633 -0.47449 0.68242
54587 1 1352689 1363541 30 5 29633 0.28478 0.38791
54998 1 1373730 1375438 8 4 29633 -1.4462 0.92595
81669 1 1385711 1399338 21 7 29633 -0.96841 0.83358
55052 1 1401896 1407834 15 6 29633 -0.41643 0.66145
441869 1 1418420 1421820 10 4 29633 0.58999 0.2776
643965 1 1426128 1427787 8 3 29633 -0.65535 0.74388
64856 1 1435523 1442882 14 4 29633 -0.52924 0.70168
219293 1 1441301 1470158 85 14 29633 0.017945 0.49284
83858 1 1471732 1509479 89 21 29633 0.01058 0.49578
55210 1 1512143 1534687 78 13 29633 -0.54479 0.70705
339453 1 1534778 1540360 12 7 29633 -3.0479 0.99885
29101 1 1541673 1574882 91 11 29633 -1.9856 0.97646
643988 1 1598008 1600096 2 1 29633 -2.1794 0.98535
142678 1 1614975 1630610 36 8 29633 -3.5235 0.99979
984 1 1635226 1659839 33 6 29633 -3.0054 0.99867
728661 1 1660025 1692804 73 17 29633 -4.369 0.99999
728642 1 1702730 1724352 67 5 29633 -1.1581 0.87658
9906 1 1724838 1745999 62 11 29633 -1.1639 0.87777
65220 1 1751232 1780514 63 9 29633 -0.12432 0.54947
2782 1 1785285 1891117 153 23 29633 -1.4318 0.9239
105378949 1 1885960 1893010 13 7 29633 -1.5643 0.94113
163688 1 1913752 1917294 13 3 29633 0.78358 0.21664
339456 1 1917589 1919301 5 2 29633 -0.012935 0.50516
85452 1 1921951 2003837 312 26 29633 -0.3507 0.63709
2563 1 2019329 2030753 27 6 29633 -0.41681 0.66159
5590 1 2050470 2185395 379 30 29633 -0.9912 0.83921
100506504 1 2181811 2184360 4 2 29633 -0.19129 0.57585
