GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 173480 -0.30577 0.62011
105378580 1 803398 805130 4 2 173480 -0.43849 0.66949
148398 1 925741 944581 55 18 173480 -1.1095 0.86638
26155 1 944203 959299 45 9 173480 -0.22529 0.58912
339451 1 959952 965720 16 4 173480 0.10188 0.45943
84069 1 966497 975108 26 11 173480 0.68087 0.24798
84808 1 975199 982117 21 6 173480 -0.1621 0.56439
57801 1 998962 1001285 12 4 173480 1.5675 0.058496
9636 1 1013467 1014540 3 1 173480 -0.16078 0.56387
375790 1 1020101 1056119 107 15 173480 -0.70967 0.76104
105369174 1 1061207 1066390 10 5 173480 -0.56869 0.71522
105378948 1 1065635 1069326 10 3 173480 -0.13268 0.55278
401934 1 1071746 1074307 5 2 173480 0.022863 0.49088
54991 1 1081818 1116356 114 14 173480 0.31976 0.37458
254173 1 1173898 1197935 139 20 173480 -0.60816 0.72846
8784 1 1203508 1206709 10 2 173480 0.68677 0.24611
7293 1 1211326 1214638 9 4 173480 0.77355 0.2196
51150 1 1216908 1232067 89 6 173480 0.79315 0.21385
126792 1 1232249 1235041 7 2 173480 1.0284 0.15187
388581 1 1242446 1247218 13 3 173480 0.054618 0.47822
118424 1 1253912 1273854 41 7 173480 0.23023 0.40896
6339 1 1280415 1292029 42 15 173480 -0.68084 0.75201
116983 1 1292384 1307925 43 10 173480 0.19271 0.42359
126789 1 1308571 1311677 3 2 173480 0.20161 0.42011
54973 1 1311585 1324687 18 6 173480 0.3346 0.36896
80772 1 1324756 1328896 10 2 173480 0.32765 0.37159
83756 1 1328999 1335320 22 7 173480 -0.19732 0.57821
1855 1 1335278 1349158 30 8 173480 -0.11518 0.54585
54587 1 1352689 1363541 35 6 173480 0.30153 0.3815
54998 1 1373730 1375438 8 4 173480 1.1858 0.11784
81669 1 1385711 1399338 21 7 173480 -0.66433 0.74676
55052 1 1401896 1407834 15 6 173480 0.47466 0.31751
441869 1 1418420 1421820 10 4 173480 -0.16977 0.56741
643965 1 1426128 1427787 8 3 173480 0.404 0.34311
64856 1 1435523 1442882 14 4 173480 -1.6969 0.95514
219293 1 1441301 1470158 87 14 173480 -0.88898 0.81299
83858 1 1471732 1509479 92 21 173480 0.58576 0.27902
55210 1 1512143 1534687 82 13 173480 0.1285 0.44887
339453 1 1534778 1540360 12 7 173480 0.1721 0.43168
29101 1 1541673 1574882 94 11 173480 0.13461 0.44646
643988 1 1598008 1600096 2 1 173480 0.62955 0.26449
142678 1 1614975 1630610 37 8 173480 0.12611 0.44982
984 1 1635226 1659839 33 6 173480 1.364 0.086279
728661 1 1660025 1692804 76 17 173480 0.36599 0.35719
728642 1 1702730 1724352 68 5 173480 0.87497 0.19079
9906 1 1724838 1745999 64 11 173480 0.2699 0.39362
65220 1 1751232 1780514 67 10 173480 -1.4355 0.92442
2782 1 1785285 1891117 157 23 173480 -1.0695 0.85758
105378949 1 1885960 1893010 13 7 173480 -0.80711 0.7902
163688 1 1913752 1917294 13 3 173480 -1.9392 0.97376
339456 1 1917589 1919301 5 2 173480 -2.5561 0.99471
85452 1 1921951 2003837 326 28 173480 -0.55441 0.71035
2563 1 2019329 2030753 29 7 173480 0.5302 0.29799
5590 1 2050470 2185395 397 31 173480 -0.78823 0.78472
100506504 1 2181811 2184360 4 2 173480 0.6759 0.24955
199990 1 2184460 2212720 51 12 173480 -0.32734 0.62829
105378592 1 2208942 2215211 19 9 173480 -0.13437 0.55344
6497 1 2228695 2310213 237 46 173480 -0.72608 0.7661
105378594 1 2280383 2284676 14 5 173480 2.0256 0.021404
79906 1 2321253 2391751 294 36 173480 2.9759 0.0014605
11079 1 2391314 2405444 36 11 173480 2.3178 0.01023
5192 1 2404802 2413780 22 8 173480 3.3666 0.00038049
9651 1 2415782 2505530 316 45 173480 1.4946 0.067516
55229 1 2508531 2526628 38 6 173480 0.82177 0.20561
388585 1 2528745 2530245 3 2 173480 -0.13883 0.55521
8764 1 2556365 2565622 19 6 173480 0.69851 0.24243
127281 1 2586460 2591469 10 3 173480 -0.70446 0.75943
79258 1 2590639 2633042 148 10 173480 0.039642 0.48419
100287898 1 2636988 2789665 90 13 173480 -0.7369 0.76941
140625 1 3021482 3022903 4 2 173480 0.64463 0.25958
63976 1 3068227 3438621 1366 170 173480 -0.24421 0.59647
27237 1 3454583 3481115 91 13 173480 0.0064643 0.49742
1953 1 3487942 3624757 563 84 173480 -0.42584 0.66489
127262 1 3624992 3630131 12 4 173480 -0.2314 0.5915
49856 1 3630767 3650107 32 10 173480 -1.0002 0.84139
7161 1 3652565 3736201 291 54 173480 0.56991 0.28437
148870 1 3752398 3771645 63 15 173480 0.1479 0.44121
388588 1 3772761 3775982 12 5 173480 3.6369 0.000138
57470 1 3780220 3796504 80 16 173480 1.503 0.066416
9731 1 3812081 3857387 279 18 173480 2.4162 0.0078409
1677 1 3857143 3885429 160 23 173480 3.7142 0.00010194
339448 1 3889133 3900293 41 8 173480 2.7002 0.0034654
55966 1 4655045 4792534 666 87 173480 -0.72901 0.767
261734 1 5862808 5992505 382 20 173480 0.27088 0.39324
8514 1 5992298 6101193 300 48 173480 1.0763 0.1409
26038 1 6101787 6180134 268 31 173480 -0.95663 0.83062
6146 1 6185020 6199619 35 7 173480 -1.4035 0.91976
388591 1 6205775 6221299 32 5 173480 -1.8882 0.9705
23463 1 6221193 6235984 27 6 173480 -1.0619 0.85586
390992 1 6244158 6245578 2 1 173480 -1.2533 0.89495
387509 1 6247346 6260990 35 3 173480 -0.68185 0.75233
11332 1 6264272 6393766 410 25 173480 0.94987 0.17109
54626 1 6415232 6424664 29 6 173480 0.73661 0.23068
83715 1 6424776 6460944 103 12 173480 1.0139 0.15531
8718 1 6461151 6466195 13 5 173480 1.0257 0.15252
57449 1 6466092 6520061 136 25 173480 1.0289 0.15177
79707 1 6521347 6554598 98 3 173480 0.81953 0.20624
80835 1 6555278 6579757 39 8 173480 -0.22316 0.58829
3104 1 6579991 6589280 9 4 173480 -1.6175 0.94712
9903 1 6590724 6602898 27 8 173480 0.024281 0.49031
148479 1 6613696 6624033 17 4 173480 0.13876 0.44482
90326 1 6624865 6635586 32 7 173480 -1.0265 0.84768
55735 1 6634168 6701906 143 18 173480 -1.8753 0.96962
23261 1 6785324 7769706 2711 230 173480 -0.92342 0.82211
9341 1 7771269 7781432 32 9 173480 1.1666 0.12168
8863 1 7784380 7845181 210 27 173480 1.0604 0.14447
10911 1 7847612 7913610 295 28 173480 -0.58418 0.72045
3604 1 7915871 7943165 53 8 173480 -0.92596 0.82277
11315 1 7961654 7985283 49 10 173480 1.3277 0.092143
54206 1 8011719 8026333 23 5 173480 1.6885 0.045653
50651 1 8318085 8344167 81 14 173480 3.8097 6.9578e-05
473 1 8352404 8817691 675 28 173480 6.8171 4.6454e-12
2023 1 8861000 8879092 25 5 173480 2.1644 0.015215
765 1 8945785 8975092 111 26 173480 1.602 0.054579
155184 1 8960853 9026384 216 55 173480 -0.13588 0.55404
6518 1 9036943 9071704 94 14 173480 2.6631 0.0038711
80045 1 9103391 9129170 61 10 173480 3.6521 0.00013004
9563 1 9234776 9271337 94 18 173480 -1.3093 0.90478
80176 1 9292882 9369532 328 52 173480 -0.26109 0.60299
84275 1 9539469 9582773 60 9 173480 -1.1628 0.87755
199953 1 9588853 9614877 34 8 173480 -0.69572 0.7567
5293 1 9629889 9729114 198 36 173480 3.2927 0.00049615
22883 1 9729021 9824526 127 17 173480 1.5786 0.057217
56998 1 9848276 9910258 74 13 173480 0.82472 0.20477
84328 1 9922110 9943402 42 11 173480 2.3531 0.0093078
64802 1 9942923 9985501 83 12 173480 1.3777 0.084153
105376719 1 9996423 9998089 10 3 173480 1.3205 0.093337
116362 1 9997197 10016020 35 5 173480 1.61 0.053698
10277 1 10032983 10181239 304 17 173480 1.8494 0.032204
23095 1 10210706 10381603 519 17 173480 1.4352 0.075613
5226 1 10398992 10420511 47 8 173480 0.28729 0.38695
378708 1 10430102 10442815 37 5 173480 0.58395 0.27963
100526739 1 10430102 10452003 56 8 173480 1.0391 0.14939
1325 1 10449719 10452003 5 2 173480 1.7737 0.038053
1676 1 10460531 10472556 18 5 173480 0.47136 0.31869
5195 1 10474946 10630758 367 30 173480 -0.10238 0.54077
54897 1 10636604 10796676 435 88 173480 3.9582 3.7765e-05
148345 1 10946473 10982037 122 17 173480 -0.82217 0.79451
23435 1 11012622 11025492 22 4 173480 1.0689 0.14257
10747 1 11026523 11047239 55 7 173480 1.6988 0.044682
6723 1 11054592 11060034 7 2 173480 1.0934 0.1371
5394 1 11066613 11099910 95 6 173480 0.97262 0.16537
2475 1 11106531 11262557 335 12 173480 1.7913 0.036622
10218 1 11189289 11195981 15 3 173480 -0.27354 0.60778
29914 1 11273198 11296595 34 5 173480 0.11853 0.45282
57540 1 11479238 11537583 144 16 173480 -0.26622 0.60496
26232 1 11648361 11654831 21 13 173480 0.025413 0.48986
93611 1 11654375 11663327 22 7 173480 1.7793 0.037597
26270 1 11664093 11674354 34 10 173480 1.3433 0.089585
10459 1 11674480 11691788 64 14 173480 -1.6486 0.95038
374946 1 11686647 11720612 101 21 173480 1.2616 0.10355
57085 1 11735474 11750771 38 9 173480 0.65026 0.25776
284498 1 11762183 11789585 149 11 173480 -0.26044 0.60274
4524 1 11785730 11806103 77 11 173480 0.39035 0.34814
1185 1 11806096 11843144 191 15 173480 0.43426 0.33205
4878 1 11845709 11847783 13 4 173480 -0.68574 0.75356
90231 1 11919588 11926428 20 6 173480 0.49127 0.31162
5351 1 11934667 11975542 105 11 173480 -0.0055761 0.50222
9927 1 11980181 12013515 89 10 173480 2.0796 0.018781
60672 1 12019242 12032049 21 5 173480 1.8384 0.033005
943 1 12063330 12144207 205 43 173480 2.5354 0.0056159
7133 1 12166949 12209222 117 16 173480 -0.43608 0.66861
55187 1 12230039 12512047 352 33 173480 0.98816 0.16154
9249 1 12567910 12618361 167 35 173480 -0.47515 0.68266
343066 1 12644547 12667086 49 6 173480 -0.66889 0.74822
126767 1 12716115 12728759 43 7 173480 -1.7355 0.95868
93190 1 12746186 12761169 45 10 173480 -1.1372 0.87227
390999 1 12763223 12777906 44 9 173480 -1.0725 0.85825
65121 1 12791397 12796628 14 4 173480 -0.80026 0.78822
440560 1 12824380 12831410 28 7 173480 0.87263 0.19143
343069 1 12847377 12848756 8 3 173480 -0.64017 0.73897
65122 1 12857086 12861909 33 7 173480 0.23353 0.40768
400735 1 12879212 12886201 36 7 173480 0.2742 0.39196
343071 1 12892896 12898270 6 3 173480 -1.2925 0.90191
441871 1 12916647 12920480 1 1 173480 0.79468 0.2134
440563 1 13115488 13116854 10 5 173480 -0.36586 0.64276
645382 1 13303516 13309027 3 1 173480 1.9549 0.025297
729528 1 13341892 13347134 1 1 173480 0.66164 0.2541
645414 1 13368431 13371947 3 1 173480 -0.011824 0.50472
391004 1 13389632 13392629 9 4 173480 -0.68544 0.75347
645425 1 13410450 13421354 4 2 173480 1.7354 0.041331
126755 1 13474977 13513781 164 37 173480 -1.5079 0.93421
10630 1 13583757 13617957 98 26 173480 -0.94531 0.82775
7799 1 13700240 13825079 360 28 173480 -0.13882 0.5552
23254 1 13893515 15118048 4460 355 173480 -1.1882 0.88262
55092 1 15152532 15220478 344 28 173480 -0.70521 0.75966
727684 1 15164196 15171624 30 8 173480 -1.2776 0.89931
114827 1 15236602 15400283 517 54 173480 0.2472 0.40237
79180 1 15409895 15430343 58 19 173480 -0.81951 0.79375
11330 1 15438442 15449247 15 5 173480 -0.16428 0.56524
63036 1 15456728 15472091 60 10 173480 -0.30443 0.6196
51032 1 15476101 15491400 43 7 173480 -0.034005 0.51356
842 1 15491401 15526529 123 8 173480 0.086156 0.46567
23341 1 15526813 15571733 102 11 173480 0.25741 0.39843
79814 1 15571699 15585110 57 6 173480 -0.16111 0.564
84301 1 15617458 15661057 91 6 173480 0.30441 0.38041
6248 1 15659869 15661722 3 2 173480 0.41597 0.33872
23207 1 15684267 15734769 148 13 173480 0.10097 0.45979
284723 1 15735088 15741392 12 3 173480 0.074513 0.4703
388595 1 15742492 15747797 10 2 173480 -0.47116 0.68124
54751 1 15756171 15786589 66 11 173480 -0.85596 0.80399
440567 1 15807162 15807699 5 2 173480 0.31624 0.37591
23013 1 15847864 15940455 166 21 173480 -0.28443 0.61196
7709 1 15941869 15976132 61 16 173480 -0.25902 0.60219
101928566 1 15976131 15997206 79 13 173480 -0.06291 0.52508
149563 1 16004236 16006695 12 4 173480 -0.90208 0.81649
27129 1 16014028 16018796 36 4 173480 0.67285 0.25052
1187 1 16021991 16034050 57 10 173480 -0.28404 0.61181
1188 1 16043736 16057326 112 13 173480 -0.086793 0.53458
348487 1 16057769 16073632 69 10 173480 0.72785 0.23335
1969 1 16124337 16156087 56 13 173480 -1.4649 0.92853
128272 1 16197856 16212671 43 5 173480 0.59443 0.27611
101927546 1 16215907 16227036 24 4 173480 -0.3642 0.64215
79363 1 16231687 16237452 13 5 173480 0.83663 0.2014
54455 1 16246840 16352491 213 14 173480 0.95312 0.17027
26099 1 16367030 16398148 51 6 173480 0.94564 0.17217
374955 1 16387117 16437842 122 21 173480 0.91013 0.18138
55707 1 16440672 16460090 40 9 173480 1.4256 0.076989
102724970 1 16535773 16536956 3 2 173480 2.1865 0.01439
100133301 1 16538724 16540035 1 1 173480 1.2804 0.1002
55672 1 16562427 16613605 11 6 173480 -0.71436 0.7625
11223 1 16754634 16764480 1 1 173480 0.01128 0.4955
9696 1 16895707 16972979 223 29 173480 -0.28308 0.61144
4237 1 16974500 16981643 18 4 173480 0.82581 0.20446
23400 1 16985958 17011972 53 12 173480 0.65201 0.2572
6390 1 17018722 17054170 118 13 173480 -0.13223 0.5526
11240 1 17066761 17119453 269 18 173480 -0.79054 0.78539
29943 1 17205123 17246006 156 46 173480 -0.98644 0.83804
51702 1 17249082 17284233 163 25 173480 0.022966 0.49084
23569 1 17308195 17364004 278 23 173480 0.50232 0.30772
353238 1 17372196 17401699 162 17 173480 -0.15487 0.56154
55920 1 17406755 17439754 69 12 173480 0.19242 0.4237
55160 1 17520197 17697875 430 57 173480 0.31811 0.3752
81569 1 17712000 17827063 295 31 173480 0.23728 0.40622
84966 1 18107746 18378484 978 136 173480 -1.5936 0.94449
127707 1 18480930 18485999 23 5 173480 0.085885 0.46578
5081 1 18631006 18748866 353 62 173480 1.3601 0.086903
80834 1 18839599 18859661 96 19 173480 -0.004356 0.50174
8659 1 18871430 18902799 131 20 173480 -1.1624 0.87747
126917 1 18904280 18956667 155 30 173480 -1.9519 0.97452
23352 1 19074506 19210319 245 23 173480 2.9947 0.0013735
23065 1 19215664 19251559 100 13 173480 1.8833 0.029831
