GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 203056 -0.74139 0.77077
105378580 1 803398 805130 4 2 203056 0.96342 0.16767
148398 1 925741 944581 51 16 203056 -2.056 0.98011
26155 1 944203 959299 41 9 203056 -0.64066 0.73913
339451 1 959952 965720 15 3 203056 -0.18829 0.57467
84069 1 966497 975108 24 10 203056 -2.5112 0.99398
84808 1 975199 982117 20 5 203056 -0.99485 0.84009
57801 1 998962 1001285 11 3 203056 -0.82865 0.79635
9636 1 1013467 1014540 2 1 203056 -1.1572 0.8764
375790 1 1020101 1056119 105 15 203056 -0.35182 0.63752
105369174 1 1061207 1066390 10 5 203056 -0.60293 0.72672
105378948 1 1065635 1069326 8 3 203056 -0.78357 0.78335
401934 1 1071746 1074307 5 2 203056 -0.024032 0.50959
54991 1 1081818 1116356 110 14 203056 -0.64039 0.73904
254173 1 1173898 1197935 137 20 203056 -1.2928 0.90195
8784 1 1203508 1206709 10 2 203056 -1.0182 0.84572
7293 1 1211326 1214638 8 3 203056 -1.9961 0.97704
51150 1 1216908 1232067 86 5 203056 -0.45284 0.67467
126792 1 1232249 1235041 6 2 203056 -1.2513 0.89459
388581 1 1242446 1247218 13 3 203056 -0.048158 0.5192
118424 1 1253912 1273854 40 7 203056 -1.0184 0.84575
6339 1 1280415 1292029 40 14 203056 -1.0471 0.85247
116983 1 1292384 1307925 42 10 203056 -1.5339 0.93747
126789 1 1308571 1311677 4 2 203056 -0.46844 0.68026
54973 1 1311585 1324687 17 6 203056 -1.0431 0.85154
80772 1 1324756 1328896 10 2 203056 -0.95872 0.83115
83756 1 1328999 1335320 21 7 203056 -1.8615 0.96866
1855 1 1335278 1349158 29 8 203056 -1.8672 0.96906
54587 1 1352689 1363541 30 5 203056 -1.6787 0.9534
54998 1 1373730 1375438 8 4 203056 -0.97064 0.83414
81669 1 1385711 1399338 21 7 203056 -0.86052 0.80525
55052 1 1401896 1407834 15 6 203056 -1.0837 0.86074
441869 1 1418420 1421820 10 4 203056 -1.0012 0.84163
643965 1 1426128 1427787 8 3 203056 -0.93861 0.82603
64856 1 1435523 1442882 14 4 203056 -0.58889 0.72203
219293 1 1441301 1470158 85 14 203056 -1.1325 0.8713
83858 1 1471732 1509479 89 21 203056 -1.6729 0.95283
55210 1 1512143 1534687 78 13 203056 -1.5727 0.94211
339453 1 1534778 1540360 12 7 203056 -1.4933 0.93232
29101 1 1541673 1574882 91 11 203056 -1.3512 0.91168
643988 1 1598008 1600096 2 1 203056 0.081398 0.46756
142678 1 1614975 1630610 36 8 203056 -1.8242 0.96594
984 1 1635226 1659839 33 6 203056 -0.72362 0.76535
728661 1 1660025 1692804 73 17 203056 -1.7518 0.9601
728642 1 1702730 1724352 67 5 203056 -0.26613 0.60493
9906 1 1724838 1745999 62 11 203056 -0.039744 0.51585
65220 1 1751232 1780514 63 9 203056 1.2194 0.11134
2782 1 1785285 1891117 154 23 203056 1.9915 0.023211
105378949 1 1885960 1893010 14 7 203056 2.9525 0.0015759
163688 1 1913752 1917294 13 3 203056 0.43994 0.32999
339456 1 1917589 1919301 5 2 203056 -0.56799 0.71498
85452 1 1921951 2003837 312 26 203056 0.12745 0.44929
2563 1 2019329 2030753 27 6 203056 -0.66013 0.74541
5590 1 2050470 2185395 379 30 203056 -2.3011 0.98931
100506504 1 2181811 2184360 4 2 203056 -1.099 0.86411
199990 1 2184460 2212720 46 10 203056 -0.95516 0.83025
105378592 1 2208942 2215211 17 8 203056 -1.2145 0.88772
6497 1 2228695 2310213 231 45 203056 -1.3557 0.91241
105378594 1 2280383 2284676 13 5 203056 -1.407 0.92029
79906 1 2321253 2391751 281 34 203056 -1.9726 0.97573
11079 1 2391314 2405444 34 11 203056 -1.7453 0.95954
5192 1 2404802 2413780 22 8 203056 -1.1759 0.88018
9651 1 2415782 2505530 306 48 203056 -1.8815 0.97005
55229 1 2508531 2526628 38 6 203056 -1.651 0.95063
388585 1 2528745 2530245 3 2 203056 -2.0076 0.97766
8764 1 2556365 2565622 21 5 203056 -2.072 0.98087
127281 1 2586460 2591469 9 3 203056 -2.156 0.98446
79258 1 2590639 2633042 146 10 203056 -1.9002 0.9713
100287898 1 2636988 2789665 85 13 203056 -1.5073 0.93414
140625 1 3021482 3022903 4 2 203056 0.36597 0.35719
63976 1 3068227 3438621 1321 167 203056 -3.0492 0.99885
27237 1 3454583 3481115 87 12 203056 -1.1228 0.86924
1953 1 3487942 3624757 543 86 203056 -1.8387 0.96702
