GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.0017063 0.50068
105378580 1 803398 805130 4 2 337119 -1.681 0.95362
148398 1 925741 944581 54 17 337119 -0.99598 0.84037
26155 1 944203 959299 49 8 337119 -0.98853 0.83855
339451 1 959952 965720 17 4 337119 -1.1538 0.87571
84069 1 966497 975108 29 13 337119 -0.64135 0.73935
84808 1 975199 982117 22 6 337119 0.325 0.37259
57801 1 998962 1001285 12 4 337119 0.055089 0.47803
9636 1 1013467 1014540 5 2 337119 1.188 0.11741
375790 1 1020101 1056119 115 16 337119 -0.060199 0.524
105369174 1 1061207 1066390 10 5 337119 0.29772 0.38296
105378948 1 1065635 1069326 10 3 337119 -1.4575 0.92752
401934 1 1071746 1074307 6 2 337119 -1.4443 0.92567
54991 1 1081818 1116356 114 14 337119 -0.96878 0.83367
254173 1 1173898 1197935 143 20 337119 0.80374 0.21077
8784 1 1203508 1206709 10 2 337119 -1.2064 0.88617
7293 1 1211326 1214638 8 3 337119 -0.43889 0.66963
51150 1 1216908 1232067 93 6 337119 -0.55945 0.71207
126792 1 1232249 1235041 7 2 337119 -1.6806 0.95358
388581 1 1242446 1247218 13 3 337119 -1.2362 0.89181
118424 1 1253912 1273854 42 7 337119 -0.51605 0.69709
6339 1 1280415 1292029 43 15 337119 -0.51035 0.6951
116983 1 1292384 1307925 43 10 337119 -0.2074 0.58215
126789 1 1308571 1311677 5 3 337119 -0.28572 0.61245
54973 1 1311585 1324687 19 6 337119 -0.56466 0.71385
80772 1 1324756 1328896 10 2 337119 -0.34823 0.63616
83756 1 1328999 1335320 26 8 337119 -1.1442 0.87372
1855 1 1335278 1349158 34 9 337119 -0.80015 0.78819
54587 1 1352689 1363541 36 6 337119 -0.56335 0.7134
54998 1 1373730 1375438 8 4 337119 -1.0402 0.85087
81669 1 1385711 1399338 21 7 337119 -0.94776 0.82837
55052 1 1401896 1407834 15 6 337119 -0.85716 0.80432
441869 1 1418420 1421820 10 4 337119 -0.071528 0.52851
643965 1 1426128 1427787 8 3 337119 -0.38453 0.64971
64856 1 1435523 1442882 15 4 337119 0.16816 0.43323
219293 1 1441301 1470158 88 15 337119 -0.30851 0.62115
83858 1 1471732 1509479 90 21 337119 -0.42055 0.66296
55210 1 1512143 1534687 80 13 337119 0.73911 0.22992
339453 1 1534778 1540360 12 7 337119 0.57276 0.2834
29101 1 1541673 1574882 93 11 337119 1.0885 0.13818
643988 1 1598008 1600096 2 1 337119 0.70458 0.24054
142678 1 1614975 1630610 39 9 337119 -0.51446 0.69653
984 1 1635226 1659839 33 6 337119 1.0372 0.14982
728661 1 1660025 1692804 75 16 337119 -0.24613 0.59721
728642 1 1702730 1724352 68 5 337119 1.5191 0.064364
9906 1 1724838 1745999 64 11 337119 1.8709 0.030678
65220 1 1751232 1780514 68 10 337119 2.0014 0.022676
2782 1 1785285 1891117 160 23 337119 0.72608 0.23389
105378949 1 1885960 1893010 14 7 337119 0.084036 0.46651
163688 1 1913752 1917294 13 3 337119 0.87854 0.18982
