GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 30717 -2.6736 0.99625
105378580 1 803398 805130 4 2 30717 -0.31039 0.62187
148398 1 925741 944581 52 17 30717 -1.8004 0.9641
26155 1 944203 959299 48 8 30717 -1.1484 0.8746
339451 1 959952 965720 15 3 30717 -1.2748 0.8988
84069 1 966497 975108 24 10 30717 -0.72928 0.76709
84808 1 975199 982117 20 5 30717 0.65032 0.25774
57801 1 998962 1001285 11 3 30717 1.079 0.14029
9636 1 1013467 1014540 5 2 30717 1.6772 0.046749
375790 1 1020101 1056119 106 15 30717 -1.3239 0.90723
105369174 1 1061207 1066390 10 5 30717 1.4427 0.074548
105378948 1 1065635 1069326 8 3 30717 1.988 0.023406
401934 1 1071746 1074307 6 2 30717 1.9987 0.022819
54991 1 1081818 1116356 113 14 30717 0.14158 0.44371
254173 1 1173898 1197935 139 20 30717 0.61415 0.26956
8784 1 1203508 1206709 10 2 30717 -0.044054 0.51757
7293 1 1211326 1214638 8 3 30717 0.53009 0.29802
51150 1 1216908 1232067 91 6 30717 0.44296 0.3289
126792 1 1232249 1235041 7 2 30717 0.059557 0.47625
388581 1 1242446 1247218 13 3 30717 0.31539 0.37623
118424 1 1253912 1273854 42 7 30717 -0.20402 0.58083
6339 1 1280415 1292029 41 15 30717 -0.84651 0.80136
116983 1 1292384 1307925 41 10 30717 0.55185 0.29053
126789 1 1308571 1311677 3 2 30717 0.92258 0.17811
54973 1 1311585 1324687 17 6 30717 0.17342 0.43116
80772 1 1324756 1328896 10 2 30717 0.44315 0.32883
83756 1 1328999 1335320 21 7 30717 -0.2398 0.59476
1855 1 1335278 1349158 29 8 30717 0.055355 0.47793
54587 1 1352689 1363541 33 5 30717 0.58126 0.28053
54998 1 1373730 1375438 8 4 30717 -0.69657 0.75697
81669 1 1385711 1399338 21 7 30717 0.68906 0.24539
55052 1 1401896 1407834 15 6 30717 -0.13983 0.5556
441869 1 1418420 1421820 10 4 30717 0.098532 0.46075
643965 1 1426128 1427787 8 3 30717 0.55494 0.28947
64856 1 1435523 1442882 14 4 30717 0.16605 0.43406
219293 1 1441301 1470158 85 14 30717 -1.1349 0.87178
83858 1 1471732 1509479 93 20 30717 -0.21241 0.58411
55210 1 1512143 1534687 80 13 30717 -0.33176 0.62996
339453 1 1534778 1540360 12 7 30717 -0.08885 0.5354
29101 1 1541673 1574882 93 11 30717 1.2166 0.11188
643988 1 1598008 1600096 2 1 30717 -0.66155 0.74587
142678 1 1614975 1630610 36 8 30717 -2.0384 0.97925
984 1 1635226 1659839 33 6 30717 -1.6557 0.95111
728661 1 1660025 1692804 73 17 30717 -1.919 0.97251
728642 1 1702730 1724352 67 5 30717 -0.30939 0.62149
9906 1 1724838 1745999 62 11 30717 1.3605 0.086841
65220 1 1751232 1780514 66 9 30717 1.7254 0.042229
2782 1 1785285 1891117 158 23 30717 1.3581 0.087223
105378949 1 1885960 1893010 14 7 30717 0.79358 0.21372
163688 1 1913752 1917294 13 3 30717 2.2303 0.012864
339456 1 1917589 1919301 6 3 30717 2.0507 0.020149
85452 1 1921951 2003837 318 26 30717 1.3138 0.094448
2563 1 2019329 2030753 27 6 30717 0.41876 0.3377
5590 1 2050470 2185395 394 31 30717 -0.58538 0.72085
100506504 1 2181811 2184360 4 2 30717 -0.19244 0.5763
199990 1 2184460 2212720 48 11 30717 0.97009 0.166
105378592 1 2208942 2215211 18 8 30717 0.46691 0.32028
6497 1 2228695 2310213 237 45 30717 -0.074815 0.52982
105378594 1 2280383 2284676 13 5 30717 -1.823 0.96585
79906 1 2321253 2391751 298 37 30717 -1.2083 0.88653
11079 1 2391314 2405444 37 11 30717 -0.29433 0.61575
5192 1 2404802 2413780 26 9 30717 0.23659 0.40649
9651 1 2415782 2505530 312 48 30717 0.24975 0.40139
55229 1 2508531 2526628 40 6 30717 -0.47819 0.68374
388585 1 2528745 2530245 3 2 30717 0.91612 0.1798
8764 1 2556365 2565622 23 5 30717 1.3761 0.0844
127281 1 2586460 2591469 11 4 30717 0.72307 0.23482
79258 1 2590639 2633042 151 10 30717 1.4986 0.066982
100287898 1 2636988 2789665 89 13 30717 -0.29975 0.61781
140625 1 3021482 3022903 4 2 30717 0.24943 0.40151
63976 1 3068227 3438621 1370 167 30717 -0.81939 0.79372
27237 1 3454583 3481115 92 13 30717 1.1885 0.11732
1953 1 3487942 3624757 567 83 30717 -0.62935 0.73544
127262 1 3624992 3630131 13 5 30717 -0.80926 0.79082
49856 1 3630767 3650107 33 10 30717 -0.72837 0.76681
7161 1 3652565 3736201 288 53 30717 -0.58335 0.72017
148870 1 3752398 3771645 66 15 30717 -0.84803 0.80179
388588 1 3772761 3775982 12 5 30717 0.53366 0.29679
