GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 173480 -0.58997 0.7224
105378580 1 803398 805130 4 2 173480 1.022 0.15339
148398 1 925741 944581 55 18 173480 0.16753 0.43348
26155 1 944203 959299 45 9 173480 -0.84561 0.80112
339451 1 959952 965720 16 4 173480 -0.61536 0.73084
84069 1 966497 975108 26 11 173480 1.9126 0.027903
84808 1 975199 982117 21 6 173480 3.19 0.0007114
57801 1 998962 1001285 12 4 173480 2.0018 0.022652
9636 1 1013467 1014540 3 1 173480 1.2978 0.097175
375790 1 1020101 1056119 107 15 173480 2.0182 0.021786
105369174 1 1061207 1066390 10 5 173480 0.033638 0.48658
105378948 1 1065635 1069326 10 3 173480 -0.056483 0.52252
401934 1 1071746 1074307 5 2 173480 0.12908 0.44865
54991 1 1081818 1116356 114 14 173480 -0.78763 0.78454
254173 1 1173898 1197935 139 20 173480 0.72972 0.23278
8784 1 1203508 1206709 10 2 173480 1.1319 0.12883
7293 1 1211326 1214638 9 4 173480 1.2259 0.11011
51150 1 1216908 1232067 89 6 173480 1.435 0.075642
126792 1 1232249 1235041 7 2 173480 0.50634 0.30631
388581 1 1242446 1247218 13 3 173480 -1.0342 0.84948
118424 1 1253912 1273854 41 7 173480 1.0616 0.14421
6339 1 1280415 1292029 42 15 173480 -0.06818 0.52718
116983 1 1292384 1307925 43 10 173480 0.38444 0.35032
126789 1 1308571 1311677 3 2 173480 -1.1066 0.86576
54973 1 1311585 1324687 18 6 173480 1.0051 0.15742
80772 1 1324756 1328896 10 2 173480 1.2647 0.10298
83756 1 1328999 1335320 22 7 173480 1.4421 0.074636
1855 1 1335278 1349158 30 8 173480 0.38701 0.34938
54587 1 1352689 1363541 35 6 173480 0.68942 0.24528
54998 1 1373730 1375438 8 4 173480 0.32486 0.37264
81669 1 1385711 1399338 21 7 173480 0.16606 0.43405
55052 1 1401896 1407834 15 6 173480 0.244 0.40362
441869 1 1418420 1421820 10 4 173480 0.77755 0.21842
643965 1 1426128 1427787 8 3 173480 -1.0394 0.85069
64856 1 1435523 1442882 14 4 173480 -0.54446 0.70694
219293 1 1441301 1470158 87 14 173480 -0.51747 0.69759
83858 1 1471732 1509479 92 21 173480 0.90727 0.18213
55210 1 1512143 1534687 82 13 173480 -0.068657 0.52737
339453 1 1534778 1540360 12 7 173480 -0.576 0.71769
29101 1 1541673 1574882 94 11 173480 -0.03489 0.51392
643988 1 1598008 1600096 2 1 173480 2.3813 0.0086259
142678 1 1614975 1630610 37 8 173480 0.85093 0.19741
984 1 1635226 1659839 33 6 173480 0.15043 0.44021
728661 1 1660025 1692804 76 17 173480 1.9335 0.026589
728642 1 1702730 1724352 68 5 173480 1.0581 0.14501
9906 1 1724838 1745999 64 11 173480 4.1519 1.6483e-05
65220 1 1751232 1780514 67 10 173480 5.0255 2.5105e-07
2782 1 1785285 1891117 157 23 173480 5.1505 1.2987e-07
105378949 1 1885960 1893010 13 7 173480 4.4666 3.973e-06
163688 1 1913752 1917294 13 3 173480 4.3691 6.2383e-06
339456 1 1917589 1919301 5 2 173480 3.8396 6.1629e-05
85452 1 1921951 2003837 326 28 173480 4.9995 2.874e-07
2563 1 2019329 2030753 29 7 173480 -0.3082 0.62104
5590 1 2050470 2185395 397 31 173480 3.2144 0.0006536
100506504 1 2181811 2184360 4 2 173480 3.0245 0.001245
199990 1 2184460 2212720 51 12 173480 4.4076 5.2265e-06
105378592 1 2208942 2215211 19 9 173480 4.4881 3.5931e-06
6497 1 2228695 2310213 237 46 173480 6.1413 4.0926e-10
105378594 1 2280383 2284676 14 5 173480 1.1508 0.12491
79906 1 2321253 2391751 294 36 173480 2.1048 0.017655
11079 1 2391314 2405444 36 11 173480 0.64529 0.25937
5192 1 2404802 2413780 22 8 173480 0.3397 0.36704
9651 1 2415782 2505530 316 45 173480 -1.6668 0.95222
55229 1 2508531 2526628 38 6 173480 0.019217 0.49233
388585 1 2528745 2530245 3 2 173480 1.7265 0.04213
8764 1 2556365 2565622 19 6 173480 0.084917 0.46616
127281 1 2586460 2591469 10 3 173480 1.4684 0.071
79258 1 2590639 2633042 148 10 173480 0.85458 0.19639
100287898 1 2636988 2789665 90 13 173480 0.5606 0.28754
140625 1 3021482 3022903 4 2 173480 -0.51489 0.69668
63976 1 3068227 3438621 1366 170 173480 -1.2732 0.89853
27237 1 3454583 3481115 91 13 173480 -1.5245 0.93631
1953 1 3487942 3624757 563 84 173480 -1.2174 0.88827
127262 1 3624992 3630131 12 4 173480 -1.2059 0.88607
49856 1 3630767 3650107 32 10 173480 -1.727 0.95792
7161 1 3652565 3736201 291 54 173480 -0.30727 0.62068
148870 1 3752398 3771645 63 15 173480 6.4656 5.0436e-11
388588 1 3772761 3775982 12 5 173480 10.013 6.6757e-24
57470 1 3780220 3796504 80 16 173480 7.447 4.7727e-14
9731 1 3812081 3857387 279 18 173480 7.8998 1.3973e-15
1677 1 3857143 3885429 160 23 173480 6.5831 2.3044e-11
339448 1 3889133 3900293 41 8 173480 1.6448 0.050008
55966 1 4655045 4792534 666 87 173480 0.037851 0.4849
261734 1 5862808 5992505 382 20 173480 -0.49321 0.68907
8514 1 5992298 6101193 300 48 173480 0.96688 0.1668
26038 1 6101787 6180134 268 31 173480 -1.9997 0.97723
6146 1 6185020 6199619 35 7 173480 -0.76573 0.77808
388591 1 6205775 6221299 32 5 173480 -0.92093 0.82146
23463 1 6221193 6235984 27 6 173480 0.94507 0.17231
390992 1 6244158 6245578 2 1 173480 0.89758 0.18471
387509 1 6247346 6260990 35 3 173480 0.47586 0.31709
11332 1 6264272 6393766 410 25 173480 -0.15952 0.56337
54626 1 6415232 6424664 29 6 173480 -0.30458 0.61966
83715 1 6424776 6460944 103 12 173480 -0.90112 0.81624
8718 1 6461151 6466195 13 5 173480 0.4917 0.31146
57449 1 6466092 6520061 136 25 173480 1.5774 0.057355
79707 1 6521347 6554598 98 3 173480 1.9923 0.023172
80835 1 6555278 6579757 39 8 173480 1.9379 0.02632
3104 1 6579991 6589280 9 4 173480 -0.92129 0.82155
9903 1 6590724 6602898 27 8 173480 1.6009 0.054695
148479 1 6613696 6624033 17 4 173480 1.9771 0.024018
90326 1 6624865 6635586 32 7 173480 1.4851 0.068765
55735 1 6634168 6701906 143 18 173480 1.2315 0.10907
23261 1 6785324 7769706 2711 230 173480 -1.1316 0.87111
9341 1 7771269 7781432 32 9 173480 0.07348 0.47071
8863 1 7784380 7845181 210 27 173480 -0.90826 0.81813
10911 1 7847612 7913610 295 28 173480 -0.018397 0.50734
3604 1 7915871 7943165 53 8 173480 -1.2576 0.89573
11315 1 7961654 7985283 49 10 173480 0.098806 0.46065
54206 1 8011719 8026333 23 5 173480 -0.72606 0.7661
50651 1 8318085 8344167 81 14 173480 3.183 0.00072878
473 1 8352404 8817691 675 28 173480 2.1747 0.014825
2023 1 8861000 8879092 25 5 173480 1.8877 0.029535
765 1 8945785 8975092 111 26 173480 1.3876 0.082634
155184 1 8960853 9026384 216 55 173480 -0.4584 0.67667
6518 1 9036943 9071704 94 14 173480 0.025734 0.48973
80045 1 9103391 9129170 61 10 173480 1.0483 0.14724
9563 1 9234776 9271337 94 18 173480 1.784 0.037211
80176 1 9292882 9369532 328 52 173480 1.803 0.035695
84275 1 9539469 9582773 60 9 173480 1.2585 0.10411
199953 1 9588853 9614877 34 8 173480 0.64823 0.25842
5293 1 9629889 9729114 198 36 173480 0.39116 0.34784
22883 1 9729021 9824526 127 17 173480 0.62457 0.26613
56998 1 9848276 9910258 74 13 173480 4.1661 1.5495e-05
84328 1 9922110 9943402 42 11 173480 2.6277 0.0042985
64802 1 9942923 9985501 83 12 173480 0.95243 0.17044
105376719 1 9996423 9998089 10 3 173480 1.0778 0.14057
116362 1 9997197 10016020 35 5 173480 0.96587 0.16705
10277 1 10032983 10181239 304 17 173480 1.5542 0.060069
23095 1 10210706 10381603 519 17 173480 0.83491 0.20188
5226 1 10398992 10420511 47 8 173480 -0.42762 0.66554
378708 1 10430102 10442815 37 5 173480 -1.4061 0.92016
100526739 1 10430102 10452003 56 8 173480 -1.2239 0.88951
1325 1 10449719 10452003 5 2 173480 0.03576 0.48574
1676 1 10460531 10472556 18 5 173480 1.3958 0.081384
5195 1 10474946 10630758 367 30 173480 1.4283 0.076596
54897 1 10636604 10796676 435 88 173480 0.38895 0.34866
148345 1 10946473 10982037 122 17 173480 -1.1816 0.88132
23435 1 11012622 11025492 22 4 173480 0.28097 0.38937
10747 1 11026523 11047239 55 7 173480 0.93697 0.17439
6723 1 11054592 11060034 7 2 173480 0.19256 0.42365
5394 1 11066613 11099910 95 6 173480 0.28047 0.38956
2475 1 11106531 11262557 335 12 173480 0.15871 0.43695
10218 1 11189289 11195981 15 3 173480 0.17731 0.42963
29914 1 11273198 11296595 34 5 173480 -0.33939 0.63284
57540 1 11479238 11537583 144 16 173480 0.39088 0.34794
26232 1 11648361 11654831 21 13 173480 0.64125 0.26068
93611 1 11654375 11663327 22 7 173480 0.91187 0.18092
26270 1 11664093 11674354 34 10 173480 0.71326 0.23784
10459 1 11674480 11691788 64 14 173480 0.026672 0.48936
374946 1 11686647 11720612 101 21 173480 -0.27177 0.6071
57085 1 11735474 11750771 38 9 173480 -1.6159 0.94694
284498 1 11762183 11789585 149 11 173480 0.67152 0.25094
4524 1 11785730 11806103 77 11 173480 -0.29796 0.61714
1185 1 11806096 11843144 191 15 173480 -0.29863 0.61739
4878 1 11845709 11847783 13 4 173480 -0.83995 0.79953
90231 1 11919588 11926428 20 6 173480 -2.3551 0.99074
5351 1 11934667 11975542 105 11 173480 -2.4084 0.99199
9927 1 11980181 12013515 89 10 173480 -1.8033 0.96433
60672 1 12019242 12032049 21 5 173480 -1.6679 0.95234
943 1 12063330 12144207 205 43 173480 0.019513 0.49222
7133 1 12166949 12209222 117 16 173480 -0.72933 0.7671
55187 1 12230039 12512047 352 33 173480 -0.033113 0.51321
9249 1 12567910 12618361 167 35 173480 -1.5981 0.94499
343066 1 12644547 12667086 49 6 173480 2.1612 0.015341
126767 1 12716115 12728759 43 7 173480 -1.5696 0.94174
93190 1 12746186 12761169 45 10 173480 -1.249 0.89417
390999 1 12763223 12777906 44 9 173480 -0.8203 0.79398
65121 1 12791397 12796628 14 4 173480 -1.2065 0.88618
440560 1 12824380 12831410 28 7 173480 0.12744 0.4493
343069 1 12847377 12848756 8 3 173480 0.14333 0.44301
65122 1 12857086 12861909 33 7 173480 1.1607 0.12288
400735 1 12879212 12886201 36 7 173480 0.9336 0.17526
343071 1 12892896 12898270 6 3 173480 -1.5301 0.93701
441871 1 12916647 12920480 1 1 173480 0.46351 0.3215
440563 1 13115488 13116854 10 5 173480 0.4444 0.32838
645382 1 13303516 13309027 4 2 173480 0.32267 0.37347
729528 1 13341892 13347134 1 1 173480 -0.38775 0.6509
645414 1 13368431 13371947 3 1 173480 -0.53076 0.70221
391004 1 13389632 13392629 9 4 173480 -0.58749 0.72156
645425 1 13410450 13421354 4 2 173480 -0.89016 0.81331
126755 1 13474977 13513781 164 37 173480 0.25769 0.39832
10630 1 13583757 13617957 98 26 173480 -0.46927 0.68056
7799 1 13700240 13825079 360 28 173480 -0.020271 0.50809
