GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -2.3479 0.99056
105378580 1 803398 805130 4 2 337119 -0.43833 0.66943
148398 1 925741 944581 54 17 337119 -0.28052 0.61046
26155 1 944203 959299 49 8 337119 0.36916 0.356
339451 1 959952 965720 17 4 337119 0.48893 0.31245
84069 1 966497 975108 29 13 337119 0.94906 0.1713
84808 1 975199 982117 22 6 337119 0.40856 0.34143
57801 1 998962 1001285 12 4 337119 0.38697 0.34939
9636 1 1013467 1014540 5 2 337119 -0.6637 0.74656
375790 1 1020101 1056119 115 16 337119 0.023664 0.49056
105369174 1 1061207 1066390 10 5 337119 0.93086 0.17596
105378948 1 1065635 1069326 10 3 337119 0.3043 0.38045
401934 1 1071746 1074307 6 2 337119 -0.87144 0.80824
54991 1 1081818 1116356 114 14 337119 1.3861 0.082856
254173 1 1173898 1197935 143 20 337119 -0.32095 0.62588
8784 1 1203508 1206709 10 2 337119 -0.76523 0.77793
7293 1 1211326 1214638 8 3 337119 -0.50623 0.69365
51150 1 1216908 1232067 93 6 337119 -0.14259 0.55669
126792 1 1232249 1235041 7 2 337119 -1.6096 0.94625
388581 1 1242446 1247218 13 3 337119 -1.4139 0.9213
118424 1 1253912 1273854 42 7 337119 -0.90269 0.81666
6339 1 1280415 1292029 43 15 337119 -1.2673 0.89748
116983 1 1292384 1307925 43 10 337119 0.068459 0.47271
126789 1 1308571 1311677 5 3 337119 -1.9909 0.97675
54973 1 1311585 1324687 19 6 337119 0.83541 0.20174
80772 1 1324756 1328896 10 2 337119 0.75297 0.22574
83756 1 1328999 1335320 26 8 337119 0.76633 0.22174
1855 1 1335278 1349158 34 9 337119 0.12165 0.45159
54587 1 1352689 1363541 36 6 337119 0.13677 0.44561
54998 1 1373730 1375438 8 4 337119 -0.30908 0.62137
81669 1 1385711 1399338 21 7 337119 0.62811 0.26497
55052 1 1401896 1407834 15 6 337119 0.33601 0.36843
441869 1 1418420 1421820 10 4 337119 0.24255 0.40418
643965 1 1426128 1427787 8 3 337119 -0.17661 0.57009
64856 1 1435523 1442882 15 4 337119 0.52837 0.29862
219293 1 1441301 1470158 88 15 337119 -0.19538 0.57745
83858 1 1471732 1509479 90 21 337119 0.35141 0.36264
55210 1 1512143 1534687 80 13 337119 -0.25753 0.60162
339453 1 1534778 1540360 12 7 337119 0.72591 0.23395
29101 1 1541673 1574882 93 11 337119 1.0355 0.15022
643988 1 1598008 1600096 2 1 337119 1.7372 0.041178
142678 1 1614975 1630610 39 9 337119 1.2284 0.10965
984 1 1635226 1659839 33 6 337119 1.4431 0.074497
728661 1 1660025 1692804 75 16 337119 1.4731 0.070361
728642 1 1702730 1724352 68 5 337119 -0.42351 0.66404
9906 1 1724838 1745999 64 11 337119 -0.82657 0.79576
65220 1 1751232 1780514 68 10 337119 -0.58439 0.72052
2782 1 1785285 1891117 160 23 337119 -0.40402 0.6569
105378949 1 1885960 1893010 14 7 337119 -0.54338 0.70657
163688 1 1913752 1917294 13 3 337119 -0.91022 0.81865
339456 1 1917589 1919301 6 3 337119 -0.33855 0.63253
85452 1 1921951 2003837 329 27 337119 -0.82285 0.7947
2563 1 2019329 2030753 29 7 337119 1.1244 0.13041
5590 1 2050470 2185395 400 32 337119 -0.72834 0.7668
100506504 1 2181811 2184360 4 2 337119 -0.30379 0.61935
199990 1 2184460 2212720 52 12 337119 -0.30153 0.61849
105378592 1 2208942 2215211 19 9 337119 -0.58152 0.71956
6497 1 2228695 2310213 240 46 337119 0.62931 0.26457
105378594 1 2280383 2284676 14 5 337119 -0.15708 0.56241
79906 1 2321253 2391751 302 38 337119 1.0758 0.14101
11079 1 2391314 2405444 37 11 337119 -0.78852 0.7848
5192 1 2404802 2413780 26 9 337119 -0.99781 0.84081
9651 1 2415782 2505530 321 46 337119 -0.47105 0.6812
55229 1 2508531 2526628 40 6 337119 0.76214 0.22299
388585 1 2528745 2530245 3 2 337119 -1.0772 0.8593
8764 1 2556365 2565622 23 5 337119 0.078836 0.46858
127281 1 2586460 2591469 11 4 337119 -0.15939 0.56332
79258 1 2590639 2633042 149 10 337119 0.068692 0.47262
100287898 1 2636988 2789665 89 13 337119 0.17578 0.43023
140625 1 3021482 3022903 4 2 337119 0.12225 0.45135
63976 1 3068227 3438621 1383 172 337119 1.828 0.033776
27237 1 3454583 3481115 91 13 337119 0.25514 0.39931
1953 1 3487942 3624757 572 88 337119 -1.8466 0.96759
127262 1 3624992 3630131 13 5 337119 -2.4275 0.9924
49856 1 3630767 3650107 32 10 337119 -1.1859 0.88216
7161 1 3652565 3736201 295 54 337119 -0.80733 0.79026
148870 1 3752398 3771645 67 15 337119 -1.5679 0.94155
388588 1 3772761 3775982 12 5 337119 1.5768 0.05742
57470 1 3780220 3796504 80 16 337119 -0.002725 0.50109
9731 1 3812081 3857387 284 18 337119 1.7216 0.042568
1677 1 3857143 3885429 163 23 337119 0.29559 0.38377
339448 1 3889133 3900293 41 8 337119 1.4178 0.078121
55966 1 4655045 4792534 669 86 337119 -0.64102 0.73924
261734 1 5862808 5992505 393 22 337119 -0.075992 0.53029
8514 1 5992298 6101193 304 48 337119 -0.53665 0.70425
26038 1 6101787 6180134 273 33 337119 -1.0461 0.85225
6146 1 6185020 6199619 35 7 337119 -0.73744 0.76957
388591 1 6205775 6221299 34 5 337119 0.38164 0.35137
23463 1 6221193 6235984 28 6 337119 -0.047218 0.51883
390992 1 6244158 6245578 2 1 337119 1.4668 0.071212
387509 1 6247346 6260990 36 3 337119 0.61904 0.26795
11332 1 6264272 6393766 409 26 337119 0.18255 0.42757
54626 1 6415232 6424664 30 6 337119 0.25193 0.40055
83715 1 6424776 6460944 104 12 337119 0.49191 0.31139
8718 1 6461151 6466195 13 5 337119 1.2376 0.10793
57449 1 6466092 6520061 139 25 337119 -0.38593 0.65023
79707 1 6521347 6554598 101 3 337119 -1.5036 0.93366
80835 1 6555278 6579757 42 8 337119 -1.3009 0.90335
3104 1 6579991 6589280 9 4 337119 -1.5228 0.93609
9903 1 6590724 6602898 30 9 337119 -1.6088 0.94617
148479 1 6613696 6624033 18 4 337119 -1.5006 0.93327
90326 1 6624865 6635586 33 7 337119 -0.016088 0.50642
55735 1 6634168 6701906 144 18 337119 -0.39313 0.65289
23261 1 6785324 7769706 2727 225 337119 -0.86665 0.80693
9341 1 7771269 7781432 33 9 337119 0.51406 0.30361
8863 1 7784380 7845181 215 27 337119 -0.38328 0.64924
10911 1 7847612 7913610 303 28 337119 -0.98734 0.83826
3604 1 7915871 7943165 54 8 337119 -0.58072 0.71929
11315 1 7961654 7985283 50 10 337119 -1.1504 0.87501
54206 1 8011719 8026333 23 5 337119 -1.3724 0.91502
50651 1 8318085 8344167 82 14 337119 -0.43617 0.66864
473 1 8352404 8817691 684 29 337119 0.76543 0.22201
2023 1 8861000 8879092 25 5 337119 -0.79824 0.78763
765 1 8945785 8975092 117 26 337119 0.068733 0.4726
155184 1 8960853 9026384 218 55 337119 0.4122 0.3401
6518 1 9036943 9071704 96 14 337119 0.8812 0.18911
80045 1 9103391 9129170 60 10 337119 -0.46582 0.67933
9563 1 9234776 9271337 98 19 337119 0.78905 0.21504
80176 1 9292882 9369532 329 48 337119 4.337 7.2224e-06
84275 1 9539469 9582773 60 9 337119 -0.83334 0.79767
199953 1 9588853 9614877 37 8 337119 -0.94523 0.82773
5293 1 9629889 9729114 200 36 337119 0.40677 0.34209
22883 1 9729021 9824526 130 17 337119 -0.53091 0.70226
56998 1 9848276 9910258 74 13 337119 0.0049303 0.49803
84328 1 9922110 9943402 44 10 337119 -1.0064 0.8429
64802 1 9942923 9985501 88 14 337119 -0.80762 0.79035
105376719 1 9996423 9998089 10 3 337119 -1.3285 0.908
116362 1 9997197 10016020 36 5 337119 -1.4832 0.93099
10277 1 10032983 10181239 307 18 337119 -0.71999 0.76423
23095 1 10210706 10381603 522 17 337119 -1.5199 0.93573
5226 1 10398992 10420511 50 8 337119 -1.4192 0.92208
378708 1 10430102 10442815 37 5 337119 0.67994 0.24827
100526739 1 10430102 10452003 56 8 337119 1.0918 0.13747
1325 1 10449719 10452003 5 2 337119 1.1476 0.12557
1676 1 10460531 10472556 18 5 337119 -0.16073 0.56385
5195 1 10474946 10630758 368 29 337119 -0.24028 0.59494
54897 1 10636604 10796676 432 89 337119 -2.4986 0.99377
148345 1 10946473 10982037 125 18 337119 0.59002 0.27759
23435 1 11012622 11025492 22 4 337119 0.93385 0.17519
10747 1 11026523 11047239 56 7 337119 1.2007 0.11493
6723 1 11054592 11060034 7 2 337119 1.0557 0.14555
5394 1 11066613 11099910 95 6 337119 1.2093 0.11328
2475 1 11106531 11262557 339 11 337119 1.0863 0.13868
10218 1 11189289 11195981 15 3 337119 1.3045 0.096025
