GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 85787 -1.6275 0.94818
105378580 1 803398 805130 4 2 85787 -1.5199 0.93573
148398 1 925741 944581 51 16 85787 -3.0666 0.99892
26155 1 944203 959299 41 9 85787 -1.6653 0.95208
339451 1 959952 965720 15 3 85787 -1.1539 0.87573
84069 1 966497 975108 24 10 85787 -0.88918 0.81305
84808 1 975199 982117 20 5 85787 -0.43606 0.6686
57801 1 998962 1001285 11 3 85787 -0.49998 0.69145
9636 1 1013467 1014540 2 1 85787 -0.24509 0.59681
375790 1 1020101 1056119 105 15 85787 -0.51302 0.69603
105369174 1 1061207 1066390 10 5 85787 -0.77398 0.78053
105378948 1 1065635 1069326 8 3 85787 -0.89038 0.81337
401934 1 1071746 1074307 5 2 85787 -0.075845 0.53023
54991 1 1081818 1116356 110 14 85787 1.9681 0.024525
254173 1 1173898 1197935 137 20 85787 -1.6606 0.95161
8784 1 1203508 1206709 10 2 85787 -1.5884 0.9439
7293 1 1211326 1214638 8 3 85787 -0.29035 0.61422
51150 1 1216908 1232067 86 5 85787 0.8944 0.18555
126792 1 1232249 1235041 6 2 85787 -0.23644 0.59345
388581 1 1242446 1247218 13 3 85787 -0.67109 0.74892
118424 1 1253912 1273854 40 7 85787 -0.48622 0.68659
6339 1 1280415 1292029 40 14 85787 -0.86108 0.8054
116983 1 1292384 1307925 42 10 85787 -1.4749 0.92989
126789 1 1308571 1311677 4 2 85787 -1.3589 0.9129
54973 1 1311585 1324687 17 6 85787 -1.9927 0.97685
80772 1 1324756 1328896 10 2 85787 -0.64005 0.73893
83756 1 1328999 1335320 21 7 85787 -2.0407 0.97936
1855 1 1335278 1349158 29 8 85787 -1.8033 0.96433
54587 1 1352689 1363541 30 5 85787 -1.22 0.88877
54998 1 1373730 1375438 8 4 85787 -0.87433 0.80903
81669 1 1385711 1399338 21 7 85787 -0.84163 0.8
55052 1 1401896 1407834 15 6 85787 -0.86982 0.8078
441869 1 1418420 1421820 10 4 85787 -1.9719 0.97569
643965 1 1426128 1427787 8 3 85787 -0.64015 0.73896
64856 1 1435523 1442882 14 4 85787 -0.15334 0.56094
219293 1 1441301 1470158 85 14 85787 -0.8262 0.79565
83858 1 1471732 1509479 89 21 85787 -2.5288 0.99428
55210 1 1512143 1534687 78 13 85787 -1.5923 0.94434
339453 1 1534778 1540360 12 7 85787 -1.5931 0.94443
29101 1 1541673 1574882 91 11 85787 -0.91508 0.81993
643988 1 1598008 1600096 2 1 85787 -0.96646 0.83309
142678 1 1614975 1630610 36 8 85787 -1.9096 0.97191
984 1 1635226 1659839 33 6 85787 -2.2495 0.98776
728661 1 1660025 1692804 73 17 85787 -2.3647 0.99098
728642 1 1702730 1724352 67 5 85787 -1.7268 0.9579
9906 1 1724838 1745999 62 11 85787 -2.407 0.99196
65220 1 1751232 1780514 63 9 85787 -1.9763 0.97594
2782 1 1785285 1891117 154 23 85787 -2.0785 0.98117
105378949 1 1885960 1893010 14 7 85787 -1.7904 0.96331
163688 1 1913752 1917294 13 3 85787 -0.62208 0.73305
339456 1 1917589 1919301 5 2 85787 -1.2835 0.90034
85452 1 1921951 2003837 312 26 85787 -1.1868 0.88234
2563 1 2019329 2030753 27 6 85787 -0.93093 0.82405
