GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 54162 -1.321 0.90675
105378580 1 803398 805130 4 2 54162 -1.7301 0.95819
148398 1 925741 944581 51 16 54162 -2.2829 0.98878
26155 1 944203 959299 41 9 54162 -1.689 0.95439
339451 1 959952 965720 15 3 54162 -0.61703 0.73139
84069 1 966497 975108 24 10 54162 -0.7384 0.76987
84808 1 975199 982117 20 5 54162 -0.057753 0.52303
57801 1 998962 1001285 11 3 54162 -0.66248 0.74617
9636 1 1013467 1014540 3 1 54162 0.025083 0.48999
375790 1 1020101 1056119 104 15 54162 -0.23071 0.59123
105369174 1 1061207 1066390 10 5 54162 0.88337 0.18852
105378948 1 1065635 1069326 8 3 54162 1.8015 0.035816
401934 1 1071746 1074307 6 2 54162 1.3207 0.093304
54991 1 1081818 1116356 113 14 54162 -0.72772 0.76661
254173 1 1173898 1197935 137 20 54162 -0.06319 0.52519
8784 1 1203508 1206709 10 2 54162 -0.91631 0.82025
7293 1 1211326 1214638 8 3 54162 -0.52552 0.70039
51150 1 1216908 1232067 91 6 54162 -1.0695 0.85758
126792 1 1232249 1235041 6 2 54162 -0.13079 0.55203
388581 1 1242446 1247218 13 3 54162 -0.77128 0.77973
118424 1 1253912 1273854 42 7 54162 0.27361 0.39219
6339 1 1280415 1292029 42 15 54162 -0.45598 0.6758
116983 1 1292384 1307925 41 10 54162 0.065302 0.47397
126789 1 1308571 1311677 4 2 54162 -0.49944 0.69127
54973 1 1311585 1324687 17 6 54162 -0.73155 0.76778
80772 1 1324756 1328896 10 2 54162 0.11242 0.45525
83756 1 1328999 1335320 21 7 54162 -0.9873 0.83825
1855 1 1335278 1349158 29 8 54162 -0.83711 0.79874
54587 1 1352689 1363541 33 5 54162 0.16423 0.43478
54998 1 1373730 1375438 8 4 54162 0.5422 0.29384
81669 1 1385711 1399338 21 7 54162 -0.77152 0.7798
55052 1 1401896 1407834 15 6 54162 0.3351 0.36877
441869 1 1418420 1421820 10 4 54162 -0.36309 0.64173
643965 1 1426128 1427787 8 3 54162 -0.77978 0.78224
64856 1 1435523 1442882 14 4 54162 -1.57 0.94179
219293 1 1441301 1470158 85 14 54162 -1.6872 0.95422
83858 1 1471732 1509479 89 21 54162 -0.11496 0.54576
55210 1 1512143 1534687 80 13 54162 -0.090037 0.53587
339453 1 1534778 1540360 12 7 54162 -1.7367 0.95878
29101 1 1541673 1574882 93 11 54162 -1.118 0.86822
643988 1 1598008 1600096 2 1 54162 -2.0594 0.98027
142678 1 1614975 1630610 36 8 54162 -2.8062 0.99749
984 1 1635226 1659839 33 6 54162 -1.5294 0.93692
728661 1 1660025 1692804 73 17 54162 -1.8139 0.96515
728642 1 1702730 1724352 67 5 54162 0.54083 0.29431
9906 1 1724838 1745999 62 11 54162 0.3826 0.35101
65220 1 1751232 1780514 67 9 54162 -0.057818 0.52305
2782 1 1785285 1891117 158 23 54162 -0.37678 0.64683
105378949 1 1885960 1893010 14 7 54162 -0.70656 0.76008
163688 1 1913752 1917294 13 3 54162 -0.1059 0.54217
339456 1 1917589 1919301 5 2 54162 0.4371 0.33102
85452 1 1921951 2003837 319 27 54162 0.47771 0.31643
2563 1 2019329 2030753 27 6 54162 0.028545 0.48861
5590 1 2050470 2185395 395 31 54162 -1.1216 0.86899
100506504 1 2181811 2184360 4 2 54162 -0.66127 0.74578
199990 1 2184460 2212720 47 10 54162 -1.1797 0.88093
105378592 1 2208942 2215211 18 8 54162 -1.7555 0.96041
6497 1 2228695 2310213 238 45 54162 0.78867 0.21515
105378594 1 2280383 2284676 13 5 54162 0.40773 0.34174
79906 1 2321253 2391751 294 34 54162 0.74372 0.22852
11079 1 2391314 2405444 37 11 54162 -0.24658 0.59739
5192 1 2404802 2413780 26 9 54162 -0.7664 0.77828
9651 1 2415782 2505530 316 44 54162 -1.1096 0.86641
55229 1 2508531 2526628 40 6 54162 -0.96603 0.83299
388585 1 2528745 2530245 3 2 54162 -0.53697 0.70435
8764 1 2556365 2565622 22 5 54162 -1.1989 0.88471
127281 1 2586460 2591469 11 4 54162 -1.0371 0.85015
79258 1 2590639 2633042 151 10 54162 0.50682 0.30614
100287898 1 2636988 2789665 86 13 54162 -0.76532 0.77796
140625 1 3021482 3022903 4 2 54162 -0.15786 0.56272
63976 1 3068227 3438621 1363 167 54162 1.0398 0.14921
27237 1 3454583 3481115 91 12 54162 0.062474 0.47509
1953 1 3487942 3624757 562 84 54162 -1.6127 0.9466
127262 1 3624992 3630131 13 5 54162 -0.76237 0.77708
49856 1 3630767 3650107 33 10 54162 -0.54635 0.70759
7161 1 3652565 3736201 291 52 54162 -0.47634 0.68309
148870 1 3752398 3771645 66 15 54162 -0.16924 0.56719
388588 1 3772761 3775982 12 5 54162 1.5151 0.064877
57470 1 3780220 3796504 80 16 54162 0.81885 0.20643
9731 1 3812081 3857387 283 16 54162 0.4518 0.32571
1677 1 3857143 3885429 162 23 54162 0.092473 0.46316
339448 1 3889133 3900293 41 8 54162 0.34446 0.36525
55966 1 4655045 4792534 666 84 54162 -0.74982 0.77332
261734 1 5862808 5992505 387 19 54162 -0.38296 0.64912
8514 1 5992298 6101193 296 48 54162 -0.9098 0.81853
26038 1 6101787 6180134 272 32 54162 0.74418 0.22838
6146 1 6185020 6199619 35 7 54162 -1.0857 0.8612
388591 1 6205775 6221299 33 5 54162 -0.53645 0.70418
23463 1 6221193 6235984 28 6 54162 -0.36233 0.64145
390992 1 6244158 6245578 2 1 54162 0.61886 0.268
387509 1 6247346 6260990 36 3 54162 0.19502 0.42269
11332 1 6264272 6393766 402 27 54162 -0.073744 0.52939
54626 1 6415232 6424664 30 6 54162 0.23344 0.40771
83715 1 6424776 6460944 103 12 54162 -0.29886 0.61748
8718 1 6461151 6466195 13 5 54162 -0.99419 0.83993
57449 1 6466092 6520061 138 25 54162 -0.51436 0.6965
79707 1 6521347 6554598 101 3 54162 0.045264 0.48195
80835 1 6555278 6579757 42 8 54162 -0.086744 0.53456
3104 1 6579991 6589280 8 4 54162 1.4593 0.072241
9903 1 6590724 6602898 29 8 54162 1.2524 0.10521
148479 1 6613696 6624033 18 4 54162 0.98055 0.16341
90326 1 6624865 6635586 32 7 54162 1.6676 0.0477
55735 1 6634168 6701906 142 17 54162 1.0875 0.13841
23261 1 6785324 7769706 2717 227 54162 -0.96157 0.83187
9341 1 7771269 7781432 33 9 54162 0.73049 0.23255
8863 1 7784380 7845181 215 27 54162 0.18128 0.42807
10911 1 7847612 7913610 300 27 54162 0.56795 0.28504
3604 1 7915871 7943165 54 8 54162 -0.33422 0.63089
11315 1 7961654 7985283 48 10 54162 0.52307 0.30046
54206 1 8011719 8026333 23 5 54162 0.72551 0.23407
50651 1 8318085 8344167 82 14 54162 1.5528 0.060235
473 1 8352404 8817691 680 27 54162 1.0642 0.14362
2023 1 8861000 8879092 25 5 54162 0.39221 0.34745
765 1 8945785 8975092 117 26 54162 -0.0081794 0.50326
155184 1 8960853 9026384 216 54 54162 0.21383 0.41534
6518 1 9036943 9071704 96 14 54162 1.0845 0.13908
80045 1 9103391 9129170 60 10 54162 -0.14158 0.55629
9563 1 9234776 9271337 98 19 54162 -1.3781 0.91591
80176 1 9292882 9369532 329 48 54162 -0.47351 0.68207
84275 1 9539469 9582773 59 9 54162 -0.71794 0.7636
199953 1 9588853 9614877 37 8 54162 -0.77529 0.78092
5293 1 9629889 9729114 200 36 54162 -0.63236 0.73642
22883 1 9729021 9824526 129 16 54162 -0.2882 0.6134
56998 1 9848276 9910258 71 13 54162 -0.67563 0.75036
84328 1 9922110 9943402 44 10 54162 0.16074 0.43615
64802 1 9942923 9985501 85 13 54162 -0.99447 0.84
105376719 1 9996423 9998089 10 3 54162 -0.82665 0.79578
116362 1 9997197 10016020 36 5 54162 -0.94027 0.82646
10277 1 10032983 10181239 304 17 54162 -0.69619 0.75685
23095 1 10210706 10381603 515 17 54162 0.62036 0.26751
5226 1 10398992 10420511 49 7 54162 0.97206 0.16551
378708 1 10430102 10442815 36 5 54162 -0.5175 0.6976
100526739 1 10430102 10452003 55 8 54162 -0.46399 0.67867
1325 1 10449719 10452003 5 2 54162 -0.33384 0.63075
1676 1 10460531 10472556 18 5 54162 -0.49834 0.69088
5195 1 10474946 10630758 367 28 54162 -0.433 0.66749
54897 1 10636604 10796676 426 88 54162 -1.0725 0.85824
148345 1 10946473 10982037 124 18 54162 0.24898 0.40169
23435 1 11012622 11025492 22 4 54162 0.74787 0.22727
10747 1 11026523 11047239 55 7 54162 0.75456 0.22526
6723 1 11054592 11060034 7 2 54162 0.56682 0.28542
5394 1 11066613 11099910 96 6 54162 0.96042 0.16842
2475 1 11106531 11262557 338 11 54162 0.2991 0.38243
10218 1 11189289 11195981 14 2 54162 0.97509 0.16476
29914 1 11273198 11296595 34 5 54162 -0.96856 0.83362
57540 1 11479238 11537583 147 15 54162 -0.52965 0.70182
26232 1 11648361 11654831 20 11 54162 -0.1854 0.57354
