GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 142762 -2.7143 0.99668
105378580 1 803398 805130 4 2 142762 -1.411 0.92087
148398 1 925741 944581 51 16 142762 -3.8467 0.99994
26155 1 944203 959299 41 9 142762 -3.0321 0.99879
339451 1 959952 965720 15 3 142762 -2.228 0.98706
84069 1 966497 975108 24 10 142762 -3.3795 0.99964
84808 1 975199 982117 20 5 142762 -2.4641 0.99313
57801 1 998962 1001285 11 3 142762 -2.2429 0.98755
9636 1 1013467 1014540 2 1 142762 -0.43124 0.66685
375790 1 1020101 1056119 105 15 142762 -3.0588 0.99889
105369174 1 1061207 1066390 10 5 142762 -1.3664 0.91409
105378948 1 1065635 1069326 8 3 142762 -0.50721 0.694
401934 1 1071746 1074307 5 2 142762 -0.32265 0.62652
54991 1 1081818 1116356 110 14 142762 -0.9165 0.8203
254173 1 1173898 1197935 137 20 142762 -1.9675 0.97544
8784 1 1203508 1206709 10 2 142762 -1.1844 0.88188
7293 1 1211326 1214638 8 3 142762 -1.3777 0.91585
51150 1 1216908 1232067 86 5 142762 -1.0663 0.85687
126792 1 1232249 1235041 6 2 142762 -0.92254 0.82188
388581 1 1242446 1247218 13 3 142762 -1.9067 0.97172
118424 1 1253912 1273854 40 7 142762 -1.8169 0.96538
6339 1 1280415 1292029 40 14 142762 -3.2038 0.99932
116983 1 1292384 1307925 42 10 142762 -2.1362 0.98367
126789 1 1308571 1311677 4 2 142762 -1.685 0.95401
54973 1 1311585 1324687 17 6 142762 -1.6594 0.95148
80772 1 1324756 1328896 10 2 142762 -0.40332 0.65664
83756 1 1328999 1335320 21 7 142762 -1.4129 0.92116
1855 1 1335278 1349158 29 8 142762 -1.6012 0.94533
54587 1 1352689 1363541 30 5 142762 -0.81915 0.79365
54998 1 1373730 1375438 8 4 142762 -1.871 0.96933
81669 1 1385711 1399338 21 7 142762 -1.904 0.97154
55052 1 1401896 1407834 15 6 142762 -2.0986 0.98207
441869 1 1418420 1421820 10 4 142762 -1.4462 0.92595
643965 1 1426128 1427787 8 3 142762 -1.2343 0.89145
64856 1 1435523 1442882 14 4 142762 -1.5342 0.9375
219293 1 1441301 1470158 85 14 142762 -2.9023 0.99815
83858 1 1471732 1509479 89 21 142762 -1.8938 0.97088
55210 1 1512143 1534687 78 13 142762 -0.74871 0.77299
339453 1 1534778 1540360 12 7 142762 -2.3408 0.99038
29101 1 1541673 1574882 91 11 142762 -1.2564 0.89551
643988 1 1598008 1600096 2 1 142762 -0.62609 0.73437
142678 1 1614975 1630610 36 8 142762 -1.4406 0.92516
984 1 1635226 1659839 33 6 142762 -2.117 0.98287
728661 1 1660025 1692804 73 17 142762 -1.1376 0.87236
728642 1 1702730 1724352 67 5 142762 -0.87992 0.81055
9906 1 1724838 1745999 62 11 142762 2.9101 0.0018065
65220 1 1751232 1780514 63 9 142762 3.8316 6.3667e-05
2782 1 1785285 1891117 154 23 142762 3.1187 0.00090824
105378949 1 1885960 1893010 14 7 142762 2.1294 0.016611
163688 1 1913752 1917294 13 3 142762 3.0039 0.0013328
339456 1 1917589 1919301 5 2 142762 2.1486 0.015833
85452 1 1921951 2003837 312 26 142762 2.3765 0.00874
2563 1 2019329 2030753 27 6 142762 -1.6137 0.94671
5590 1 2050470 2185395 379 30 142762 -1.5795 0.94289
100506504 1 2181811 2184360 4 2 142762 -1.1187 0.86837
199990 1 2184460 2212720 46 10 142762 -1.3847 0.91693
105378592 1 2208942 2215211 17 8 142762 -1.1181 0.86824
6497 1 2228695 2310213 231 45 142762 -1.3067 0.90434
105378594 1 2280383 2284676 13 5 142762 -0.94711 0.82821
79906 1 2321253 2391751 282 34 142762 -1.6294 0.94839
11079 1 2391314 2405444 34 11 142762 -1.4935 0.93235
5192 1 2404802 2413780 22 8 142762 -0.92283 0.82195
9651 1 2415782 2505530 306 48 142762 1.3644 0.086218
55229 1 2508531 2526628 39 6 142762 1.4091 0.079409
388585 1 2528745 2530245 3 2 142762 -1.8427 0.96731
8764 1 2556365 2565622 19 6 142762 2.0856 0.018507
127281 1 2586460 2591469 9 3 142762 1.1692 0.12115
79258 1 2590639 2633042 146 10 142762 1.5434 0.061361
100287898 1 2636988 2789665 85 13 142762 0.76592 0.22186
140625 1 3021482 3022903 4 2 142762 0.44337 0.32875
63976 1 3068227 3438621 1321 167 142762 -1.2174 0.88828
27237 1 3454583 3481115 87 12 142762 -1.5846 0.94347
1953 1 3487942 3624757 543 86 142762 -3.5356 0.9998
127262 1 3624992 3630131 12 4 142762 -1.4862 0.93139
49856 1 3630767 3650107 31 10 142762 -1.6545 0.95099
7161 1 3652565 3736201 279 53 142762 -2.7232 0.99677
148870 1 3752398 3771645 60 14 142762 -2.0353 0.97909
388588 1 3772761 3775982 11 5 142762 -0.16633 0.56605
57470 1 3780220 3796504 80 16 142762 -1.5549 0.94001
9731 1 3812081 3857387 276 16 142762 -1.9612 0.97507
1677 1 3857143 3885429 157 22 142762 0.95702 0.16928
339448 1 3889133 3900293 41 8 142762 1.0007 0.1585
55966 1 4655045 4792534 648 84 142762 -2.1994 0.98607
261734 1 5862808 5992505 377 21 142762 0.87355 0.19118
8514 1 5992298 6101193 293 46 142762 1.1713 0.12074
26038 1 6101787 6180134 265 32 142762 0.35746 0.36037
6146 1 6185020 6199619 35 7 142762 -0.10871 0.54328
388591 1 6205775 6221299 33 5 142762 -0.65328 0.74321
23463 1 6221193 6235984 27 6 142762 -1.1532 0.87559
390992 1 6244158 6245578 2 1 142762 0.8729 0.19136
387509 1 6247346 6260990 35 3 142762 0.7693 0.22086
11332 1 6264272 6393766 393 26 142762 -1.7747 0.96202
54626 1 6415232 6424664 28 6 142762 -0.46521 0.67911
83715 1 6424776 6460944 100 12 142762 -1.0107 0.84393
8718 1 6461151 6466195 13 5 142762 -0.90013 0.81597
57449 1 6466092 6520061 131 24 142762 0.98043 0.16344
79707 1 6521347 6554598 97 3 142762 1.5745 0.057691
80835 1 6555278 6579757 38 8 142762 1.9273 0.026973
3104 1 6579991 6589280 8 4 142762 0.77119 0.2203
9903 1 6590724 6602898 26 8 142762 1.5529 0.060224
148479 1 6613696 6624033 16 4 142762 1.8499 0.032161
90326 1 6624865 6635586 31 6 142762 1.1726 0.12049
55735 1 6634168 6701906 139 17 142762 1.9454 0.025866
23261 1 6785324 7769706 2655 223 142762 0.55124 0.29073
9341 1 7771269 7781432 31 9 142762 0.34866 0.36367
8863 1 7784380 7845181 204 27 142762 -0.32775 0.62845
10911 1 7847612 7913610 290 28 142762 0.18339 0.42724
3604 1 7915871 7943165 52 8 142762 -0.015681 0.50626
11315 1 7961654 7985283 48 10 142762 1.7721 0.038189
54206 1 8011719 8026333 23 5 142762 1.8956 0.029003
50651 1 8318085 8344167 82 14 142762 -1.2367 0.8919
473 1 8352404 8817691 668 29 142762 1.4252 0.077049
2023 1 8861000 8879092 25 5 142762 1.4162 0.078358
765 1 8945785 8975092 115 25 142762 0.98096 0.16331
155184 1 8960853 9026384 214 54 142762 -0.80935 0.79084
6518 1 9036943 9071704 91 14 142762 -0.40346 0.65669
80045 1 9103391 9129170 60 10 142762 0.13088 0.44794
9563 1 9234776 9271337 94 18 142762 -0.33419 0.63088
80176 1 9292882 9369532 319 50 142762 -2.1408 0.98385
84275 1 9539469 9582773 58 9 142762 -0.16562 0.56577
199953 1 9588853 9614877 33 7 142762 -1.0314 0.84883
5293 1 9629889 9729114 196 36 142762 -1.5164 0.93529
22883 1 9729021 9824526 125 17 142762 -0.14845 0.559
56998 1 9848276 9910258 71 13 142762 -0.95533 0.83029
84328 1 9922110 9943402 41 11 142762 -1.4312 0.92381
64802 1 9942923 9985501 82 12 142762 -0.6841 0.75304
105376719 1 9996423 9998089 10 3 142762 -0.5018 0.6921
116362 1 9997197 10016020 35 5 142762 -0.64358 0.74008
10277 1 10032983 10181239 286 18 142762 -1.9763 0.97594
23095 1 10210706 10381603 511 16 142762 -0.46783 0.68005
5226 1 10398992 10420511 47 7 142762 -0.11784 0.5469
378708 1 10430102 10442815 37 5 142762 -1.018 0.84566
100526739 1 10430102 10452003 56 8 142762 -0.8552 0.80378
1325 1 10449719 10452003 5 2 142762 -0.10956 0.54362
1676 1 10460531 10472556 18 5 142762 0.89539 0.18529
5195 1 10474946 10630758 360 27 142762 1.0709 0.1421
54897 1 10636604 10796676 417 86 142762 -0.80132 0.78853
148345 1 10946473 10982037 121 17 142762 0.07387 0.47056
23435 1 11012622 11025492 22 4 142762 0.98499 0.16231
10747 1 11026523 11047239 54 7 142762 1.0527 0.14625
6723 1 11054592 11060034 7 2 142762 0.80396 0.21071
5394 1 11066613 11099910 95 6 142762 0.94375 0.17265
2475 1 11106531 11262557 326 12 142762 1.5627 0.059063
10218 1 11189289 11195981 13 2 142762 -0.26832 0.60577
29914 1 11273198 11296595 34 5 142762 2.0255 0.021407
57540 1 11479238 11537583 140 15 142762 1.2069 0.11373
26232 1 11648361 11654831 18 11 142762 -1.299 0.90302
93611 1 11654375 11663327 20 7 142762 -0.69375 0.75608
26270 1 11664093 11674354 34 10 142762 -1.6822 0.95374
10459 1 11674480 11691788 63 14 142762 -1.4442 0.92566
374946 1 11686647 11720612 99 21 142762 -1.3959 0.91863
57085 1 11735474 11750771 36 8 142762 0.070732 0.47181
284498 1 11762183 11789585 144 11 142762 0.76684 0.22159
4524 1 11785730 11806103 77 11 142762 2.1446 0.015994
1185 1 11806096 11843144 184 15 142762 2.1337 0.016433
4878 1 11845709 11847783 14 4 142762 1.4234 0.077307
90231 1 11919588 11926428 20 6 142762 0.1045 0.45838
5351 1 11934667 11975542 105 11 142762 1.9651 0.024703
9927 1 11980181 12013515 85 10 142762 1.2884 0.098809
60672 1 12019242 12032049 20 5 142762 0.82963 0.20337
943 1 12063330 12144207 201 42 142762 -1.6626 0.95181
7133 1 12166949 12209222 117 16 142762 0.36415 0.35787
55187 1 12230039 12512047 341 32 142762 -0.34319 0.63427
9249 1 12567910 12618361 160 33 142762 -2.3115 0.9896
343066 1 12644547 12667086 47 6 142762 0.28524 0.38773
126767 1 12716115 12728759 43 7 142762 -1.0301 0.84851
93190 1 12746186 12761169 42 10 142762 -1.2323 0.89109
390999 1 12763223 12777906 43 9 142762 0.33849 0.3675
65121 1 12791397 12796628 14 4 142762 -0.28402 0.6118
440560 1 12824380 12831410 28 7 142762 -1.7689 0.96154
343069 1 12847377 12848756 7 3 142762 -0.84789 0.80175
65122 1 12857086 12861909 33 7 142762 -0.076456 0.53047
400735 1 12879212 12886201 36 7 142762 -0.080878 0.53223
343071 1 12892896 12898270 5 2 142762 1.1657 0.12186
441871 1 12916647 12920480 1 1 142762 0.90063 0.18389
440563 1 13115488 13116854 10 5 142762 -0.19668 0.57796
645382 1 13303516 13309027 3 1 142762 0.082895 0.46697
391004 1 13389632 13392629 6 3 142762 -0.1425 0.55666
645425 1 13410450 13421354 3 1 142762 -1.4103 0.92078
126755 1 13474977 13513781 160 36 142762 0.29265 0.38489
10630 1 13583757 13617957 97 26 142762 0.69648 0.24306
7799 1 13700240 13825079 357 28 142762 0.45958 0.32291
23254 1 13893515 15118048 4361 350 142762 -3.4731 0.99974
