GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -1.6738 0.95291
105378580 1 803398 805130 4 2 337119 -1.6257 0.94799
148398 1 925741 944581 54 17 337119 1.4751 0.070088
26155 1 944203 959299 49 8 337119 0.6421 0.2604
339451 1 959952 965720 17 4 337119 0.57762 0.28176
84069 1 966497 975108 29 13 337119 1.2689 0.10223
84808 1 975199 982117 22 6 337119 0.9849 0.16234
57801 1 998962 1001285 12 4 337119 0.32398 0.37298
9636 1 1013467 1014540 5 2 337119 1.4979 0.067081
375790 1 1020101 1056119 115 16 337119 0.2478 0.40215
105369174 1 1061207 1066390 10 5 337119 -1.2816 0.90001
105378948 1 1065635 1069326 10 3 337119 0.50085 0.30824
401934 1 1071746 1074307 6 2 337119 -0.094499 0.53764
54991 1 1081818 1116356 114 14 337119 1.2925 0.098085
254173 1 1173898 1197935 143 20 337119 2.6716 0.003775
8784 1 1203508 1206709 10 2 337119 3.1129 0.00092636
7293 1 1211326 1214638 8 3 337119 2.1973 0.013999
51150 1 1216908 1232067 93 6 337119 0.83266 0.20252
126792 1 1232249 1235041 7 2 337119 2.4859 0.0064613
388581 1 1242446 1247218 13 3 337119 0.28794 0.38669
118424 1 1253912 1273854 42 7 337119 1.5586 0.059544
6339 1 1280415 1292029 43 15 337119 2.6124 0.0044955
116983 1 1292384 1307925 43 10 337119 1.2319 0.109
126789 1 1308571 1311677 5 3 337119 1.4896 0.068164
54973 1 1311585 1324687 19 6 337119 1.1137 0.13271
80772 1 1324756 1328896 10 2 337119 0.88034 0.18934
83756 1 1328999 1335320 26 8 337119 0.38387 0.35054
1855 1 1335278 1349158 34 9 337119 1.0145 0.15517
54587 1 1352689 1363541 36 6 337119 0.88265 0.18871
54998 1 1373730 1375438 8 4 337119 0.24211 0.40435
81669 1 1385711 1399338 21 7 337119 0.95105 0.17079
55052 1 1401896 1407834 15 6 337119 0.53324 0.29693
441869 1 1418420 1421820 10 4 337119 1.6251 0.052068
643965 1 1426128 1427787 8 3 337119 1.0175 0.15445
64856 1 1435523 1442882 15 4 337119 0.89178 0.18625
219293 1 1441301 1470158 88 15 337119 -0.037818 0.51508
83858 1 1471732 1509479 90 21 337119 -0.81729 0.79312
55210 1 1512143 1534687 80 13 337119 -0.67301 0.74953
339453 1 1534778 1540360 12 7 337119 -1.6077 0.94605
29101 1 1541673 1574882 93 11 337119 -0.25447 0.60043
643988 1 1598008 1600096 2 1 337119 -1.2281 0.89029
142678 1 1614975 1630610 39 9 337119 0.88919 0.18695
984 1 1635226 1659839 33 6 337119 0.55095 0.29083
