GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 24154 0.81645 0.20712
105378580 1 803398 805130 4 2 24154 0.65369 0.25666
148398 1 925741 944581 55 17 24154 0.078332 0.46878
26155 1 944203 959299 49 8 24154 0.38046 0.3518
339451 1 959952 965720 16 3 24154 0.15737 0.43748
84069 1 966497 975108 27 12 24154 2.6798 0.0036834
84808 1 975199 982117 22 6 24154 2.1142 0.017247
57801 1 998962 1001285 12 4 24154 0.70995 0.23887
9636 1 1013467 1014540 6 2 24154 1.9801 0.023844
375790 1 1020101 1056119 110 15 24154 -0.15008 0.55965
105369174 1 1061207 1066390 10 5 24154 1.9682 0.024521
105378948 1 1065635 1069326 10 3 24154 0.65012 0.25781
401934 1 1071746 1074307 6 2 24154 -0.29014 0.61414
54991 1 1081818 1116356 113 14 24154 0.203 0.41957
254173 1 1173898 1197935 142 20 24154 0.10522 0.4581
8784 1 1203508 1206709 10 2 24154 -0.39624 0.65404
7293 1 1211326 1214638 8 3 24154 -1.1033 0.86506
51150 1 1216908 1232067 93 6 24154 -1.1458 0.87406
126792 1 1232249 1235041 7 2 24154 -0.18252 0.57241
388581 1 1242446 1247218 13 3 24154 -0.43732 0.66906
118424 1 1253912 1273854 42 7 24154 -0.43879 0.66959
6339 1 1280415 1292029 44 16 24154 -1.3467 0.91096
116983 1 1292384 1307925 44 10 24154 -0.89468 0.81452
126789 1 1308571 1311677 5 3 24154 -1.145 0.87389
54973 1 1311585 1324687 19 6 24154 -1.3468 0.91098
80772 1 1324756 1328896 10 2 24154 -0.81984 0.79385
83756 1 1328999 1335320 26 8 24154 -1.2322 0.89106
1855 1 1335278 1349158 34 9 24154 -1.2383 0.89219
54587 1 1352689 1363541 36 6 24154 -0.93943 0.82624
54998 1 1373730 1375438 8 4 24154 -1.01 0.84375
81669 1 1385711 1399338 22 7 24154 -0.7569 0.77545
55052 1 1401896 1407834 15 6 24154 -0.76385 0.77752
441869 1 1418420 1421820 10 4 24154 -1.039 0.8506
643965 1 1426128 1427787 8 3 24154 -0.076824 0.53062
64856 1 1435523 1442882 15 4 24154 -0.46356 0.67852
219293 1 1441301 1470158 88 15 24154 -0.46082 0.67754
83858 1 1471732 1509479 95 21 24154 0.088666 0.46467
55210 1 1512143 1534687 82 13 24154 -0.27764 0.60936
339453 1 1534778 1540360 12 7 24154 0.090817 0.46382
29101 1 1541673 1574882 94 11 24154 -0.79983 0.7881
643988 1 1598008 1600096 2 1 24154 0.36612 0.35714
142678 1 1614975 1630610 39 9 24154 -0.81799 0.79332
984 1 1635226 1659839 34 6 24154 1.1582 0.12339
728661 1 1660025 1692804 76 17 24154 -0.0737 0.52938
728642 1 1702730 1724352 67 5 24154 -0.95653 0.8306
9906 1 1724838 1745999 66 11 24154 0.55923 0.288
65220 1 1751232 1780514 70 10 24154 -0.088679 0.53533
2782 1 1785285 1891117 161 23 24154 -0.37479 0.64609
105378949 1 1885960 1893010 14 7 24154 -0.3481 0.63612
163688 1 1913752 1917294 13 3 24154 0.17455 0.43072
339456 1 1917589 1919301 6 3 24154 -0.46846 0.68027
85452 1 1921951 2003837 333 27 24154 0.27067 0.39332
2563 1 2019329 2030753 30 7 24154 -1.4952 0.93256
5590 1 2050470 2185395 401 31 24154 -0.64272 0.7398
100506504 1 2181811 2184360 4 2 24154 1.1074 0.13406
199990 1 2184460 2212720 52 12 24154 -0.11877 0.54727
105378592 1 2208942 2215211 19 9 24154 0.34672 0.3644
6497 1 2228695 2310213 241 46 24154 -1.159 0.87676
105378594 1 2280383 2284676 14 5 24154 -0.85095 0.8026
79906 1 2321253 2391751 301 36 24154 -0.38557 0.65009
11079 1 2391314 2405444 37 11 24154 1.0893 0.13802
5192 1 2404802 2413780 26 9 24154 1.101 0.13545
9651 1 2415782 2505530 323 48 24154 0.34664 0.36443
55229 1 2508531 2526628 40 6 24154 -0.26104 0.60297
388585 1 2528745 2530245 3 2 24154 0.96846 0.16641
8764 1 2556365 2565622 23 5 24154 -0.3107 0.62198
127281 1 2586460 2591469 11 4 24154 -0.94386 0.82738
79258 1 2590639 2633042 152 10 24154 -0.35578 0.639
100287898 1 2636988 2789665 90 13 24154 -0.59186 0.72303
140625 1 3021482 3022903 4 2 24154 -0.83171 0.79721
63976 1 3068227 3438621 1384 172 24154 -0.22986 0.5909
27237 1 3454583 3481115 92 13 24154 -1.3805 0.91629
1953 1 3487942 3624757 575 86 24154 -0.80503 0.7896
127262 1 3624992 3630131 13 5 24154 1.3941 0.08165
49856 1 3630767 3650107 33 10 24154 0.91064 0.18124
7161 1 3652565 3736201 295 54 24154 -0.67391 0.74981
148870 1 3752398 3771645 67 15 24154 -0.11695 0.54655
388588 1 3772761 3775982 12 5 24154 -2.6122 0.9955
57470 1 3780220 3796504 80 16 24154 -1.93 0.97319
9731 1 3812081 3857387 284 18 24154 -1.3906 0.91782
1677 1 3857143 3885429 163 23 24154 -1.4624 0.92819
339448 1 3889133 3900293 41 8 24154 -0.18589 0.57373
55966 1 4655045 4792534 671 82 24154 -1.0095 0.84363
261734 1 5862808 5992505 392 22 24154 -1.175 0.88001
8514 1 5992298 6101193 305 50 24154 -0.63346 0.73678
26038 1 6101787 6180134 273 33 24154 1.4005 0.080683
6146 1 6185020 6199619 35 7 24154 0.59885 0.27464
388591 1 6205775 6221299 34 5 24154 0.39462 0.34656
23463 1 6221193 6235984 28 6 24154 -0.1756 0.5697
390992 1 6244158 6245578 2 1 24154 0.25876 0.39791
387509 1 6247346 6260990 36 3 24154 -0.53985 0.70535
11332 1 6264272 6393766 411 27 24154 -1.2819 0.90005
54626 1 6415232 6424664 31 7 24154 -1.3597 0.91304
83715 1 6424776 6460944 105 12 24154 -1.8992 0.97123
8718 1 6461151 6466195 13 5 24154 0.99953 0.15877
57449 1 6466092 6520061 139 25 24154 0.069818 0.47217
79707 1 6521347 6554598 101 3 24154 0.7845 0.21637
80835 1 6555278 6579757 42 8 24154 0.27883 0.39019
3104 1 6579991 6589280 9 4 24154 0.38298 0.35087
9903 1 6590724 6602898 30 9 24154 -0.37325 0.64552
148479 1 6613696 6624033 18 4 24154 -0.59248 0.72324
90326 1 6624865 6635586 33 7 24154 -0.045703 0.51823
55735 1 6634168 6701906 145 18 24154 0.23416 0.40743
23261 1 6785324 7769706 2729 221 24154 -0.92711 0.82307
9341 1 7771269 7781432 33 9 24154 -0.74251 0.77111
8863 1 7784380 7845181 215 27 24154 -1.0972 0.86371
10911 1 7847612 7913610 303 28 24154 -0.64613 0.7409
3604 1 7915871 7943165 54 8 24154 0.235 0.4071
11315 1 7961654 7985283 49 10 24154 -1.3059 0.90421
54206 1 8011719 8026333 23 5 24154 -2.1443 0.984
50651 1 8318085 8344167 82 14 24154 0.47804 0.31631
473 1 8352404 8817691 684 31 24154 0.48899 0.31242
2023 1 8861000 8879092 25 5 24154 0.44831 0.32696
765 1 8945785 8975092 117 26 24154 -0.36322 0.64178
155184 1 8960853 9026384 219 55 24154 0.032465 0.48705
6518 1 9036943 9071704 96 14 24154 0.92104 0.17851
80045 1 9103391 9129170 61 10 24154 0.5587 0.28818
9563 1 9234776 9271337 98 19 24154 0.35577 0.361
80176 1 9292882 9369532 330 51 24154 -0.055364 0.52208
84275 1 9539469 9582773 60 9 24154 -0.8186 0.79349
199953 1 9588853 9614877 37 8 24154 -1.5526 0.93974
5293 1 9629889 9729114 200 36 24154 1.8607 0.031392
22883 1 9729021 9824526 130 17 24154 0.024252 0.49033
56998 1 9848276 9910258 74 13 24154 0.51257 0.30413
84328 1 9922110 9943402 44 10 24154 -0.018095 0.50722
64802 1 9942923 9985501 86 13 24154 -0.79078 0.78546
105376719 1 9996423 9998089 10 3 24154 0.41066 0.34066
116362 1 9997197 10016020 36 5 24154 0.18983 0.42472
10277 1 10032983 10181239 307 17 24154 0.3853 0.35001
23095 1 10210706 10381603 521 17 24154 -1.0464 0.85231
5226 1 10398992 10420511 50 8 24154 -0.19907 0.5789
378708 1 10430102 10442815 37 5 24154 0.79996 0.21187
100526739 1 10430102 10452003 56 8 24154 1.0129 0.15556
1325 1 10449719 10452003 5 2 24154 1.4927 0.067764
1676 1 10460531 10472556 18 5 24154 0.16856 0.43307
5195 1 10474946 10630758 368 29 24154 0.38403 0.35048
54897 1 10636604 10796676 436 87 24154 1.566 0.058679
148345 1 10946473 10982037 125 18 24154 -0.081635 0.53253
23435 1 11012622 11025492 22 4 24154 -0.068361 0.52725
10747 1 11026523 11047239 56 7 24154 -0.65308 0.74315
6723 1 11054592 11060034 8 3 24154 -1.9276 0.97305
5394 1 11066613 11099910 97 6 24154 -1.612 0.94651
2475 1 11106531 11262557 339 11 24154 -1.3928 0.91816
10218 1 11189289 11195981 15 3 24154 -1.159 0.87677
29914 1 11273198 11296595 35 6 24154 -1.5157 0.9352
57540 1 11479238 11537583 150 16 24154 0.81514 0.20749
26232 1 11648361 11654831 22 12 24154 1.416 0.078389
93611 1 11654375 11663327 24 8 24154 1.3739 0.084742
26270 1 11664093 11674354 34 10 24154 -0.22914 0.59062
10459 1 11674480 11691788 65 14 24154 1.7643 0.038839
374946 1 11686647 11720612 104 22 24154 0.11348 0.45482
57085 1 11735474 11750771 38 9 24154 -1.3431 0.91038
284498 1 11762183 11789585 149 11 24154 -1.1521 0.87537
4524 1 11785730 11806103 78 11 24154 -1.0708 0.85788
1185 1 11806096 11843144 194 15 24154 -0.81775 0.79325
4878 1 11845709 11847783 15 4 24154 -2.2704 0.98841
90231 1 11919588 11926428 21 7 24154 -0.95187 0.82942
5351 1 11934667 11975542 106 11 24154 -0.41796 0.66201
9927 1 11980181 12013515 90 10 24154 -0.92346 0.82212
60672 1 12019242 12032049 22 5 24154 0.46385 0.32138
943 1 12063330 12144207 206 43 24154 0.86 0.19489
7133 1 12166949 12209222 121 17 24154 1.3589 0.087096
55187 1 12230039 12512047 362 33 24154 2.1987 0.013948
9249 1 12567910 12618361 169 35 24154 -0.050096 0.51998
343066 1 12644547 12667086 51 6 24154 -1.1213 0.86893
126767 1 12716115 12728759 43 7 24154 -0.63174 0.73622
93190 1 12746186 12761169 45 10 24154 -0.7344 0.76865
390999 1 12763223 12777906 44 9 24154 0.29048 0.38572
65121 1 12791397 12796628 14 4 24154 -0.13221 0.55259
440560 1 12824380 12831410 28 7 24154 0.57761 0.28176
343069 1 12847377 12848756 8 3 24154 -0.20179 0.57996
65122 1 12857086 12861909 37 6 24154 0.32379 0.37305
