GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 253288 -2.1761 0.98522
105378580 1 803398 805130 4 2 253288 -0.82575 0.79553
148398 1 925741 944581 51 16 253288 -1.788 0.96311
26155 1 944203 959299 41 9 253288 -1.737 0.9588
339451 1 959952 965720 15 3 253288 -1.268 0.89761
84069 1 966497 975108 24 10 253288 -1.8767 0.96972
84808 1 975199 982117 20 5 253288 -0.94995 0.82893
57801 1 998962 1001285 11 3 253288 -0.79763 0.78746
9636 1 1013467 1014540 2 1 253288 0.03417 0.48637
375790 1 1020101 1056119 105 15 253288 -0.077274 0.5308
105369174 1 1061207 1066390 10 5 253288 0.99136 0.16075
105378948 1 1065635 1069326 8 3 253288 1.5771 0.057391
401934 1 1071746 1074307 5 2 253288 1.4327 0.075972
54991 1 1081818 1116356 110 14 253288 0.77327 0.21968
254173 1 1173898 1197935 137 20 253288 -0.87908 0.81032
8784 1 1203508 1206709 10 2 253288 -0.75422 0.77464
7293 1 1211326 1214638 8 3 253288 -0.075675 0.53016
51150 1 1216908 1232067 86 5 253288 0.76923 0.22088
126792 1 1232249 1235041 6 2 253288 -0.12689 0.55049
388581 1 1242446 1247218 13 3 253288 -1.9335 0.97341
118424 1 1253912 1273854 40 7 253288 1.0709 0.1421
6339 1 1280415 1292029 40 14 253288 1.9743 0.024176
116983 1 1292384 1307925 42 10 253288 3.6632 0.00012456
126789 1 1308571 1311677 4 2 253288 2.6784 0.0036988
54973 1 1311585 1324687 17 6 253288 3.5172 0.00021807
80772 1 1324756 1328896 10 2 253288 3.5759 0.00017449
83756 1 1328999 1335320 21 7 253288 3.3849 0.00035601
1855 1 1335278 1349158 29 8 253288 3.3259 0.00044068
54587 1 1352689 1363541 30 5 253288 3.8986 4.8376e-05
54998 1 1373730 1375438 8 4 253288 1.8538 0.031883
81669 1 1385711 1399338 21 7 253288 2.479 0.006587
55052 1 1401896 1407834 15 6 253288 2.6672 0.0038245
441869 1 1418420 1421820 10 4 253288 2.8624 0.0021021
643965 1 1426128 1427787 8 3 253288 1.0977 0.13617
64856 1 1435523 1442882 14 4 253288 1.222 0.11086
219293 1 1441301 1470158 85 14 253288 1.8065 0.03542
83858 1 1471732 1509479 89 21 253288 2.3755 0.0087629
55210 1 1512143 1534687 78 13 253288 2.8739 0.0020271
339453 1 1534778 1540360 12 7 253288 -0.080679 0.53215
29101 1 1541673 1574882 91 11 253288 0.76515 0.22209
643988 1 1598008 1600096 2 1 253288 -0.40568 0.65751
142678 1 1614975 1630610 36 8 253288 -1.3709 0.91479
984 1 1635226 1659839 33 6 253288 -2.3463 0.99052
728661 1 1660025 1692804 73 17 253288 -2.8314 0.99768
728642 1 1702730 1724352 67 5 253288 -1.4003 0.91928
9906 1 1724838 1745999 62 11 253288 -0.36562 0.64268
65220 1 1751232 1780514 63 9 253288 0.12928 0.44857
2782 1 1785285 1891117 154 23 253288 -0.90981 0.81854
105378949 1 1885960 1893010 14 7 253288 -0.88131 0.81092
163688 1 1913752 1917294 13 3 253288 0.49619 0.30988
339456 1 1917589 1919301 5 2 253288 -0.63255 0.73649
85452 1 1921951 2003837 312 26 253288 0.18539 0.42646
2563 1 2019329 2030753 27 6 253288 1.5687 0.058358
5590 1 2050470 2185395 379 30 253288 7.4953 3.308e-14
100506504 1 2181811 2184360 4 2 253288 6.756 7.0929e-12
199990 1 2184460 2212720 46 10 253288 7.0723 7.6213e-13
105378592 1 2208942 2215211 17 8 253288 7.3287 1.1623e-13
6497 1 2228695 2310213 231 45 253288 7.7661 4.0479e-15
105378594 1 2280383 2284676 13 5 253288 1.9442 0.025936
79906 1 2321253 2391751 282 34 253288 4.5762 2.3679e-06
11079 1 2391314 2405444 34 11 253288 1.8993 0.028759
5192 1 2404802 2413780 22 8 253288 1.8724 0.030579
9651 1 2415782 2505530 306 48 253288 -0.087235 0.53476
55229 1 2508531 2526628 39 6 253288 0.52513 0.29975
388585 1 2528745 2530245 3 2 253288 0.32019 0.37441
8764 1 2556365 2565622 19 6 253288 1.3119 0.094777
127281 1 2586460 2591469 9 3 253288 0.2266 0.41037
79258 1 2590639 2633042 146 10 253288 0.56397 0.28639
100287898 1 2636988 2789665 85 13 253288 0.16084 0.43611
140625 1 3021482 3022903 4 2 253288 0.99372 0.16018
63976 1 3068227 3438621 1321 167 253288 5.2535 7.4615e-08
27237 1 3454583 3481115 87 12 253288 -1.4225 0.92256
1953 1 3487942 3624757 543 86 253288 2.3044 0.0106
127262 1 3624992 3630131 12 4 253288 0.67634 0.24941
49856 1 3630767 3650107 31 10 253288 0.57633 0.2822
7161 1 3652565 3736201 279 53 253288 -0.24429 0.5965
148870 1 3752398 3771645 60 14 253288 0.37261 0.35472
388588 1 3772761 3775982 11 5 253288 2.0948 0.018096
57470 1 3780220 3796504 80 16 253288 1.6628 0.048177
9731 1 3812081 3857387 276 16 253288 2.4686 0.0067825
1677 1 3857143 3885429 157 22 253288 1.4754 0.07005
339448 1 3889133 3900293 41 8 253288 -0.093253 0.53715
55966 1 4655045 4792534 648 84 253288 2.1969 0.014014
261734 1 5862808 5992505 377 21 253288 -1.2208 0.88892
8514 1 5992298 6101193 294 46 253288 -0.045507 0.51815
26038 1 6101787 6180134 265 32 253288 0.82499 0.20469
6146 1 6185020 6199619 35 7 253288 -0.83914 0.7993
388591 1 6205775 6221299 32 5 253288 -0.63514 0.73733
23463 1 6221193 6235984 27 6 253288 -1.0078 0.84322
390992 1 6244158 6245578 2 1 253288 0.9569 0.16931
387509 1 6247346 6260990 35 3 253288 0.9284 0.1766
11332 1 6264272 6393766 393 26 253288 0.63976 0.26116
54626 1 6415232 6424664 28 6 253288 0.27719 0.39082
83715 1 6424776 6460944 100 12 253288 -0.47206 0.68156
8718 1 6461151 6466195 13 5 253288 0.2548 0.39944
57449 1 6466092 6520061 131 24 253288 1.8061 0.03545
79707 1 6521347 6554598 97 3 253288 2.3254 0.010025
80835 1 6555278 6579757 38 8 253288 3.0304 0.0012214
3104 1 6579991 6589280 8 4 253288 1.4825 0.069098
9903 1 6590724 6602898 26 8 253288 2.2731 0.011511
148479 1 6613696 6624033 16 4 253288 2.4428 0.0072862
90326 1 6624865 6635586 31 6 253288 1.5989 0.054918
55735 1 6634168 6701906 139 17 253288 2.0275 0.021304
23261 1 6785324 7769706 2656 223 253288 0.79481 0.21336
9341 1 7771269 7781432 31 9 253288 2.972 0.0014793
8863 1 7784380 7845181 204 27 253288 2.5444 0.0054725
10911 1 7847612 7913610 290 28 253288 4.8436 6.3743e-07
3604 1 7915871 7943165 52 8 253288 2.2679 0.011669
11315 1 7961654 7985283 48 10 253288 3.9832 3.3998e-05
54206 1 8011719 8026333 23 5 253288 4.1941 1.3699e-05
50651 1 8318085 8344167 82 14 253288 0.86314 0.19403
473 1 8352404 8817691 668 29 253288 -0.1194 0.54752
2023 1 8861000 8879092 25 5 253288 -0.083921 0.53344
765 1 8945785 8975092 115 25 253288 0.46281 0.32175
155184 1 8960853 9026384 214 54 253288 0.56393 0.2864
6518 1 9036943 9071704 91 14 253288 -1.7263 0.95785
80045 1 9103391 9129170 60 10 253288 -0.07143 0.52847
9563 1 9234776 9271337 94 18 253288 7.2183 2.6323e-13
80176 1 9292882 9369532 319 50 253288 0.71686 0.23673
84275 1 9539469 9582773 58 9 253288 0.8836 0.18846
199953 1 9588853 9614877 33 7 253288 0.82002 0.2061
5293 1 9629889 9729114 196 36 253288 -0.86995 0.80784
22883 1 9729021 9824526 125 17 253288 -1.4661 0.92869
56998 1 9848276 9910258 71 13 253288 -1.8091 0.96478
84328 1 9922110 9943402 41 11 253288 1.0112 0.15597
64802 1 9942923 9985501 82 12 253288 0.43774 0.33079
105376719 1 9996423 9998089 10 3 253288 -0.55928 0.71201
116362 1 9997197 10016020 35 5 253288 -0.17873 0.57092
10277 1 10032983 10181239 286 18 253288 1.3858 0.082904
23095 1 10210706 10381603 511 16 253288 1.8152 0.034745
5226 1 10398992 10420511 46 8 253288 1.4254 0.077016
378708 1 10430102 10442815 37 5 253288 0.090584 0.46391
100526739 1 10430102 10452003 56 8 253288 0.30493 0.38021
1325 1 10449719 10452003 5 2 253288 0.48223 0.31482
1676 1 10460531 10472556 18 5 253288 0.81661 0.20708
5195 1 10474946 10630758 360 27 253288 1.4599 0.072156
54897 1 10636604 10796676 417 86 253288 -0.28389 0.61175
148345 1 10946473 10982037 121 17 253288 -0.0094951 0.50379
23435 1 11012622 11025492 22 4 253288 4.1362 1.7655e-05
10747 1 11026523 11047239 54 7 253288 4.6702 1.5044e-06
6723 1 11054592 11060034 7 2 253288 3.6385 0.00013711
5394 1 11066613 11099910 95 6 253288 3.6765 0.00011823
2475 1 11106531 11262557 326 12 253288 4.9159 4.4198e-07
10218 1 11189289 11195981 13 2 253288 1.0161 0.15479
29914 1 11273198 11296595 34 5 253288 3.0383 0.0011896
57540 1 11479238 11537583 140 15 253288 0.15633 0.43788
26232 1 11648361 11654831 18 11 253288 -1.3313 0.90846
93611 1 11654375 11663327 20 7 253288 -0.15858 0.563
26270 1 11664093 11674354 34 10 253288 -0.45094 0.67398
10459 1 11674480 11691788 63 14 253288 -0.56503 0.71397
374946 1 11686647 11720612 99 21 253288 0.14352 0.44294
57085 1 11735474 11750771 36 8 253288 -1.5194 0.93567
284498 1 11762183 11789585 144 11 253288 -2.0693 0.98074
4524 1 11785730 11806103 77 11 253288 -0.52713 0.70095
1185 1 11806096 11843144 184 15 253288 -0.30186 0.61862
4878 1 11845709 11847783 14 4 253288 0.30938 0.37852
90231 1 11919588 11926428 20 6 253288 -1.5214 0.93592
5351 1 11934667 11975542 105 11 253288 -0.063213 0.5252
9927 1 11980181 12013515 85 10 253288 0.02521 0.48994
60672 1 12019242 12032049 20 5 253288 -0.039532 0.51577
943 1 12063330 12144207 201 42 253288 -1.6861 0.95411
7133 1 12166949 12209222 117 16 253288 2.0117 0.022128
