GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 6974 -3.3102 0.99953
105378580 1 803398 805130 4 2 6974 -1.9155 0.97229
148398 1 925741 944581 51 16 6974 -5.0279 1
26155 1 944203 959299 41 9 6974 -3.192 0.99929
339451 1 959952 965720 15 3 6974 -2.4399 0.99266
84069 1 966497 975108 24 10 6974 -3.8967 0.99995
84808 1 975199 982117 20 5 6974 -2.6119 0.9955
57801 1 998962 1001285 11 3 6974 -2.5445 0.99453
9636 1 1013467 1014540 2 1 6974 -0.68934 0.7547
375790 1 1020101 1056119 105 15 6974 -3.0602 0.99889
105369174 1 1061207 1066390 10 5 6974 -2.2387 0.98741
105378948 1 1065635 1069326 8 3 6974 -1.4832 0.93099
401934 1 1071746 1074307 5 2 6974 -0.72783 0.76664
54991 1 1081818 1116356 110 14 6974 -0.67632 0.75058
254173 1 1173898 1197935 137 20 6974 0.60015 0.2742
8784 1 1203508 1206709 10 2 6974 0.53335 0.2969
7293 1 1211326 1214638 8 3 6974 -0.086329 0.5344
51150 1 1216908 1232067 86 5 6974 -0.89521 0.81466
126792 1 1232249 1235041 6 2 6974 0.79751 0.21258
388581 1 1242446 1247218 13 3 6974 0.11421 0.45454
118424 1 1253912 1273854 40 7 6974 0.99519 0.15982
6339 1 1280415 1292029 40 14 6974 -0.92282 0.82195
116983 1 1292384 1307925 42 10 6974 0.15157 0.43976
126789 1 1308571 1311677 4 2 6974 0.077913 0.46895
54973 1 1311585 1324687 17 6 6974 0.46375 0.32141
80772 1 1324756 1328896 10 2 6974 0.91155 0.181
83756 1 1328999 1335320 21 7 6974 0.42282 0.33621
1855 1 1335278 1349158 29 8 6974 0.11195 0.45543
54587 1 1352689 1363541 30 5 6974 0.68185 0.24767
54998 1 1373730 1375438 8 4 6974 0.26963 0.39372
81669 1 1385711 1399338 21 7 6974 0.56196 0.28707
55052 1 1401896 1407834 15 6 6974 0.58875 0.27802
441869 1 1418420 1421820 10 4 6974 0.47336 0.31798
643965 1 1426128 1427787 8 3 6974 0.55699 0.28877
64856 1 1435523 1442882 14 4 6974 0.75861 0.22404
219293 1 1441301 1470158 85 14 6974 0.49598 0.30995
83858 1 1471732 1509479 89 21 6974 -0.79833 0.78766
55210 1 1512143 1534687 78 13 6974 -0.58764 0.72161
339453 1 1534778 1540360 12 7 6974 -1.2373 0.89201
29101 1 1541673 1574882 91 11 6974 -0.13225 0.55261
643988 1 1598008 1600096 2 1 6974 -1.1326 0.8713
142678 1 1614975 1630610 36 8 6974 -1.7212 0.9574
984 1 1635226 1659839 33 6 6974 -2.1938 0.98587
728661 1 1660025 1692804 73 17 6974 -2.2529 0.98787
728642 1 1702730 1724352 67 5 6974 -1.8473 0.96765
9906 1 1724838 1745999 62 11 6974 -0.41408 0.66059
65220 1 1751232 1780514 63 9 6974 0.60907 0.27124
2782 1 1785285 1891117 153 23 6974 -0.32569 0.62767
105378949 1 1885960 1893010 13 7 6974 -1.0467 0.85239
163688 1 1913752 1917294 13 3 6974 0.45045 0.32619
339456 1 1917589 1919301 5 2 6974 -0.046764 0.51865
85452 1 1921951 2003837 312 26 6974 -1.1969 0.88432
2563 1 2019329 2030753 27 6 6974 -1.5714 0.94195
5590 1 2050470 2185395 379 30 6974 0.84149 0.20004
100506504 1 2181811 2184360 4 2 6974 0.88073 0.18923
199990 1 2184460 2212720 46 10 6974 1.0751 0.14116
105378592 1 2208942 2215211 17 8 6974 0.6345 0.26288
6497 1 2228695 2310213 231 45 6974 0.0043876 0.49825
105378594 1 2280383 2284676 13 5 6974 -0.8633 0.80601
79906 1 2321253 2391751 282 34 6974 -0.12988 0.55167
11079 1 2391314 2405444 34 11 6974 -1.0838 0.86078
5192 1 2404802 2413780 22 8 6974 0.011458 0.49543
9651 1 2415782 2505530 306 48 6974 -1.8187 0.96552
55229 1 2508531 2526628 39 6 6974 0.17326 0.43122
388585 1 2528745 2530245 3 2 6974 -2.3414 0.99039
8764 1 2556365 2565622 19 6 6974 -1.6798 0.9535
