GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 53293 0.057995 0.47688
105378580 1 803398 805130 4 2 53293 0.62037 0.26751
148398 1 925741 944581 52 17 53293 -1.7846 0.96284
26155 1 944203 959299 48 8 53293 -1.1643 0.87786
339451 1 959952 965720 16 3 53293 -0.73226 0.768
84069 1 966497 975108 25 11 53293 -0.85712 0.80431
84808 1 975199 982117 21 5 53293 1.4556 0.072747
57801 1 998962 1001285 12 4 53293 2.2496 0.012237
9636 1 1013467 1014540 3 1 53293 1.0405 0.14905
375790 1 1020101 1056119 104 15 53293 -0.76392 0.77754
105369174 1 1061207 1066390 10 5 53293 -0.47978 0.68431
105378948 1 1065635 1069326 8 3 53293 -1.0092 0.84357
401934 1 1071746 1074307 5 2 53293 -0.33931 0.63281
54991 1 1081818 1116356 112 14 53293 0.67582 0.24958
254173 1 1173898 1197935 138 20 53293 -1.7655 0.96126
8784 1 1203508 1206709 10 2 53293 -0.37727 0.64701
7293 1 1211326 1214638 8 3 53293 -1.4462 0.92594
51150 1 1216908 1232067 89 5 53293 -0.32404 0.62704
126792 1 1232249 1235041 6 2 53293 -1.3948 0.91846
388581 1 1242446 1247218 13 3 53293 -0.72738 0.7665
118424 1 1253912 1273854 39 7 53293 -1.0833 0.86067
6339 1 1280415 1292029 40 15 53293 -1.341 0.91003
116983 1 1292384 1307925 39 10 53293 -0.057777 0.52304
126789 1 1308571 1311677 4 2 53293 -1.4124 0.92108
54973 1 1311585 1324687 18 6 53293 -0.48739 0.68701
80772 1 1324756 1328896 10 2 53293 0.37124 0.35523
83756 1 1328999 1335320 23 7 53293 -0.30461 0.61967
1855 1 1335278 1349158 32 8 53293 -0.18966 0.57521
54587 1 1352689 1363541 33 5 53293 0.45962 0.32289
54998 1 1373730 1375438 8 4 53293 -0.99046 0.83903
81669 1 1385711 1399338 20 7 53293 0.040802 0.48373
55052 1 1401896 1407834 15 6 53293 0.6349 0.26275
441869 1 1418420 1421820 10 4 53293 -0.039627 0.5158
643965 1 1426128 1427787 8 3 53293 -1.1246 0.86962
64856 1 1435523 1442882 14 4 53293 -1.7974 0.96386
219293 1 1441301 1470158 85 14 53293 -1.0409 0.85103
83858 1 1471732 1509479 87 21 53293 0.19189 0.42391
55210 1 1512143 1534687 78 13 53293 -0.74699 0.77247
