GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 80799 -0.75731 0.77557
105378580 1 803398 805130 4 2 80799 1.5159 0.064771
148398 1 925741 944581 51 16 80799 -0.75996 0.77636
26155 1 944203 959299 41 9 80799 -0.66912 0.74829
339451 1 959952 965720 15 3 80799 0.14555 0.44214
84069 1 966497 975108 24 10 80799 -0.6248 0.73395
84808 1 975199 982117 20 5 80799 -0.19143 0.57591
57801 1 998962 1001285 10 3 80799 -1.3232 0.90712
9636 1 1013467 1014540 5 2 80799 -0.1393 0.55539
375790 1 1020101 1056119 105 15 80799 -1.1404 0.87295
105369174 1 1061207 1066390 10 5 80799 -0.75963 0.77626
105378948 1 1065635 1069326 9 3 80799 1.0648 0.14349
401934 1 1071746 1074307 6 2 80799 1.9492 0.025634
54991 1 1081818 1116356 106 14 80799 1.0428 0.14853
254173 1 1173898 1197935 133 19 80799 0.65444 0.25641
8784 1 1203508 1206709 10 2 80799 2.4397 0.0073489
7293 1 1211326 1214638 8 3 80799 0.30949 0.37847
51150 1 1216908 1232067 46 6 80799 0.49204 0.31135
126792 1 1232249 1235041 6 1 80799 0.46151 0.32222
388581 1 1242446 1247218 7 3 80799 -0.037822 0.51509
118424 1 1253912 1273854 32 7 80799 3.2132 0.0006564
6339 1 1280415 1292029 37 14 80799 1.9227 0.027261
116983 1 1292384 1307925 37 9 80799 -0.62068 0.7326
126789 1 1308571 1311677 3 2 80799 0.43788 0.33074
54973 1 1311585 1324687 19 6 80799 0.10097 0.45979
80772 1 1324756 1328896 10 2 80799 -0.84004 0.79956
83756 1 1328999 1335320 21 7 80799 0.67674 0.24928
1855 1 1335278 1349158 25 7 80799 0.075136 0.47005
54587 1 1352689 1363541 28 5 80799 -0.46982 0.68076
54998 1 1373730 1375438 7 4 80799 0.96881 0.16632
81669 1 1385711 1399338 19 7 80799 -0.7065 0.76006
55052 1 1401896 1407834 14 6 80799 0.82909 0.20353
441869 1 1418420 1421820 10 4 80799 0.65367 0.25666
643965 1 1426128 1427787 8 3 80799 0.28294 0.38861
64856 1 1435523 1442882 14 4 80799 -1.3093 0.90479
219293 1 1441301 1470158 85 14 80799 -1.6705 0.95259
83858 1 1471732 1509479 83 20 80799 -1.0792 0.85976
55210 1 1512143 1534687 62 12 80799 -1.2374 0.89203
339453 1 1534778 1540360 10 5 80799 -0.32382 0.62696
29101 1 1541673 1574882 73 8 80799 -2.0657 0.98057
643988 1 1598008 1600096 2 1 80799 -1.2695 0.89787
142678 1 1614975 1630610 36 8 80799 -1.3911 0.9179
984 1 1635226 1659839 33 6 80799 -0.74656 0.77233
728661 1 1660025 1692804 74 16 80799 0.0023601 0.49906
728642 1 1702730 1724352 67 5 80799 1.6176 0.052872
9906 1 1724838 1745999 58 11 80799 1.2692 0.10218
65220 1 1751232 1780514 61 8 80799 1.1593 0.12316
2782 1 1785285 1891117 156 22 80799 1.4775 0.069765
105378949 1 1885960 1893010 14 7 80799 0.77149 0.22021
163688 1 1913752 1917294 13 3 80799 1.2741 0.10131
339456 1 1917589 1919301 6 3 80799 1.2441 0.10672
85452 1 1921951 2003837 316 27 80799 0.63077 0.2641
2563 1 2019329 2030753 28 6 80799 0.38683 0.34944
5590 1 2050470 2185395 372 29 80799 0.49778 0.30932
100506504 1 2181811 2184360 3 2 80799 0.17867 0.4291
199990 1 2184460 2212720 39 8 80799 1.3963 0.08131
105378592 1 2208942 2215211 12 5 80799 1.3521 0.08817
6497 1 2228695 2310213 213 42 80799 1.1247 0.13036
105378594 1 2280383 2284676 13 5 80799 -0.72698 0.76638
79906 1 2321253 2391751 246 37 80799 -0.57407 0.71704
11079 1 2391314 2405444 32 9 80799 -0.73478 0.76876
5192 1 2404802 2413780 25 8 80799 -0.45956 0.67708
9651 1 2415782 2505530 281 41 80799 0.33998 0.36693
55229 1 2508531 2526628 34 4 80799 3.0808 0.0010323
388585 1 2528745 2530245 1 1 80799 1.9268 0.027
8764 1 2556365 2565622 22 5 80799 4.4834 3.6735e-06
127281 1 2586460 2591469 8 3 80799 7.0641 8.0839e-13
79258 1 2590639 2633042 115 6 80799 6.5617 2.659e-11
100287898 1 2636988 2789665 55 13 80799 5.6401 8.4967e-09
140625 1 3021482 3022903 4 2 80799 -1.6181 0.94717
63976 1 3068227 3438621 1206 164 80799 -1.2011 0.88515
27237 1 3454583 3481115 87 12 80799 -1.142 0.87328
1953 1 3487942 3624757 479 82 80799 0.11429 0.4545
127262 1 3624992 3630131 11 4 80799 1.8994 0.028754
49856 1 3630767 3650107 25 8 80799 1.1535 0.12435
7161 1 3652565 3736201 268 48 80799 -0.025829 0.5103
148870 1 3752398 3771645 58 13 80799 -0.32176 0.62618
388588 1 3772761 3775982 12 5 80799 1.7798 0.037553
57470 1 3780220 3796504 70 16 80799 0.54932 0.29139
9731 1 3812081 3857387 246 18 80799 1.655 0.048966
1677 1 3857143 3885429 145 20 80799 2.2188 0.01325
339448 1 3889133 3900293 38 8 80799 0.98379 0.16261
55966 1 4655045 4792534 529 75 80799 1.5663 0.058633
261734 1 5862808 5992505 343 17 80799 0.0092372 0.49631
8514 1 5992298 6101193 272 41 80799 -1.846 0.96756
26038 1 6101787 6180134 249 36 80799 -0.32366 0.6269
6146 1 6185020 6199619 25 6 80799 -0.81243 0.79173
388591 1 6205775 6221299 29 5 80799 0.44813 0.32703
23463 1 6221193 6235984 24 6 80799 -0.74509 0.77189
390992 1 6244158 6245578 2 1 80799 1.0666 0.14308
387509 1 6247346 6260990 35 2 80799 0.95557 0.16964
11332 1 6264272 6393766 348 22 80799 -1.2359 0.89174
54626 1 6415232 6424664 23 6 80799 -1.1307 0.87091
83715 1 6424776 6460944 67 11 80799 -0.56148 0.71276
8718 1 6461151 6466195 13 5 80799 -0.21184 0.58388
57449 1 6466092 6520061 116 21 80799 -1.2564 0.89551
79707 1 6521347 6554598 96 2 80799 -0.68091 0.75204
80835 1 6555278 6579757 36 7 80799 -0.050402 0.5201
3104 1 6579991 6589280 6 3 80799 0.98642 0.16196
9903 1 6590724 6602898 23 6 80799 1.0129 0.15555
148479 1 6613696 6624033 13 2 80799 1.2058 0.11394
90326 1 6624865 6635586 29 6 80799 1.469 0.070911
55735 1 6634168 6701906 118 12 80799 1.2762 0.10094
23261 1 6785324 7769706 2281 188 80799 0.49644 0.30979
9341 1 7771269 7781432 29 7 80799 3.1461 0.00082736
8863 1 7784380 7845181 193 24 80799 2.085 0.018533
10911 1 7847612 7913610 258 24 80799 3.6338 0.00013965
3604 1 7915871 7943165 49 6 80799 1.2021 0.11466
11315 1 7961654 7985283 42 8 80799 1.7199 0.042722
54206 1 8011719 8026333 22 5 80799 2.4686 0.0067826
50651 1 8318085 8344167 73 12 80799 -0.37593 0.64651
473 1 8352404 8817691 539 19 80799 0.74083 0.2294
2023 1 8861000 8879092 23 4 80799 0.78116 0.21735
765 1 8945785 8975092 87 19 80799 -1.6432 0.94982
155184 1 8960853 9026384 179 44 80799 0.22371 0.41149
6518 1 9036943 9071704 76 12 80799 -1.2892 0.90133
80045 1 9103391 9129170 57 9 80799 -0.8522 0.80295
9563 1 9234776 9271337 81 14 80799 0.5827 0.28005
80176 1 9292882 9369532 285 43 80799 -1.7468 0.95967
84275 1 9539469 9582773 47 7 80799 -0.3032 0.61913
199953 1 9588853 9614877 32 6 80799 0.11751 0.45323
5293 1 9629889 9729114 175 31 80799 0.51359 0.30377
22883 1 9729021 9824526 103 13 80799 1.2879 0.098896
56998 1 9848276 9910258 56 8 80799 -0.8657 0.80667
84328 1 9922110 9943402 35 7 80799 -0.30743 0.62074
64802 1 9942923 9985501 50 7 80799 -0.72321 0.76522
105376719 1 9996423 9998089 9 3 80799 -0.2848 0.6121
116362 1 9997197 10016020 22 4 80799 -0.0013668 0.50055
10277 1 10032983 10181239 177 27 80799 -0.8635 0.80607
23095 1 10210706 10381603 342 14 80799 -0.51278 0.69595
5226 1 10398992 10420511 41 6 80799 -0.78983 0.78519
378708 1 10430102 10442815 35 5 80799 -0.82909 0.79647
100526739 1 10430102 10452003 52 7 80799 -0.59284 0.72335
1325 1 10449719 10452003 5 2 80799 0.24964 0.40143
1676 1 10460531 10472556 17 4 80799 -0.21102 0.58356
5195 1 10474946 10630758 337 24 80799 -0.045277 0.51806
54897 1 10636604 10796676 366 76 80799 -0.78513 0.78381
148345 1 10946473 10982037 113 17 80799 -0.58413 0.72043
23435 1 11012622 11025492 19 3 80799 -0.51593 0.69705
10747 1 11026523 11047239 48 6 80799 -0.28402 0.6118
6723 1 11054592 11060034 6 2 80799 -1.9667 0.97539
5394 1 11066613 11099910 83 6 80799 -1.2163 0.88807
2475 1 11106531 11262557 301 11 80799 -0.72985 0.76726
10218 1 11189289 11195981 14 2 80799 -0.36896 0.64392
29914 1 11273198 11296595 30 6 80799 -0.92508 0.82254
57540 1 11479238 11537583 138 14 80799 0.093217 0.46287
26232 1 11648361 11654831 18 10 80799 0.6704 0.2513
93611 1 11654375 11663327 18 7 80799 -0.82535 0.79541
26270 1 11664093 11674354 27 7 80799 -0.17892 0.571
10459 1 11674480 11691788 61 13 80799 -0.58467 0.72062
374946 1 11686647 11720612 95 19 80799 -0.39149 0.65228
57085 1 11735474 11750771 37 8 80799 -0.63507 0.73731
284498 1 11762183 11789585 136 10 80799 -0.051786 0.52065
4524 1 11785730 11806103 73 11 80799 1.2995 0.096891
1185 1 11806096 11843144 136 12 80799 1.5602 0.059359
4878 1 11845709 11847783 14 4 80799 1.3269 0.092275
90231 1 11919588 11926428 16 5 80799 1.4577 0.072459
5351 1 11934667 11975542 84 10 80799 3.4483 0.00028206
9927 1 11980181 12013515 63 7 80799 3.3094 0.00046754
60672 1 12019242 12032049 19 4 80799 -0.20286 0.58038
943 1 12063330 12144207 196 42 80799 2.5289 0.0057216
7133 1 12166949 12209222 115 16 80799 1.6759 0.046877
55187 1 12230039 12512047 246 34 80799 0.99984 0.15869
9249 1 12567910 12618361 138 29 80799 1.2874 0.098969
343066 1 12644547 12667086 47 6 80799 -0.32597 0.62778
126767 1 12716115 12728759 38 6 80799 0.0052343 0.49791
93190 1 12746186 12761169 40 9 80799 0.1419 0.44358
390999 1 12763223 12777906 39 8 80799 1.4037 0.080209
65121 1 12791397 12796628 14 4 80799 1.901 0.028649
440560 1 12824380 12831410 26 7 80799 -0.64817 0.74156
343069 1 12847377 12848756 7 3 80799 -1.076 0.85904
65122 1 12857086 12861909 33 7 80799 -0.93688 0.82559
400735 1 12879212 12886201 36 7 80799 -0.54346 0.70659
343071 1 12892896 12898270 5 2 80799 -0.57617 0.71775
441871 1 12916647 12920480 1 1 80799 -0.58851 0.7219
440563 1 13115488 13116854 10 5 80799 0.36418 0.35786
645382 1 13303516 13309027 3 1 80799 -0.16623 0.56601
391004 1 13389632 13392629 6 3 80799 0.54124 0.29417
645425 1 13410450 13421354 3 1 80799 1.0242 0.15288
126755 1 13474977 13513781 146 33 80799 -0.072333 0.52883
10630 1 13583757 13617957 93 24 80799 0.60298 0.27326
7799 1 13700240 13825079 257 28 80799 0.20192 0.41999
23254 1 13893515 15118048 3786 324 80799 -0.14126 0.55617
55092 1 15152532 15220478 322 24 80799 -0.74899 0.77307
727684 1 15164196 15171624 25 6 80799 0.5011 0.30815
114827 1 15236602 15400283 450 56 80799 -1.31 0.90491
79180 1 15409895 15430343 44 13 80799 -0.18617 0.57385
11330 1 15438442 15449247 17 6 80799 -1.705 0.9559
63036 1 15456728 15472091 53 8 80799 0.023134 0.49077
51032 1 15476101 15491400 36 6 80799 -0.71745 0.76345
842 1 15491401 15526529 121 7 80799 -0.14053 0.55588
23341 1 15526813 15571733 92 9 80799 -0.57159 0.7162
79814 1 15571699 15585110 49 5 80799 -0.51848 0.69794
84301 1 15617458 15661057 70 4 80799 0.9931 0.16033
6248 1 15659869 15661722 3 2 80799 1.8149 0.034771
23207 1 15684267 15734769 125 10 80799 2.1082 0.017507
284723 1 15735088 15741392 11 3 80799 2.7207 0.0032576
388595 1 15742492 15747797 8 2 80799 -0.40568 0.65751
54751 1 15756171 15786589 53 8 80799 -0.36596 0.6428
440567 1 15807162 15807699 4 1 80799 0.64575 0.25922
23013 1 15847864 15940455 127 16 80799 -1.1806 0.88111
7709 1 15941869 15976132 54 13 80799 -1.6564 0.95118
101928566 1 15976131 15997206 74 11 80799 -1.6776 0.95329
149563 1 16004236 16006695 11 3 80799 -1.2508 0.8945
27129 1 16014028 16018796 38 4 80799 -0.20481 0.58114
1187 1 16021991 16034050 54 9 80799 0.049134 0.48041
1188 1 16043736 16057326 106 12 80799 0.095356 0.46202
348487 1 16057769 16073632 57 10 80799 0.035269 0.48593
1969 1 16124337 16156087 54 12 80799 0.78748 0.2155
128272 1 16197856 16212671 42 5 80799 0.72228 0.23506
101927546 1 16215907 16227036 24 4 80799 1.141 0.12694
79363 1 16231687 16237452 10 3 80799 0.30006 0.38207
54455 1 16246840 16352491 197 12 80799 0.89544 0.18528
26099 1 16367030 16398148 43 5 80799 0.55049 0.29099
374955 1 16387117 16437842 98 18 80799 -0.040056 0.51598
55707 1 16440672 16460090 30 7 80799 0.17669 0.42987
102724970 1 16535773 16536956 3 2 80799 -0.16754 0.56653
100133301 1 16538724 16540035 1 1 80799 -1.5968 0.94485
55672 1 16562427 16613605 11 6 80799 0.72754 0.23345
11223 1 16754634 16764480 1 1 80799 0.8774 0.19013
