GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.65158 0.74266
105378580 1 803398 805130 4 2 337119 -0.93267 0.8245
148398 1 925741 944581 54 17 337119 1.753 0.039798
26155 1 944203 959299 49 8 337119 2.3862 0.0085119
339451 1 959952 965720 17 4 337119 2.7282 0.0031841
84069 1 966497 975108 29 13 337119 0.46328 0.32158
84808 1 975199 982117 22 6 337119 -1.0916 0.8625
57801 1 998962 1001285 12 4 337119 -1.4062 0.92016
9636 1 1013467 1014540 5 2 337119 -0.63322 0.73671
375790 1 1020101 1056119 115 16 337119 -1.3883 0.91747
105369174 1 1061207 1066390 10 5 337119 0.26282 0.39635
105378948 1 1065635 1069326 10 3 337119 0.7022 0.24128
401934 1 1071746 1074307 6 2 337119 0.45527 0.32446
54991 1 1081818 1116356 114 14 337119 -0.10684 0.54254
254173 1 1173898 1197935 143 20 337119 -1.9673 0.97543
8784 1 1203508 1206709 10 2 337119 -0.35531 0.63882
7293 1 1211326 1214638 8 3 337119 -2.4443 0.99274
51150 1 1216908 1232067 93 6 337119 -0.8251 0.79534
126792 1 1232249 1235041 7 2 337119 -0.83434 0.79795
388581 1 1242446 1247218 13 3 337119 -1.0694 0.85755
118424 1 1253912 1273854 42 7 337119 1.7133 0.043328
6339 1 1280415 1292029 43 15 337119 0.29417 0.38431
116983 1 1292384 1307925 43 10 337119 1.0936 0.13707
126789 1 1308571 1311677 5 3 337119 0.18883 0.42511
54973 1 1311585 1324687 19 6 337119 1.3454 0.089256
80772 1 1324756 1328896 10 2 337119 2.0584 0.019775
83756 1 1328999 1335320 26 8 337119 1.5031 0.066408
1855 1 1335278 1349158 34 9 337119 1.3643 0.086242
54587 1 1352689 1363541 36 6 337119 1.9082 0.028182
54998 1 1373730 1375438 8 4 337119 0.55825 0.28834
81669 1 1385711 1399338 21 7 337119 0.43138 0.33309
55052 1 1401896 1407834 15 6 337119 1.0812 0.13979
441869 1 1418420 1421820 10 4 337119 -0.40907 0.65876
643965 1 1426128 1427787 8 3 337119 -0.41936 0.66252
64856 1 1435523 1442882 15 4 337119 0.34507 0.36502
219293 1 1441301 1470158 88 15 337119 -0.14218 0.55653
83858 1 1471732 1509479 90 21 337119 0.25573 0.39908
55210 1 1512143 1534687 80 13 337119 0.463 0.32168
339453 1 1534778 1540360 12 7 337119 0.36635 0.35705
29101 1 1541673 1574882 93 11 337119 0.31094 0.37792
643988 1 1598008 1600096 2 1 337119 -0.82433 0.79512
142678 1 1614975 1630610 39 9 337119 -0.18739 0.57432
984 1 1635226 1659839 33 6 337119 -1.4786 0.93038
728661 1 1660025 1692804 75 16 337119 -1.2849 0.90058
728642 1 1702730 1724352 68 5 337119 -1.1116 0.86685
9906 1 1724838 1745999 64 11 337119 0.45974 0.32285
65220 1 1751232 1780514 68 10 337119 1.3616 0.086665
2782 1 1785285 1891117 160 23 337119 0.9756 0.16463
105378949 1 1885960 1893010 14 7 337119 -0.2466 0.59739
163688 1 1913752 1917294 13 3 337119 1.7976 0.036118
339456 1 1917589 1919301 6 3 337119 1.1847 0.11807
85452 1 1921951 2003837 329 27 337119 2.2551 0.012064
2563 1 2019329 2030753 29 7 337119 -0.99974 0.84128
5590 1 2050470 2185395 400 32 337119 1.4689 0.070937
100506504 1 2181811 2184360 4 2 337119 1.303 0.096289
199990 1 2184460 2212720 52 12 337119 0.84742 0.19838
105378592 1 2208942 2215211 19 9 337119 0.683 0.2473
6497 1 2228695 2310213 240 46 337119 -1.0879 0.86168
105378594 1 2280383 2284676 14 5 337119 -1.4749 0.92988
79906 1 2321253 2391751 302 38 337119 -0.22248 0.58803
11079 1 2391314 2405444 37 11 337119 0.0077345 0.49691
5192 1 2404802 2413780 26 9 337119 0.019462 0.49224
9651 1 2415782 2505530 321 46 337119 1.4147 0.07858
55229 1 2508531 2526628 40 6 337119 -0.16346 0.56492
388585 1 2528745 2530245 3 2 337119 0.85185 0.19715
8764 1 2556365 2565622 23 5 337119 0.7522 0.22597
127281 1 2586460 2591469 11 4 337119 -0.25226 0.59958
79258 1 2590639 2633042 149 10 337119 -0.19461 0.57715
100287898 1 2636988 2789665 89 13 337119 0.073379 0.47075
140625 1 3021482 3022903 4 2 337119 1.1986 0.11535
63976 1 3068227 3438621 1383 172 337119 1.0908 0.13767
27237 1 3454583 3481115 91 13 337119 1.0745 0.1413
1953 1 3487942 3624757 572 88 337119 0.36132 0.35893
127262 1 3624992 3630131 13 5 337119 -0.66992 0.74855
49856 1 3630767 3650107 32 10 337119 0.18423 0.42692
7161 1 3652565 3736201 295 54 337119 -0.83341 0.79769
148870 1 3752398 3771645 67 15 337119 0.31334 0.37701
388588 1 3772761 3775982 12 5 337119 -0.55239 0.70966
57470 1 3780220 3796504 80 16 337119 1.2793 0.10039
9731 1 3812081 3857387 284 18 337119 0.82248 0.2054
1677 1 3857143 3885429 163 23 337119 0.38618 0.34968
339448 1 3889133 3900293 41 8 337119 0.70367 0.24082
55966 1 4655045 4792534 669 86 337119 0.9908 0.16089
261734 1 5862808 5992505 393 22 337119 -0.0092082 0.50367
8514 1 5992298 6101193 304 48 337119 3.332 0.00043109
26038 1 6101787 6180134 273 33 337119 0.76515 0.22209
6146 1 6185020 6199619 35 7 337119 0.28574 0.38754
388591 1 6205775 6221299 34 5 337119 -0.51826 0.69786
23463 1 6221193 6235984 28 6 337119 -0.86398 0.8062
390992 1 6244158 6245578 2 1 337119 0.25039 0.40114
387509 1 6247346 6260990 36 3 337119 -0.50454 0.69306
11332 1 6264272 6393766 409 26 337119 0.04565 0.48179
54626 1 6415232 6424664 30 6 337119 0.15427 0.4387
83715 1 6424776 6460944 104 12 337119 0.064632 0.47423
8718 1 6461151 6466195 13 5 337119 0.17947 0.42878
57449 1 6466092 6520061 139 25 337119 -0.99209 0.83942
79707 1 6521347 6554598 101 3 337119 -0.20123 0.57974
80835 1 6555278 6579757 42 8 337119 -0.17664 0.57011
3104 1 6579991 6589280 9 4 337119 -0.91245 0.81923
9903 1 6590724 6602898 30 9 337119 -1.1576 0.87648
148479 1 6613696 6624033 18 4 337119 -1.1866 0.8823
90326 1 6624865 6635586 33 7 337119 -0.51089 0.69528
55735 1 6634168 6701906 144 18 337119 -1.331 0.90841
23261 1 6785324 7769706 2727 225 337119 0.68993 0.24512
9341 1 7771269 7781432 33 9 337119 0.40571 0.34248
8863 1 7784380 7845181 215 27 337119 0.38336 0.35073
10911 1 7847612 7913610 303 28 337119 -0.32488 0.62736
3604 1 7915871 7943165 54 8 337119 0.40714 0.34195
11315 1 7961654 7985283 50 10 337119 0.39729 0.34558
54206 1 8011719 8026333 23 5 337119 1.1936 0.11632
50651 1 8318085 8344167 82 14 337119 -1.1845 0.88189
473 1 8352404 8817691 684 29 337119 0.37276 0.35466
2023 1 8861000 8879092 25 5 337119 0.91069 0.18123
