GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 188578 -2.0851 0.98147
105378580 1 803398 805130 4 2 188578 -3.2522 0.99943
148398 1 925741 944581 51 16 188578 -3.1746 0.99925
26155 1 944203 959299 41 9 188578 -1.3787 0.916
339451 1 959952 965720 15 3 188578 -0.91138 0.81895
84069 1 966497 975108 24 10 188578 -1.9047 0.97159
84808 1 975199 982117 20 5 188578 -2.029 0.97877
57801 1 998962 1001285 11 3 188578 -2.0022 0.97737
9636 1 1013467 1014540 2 1 188578 -2.5239 0.9942
375790 1 1020101 1056119 104 15 188578 -2.4838 0.9935
105369174 1 1061207 1066390 10 5 188578 -2.3592 0.99084
105378948 1 1065635 1069326 8 3 188578 -1.7876 0.96308
401934 1 1071746 1074307 5 2 188578 -0.87078 0.80806
54991 1 1081818 1116356 110 14 188578 -1.4191 0.92207
254173 1 1173898 1197935 137 20 188578 -0.35676 0.63936
8784 1 1203508 1206709 10 2 188578 0.54031 0.29449
7293 1 1211326 1214638 8 3 188578 -1.2601 0.89618
51150 1 1216908 1232067 86 5 188578 -1.1751 0.88002
126792 1 1232249 1235041 6 2 188578 -0.62736 0.73479
388581 1 1242446 1247218 13 3 188578 -1.411 0.92087
118424 1 1253912 1273854 40 7 188578 -0.72315 0.76521
6339 1 1280415 1292029 40 14 188578 -1.4974 0.93285
116983 1 1292384 1307925 42 10 188578 -1.9199 0.97257
126789 1 1308571 1311677 4 2 188578 -2.671 0.99622
54973 1 1311585 1324687 17 6 188578 -2.6536 0.99602
80772 1 1324756 1328896 10 2 188578 -1.0086 0.84342
83756 1 1328999 1335320 21 7 188578 -1.6538 0.95092
1855 1 1335278 1349158 29 8 188578 -2.3353 0.99024
54587 1 1352689 1363541 30 5 188578 -1.661 0.95165
54998 1 1373730 1375438 8 4 188578 -1.3147 0.9057
81669 1 1385711 1399338 21 7 188578 -2.2344 0.98727
55052 1 1401896 1407834 15 6 188578 -1.8213 0.96572
441869 1 1418420 1421820 10 4 188578 -1.9907 0.97674
643965 1 1426128 1427787 8 3 188578 -1.1993 0.88479
64856 1 1435523 1442882 14 4 188578 0.30733 0.3793
219293 1 1441301 1470158 85 14 188578 1.1707 0.12086
83858 1 1471732 1509479 89 21 188578 -0.61634 0.73116
55210 1 1512143 1534687 78 13 188578 0.28229 0.38886
339453 1 1534778 1540360 12 7 188578 -2.4689 0.99322
29101 1 1541673 1574882 91 11 188578 -1.2976 0.90278
643988 1 1598008 1600096 2 1 188578 -2.2992 0.98925
142678 1 1614975 1630610 36 8 188578 -2.7956 0.99741
984 1 1635226 1659839 33 6 188578 -2.0693 0.98074
728661 1 1660025 1692804 73 17 188578 -3.1605 0.99921
728642 1 1702730 1724352 67 5 188578 -0.47568 0.68285
9906 1 1724838 1745999 62 11 188578 -0.757 0.77547
65220 1 1751232 1780514 63 9 188578 -0.0076111 0.50304
2782 1 1785285 1891117 154 23 188578 0.52578 0.29952
105378949 1 1885960 1893010 14 7 188578 1.2147 0.11224
163688 1 1913752 1917294 13 3 188578 -0.34292 0.63417
