GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.38707 0.65065
105378580 1 803398 805130 4 2 337119 -1.671 0.95264
148398 1 925741 944581 54 17 337119 -0.69912 0.75776
26155 1 944203 959299 49 8 337119 -0.28832 0.61345
339451 1 959952 965720 17 4 337119 -0.58032 0.71915
84069 1 966497 975108 29 13 337119 -1.0782 0.85953
84808 1 975199 982117 22 6 337119 -1.5139 0.93497
57801 1 998962 1001285 12 4 337119 -1.446 0.92592
9636 1 1013467 1014540 5 2 337119 -0.98246 0.83706
375790 1 1020101 1056119 115 16 337119 -0.94754 0.82832
105369174 1 1061207 1066390 10 5 337119 -0.93394 0.82483
105378948 1 1065635 1069326 10 3 337119 -0.31314 0.62291
401934 1 1071746 1074307 6 2 337119 -0.86915 0.80762
54991 1 1081818 1116356 114 14 337119 -0.10173 0.54051
254173 1 1173898 1197935 143 20 337119 1.2061 0.11389
8784 1 1203508 1206709 10 2 337119 4.2736 9.6188e-06
7293 1 1211326 1214638 8 3 337119 1.2561 0.10454
51150 1 1216908 1232067 93 6 337119 1.2065 0.11381
126792 1 1232249 1235041 7 2 337119 2.4121 0.0079307
388581 1 1242446 1247218 13 3 337119 3.2579 0.00056126
118424 1 1253912 1273854 42 7 337119 3.8561 5.7606e-05
6339 1 1280415 1292029 43 15 337119 4.4744 3.8306e-06
116983 1 1292384 1307925 43 10 337119 3.3414 0.00041686
126789 1 1308571 1311677 5 3 337119 3.377 0.00036646
54973 1 1311585 1324687 19 6 337119 2.6686 0.0038088
80772 1 1324756 1328896 10 2 337119 2.4514 0.0071146
83756 1 1328999 1335320 26 8 337119 1.9525 0.025441
1855 1 1335278 1349158 34 9 337119 1.8389 0.032964
54587 1 1352689 1363541 36 6 337119 2.0423 0.020561
54998 1 1373730 1375438 8 4 337119 2.1937 0.014128
81669 1 1385711 1399338 21 7 337119 2.5334 0.0056483
55052 1 1401896 1407834 15 6 337119 2.6365 0.0041879
441869 1 1418420 1421820 10 4 337119 1.6481 0.04967
643965 1 1426128 1427787 8 3 337119 0.73471 0.23126
64856 1 1435523 1442882 15 4 337119 0.78519 0.21617
219293 1 1441301 1470158 88 15 337119 0.13257 0.44727
83858 1 1471732 1509479 90 21 337119 -0.074372 0.52964
55210 1 1512143 1534687 80 13 337119 0.45729 0.32373
339453 1 1534778 1540360 12 7 337119 0.3664 0.35703
29101 1 1541673 1574882 93 11 337119 1.5207 0.064164
643988 1 1598008 1600096 2 1 337119 -3.1023 0.99904
142678 1 1614975 1630610 39 9 337119 -0.54533 0.70724
984 1 1635226 1659839 33 6 337119 -0.35108 0.63724
728661 1 1660025 1692804 75 16 337119 0.40926 0.34118
728642 1 1702730 1724352 68 5 337119 1.1913 0.11676
9906 1 1724838 1745999 64 11 337119 3.0784 0.0010406
65220 1 1751232 1780514 68 10 337119 3.6731 0.00011982
2782 1 1785285 1891117 160 23 337119 2.8871 0.001944
105378949 1 1885960 1893010 14 7 337119 3.4714 0.00025888
163688 1 1913752 1917294 13 3 337119 2.2798 0.011311
339456 1 1917589 1919301 6 3 337119 1.8494 0.032199
85452 1 1921951 2003837 329 27 337119 1.6208 0.052526
2563 1 2019329 2030753 29 7 337119 0.79396 0.21361
5590 1 2050470 2185395 400 32 337119 -0.081609 0.53252
100506504 1 2181811 2184360 4 2 337119 0.71347 0.23778
