GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 13527 -0.12454 0.54956
105378580 1 803398 805130 4 2 13527 -2.2023 0.98618
148398 1 925741 944581 55 17 13527 -1.0374 0.85023
26155 1 944203 959299 49 8 13527 -1.1297 0.87071
339451 1 959952 965720 16 3 13527 -1.5725 0.94208
84069 1 966497 975108 27 12 13527 -1.1188 0.8684
84808 1 975199 982117 22 6 13527 -0.72922 0.76707
57801 1 998962 1001285 12 4 13527 0.093494 0.46276
9636 1 1013467 1014540 6 2 13527 -1.3995 0.91917
375790 1 1020101 1056119 111 15 13527 1.4762 0.06994
105369174 1 1061207 1066390 10 5 13527 -1.0076 0.84318
105378948 1 1065635 1069326 10 3 13527 -0.18754 0.57438
401934 1 1071746 1074307 6 2 13527 -0.60821 0.72848
54991 1 1081818 1116356 113 14 13527 -0.40115 0.65585
254173 1 1173898 1197935 142 20 13527 -1.3988 0.91906
8784 1 1203508 1206709 10 2 13527 0.42419 0.33572
7293 1 1211326 1214638 8 3 13527 -0.27915 0.60993
51150 1 1216908 1232067 93 6 13527 -0.75427 0.77466
126792 1 1232249 1235041 7 2 13527 0.62236 0.26685
388581 1 1242446 1247218 13 3 13527 0.062941 0.47491
118424 1 1253912 1273854 42 7 13527 1.73 0.041812
6339 1 1280415 1292029 44 16 13527 1.6412 0.050375
116983 1 1292384 1307925 44 10 13527 1.7967 0.03619
126789 1 1308571 1311677 5 3 13527 1.6788 0.0466
54973 1 1311585 1324687 19 6 13527 2.3388 0.0096727
80772 1 1324756 1328896 10 2 13527 2.5654 0.0051531
83756 1 1328999 1335320 26 8 13527 2.4525 0.0070942
1855 1 1335278 1349158 34 9 13527 2.3613 0.0091044
54587 1 1352689 1363541 36 6 13527 2.4472 0.0071984
54998 1 1373730 1375438 8 4 13527 2.003 0.022591
81669 1 1385711 1399338 22 7 13527 1.9331 0.026612
55052 1 1401896 1407834 15 6 13527 2.3468 0.0094669
