GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 113006 -0.65018 0.74221
105378580 1 803398 805130 4 2 113006 -1.1709 0.87919
148398 1 925741 944581 55 17 113006 0.11965 0.45238
26155 1 944203 959299 50 8 113006 0.40823 0.34155
339451 1 959952 965720 17 4 113006 0.35379 0.36175
84069 1 966497 975108 29 13 113006 1.1659 0.12184
84808 1 975199 982117 22 6 113006 1.7331 0.041543
57801 1 998962 1001285 12 4 113006 -0.11355 0.5452
9636 1 1013467 1014540 5 2 113006 -0.40998 0.65909
375790 1 1020101 1056119 115 16 113006 1.2225 0.11076
105369174 1 1061207 1066390 10 5 113006 0.50802 0.30572
105378948 1 1065635 1069326 10 3 113006 -0.64358 0.74008
401934 1 1071746 1074307 6 2 113006 -2.0874 0.98157
54991 1 1081818 1116356 115 15 113006 -0.94585 0.82789
254173 1 1173898 1197935 144 20 113006 0.6168 0.26868
8784 1 1203508 1206709 10 2 113006 -0.049266 0.51965
7293 1 1211326 1214638 8 3 113006 0.22643 0.41043
51150 1 1216908 1232067 93 6 113006 1.2554 0.10466
126792 1 1232249 1235041 7 2 113006 -0.09307 0.53708
388581 1 1242446 1247218 13 3 113006 -0.35623 0.63917
118424 1 1253912 1273854 42 7 113006 -0.189 0.57495
6339 1 1280415 1292029 43 15 113006 0.047441 0.48108
116983 1 1292384 1307925 44 10 113006 -0.58443 0.72053
126789 1 1308571 1311677 5 3 113006 -1.8434 0.96736
54973 1 1311585 1324687 19 6 113006 0.21567 0.41462
80772 1 1324756 1328896 10 2 113006 0.13176 0.44759
83756 1 1328999 1335320 26 8 113006 -0.15253 0.56062
1855 1 1335278 1349158 34 9 113006 -0.13423 0.55339
54587 1 1352689 1363541 35 6 113006 0.11532 0.45409
54998 1 1373730 1375438 8 4 113006 -0.37478 0.64609
81669 1 1385711 1399338 21 7 113006 -0.75475 0.7748
55052 1 1401896 1407834 15 6 113006 -0.70355 0.75914
441869 1 1418420 1421820 10 4 113006 -1.3422 0.91023
643965 1 1426128 1427787 8 3 113006 -0.50494 0.6932
64856 1 1435523 1442882 15 4 113006 -1.8981 0.97116
219293 1 1441301 1470158 87 14 113006 -0.99251 0.83953
83858 1 1471732 1509479 93 20 113006 -0.44826 0.67302
55210 1 1512143 1534687 82 13 113006 0.48873 0.31252
339453 1 1534778 1540360 12 7 113006 1.4405 0.07486
29101 1 1541673 1574882 93 11 113006 1.9345 0.026525
643988 1 1598008 1600096 2 1 113006 0.10361 0.45874
142678 1 1614975 1630610 39 9 113006 0.11469 0.45434
984 1 1635226 1659839 34 6 113006 -0.55057 0.70904
728661 1 1660025 1692804 76 17 113006 -0.54812 0.70819
728642 1 1702730 1724352 69 5 113006 -1.1164 0.86788
9906 1 1724838 1745999 65 11 113006 1.6883 0.045673
65220 1 1751232 1780514 70 10 113006 3.8013 7.1979e-05
2782 1 1785285 1891117 161 23 113006 3.6096 0.00015335
105378949 1 1885960 1893010 14 7 113006 2.6724 0.0037652
163688 1 1913752 1917294 13 3 113006 3.4125 0.0003218
339456 1 1917589 1919301 6 3 113006 3.3054 0.00047427
85452 1 1921951 2003837 330 26 113006 2.7037 0.0034285
2563 1 2019329 2030753 30 7 113006 0.36218 0.35861
5590 1 2050470 2185395 400 32 113006 -0.92928 0.82363
100506504 1 2181811 2184360 4 2 113006 0.22585 0.41066
199990 1 2184460 2212720 51 12 113006 -0.50013 0.69151
105378592 1 2208942 2215211 19 9 113006 1.8879 0.029522
6497 1 2228695 2310213 240 46 113006 0.98794 0.16159
105378594 1 2280383 2284676 14 5 113006 0.40003 0.34457
79906 1 2321253 2391751 302 38 113006 -0.0070779 0.50282
11079 1 2391314 2405444 37 11 113006 -0.72778 0.76662
5192 1 2404802 2413780 26 9 113006 -0.68506 0.75335
9651 1 2415782 2505530 322 46 113006 1.5589 0.059505
55229 1 2508531 2526628 40 6 113006 0.1158 0.45391
388585 1 2528745 2530245 3 2 113006 0.11307 0.45499
8764 1 2556365 2565622 23 5 113006 -0.60496 0.7274
127281 1 2586460 2591469 11 4 113006 0.87286 0.19137
79258 1 2590639 2633042 152 10 113006 1.059 0.1448
100287898 1 2636988 2789665 91 13 113006 1.2587 0.10406
140625 1 3021482 3022903 4 2 113006 -0.013899 0.50554
63976 1 3068227 3438621 1381 178 113006 0.36535 0.35742
27237 1 3454583 3481115 92 13 113006 0.74197 0.22905
1953 1 3487942 3624757 575 86 113006 1.4248 0.077103
127262 1 3624992 3630131 13 5 113006 -1.257 0.89563
49856 1 3630767 3650107 33 10 113006 -1.1014 0.86464
7161 1 3652565 3736201 294 53 113006 2.7044 0.0034212
148870 1 3752398 3771645 67 15 113006 0.67048 0.25127
388588 1 3772761 3775982 12 5 113006 -1.5515 0.93961
57470 1 3780220 3796504 80 16 113006 -1.0537 0.854
9731 1 3812081 3857387 284 18 113006 -0.64718 0.74124
1677 1 3857143 3885429 163 23 113006 -0.67208 0.74923
339448 1 3889133 3900293 41 8 113006 -0.80764 0.79035
55966 1 4655045 4792534 671 86 113006 0.25705 0.39857
261734 1 5862808 5992505 392 22 113006 1.5486 0.060733
8514 1 5992298 6101193 306 48 113006 3.2945 0.00049294
26038 1 6101787 6180134 273 33 113006 0.20328 0.41946
6146 1 6185020 6199619 35 7 113006 -0.76879 0.77899
388591 1 6205775 6221299 34 5 113006 -1.0287 0.84818
23463 1 6221193 6235984 28 6 113006 -0.75872 0.77599
390992 1 6244158 6245578 2 1 113006 0.071919 0.47133
387509 1 6247346 6260990 36 3 113006 -0.035418 0.51413
11332 1 6264272 6393766 409 26 113006 -0.5482 0.70822
54626 1 6415232 6424664 31 7 113006 -0.38152 0.64859
83715 1 6424776 6460944 104 12 113006 -0.97046 0.83409
8718 1 6461151 6466195 13 5 113006 0.055105 0.47803
57449 1 6466092 6520061 138 25 113006 0.1757 0.43026
79707 1 6521347 6554598 101 3 113006 -0.91749 0.82056
80835 1 6555278 6579757 42 8 113006 0.35684 0.36061
3104 1 6579991 6589280 9 4 113006 0.45968 0.32287
9903 1 6590724 6602898 30 9 113006 -0.52928 0.7017
148479 1 6613696 6624033 18 4 113006 -0.66107 0.74572
90326 1 6624865 6635586 33 7 113006 -1.1194 0.86852
55735 1 6634168 6701906 145 18 113006 -0.5143 0.69648
23261 1 6785324 7769706 2726 224 113006 1.5153 0.064852
9341 1 7771269 7781432 33 9 113006 -0.3007 0.61818
8863 1 7784380 7845181 215 27 113006 1.3777 0.084147
10911 1 7847612 7913610 303 28 113006 1.6034 0.054426
3604 1 7915871 7943165 54 8 113006 0.84692 0.19852
11315 1 7961654 7985283 49 10 113006 -0.31172 0.62237
54206 1 8011719 8026333 23 5 113006 -0.35996 0.64056
50651 1 8318085 8344167 82 14 113006 -0.71065 0.76135
473 1 8352404 8817691 685 31 113006 2.6902 0.0035704
2023 1 8861000 8879092 25 5 113006 -1.0219 0.84659
765 1 8945785 8975092 116 26 113006 0.19719 0.42184
155184 1 8960853 9026384 218 55 113006 0.14301 0.44314
6518 1 9036943 9071704 96 14 113006 -0.19917 0.57894
80045 1 9103391 9129170 61 10 113006 -1.2813 0.89996
9563 1 9234776 9271337 98 19 113006 1.3371 0.090596
80176 1 9292882 9369532 330 51 113006 1.1242 0.13046
84275 1 9539469 9582773 60 9 113006 1.0797 0.14013
199953 1 9588853 9614877 37 8 113006 0.25924 0.39773
5293 1 9629889 9729114 200 36 113006 1.3742 0.084695
22883 1 9729021 9824526 130 17 113006 0.51054 0.30484
56998 1 9848276 9910258 73 13 113006 -0.3004 0.61806
84328 1 9922110 9943402 44 10 113006 -1.1162 0.86784
64802 1 9942923 9985501 86 13 113006 -0.84346 0.80051
105376719 1 9996423 9998089 10 3 113006 -0.60336 0.72686
116362 1 9997197 10016020 36 5 113006 -0.46685 0.6797
10277 1 10032983 10181239 307 17 113006 -0.036125 0.51441
23095 1 10210706 10381603 522 17 113006 -0.65359 0.74331
5226 1 10398992 10420511 50 8 113006 0.021102 0.49158
378708 1 10430102 10442815 37 5 113006 -0.47468 0.68249
100526739 1 10430102 10452003 56 8 113006 -0.39524 0.65367
1325 1 10449719 10452003 5 2 113006 0.37332 0.35446
1676 1 10460531 10472556 18 5 113006 -1.1065 0.86575
5195 1 10474946 10630758 369 28 113006 -0.118 0.54697
54897 1 10636604 10796676 434 85 113006 -1.0588 0.85515
148345 1 10946473 10982037 126 18 113006 -0.49748 0.69057
23435 1 11012622 11025492 22 4 113006 -0.80191 0.7887
10747 1 11026523 11047239 57 7 113006 -0.78015 0.78235
6723 1 11054592 11060034 8 3 113006 -1.2552 0.89529
5394 1 11066613 11099910 96 6 113006 -0.71054 0.76132
2475 1 11106531 11262557 339 11 113006 -1.0171 0.84545
10218 1 11189289 11195981 15 3 113006 -0.4787 0.68392
29914 1 11273198 11296595 35 6 113006 -0.53276 0.7029
57540 1 11479238 11537583 150 16 113006 0.58082 0.28068
26232 1 11648361 11654831 22 12 113006 -0.33623 0.63165
93611 1 11654375 11663327 24 8 113006 -0.97086 0.83419
26270 1 11664093 11674354 34 10 113006 0.18647 0.42604
10459 1 11674480 11691788 65 14 113006 0.21328 0.41556
374946 1 11686647 11720612 104 22 113006 -0.25894 0.60216
57085 1 11735474 11750771 38 9 113006 -0.71695 0.7633
284498 1 11762183 11789585 149 11 113006 0.099431 0.4604
4524 1 11785730 11806103 78 11 113006 -0.30951 0.62153
1185 1 11806096 11843144 194 15 113006 -0.21138 0.5837
4878 1 11845709 11847783 15 4 113006 -0.65867 0.74495
90231 1 11919588 11926428 21 7 113006 -1.2027 0.88544
5351 1 11934667 11975542 106 11 113006 -0.94472 0.8276
9927 1 11980181 12013515 89 10 113006 -0.60151 0.72625
60672 1 12019242 12032049 21 5 113006 -1.5777 0.94268
943 1 12063330 12144207 206 43 113006 -2.2628 0.98818
7133 1 12166949 12209222 121 17 113006 -0.52739 0.70104
55187 1 12230039 12512047 362 33 113006 1.8149 0.034773
9249 1 12567910 12618361 169 35 113006 0.39844 0.34515
343066 1 12644547 12667086 50 6 113006 -0.58425 0.72048
126767 1 12716115 12728759 43 7 113006 1.871 0.030672
93190 1 12746186 12761169 44 10 113006 1.4249 0.077088
390999 1 12763223 12777906 44 9 113006 3.0046 0.0013297
65121 1 12791397 12796628 15 4 113006 1.2038 0.11434
440560 1 12824380 12831410 28 7 113006 0.88361 0.18845
343069 1 12847377 12848756 8 3 113006 1.0006 0.15852
65122 1 12857086 12861909 38 6 113006 1.7021 0.044366
400735 1 12879212 12886201 37 8 113006 1.6872 0.045783
343071 1 12892896 12898270 5 2 113006 0.65164 0.25732
441871 1 12916647 12920480 1 1 113006 1.0327 0.15087
440563 1 13115488 13116854 10 5 113006 0.16735 0.43355
645382 1 13303516 13309027 3 1 113006 0.75481 0.22518
391004 1 13389632 13392629 7 4 113006 -1.0452 0.85204
645425 1 13410450 13421354 3 1 113006 0.18248 0.4276
126755 1 13474977 13513781 168 38 113006 0.92873 0.17652
10630 1 13583757 13617957 101 27 113006 1.3678 0.085683
7799 1 13700240 13825079 366 28 113006 -0.34463 0.63481
23254 1 13893515 15118048 4505 359 113006 0.6564 0.25578
55092 1 15152532 15220478 350 28 113006 0.51433 0.30351
727684 1 15164196 15171624 30 8 113006 0.38392 0.35052
114827 1 15236602 15400283 526 57 113006 0.077138 0.46926
79180 1 15409895 15430343 57 19 113006 0.54745 0.29203
11330 1 15438442 15449247 18 7 113006 -1.6446 0.94998
63036 1 15456728 15472091 63 10 113006 0.78957 0.21489
51032 1 15476101 15491400 44 8 113006 -0.27344 0.60774
842 1 15491401 15526529 127 8 113006 0.079931 0.46815
23341 1 15526813 15571733 104 11 113006 0.11037 0.45606
79814 1 15571699 15585110 58 6 113006 0.92431 0.17766
84301 1 15617458 15661057 91 6 113006 0.86583 0.19329
6248 1 15659869 15661722 3 2 113006 -0.35699 0.63945
23207 1 15684267 15734769 149 13 113006 1.7803 0.037516
284723 1 15735088 15741392 12 3 113006 0.23689 0.40637
388595 1 15742492 15747797 12 3 113006 0.47938 0.31584
54751 1 15756171 15786589 67 12 113006 0.82258 0.20537
440567 1 15807162 15807699 5 2 113006 -1.3711 0.91482
23013 1 15847864 15940455 168 21 113006 -0.1052 0.54189
7709 1 15941869 15976132 62 16 113006 0.20047 0.42055
101928566 1 15976131 15997206 82 13 113006 -0.3556 0.63893
149563 1 16004236 16006695 13 4 113006 -0.089271 0.53557
27129 1 16014028 16018796 38 4 113006 -1.1216 0.86899
1187 1 16021991 16034050 61 10 113006 -1.3139 0.90556
1188 1 16043736 16057326 118 14 113006 -0.28692 0.61291
348487 1 16057769 16073632 73 11 113006 -0.90855 0.81821
1969 1 16124337 16156087 59 14 113006 0.171 0.43211
128272 1 16197856 16212671 44 5 113006 -1.4927 0.93225
101927546 1 16215907 16227036 24 4 113006 -0.7587 0.77598
79363 1 16231687 16237452 14 6 113006 -0.8744 0.80905
54455 1 16246840 16352491 215 14 113006 -0.59686 0.7247
26099 1 16367030 16398148 55 7 113006 -0.54607 0.70749
374955 1 16387117 16437842 127 22 113006 -0.69909 0.75775
55707 1 16440672 16460090 40 9 113006 -0.39956 0.65526
102724970 1 16535773 16536956 3 2 113006 1.8152 0.034746
100133301 1 16538724 16540035 1 1 113006 1.1589 0.12326
55672 1 16562427 16613605 11 6 113006 -1.3213 0.9068
11223 1 16754634 16764480 1 1 113006 -0.40482 0.6572
9696 1 16895707 16972979 224 29 113006 -0.87606 0.8095
4237 1 16974500 16981643 18 4 113006 -0.17266 0.56854
23400 1 16985958 17011972 55 12 113006 -0.095628 0.53809
6390 1 17018722 17054170 119 13 113006 0.37209 0.35491
11240 1 17066761 17119453 273 18 113006 -0.25719 0.60148
29943 1 17205123 17246006 160 46 113006 0.52231 0.30073
51702 1 17249082 17284233 165 25 113006 0.032815 0.48691
23569 1 17308195 17364004 283 23 113006 -0.12074 0.54805
353238 1 17372196 17401699 165 17 113006 -1.8791 0.96988
55920 1 17406755 17439754 72 12 113006 -1.2723 0.89836
55160 1 17520197 17697875 436 56 113006 2.4767 0.0066303
81569 1 17712000 17827063 299 32 113006 0.87436 0.19096
84966 1 18107746 18378484 989 133 113006 -1.3495 0.9114
127707 1 18480930 18485999 24 6 113006 -1.0021 0.84185
5081 1 18631006 18748866 356 65 113006 -0.00108 0.50043
80834 1 18839599 18859661 99 20 113006 -0.68485 0.75328
8659 1 18871430 18902799 137 21 113006 1.6489 0.049583
126917 1 18904280 18956667 157 30 113006 -0.095379 0.53799
23352 1 19074506 19210319 255 17 113006 0.26688 0.39478
23065 1 19215664 19251559 102 13 113006 0.34482 0.36512
51154 1 19251581 19260128 50 8 113006 0.5376 0.29543
22977 1 19274325 19289346 75 6 113006 -0.74359 0.77144
8574 1 19302708 19312146 27 10 113006 -0.098965 0.53942
54896 1 19312246 19332431 97 13 113006 0.52164 0.30096
832 1 19338773 19485641 518 23 113006 0.644 0.25979
440574 1 19596977 19629821 74 14 113006 1.3261 0.092405
100532736 1 19596977 19658456 163 28 113006 1.1914 0.11675
4681 1 19643229 19658456 47 13 113006 0.025155 0.48997
3362 1 19665287 19680966 40 8 113006 -1.556 0.94014
255104 1 19682213 19800353 378 52 113006 -1.0686 0.85737
54546 1 19814029 19815278 6 4 113006 -0.010974 0.50438
23252 1 19881702 19912945 76 14 113006 -1.2044 0.88578
30814 1 19920307 19923617 15 5 113006 0.47115 0.31877
5320 1 19975431 19980439 14 6 113006 -1.2006 0.88504
5322 1 20028339 20091901 208 26 113006 0.031544 0.48742
26279 1 20112650 20119566 21 8 113006 -0.72699 0.76638
64600 1 20139326 20150386 24 11 113006 -0.37742 0.64707
391013 1 20163991 20175194 38 9 113006 -0.15555 0.56181
127733 1 20183302 20196048 15 4 113006 -0.12017 0.54782
127731 1 20290907 20360221 252 25 113006 0.88301 0.18861
55450 1 20482391 20486235 4 2 113006 0.7067 0.23988
79594 1 20499448 20508181 25 9 113006 -0.28945 0.61388
163933 1 20552439 20555020 3 1 113006 -1.6893 0.95442
978 1 20588951 20618908 117 20 113006 0.21712 0.41406
65018 1 20633455 20651511 71 11 113006 -0.036666 0.51462
1650 1 20651767 20661544 28 6 113006 -0.54811 0.70819
57576 1 20661643 20718017 212 49 113006 0.70295 0.24104
400745 1 20719731 20732640 37 10 113006 0.93986 0.17364
50809 1 20742677 20787310 91 16 113006 0.44454 0.32832
8672 1 20806292 21177320 677 25 113006 1.1708 0.12085
1889 1 21217247 21345541 343 37 113006 1.2937 0.097878
84224 1 21435318 21484900 161 15 113006 -0.73235 0.76802
