GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.4321 0.66716
105378580 1 803398 805130 4 2 337119 -0.59226 0.72316
148398 1 925741 944581 54 17 337119 -0.18462 0.57324
26155 1 944203 959299 49 8 337119 -1.2424 0.89296
339451 1 959952 965720 17 4 337119 -1.0169 0.8454
84069 1 966497 975108 29 13 337119 0.67115 0.25106
84808 1 975199 982117 22 6 337119 2.4888 0.0064083
57801 1 998962 1001285 12 4 337119 0.8122 0.20834
9636 1 1013467 1014540 5 2 337119 0.50839 0.30559
375790 1 1020101 1056119 115 16 337119 -0.62004 0.73238
105369174 1 1061207 1066390 10 5 337119 -0.83326 0.79765
105378948 1 1065635 1069326 10 3 337119 -1.0874 0.86157
401934 1 1071746 1074307 6 2 337119 -0.43067 0.66665
54991 1 1081818 1116356 114 14 337119 -1.3471 0.91102
254173 1 1173898 1197935 143 20 337119 1.8074 0.035351
8784 1 1203508 1206709 10 2 337119 -0.16494 0.56551
7293 1 1211326 1214638 8 3 337119 1.3204 0.093344
51150 1 1216908 1232067 93 6 337119 0.15182 0.43966
126792 1 1232249 1235041 7 2 337119 1.4601 0.072135
388581 1 1242446 1247218 13 3 337119 1.9784 0.023943
118424 1 1253912 1273854 42 7 337119 -0.047594 0.51898
6339 1 1280415 1292029 43 15 337119 0.52026 0.30144
116983 1 1292384 1307925 43 10 337119 -1.4341 0.92423
126789 1 1308571 1311677 5 3 337119 -1.3234 0.90715
54973 1 1311585 1324687 19 6 337119 -0.9297 0.82374
80772 1 1324756 1328896 10 2 337119 -0.24213 0.59566
83756 1 1328999 1335320 26 8 337119 -1.1626 0.87751
1855 1 1335278 1349158 34 9 337119 -0.93847 0.826
54587 1 1352689 1363541 36 6 337119 -0.7875 0.7845
54998 1 1373730 1375438 8 4 337119 1.0471 0.14752
81669 1 1385711 1399338 21 7 337119 0.30946 0.37849
55052 1 1401896 1407834 15 6 337119 0.35233 0.36229
441869 1 1418420 1421820 10 4 337119 0.26082 0.39712
643965 1 1426128 1427787 8 3 337119 -0.0072595 0.5029
64856 1 1435523 1442882 15 4 337119 -0.0687 0.52739
219293 1 1441301 1470158 88 15 337119 -0.20891 0.58274
83858 1 1471732 1509479 90 21 337119 -0.51555 0.69692
55210 1 1512143 1534687 80 13 337119 0.019456 0.49224
339453 1 1534778 1540360 12 7 337119 -0.72717 0.76644
29101 1 1541673 1574882 93 11 337119 -0.62782 0.73494
643988 1 1598008 1600096 2 1 337119 0.76716 0.22149
142678 1 1614975 1630610 39 9 337119 0.41334 0.33968
984 1 1635226 1659839 33 6 337119 -0.70457 0.75946
728661 1 1660025 1692804 75 16 337119 -0.6244 0.73382
728642 1 1702730 1724352 68 5 337119 -0.94277 0.8271
9906 1 1724838 1745999 64 11 337119 -0.02856 0.51139
65220 1 1751232 1780514 68 10 337119 0.83278 0.20249
2782 1 1785285 1891117 160 23 337119 0.31445 0.37659
105378949 1 1885960 1893010 14 7 337119 0.9852 0.16226
163688 1 1913752 1917294 13 3 337119 0.60451 0.27275
339456 1 1917589 1919301 6 3 337119 -0.20447 0.58101
85452 1 1921951 2003837 329 27 337119 -0.3343 0.63092
2563 1 2019329 2030753 29 7 337119 2.1591 0.015422
5590 1 2050470 2185395 400 32 337119 -0.6042 0.72714
100506504 1 2181811 2184360 4 2 337119 -1.1459 0.87409
199990 1 2184460 2212720 52 12 337119 0.5952 0.27586
105378592 1 2208942 2215211 19 9 337119 -0.26859 0.60588
6497 1 2228695 2310213 240 46 337119 -0.23317 0.59218
105378594 1 2280383 2284676 14 5 337119 -0.49782 0.6907
79906 1 2321253 2391751 302 38 337119 1.4257 0.076973
11079 1 2391314 2405444 37 11 337119 -0.091165 0.53632
5192 1 2404802 2413780 26 9 337119 -0.5068 0.69385
9651 1 2415782 2505530 321 46 337119 -0.67711 0.75083
55229 1 2508531 2526628 40 6 337119 -0.50456 0.69307
388585 1 2528745 2530245 3 2 337119 -0.83492 0.79812
8764 1 2556365 2565622 23 5 337119 -0.0893 0.53558
127281 1 2586460 2591469 11 4 337119 -0.76384 0.77752
79258 1 2590639 2633042 149 10 337119 -0.89658 0.81503
100287898 1 2636988 2789665 89 13 337119 0.22345 0.41159
140625 1 3021482 3022903 4 2 337119 -0.93686 0.82558
63976 1 3068227 3438621 1383 172 337119 -0.12064 0.54801
27237 1 3454583 3481115 91 13 337119 -0.728 0.76669
1953 1 3487942 3624757 572 88 337119 0.17488 0.43059
127262 1 3624992 3630131 13 5 337119 0.42528 0.33531
49856 1 3630767 3650107 32 10 337119 -0.12758 0.55076
7161 1 3652565 3736201 295 54 337119 -1.0705 0.85781
148870 1 3752398 3771645 67 15 337119 -0.87142 0.80824
388588 1 3772761 3775982 12 5 337119 -0.88843 0.81284
57470 1 3780220 3796504 80 16 337119 -0.7103 0.76124
9731 1 3812081 3857387 284 18 337119 -1.0694 0.85756
1677 1 3857143 3885429 163 23 337119 -1.5473 0.93911
339448 1 3889133 3900293 41 8 337119 -0.18159 0.57205
55966 1 4655045 4792534 669 86 337119 1.1484 0.1254
261734 1 5862808 5992505 393 22 337119 0.010722 0.49572
8514 1 5992298 6101193 304 48 337119 0.031893 0.48728
26038 1 6101787 6180134 273 33 337119 0.35902 0.35979
6146 1 6185020 6199619 35 7 337119 -0.37208 0.64508
388591 1 6205775 6221299 34 5 337119 0.64935 0.25806
23463 1 6221193 6235984 28 6 337119 -0.89313 0.81411
390992 1 6244158 6245578 2 1 337119 -0.43395 0.66784
387509 1 6247346 6260990 36 3 337119 -1.2825 0.90017
11332 1 6264272 6393766 409 26 337119 1.041 0.14893
54626 1 6415232 6424664 30 6 337119 1.1516 0.12473
83715 1 6424776 6460944 104 12 337119 0.1703 0.43239
8718 1 6461151 6466195 13 5 337119 0.65624 0.25584
57449 1 6466092 6520061 139 25 337119 -1.184 0.88178
79707 1 6521347 6554598 101 3 337119 -0.5417 0.70599
80835 1 6555278 6579757 42 8 337119 -1.0481 0.85271
3104 1 6579991 6589280 9 4 337119 0.25205 0.4005
9903 1 6590724 6602898 30 9 337119 -0.50464 0.69309
148479 1 6613696 6624033 18 4 337119 -0.18506 0.57341
90326 1 6624865 6635586 33 7 337119 -0.44367 0.67136
55735 1 6634168 6701906 144 18 337119 -0.72875 0.76692
23261 1 6785324 7769706 2727 225 337119 -0.044874 0.5179
9341 1 7771269 7781432 33 9 337119 -0.22753 0.58999
8863 1 7784380 7845181 215 27 337119 -0.5658 0.71423
10911 1 7847612 7913610 303 28 337119 -0.30329 0.61916
3604 1 7915871 7943165 54 8 337119 0.22614 0.41055
11315 1 7961654 7985283 50 10 337119 0.38907 0.34861
54206 1 8011719 8026333 23 5 337119 0.23797 0.40595
50651 1 8318085 8344167 82 14 337119 -1.1053 0.8655
473 1 8352404 8817691 684 29 337119 0.45561 0.32433
2023 1 8861000 8879092 25 5 337119 -0.56727 0.71473
765 1 8945785 8975092 117 26 337119 0.23871 0.40566
155184 1 8960853 9026384 218 55 337119 0.31775 0.37534
6518 1 9036943 9071704 96 14 337119 1.7559 0.039556
80045 1 9103391 9129170 60 10 337119 -0.068298 0.52723
9563 1 9234776 9271337 98 19 337119 0.47827 0.31623
80176 1 9292882 9369532 329 48 337119 -1.7411 0.95917
84275 1 9539469 9582773 60 9 337119 -0.49729 0.69051
199953 1 9588853 9614877 37 8 337119 -1.0421 0.85132
5293 1 9629889 9729114 200 36 337119 0.94579 0.17213
22883 1 9729021 9824526 130 17 337119 0.097373 0.46121
56998 1 9848276 9910258 74 13 337119 -0.41774 0.66193
84328 1 9922110 9943402 44 10 337119 -0.27807 0.60952
64802 1 9942923 9985501 88 14 337119 0.18525 0.42652
105376719 1 9996423 9998089 10 3 337119 0.52367 0.30026
116362 1 9997197 10016020 36 5 337119 0.59644 0.27544
10277 1 10032983 10181239 307 18 337119 0.37178 0.35503
23095 1 10210706 10381603 522 17 337119 -0.11116 0.54426
5226 1 10398992 10420511 50 8 337119 -1.368 0.91434
378708 1 10430102 10442815 37 5 337119 0.63889 0.26145
100526739 1 10430102 10452003 56 8 337119 1.1855 0.1179
1325 1 10449719 10452003 5 2 337119 1.9963 0.022951
1676 1 10460531 10472556 18 5 337119 0.75698 0.22453
